time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,20.3,6,0,10.2,92
02-01-2019,21.2,7.7,0,10.5,95
03-01-2019,20.8,7.6,0,14.9,93
04-01-2019,18.9,7.2,0,12.4,91
05-01-2019,20.6,8,0,18.1,92
06-01-2019,18.3,9.3,2.3,16.6,94
07-01-2019,19.1,7.8,0,10.5,97
08-01-2019,18.4,7.6,0,14.6,94
09-01-2019,19.4,8.1,0,18,89
10-01-2019,19.5,6.2,0,11.4,90
11-01-2019,19.5,6.3,0,10.8,96
12-01-2019,19.9,8.6,0,10.2,87
13-01-2019,21,9.5,0,13.2,94
14-01-2019,18.2,8.1,0,20.9,86
15-01-2019,18.8,6.6,0,17.1,78
16-01-2019,19,6.6,0,9.4,85
17-01-2019,20.1,7.7,0,9.7,87
18-01-2019,20.4,5.8,0,10.8,94
19-01-2019,22.8,7.2,0,9.7,91
20-01-2019,24.9,11.9,0,9,86
21-01-2019,20.9,13.1,6.5,23.2,92
22-01-2019,19.6,11.8,16.9,24.8,98
23-01-2019,18.6,8.5,0.1,9.2,98
24-01-2019,19.7,9.8,0.3,13,97
25-01-2019,17.1,8.9,0.1,11.4,93
26-01-2019,17.3,7.1,0,12.9,92
27-01-2019,16.3,5.4,0,17.6,89
28-01-2019,17.2,6.1,0,17.8,80
29-01-2019,18.3,5.9,0,15.6,75
30-01-2019,18.6,6.3,0,11.4,85
31-01-2019,18.7,7.5,0.6,17.9,92
01-02-2019,19.4,10.9,0.2,18,94
02-02-2019,19.5,7.9,0,12.5,95
03-02-2019,20,7.7,0,11.9,95
04-02-2019,20.9,7.6,0,9,95
05-02-2019,22.1,9.8,0,11,95
06-02-2019,23.2,13.7,9.1,19.6,95
07-02-2019,20.2,12.2,12.7,27.2,97
08-02-2019,18.7,8,0,14.3,99
09-02-2019,18.9,8.2,0,17.1,86
10-02-2019,18.4,6.8,0.5,10.2,92
11-02-2019,19.4,7.7,0,10.2,90
12-02-2019,21.4,10.6,0,9.3,89
13-02-2019,23.6,10.4,0.4,10.3,95
14-02-2019,20.5,13.7,4,22.9,93
15-02-2019,20.8,12.8,4.5,14.2,97
16-02-2019,19.4,10.5,0.1,15.3,100
17-02-2019,20.8,10.7,0,16.3,97
18-02-2019,22.6,9.9,0.1,20.7,93
19-02-2019,22.2,12.5,0,12.6,95
20-02-2019,20.6,14.9,2.6,18.4,93
21-02-2019,25.5,14.2,0,17.6,89
22-02-2019,22.8,13.3,0.4,20.1,95
23-02-2019,21.6,10.6,0,20.2,82
24-02-2019,22.1,10.9,0.2,12.3,83
25-02-2019,22.4,10.1,0,11.9,88
26-02-2019,21.5,12,2.8,17.1,84
27-02-2019,17.7,9.9,11.2,12.2,95
28-02-2019,19.4,7.4,0,16.8,96
01-03-2019,21.2,7.3,0,12,91
02-03-2019,21,11.5,6.8,12.6,88
03-03-2019,21.7,11.2,4.1,13.8,94
04-03-2019,22.6,11.9,0.2,12.9,98
05-03-2019,22,11.8,0,14.3,95
06-03-2019,23.4,11,0,19.7,90
07-03-2019,24,10.4,0,11.3,91
08-03-2019,24.3,11.9,0,13.4,88
09-03-2019,25.3,12.7,0,17.9,94
10-03-2019,24.8,11.4,0,12,78
11-03-2019,26.5,14.6,1.7,24.2,77
12-03-2019,26.7,13.1,0,16.4,90
13-03-2019,23.3,13.3,0,10.1,84
14-03-2019,24.3,12.2,0.3,23.7,93
15-03-2019,25.2,11.9,0,15.5,94
16-03-2019,25.4,12.3,0,12.5,82
17-03-2019,26.7,13,0,13,75
18-03-2019,27.3,12.4,0,12.1,84
19-03-2019,29.6,14,0,12.7,79
20-03-2019,30.8,18.4,0,20.4,65
21-03-2019,30.4,15.3,0,15.5,80
22-03-2019,29.2,16.1,0,21,61
23-03-2019,30.1,15.8,0,23.9,52
24-03-2019,31.4,18.5,0,17,67
25-03-2019,28.5,17.4,0.5,17.2,84
26-03-2019,30,15.5,0,17.9,93
27-03-2019,31.2,15.4,0,13.5,76
28-03-2019,33.9,18.5,0,12.1,75
29-03-2019,35.9,19.1,0,12.8,88
30-03-2019,36,20.3,0,19.6,88
31-03-2019,34.5,19.5,0,22.5,84
01-04-2019,33.6,18.5,0,21.3,50
02-04-2019,33.6,18.5,0,13.6,61
03-04-2019,35.1,18.2,0,13,62
04-04-2019,36.5,18.9,0,11.2,66
05-04-2019,37.9,21.7,0,20.2,68
06-04-2019,37.8,21.4,0,31.2,80
07-04-2019,35.2,21.8,0,15.4,69
08-04-2019,35.4,21.4,0.2,22.9,77
09-04-2019,36.8,20.3,0,14.2,73
10-04-2019,37.6,21.7,0,17.2,75
11-04-2019,38,23.9,0,12.5,65
12-04-2019,37.4,22.6,0,17.7,54
13-04-2019,36.9,22.7,0,18.3,60
14-04-2019,37.7,24,0,19.6,56
15-04-2019,38.7,24.1,0,16.8,53
16-04-2019,31.2,22.5,0.5,19.5,70
17-04-2019,26,19,4.6,19.8,89
18-04-2019,28,16.5,0.1,9.4,95
19-04-2019,30,18.6,0.1,12.3,76
20-04-2019,32.9,19.7,0,12.8,72
21-04-2019,35.5,20.1,0,18.4,65
22-04-2019,37.4,21.9,0,16.4,71
23-04-2019,39.2,24,0,18.5,56
24-04-2019,40.3,25.4,0,18.6,61
25-04-2019,39.4,27.1,0,18.4,61
26-04-2019,40.1,25.3,0,19.6,63
27-04-2019,40.3,26.9,0,29.4,38
28-04-2019,40.9,26.3,0,24.9,34
29-04-2019,40.8,25.9,0,14.7,30
30-04-2019,41.7,25.6,0,22.9,31
01-05-2019,40.8,24.6,0,12.4,40
02-05-2019,37.8,26.8,0.5,21.7,44
03-05-2019,37.6,24.8,0,18.1,52
04-05-2019,38.1,24.2,0,22.5,42
05-05-2019,38.8,23.2,0,24.2,30
06-05-2019,40.2,23.6,0,21.4,35
07-05-2019,40.1,23.4,0,22.1,35
08-05-2019,41.7,26.1,0,23.8,28
09-05-2019,41.2,27.1,0,23.9,27
10-05-2019,40.4,29.6,0,24.8,30
11-05-2019,38.7,25,0,24.9,49
12-05-2019,38.6,25,0,17.7,46
13-05-2019,38.6,24.8,0,25.5,59
14-05-2019,35.7,24.4,0,14,68
15-05-2019,37,24.9,0.1,18.7,63
16-05-2019,36.8,25,0,19,64
17-05-2019,35,24.5,2.7,13.8,80
18-05-2019,33.5,21.4,0.2,18.4,92
19-05-2019,36.6,23.7,0,15,65
20-05-2019,38.8,24.1,0,16.1,58
21-05-2019,39.4,25.7,0,15.2,47
22-05-2019,39.3,27.2,0,18.9,49
23-05-2019,39.3,26.5,0,19.9,56
24-05-2019,35.4,26.5,0,22.3,62
25-05-2019,36.6,25.2,0,23.7,60
26-05-2019,38.3,24.8,0,17,53
27-05-2019,40.8,26.3,0,18.4,45
28-05-2019,40.8,26.1,0,18.9,29
29-05-2019,42,26.5,0,15.1,30
30-05-2019,43.5,27.2,0,16.3,35
31-05-2019,44.2,28.4,0,15.7,30
01-06-2019,43.7,29,0,18.7,51
02-06-2019,42.9,29.1,0,22.3,61
03-06-2019,41.5,30,0,23.8,61
04-06-2019,41.8,29.7,0,20.4,57
05-06-2019,41.6,28.7,0.3,15.5,66
06-06-2019,42.9,30.3,0.5,24.2,56
07-06-2019,41.5,27.1,0,14,64
08-06-2019,41.8,28,0,15.3,62
09-06-2019,43.6,28.2,0,15.4,55
10-06-2019,44.1,28.3,0,14.3,39
11-06-2019,43.8,29.8,0,15.2,39
12-06-2019,39.8,30.2,2.2,18.2,59
13-06-2019,41.2,29.3,0,17,56
14-06-2019,42.2,30.7,0,19.3,49
15-06-2019,42.5,29.8,0,20.2,30
16-06-2019,38.9,29,0,25.9,55
17-06-2019,38.9,28.8,0,29.2,62
18-06-2019,36.2,24.8,0.5,16.2,84
19-06-2019,36.7,26.1,0,17.9,72
20-06-2019,37.8,24.8,0,13.9,73
21-06-2019,39,27.8,1.2,10.9,65
22-06-2019,40.4,28.2,0,21.1,66
23-06-2019,38.9,29.2,0,23.7,71
24-06-2019,37.1,27.1,0.6,18.4,76
25-06-2019,36.3,27.9,4.8,9.8,83
26-06-2019,39.8,29.6,0.6,17.9,76
27-06-2019,40.4,29,0,20.7,54
28-06-2019,42.2,28.8,0,21.8,58
29-06-2019,41.7,30.7,0,19.9,51
30-06-2019,43,30.7,0,18.9,49
01-07-2019,41.6,30.1,0,11.8,58
02-07-2019,40.3,31.2,0,16.8,60
03-07-2019,36.8,30.4,1.6,16.3,73
04-07-2019,39.2,29.7,6.6,16.9,81
05-07-2019,35,28,3.7,10.5,90
06-07-2019,35,27.4,0.3,14,88
07-07-2019,35.9,26.8,2.1,11,91
08-07-2019,36.5,28.4,4,13.4,88
09-07-2019,35.1,27.1,4.9,11.9,92
10-07-2019,35,27.1,7.1,15,95
11-07-2019,38.5,29.2,0,26.6,76
12-07-2019,38.3,30,0.5,18.8,76
13-07-2019,38.6,29.8,0,28.9,79
14-07-2019,36.9,29.4,0,27.4,82
15-07-2019,36.9,25.8,4.4,16.7,94
16-07-2019,29.2,24.7,20.6,13.8,98
17-07-2019,30.9,24.8,14.8,11,97
18-07-2019,32.3,24.8,12.8,8.5,98
19-07-2019,33.4,25.4,6.7,8,91
20-07-2019,34,26,12.5,12.3,97
21-07-2019,33.2,27.3,11.1,13,92
22-07-2019,34.3,27.6,6.1,11.2,92
23-07-2019,35.6,28.1,4.6,11,92
24-07-2019,36.8,28.1,6.8,17.8,87
25-07-2019,30,26.1,10.9,10.8,96
