time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,27.9,11.5,0,10.8,70
02-01-2019,28.5,14.2,0,9.9,76
03-01-2019,29.7,14.4,0,10.1,85
04-01-2019,28.8,15.9,0,12.3,86
05-01-2019,28.7,13.8,0,10.2,95
06-01-2019,28.8,14.7,0,10.8,96
07-01-2019,29.1,14.9,0,9.8,96
08-01-2019,27.8,14.8,0,10.1,92
09-01-2019,28.7,12.5,0,9.7,79
10-01-2019,28.3,13.1,0,10.6,74
11-01-2019,28.6,13.2,0,11.5,93
12-01-2019,29.1,15.8,0,12.7,98
13-01-2019,28.9,16.1,0,11.7,93
14-01-2019,29,15.2,0,13,96
15-01-2019,28.7,17.2,0,11.3,83
16-01-2019,28.7,16.3,0,9.6,78
17-01-2019,29.6,16.4,0,9.5,76
18-01-2019,30.2,16.5,0,9.2,91
19-01-2019,28.8,14.5,0,10.4,91
20-01-2019,29.5,16.5,0,10.2,89
21-01-2019,30,15.9,0,13.2,82
22-01-2019,29.7,15.1,0,12.6,64
23-01-2019,29,16.1,0,11.3,94
24-01-2019,30.3,18.7,0,13.8,92
25-01-2019,29.6,18.8,0,18.1,88
26-01-2019,23.9,19,10,13,97
27-01-2019,23,18.2,21.3,15.3,99
28-01-2019,24.5,17.1,1.5,12.2,97
29-01-2019,25.2,13.2,0,10.8,94
30-01-2019,25.5,11.2,0,10.1,76
31-01-2019,25.8,11.9,0,16.4,91
01-02-2019,27.1,14.5,0,13.3,99
02-02-2019,28.1,15.1,0,10.5,94
03-02-2019,27.5,15.1,0,14.5,92
04-02-2019,28.3,16,0,16,96
05-02-2019,29.2,16.5,0,10.7,91
06-02-2019,30.8,16.8,0,12.7,94
07-02-2019,31.3,19.5,0,16.1,74
08-02-2019,28.7,18.9,0,11,95
09-02-2019,29,17.2,0,12.2,97
10-02-2019,29.4,14.5,0,12.7,60
11-02-2019,29.7,18.2,0,16.4,83
12-02-2019,30.5,18.6,0,13.7,96
13-02-2019,30.7,16.9,0,10.9,96
14-02-2019,32.2,17.5,0,12.5,95
15-02-2019,31.8,19.6,0,14,68
16-02-2019,32.4,20.3,0,11.9,77
17-02-2019,32.3,20.1,0.1,15.6,98
18-02-2019,31.9,17.7,0,10.3,93
19-02-2019,33.1,19.5,0,12.3,93
20-02-2019,32.9,21.1,0,15.9,90
21-02-2019,33.4,19.5,0,13.2,86
22-02-2019,34.7,20.3,0,9.7,72
23-02-2019,35.2,20.8,0,10.2,70
24-02-2019,35.1,21.8,0,10.4,52
25-02-2019,34.8,22.3,0,18.1,49
26-02-2019,33.8,19.2,0,11.3,74
27-02-2019,33.5,19.4,0,18.7,98
28-02-2019,31.8,20.5,0.3,13.7,94
01-03-2019,32.9,18.9,0.1,15.7,95
02-03-2019,32.5,21.5,0,19.9,91
03-03-2019,33.2,21.3,0.1,13.9,87
04-03-2019,35.5,21.4,0,17.1,86
05-03-2019,35,22.5,0,17.4,64
06-03-2019,33.7,20,0,11.5,63
07-03-2019,33.6,18.4,0,10.5,62
08-03-2019,34.4,19,0,10.2,76
09-03-2019,34.3,20.3,0,10.4,93
10-03-2019,35,21.4,0,13.4,88
11-03-2019,34.7,21.9,0,17.1,91
12-03-2019,35.1,22.6,0,13.9,75
13-03-2019,35.8,21.7,0,17.9,62
14-03-2019,35.6,21.6,0,14,58
15-03-2019,35.9,22.8,0,13.5,48
16-03-2019,35.9,22,0,18.1,43
17-03-2019,35.6,22.1,0,14.1,63
18-03-2019,34.7,21.1,0,19.9,54
19-03-2019,35.5,20.7,0,14.8,90
20-03-2019,34.5,22.3,0.2,17.3,84
21-03-2019,34.3,21.6,0,19.1,90
22-03-2019,35,21.4,0,15.5,79
23-03-2019,35.7,22.5,0,10.5,86
24-03-2019,35.6,24,0,10.6,76
25-03-2019,36,23.2,0,13.5,75
26-03-2019,35.8,22.9,0,12.9,74
27-03-2019,35.6,23.2,0,15.2,68
28-03-2019,36.9,23.8,0,9.7,64
29-03-2019,36.9,23.7,0,11.2,70
30-03-2019,38.1,22.5,0,10.4,71
31-03-2019,37.9,23.9,0,19.2,66
01-04-2019,38.1,25,0,12.6,50
02-04-2019,37.1,24.1,0,17.3,61
03-04-2019,37,23.1,0.1,11.4,95
04-04-2019,36.7,23.1,0,16.5,83
05-04-2019,36.6,22.4,0,21.4,79
06-04-2019,36.4,22.9,0,14.7,65
07-04-2019,37.4,23.9,0,16.5,59
08-04-2019,37.4,23.4,0.1,23.9,74
09-04-2019,36.1,23.3,0.3,15.3,86
10-04-2019,36.9,23.6,1.3,28.5,80
11-04-2019,37.6,23.5,0,15.5,85
12-04-2019,37.6,23.9,0,17.1,63
13-04-2019,38.3,24.4,0,19.2,69
14-04-2019,37.7,24.5,0,13.7,64
15-04-2019,38.1,24.7,0,12.8,51
16-04-2019,36.7,24.4,0,11.8,48
17-04-2019,35.5,25,0,9.8,59
18-04-2019,36.1,25,0,17.4,74
19-04-2019,36.3,25,1.7,16.6,88
20-04-2019,36.6,24.8,0,18.8,85
21-04-2019,36.9,25.4,0,16,81
22-04-2019,36.3,24.2,0,20.2,79
23-04-2019,36.6,24.1,0.1,20.2,70
24-04-2019,37.6,24,0,13.7,79
25-04-2019,38.6,24.8,0,11.6,60
26-04-2019,38.9,25.6,0,13.8,55
27-04-2019,38.8,25.9,0,15.5,61
28-04-2019,38.9,26.4,0,17.4,64
29-04-2019,38.8,27.5,0,14.2,63
30-04-2019,38,27.9,0,20.9,60
01-05-2019,40,27,0,13.6,66
02-05-2019,39.3,27,0,23.3,56
03-05-2019,38.1,27.2,0,20.3,36
04-05-2019,37.6,26.1,0,19.3,46
05-05-2019,38,25.4,0,18.7,45
06-05-2019,39.1,25.6,0,16.3,45
07-05-2019,39.3,25.4,0,10.7,47
08-05-2019,40,28.3,0,20.9,41
09-05-2019,39,26.3,0,19.9,44
10-05-2019,38.8,28,0,19.8,38
11-05-2019,38.3,26.8,0,13.7,49
12-05-2019,38.2,26.9,0,15.6,65
13-05-2019,38,27,0.2,14.9,63
14-05-2019,38.8,26.9,0.2,14.8,64
15-05-2019,38.9,26.7,0,10.8,60
16-05-2019,38.4,26,0.2,14.7,64
17-05-2019,37.8,26.4,0,9.7,69
18-05-2019,39.2,25.9,0,15.2,64
19-05-2019,39.8,27.4,0.1,11.5,46
20-05-2019,37.4,27,0,11.3,65
21-05-2019,38.3,26.6,0,14.3,65
22-05-2019,39.4,26.8,0,15.3,63
23-05-2019,39.1,27.9,0.2,14.7,69
24-05-2019,39.7,27.5,0,9.2,66
25-05-2019,39.6,28.9,0,18.5,53
26-05-2019,40.2,28.1,0,17.3,48
27-05-2019,40.8,28.8,0,17.8,52
28-05-2019,40.8,29.2,0,9.9,52
29-05-2019,40.2,28.9,0,15.4,54
30-05-2019,39.8,27.7,0,14,73
31-05-2019,38.9,28.9,0,12,72
01-06-2019,38,27.9,2,15.7,68
02-06-2019,40.2,28,0,17.3,68
03-06-2019,37.5,28.5,0.3,17,66
04-06-2019,37.6,25.8,0,14.4,85
05-06-2019,39.1,27.9,0,11.7,70
06-06-2019,37.7,28.1,0.1,22.6,65
07-06-2019,38.4,26.5,0.9,11.5,80
08-06-2019,36.9,25.2,0,21.6,83
09-06-2019,36.7,28.5,0.1,14,63
10-06-2019,37,26.5,0.9,17.4,74
11-06-2019,37.2,27.4,0,20.1,70
12-06-2019,36.5,27.1,1,21.4,72
13-06-2019,34,26.1,0.2,24.9,73
14-06-2019,35.3,25.4,0,26.5,76
15-06-2019,36.5,26.8,0.1,22.6,67
16-06-2019,36.6,27.2,0,21.1,65
17-06-2019,35.8,28.4,0,23,61
18-06-2019,36.6,27.3,0,19.5,61
19-06-2019,37.1,27.2,0,21,65
20-06-2019,35.5,26.9,3.7,22.6,77
21-06-2019,30.9,25,2.6,15.9,94
22-06-2019,26.8,24.1,13.6,18.5,94
23-06-2019,31.6,24.1,5.3,13.3,95
24-06-2019,31.9,23.8,3,15.3,96
25-06-2019,32.1,23.6,11.8,12,97
26-06-2019,31.9,24.6,3.3,17.4,88
27-06-2019,33.1,24.7,0.6,22.8,84
28-06-2019,33.2,24.8,1.1,28.8,82
29-06-2019,28.6,23.7,15.9,30,93
30-06-2019,27.5,23.3,6.6,27.4,94
01-07-2019,27.2,23.2,33.7,20.3,94
02-07-2019,26.7,23.5,11.1,22.3,94
03-07-2019,27.9,23.3,7.4,23.3,94
04-07-2019,30.6,24,2,27,88
05-07-2019,30.1,24.3,2.8,27.8,86
06-07-2019,28.7,24.6,0.8,29.8,80
07-07-2019,29.4,24.5,0.6,31.3,80
08-07-2019,31.6,24.3,0.4,28.3,83
09-07-2019,30.1,24.4,0.1,29.5,82
10-07-2019,31.8,24,4.1,28.2,82
11-07-2019,30.8,24.4,5.5,24.6,89
12-07-2019,31.4,23.8,1.2,20.5,87
13-07-2019,32.3,24.3,0.2,22.4,83
14-07-2019,32,24.3,2.3,19.5,90
15-07-2019,32.4,23.7,1.5,19.4,91
16-07-2019,32.6,24.8,0.1,18.8,82
17-07-2019,33.5,25,0.3,18.4,82
18-07-2019,33.6,24.9,2,16.3,83
19-07-2019,28.8,24.1,7.1,13,92
20-07-2019,29.6,22.7,6.9,14.1,96
21-07-2019,32,23.3,0.3,13.6,94
22-07-2019,31.3,23.5,1.9,13.8,94
23-07-2019,30.8,23.7,2.2,13.3,95
24-07-2019,31.4,23.7,2.7,19.1,87
25-07-2019,31.5,24,2,25.2,88
26-07-2019,27.1,22.9,11.9,22.8,93
27-07-2019,26.4,22.6,10,30.3,92
28-07-2019,26.1,22.4,16.3,26,94
29-07-2019,24.3,22.5,34.7,23.9,93
30-07-2019,25.5,22.3,14.5,27.2,93
31-07-2019,29.4,22.3,6,28.6,90
01-08-2019,27.6,23.1,5.8,27.3,93
02-08-2019,23.6,22.3,42.8,27.1,93
03-08-2019,23.8,22.3,32.4,28.9,92
04-08-2019,27,22.1,6.4,30.1,91
05-08-2019,27.6,22.3,5.1,32.2,92
06-08-2019,26.3,22.8,6.9,29,93
07-08-2019,27.1,22.9,14.2,33.8,92
08-08-2019,29.2,22.7,4.1,33.3,93
09-08-2019,29.4,24.4,1.2,30.9,81
10-08-2019,29.8,23.7,0.4,26.9,82
11-08-2019,29.7,23.2,0.3,27,87
12-08-2019,29.9,23.4,1,22.7,89
13-08-2019,29.2,24,1.9,20.5,91
14-08-2019,29.6,23.4,1.5,19.5,92
15-08-2019,30.4,23.1,4.3,19.2,95
16-08-2019,30.6,23.7,0,18.5,91
17-08-2019,30.5,24.1,0.4,18.2,85
18-08-2019,29,23.8,3.8,16.6,95
19-08-2019,29.9,22.7,2.3,13,96
20-08-2019,29,24.2,3,17.3,90
21-08-2019,27.5,23.9,10.8,17.6,93
22-08-2019,29.4,22.7,13.1,21.3,94
23-08-2019,26.9,22.9,5.5,22.2,93
24-08-2019,29.5,23.1,0.7,21.4,94
25-08-2019,28.6,23,0.5,22.1,91
26-08-2019,29.4,23.2,0,23.6,83
27-08-2019,30.3,22.5,0,23.7,85
28-08-2019,30.4,23.3,0,18.3,83
29-08-2019,30.6,23.8,0.3,18,88
30-08-2019,30.1,23.6,3.9,20.9,91
31-08-2019,27.6,23.3,5.3,22.1,94
01-09-2019,27,22.8,13.9,19.1,95
02-09-2019,25.3,22.5,11.9,19.8,94
03-09-2019,26.9,22.7,5.8,22.1,94
04-09-2019,25.7,22.7,15,24.9,94
05-09-2019,27.9,22.9,4.6,26.7,93
06-09-2019,27.5,23.4,2.3,26.4,90
07-09-2019,26.1,22.9,10.8,25.6,92
08-09-2019,28.7,23.1,4.6,26.8,92
09-09-2019,29.5,23.4,1.3,29.3,85
10-09-2019,29.6,23.1,0.2,23.6,89
11-09-2019,29.3,23.5,0,24.6,87
12-09-2019,28.3,23.5,0.7,22.5,88
13-09-2019,28.7,23,1.9,21.3,88
14-09-2019,29.8,23,1.6,18,92
15-09-2019,30.1,22.6,0.3,18.5,95
16-09-2019,29.5,23,0.8,16.9,94
17-09-2019,28.6,23.1,7.3,16.4,96
18-09-2019,28.1,22.7,11,8.2,99
19-09-2019,28.2,22.9,9.3,12.2,98
20-09-2019,27.4,22.5,6.4,11.5,96
21-09-2019,29,22.3,7.4,7.6,98
22-09-2019,29.2,22.9,20.2,11.1,98
23-09-2019,30,22.5,4.5,6.3,100
24-09-2019,28.5,23,9.4,9.2,98
25-09-2019,27.7,22.4,11.3,15.1,98
26-09-2019,28.8,22.7,1.5,17.8,98
27-09-2019,28.9,22.3,6.4,10,97
28-09-2019,28.8,22.8,1.9,11.3,98
29-09-2019,29.3,22.8,5.2,11.8,96
30-09-2019,29.5,21.8,11.3,10.2,98
01-10-2019,30,21.7,7.5,11.9,97
02-10-2019,30,23,2.2,10.5,96
03-10-2019,29.5,22.7,2.6,8,98
04-10-2019,29,22,4.2,11.9,99
05-10-2019,29.2,21.9,9.5,9.8,99
06-10-2019,29.4,21.9,4.9,13,99
07-10-2019,29.4,21.3,4.2,7.6,99
08-10-2019,29.1,22.5,3.4,9.7,100
09-10-2019,29.3,22.4,4.7,7.6,100
10-10-2019,28.6,22.4,3.7,7.1,100
11-10-2019,28.5,21.9,13.6,12,100
12-10-2019,28.6,21.8,4,10.2,100
13-10-2019,28.9,22,3.6,8.3,100
14-10-2019,28.8,21.8,2,9.8,98
15-10-2019,29.1,22.4,4.2,11.2,97
16-10-2019,27.7,22,7.8,14.8,97
17-10-2019,27.4,21.7,8.4,12,100
18-10-2019,27.8,22.2,5.4,15.3,99
19-10-2019,27.4,21.7,2,13.3,98
20-10-2019,27.3,21.8,4,12.7,99
21-10-2019,25.6,21.8,3.2,10.5,98
22-10-2019,26.7,22,6.7,8.4,99
23-10-2019,26.9,21.6,7.1,10.1,98
24-10-2019,27.9,21.8,6.2,12.4,97
25-10-2019,28.3,21.9,7.3,9,99
26-10-2019,28.4,21.8,10.2,13.5,96
27-10-2019,28.2,21.8,11.4,16.1,99
28-10-2019,28.6,21.1,0.5,14.9,100
29-10-2019,28.1,21.4,3.4,13.9,99
30-10-2019,27.4,22,1.9,16.6,99
31-10-2019,27.6,21.9,1.6,18.7,97
01-11-2019,28.5,22.2,1.6,13.3,99
02-11-2019,29.1,21.4,1.9,12.1,98
03-11-2019,29.4,20.9,0.9,8.6,100
04-11-2019,30,21.4,0.2,8.2,100
05-11-2019,29.6,21.5,0,7.9,94
06-11-2019,28.7,20.5,1.4,7.6,98
07-11-2019,29.9,21.1,0,7.9,96
08-11-2019,29.6,21.9,0.3,7.6,96
09-11-2019,29.5,21.1,0,10.1,96
10-11-2019,29.5,19.9,0,11.3,96
11-11-2019,29.4,19.4,0.1,11.5,93
12-11-2019,29.3,19.1,0,10.5,94
13-11-2019,28.3,18.3,0,11.9,88
14-11-2019,26.7,20.1,1,12.4,97
15-11-2019,28.3,21.8,1,12,90
16-11-2019,29.7,20.2,0,9.7,88
17-11-2019,30.9,19.6,0,14.3,88
18-11-2019,30.4,19.8,0,12.4,80
19-11-2019,28,19.4,1.3,8,92
20-11-2019,28.8,20.3,0.1,12,100
21-11-2019,28.6,19.6,0.1,14.8,96
22-11-2019,28.8,18.7,0,10.4,99
23-11-2019,28.4,18.2,0,12.2,92
24-11-2019,28.5,16.9,0,11.3,93
25-11-2019,28.7,16.7,0,15.5,99
26-11-2019,28.1,17.8,0,16,98
27-11-2019,28.5,17.7,0,15.2,97
28-11-2019,28.2,18.4,0.2,15,96
29-11-2019,29.1,18.9,0,11.3,98
30-11-2019,29.2,18.2,0,14.5,96
01-12-2019,27.7,20.1,0,15.9,98
02-12-2019,25.1,20.5,6.3,14.5,99
03-12-2019,26.8,20.1,0.5,15.1,99
04-12-2019,26.8,19.5,0,20,100
05-12-2019,26.5,18.1,0.3,11.3,99
06-12-2019,26.2,17.3,0.3,15,96
07-12-2019,27,16.5,0,11.9,96
08-12-2019,26.2,18,0.3,12.9,93
09-12-2019,26.4,18,0.3,12,98
10-12-2019,27.5,16.9,0,9.8,100
11-12-2019,27.7,17.2,0,10.8,91
12-12-2019,27,16.3,0,12.3,97
13-12-2019,28.7,18.1,0,12.9,98
14-12-2019,28.3,19.1,0,12.4,98
15-12-2019,27.9,18.4,0,13.1,98
16-12-2019,27.9,17,0,13.6,98
17-12-2019,27.3,16.8,0,13,99
18-12-2019,26.6,16.9,0.1,10.8,96
19-12-2019,26.9,16.6,0,11,97
20-12-2019,27.9,16.8,0,8.2,94
21-12-2019,27.5,17,0,12,94
22-12-2019,27.2,16.1,0,16.5,95
23-12-2019,25.2,16.7,0,15.6,97
24-12-2019,27.1,17.8,0,16.2,98
25-12-2019,27.9,17.9,0,15.1,98
26-12-2019,29,18.8,0.1,9.7,90
27-12-2019,26.8,19.1,1.3,12.8,96
28-12-2019,26.2,17.5,0,13.1,84
29-12-2019,26.8,15.6,0,14.5,91
30-12-2019,25.5,16.6,0.1,18.1,91
31-12-2019,25.2,19.2,1.5,17.8,96
01-01-2020,27,18.9,0.2,20.1,96
02-01-2020,26.9,20.3,0.5,18.1,97
03-01-2020,27.5,20.2,0.7,13.2,98
04-01-2020,27,18.9,0.4,8.9,99
05-01-2020,25.7,17.3,0,12.8,95
06-01-2020,26.2,17,0,14.1,84
07-01-2020,27.5,19.7,0,15.5,98
08-01-2020,29.1,19.7,0,16.8,98
09-01-2020,28,19.1,0.3,11.3,98
10-01-2020,26.7,19.2,0.3,14.2,97
11-01-2020,27.2,16,0,11.3,93
12-01-2020,27.8,15.4,0,8.4,92
13-01-2020,28.9,16.4,0,8.4,86
14-01-2020,29.1,15.9,0,11.5,91
15-01-2020,27.9,17.3,0,16.2,95
16-01-2020,28.1,16.7,0,15.5,92
17-01-2020,28.2,17.4,0,14.9,94
18-01-2020,28.7,18.7,0,15.4,99
19-01-2020,29.1,18.9,0,11,97
20-01-2020,28.4,18.9,0.1,11.7,93
21-01-2020,28.9,18.7,0,17.9,92
22-01-2020,28.9,18,0,15.1,94
23-01-2020,28.7,16,0,11.1,96
24-01-2020,29.5,18.5,0,11.5,86
25-01-2020,29.7,17.5,0,9.5,90
26-01-2020,30.6,17.9,0,8.4,90
27-01-2020,31.1,17.6,0,9.8,90
28-01-2020,30.7,18.9,0,15.6,84
29-01-2020,30.9,19.4,0,11.8,93
30-01-2020,30.1,19,0,11.4,88
31-01-2020,29.7,17.6,0,13.3,87
01-02-2020,29.5,19.6,0,13.7,82
02-02-2020,28.7,19.9,0.2,16.8,92
03-02-2020,29.6,19.2,0,12.5,96
04-02-2020,30.4,18.8,0,15.8,92
05-02-2020,29.5,18.1,0,10.6,94
06-02-2020,31,18.7,0,16.5,89
07-02-2020,29.6,19.9,0.2,15.8,92
08-02-2020,27.4,19.2,3.2,13.6,97
09-02-2020,21.8,18.7,17,15.5,98
10-02-2020,25.2,18.5,1.1,17.6,97
11-02-2020,26.4,19.5,0.6,17.4,97
12-02-2020,27.2,18.3,0.2,13.9,98
13-02-2020,29.6,18.1,0,13.5,95
14-02-2020,30.1,16.1,0,11.4,85
15-02-2020,31.2,16,0,9.4,85
16-02-2020,30.8,17,0,11.4,79
17-02-2020,31,16.8,0,10.5,89
18-02-2020,30.6,17.9,0,10.8,66
19-02-2020,30.8,15.7,0,10.6,77
20-02-2020,30.3,18.3,0,16.5,94
21-02-2020,29.7,17.6,0,17.9,92
22-02-2020,30.4,16.6,0,16.3,86
23-02-2020,30.2,17.5,0,15.9,83
24-02-2020,31.7,17.9,0,13.9,81
25-02-2020,31.2,20,0,11.9,85
26-02-2020,29.8,19.1,0,14.8,90
27-02-2020,30.1,18.4,0,15.2,62
28-02-2020,30.4,17,0,14.3,96
29-02-2020,29.8,19.3,0,14,98
01-03-2020,30.9,19.4,0,11.1,96
02-03-2020,30.2,21.5,0,8.8,77
03-03-2020,31.2,19.7,0.5,7.9,90
04-03-2020,33.3,20.6,0,15.3,83
05-03-2020,31.9,19,0,11.4,80
06-03-2020,32,20.6,0.3,18.2,97
07-03-2020,31.5,21.5,0.2,12.1,96
08-03-2020,30.3,21.6,0,12.3,98
09-03-2020,30.5,21,0.5,12.6,96
10-03-2020,32.1,21.2,0.6,14.3,80
11-03-2020,31.8,21.7,0.6,14.8,86
12-03-2020,31.7,21.4,0.5,14.9,90
13-03-2020,32.9,21.5,0,14.8,91
14-03-2020,33.5,20.3,0,12.9,96
15-03-2020,32,20.5,0,11.8,89
16-03-2020,32.4,20.4,0,14.5,94
17-03-2020,33.7,21.8,0,17.2,75
18-03-2020,33.7,20.5,0,10.6,76
19-03-2020,33.1,22.4,0,16.2,80
20-03-2020,33.3,22,0,11.5,80
21-03-2020,31.5,20.9,0.5,9.7,91
22-03-2020,32.7,20.9,0,9,98
23-03-2020,32,21.3,0.5,10.8,96
24-03-2020,32.8,21.6,0,12,83
25-03-2020,32.9,21.7,0,13.6,83
26-03-2020,33.2,21.8,0,14.1,71
27-03-2020,34.6,22.4,0,14.5,64
28-03-2020,34.9,21.8,0,10.5,63
29-03-2020,35.2,23.3,0,9.4,71
30-03-2020,34.6,22.5,0,9.7,69
31-03-2020,35.2,21.6,0,8.9,81
01-04-2020,34.2,23.2,0,8.7,78
02-04-2020,34.3,24.2,0,12.8,70
03-04-2020,35.1,23.4,0,10.8,70
04-04-2020,34.4,23.6,0,10.3,68
05-04-2020,35.3,23.3,0,12.2,79
06-04-2020,34.2,24.4,0,9.1,87
07-04-2020,35.2,23.3,0.1,16.2,79
08-04-2020,35.9,24.2,0,17.6,73
09-04-2020,34.6,23,0.2,18.9,76
10-04-2020,34.7,21.7,0,14.8,95
11-04-2020,35,21.6,0,11.5,80
12-04-2020,35.6,22.7,0,12.7,74
13-04-2020,36.2,22.9,0,12.2,65
14-04-2020,36,22.7,0,11.2,66
15-04-2020,36.3,23.1,0,10.9,62
16-04-2020,35.7,23.4,0,13,66
17-04-2020,35.9,23.3,0,14.5,68
18-04-2020,36.2,23.9,0.2,11.2,79
19-04-2020,35.8,23.6,0,9.8,79
20-04-2020,36.5,23.8,2.4,13.4,77
21-04-2020,36.2,24.4,0,17.8,75
22-04-2020,35.7,24.6,0,13.4,73
23-04-2020,37.8,24.6,0,12.4,85
24-04-2020,35.6,26.1,0,17.3,82
25-04-2020,36.6,26.3,0,16.7,69
26-04-2020,35.1,25.8,0,10.6,90
27-04-2020,35.3,25.2,0.1,22.6,91
28-04-2020,34.9,25,0,18.5,89
29-04-2020,33.6,24.4,0.4,10.7,94
30-04-2020,36.1,24.1,0,7.9,69
01-05-2020,37.1,25.1,0,19,76
02-05-2020,36.1,23.9,0.1,8.4,83
03-05-2020,37.6,24.8,0,10.1,64
04-05-2020,37.5,25.4,0,15.8,64
05-05-2020,37.1,25.4,0,9.9,81
06-05-2020,37,25.5,0,14.3,72
07-05-2020,36.7,25.2,0.1,14.6,88
08-05-2020,35.8,25.9,0.1,11.4,84
09-05-2020,36.7,28,0,14.9,67
10-05-2020,36.5,25.4,0.4,10.7,77
11-05-2020,35.3,24.3,0,11.5,80
12-05-2020,36.1,25.1,0,9.7,75
13-05-2020,36.2,24.8,0,12.3,73
14-05-2020,36.7,25.1,0,12.3,80
15-05-2020,36.5,25.3,0.2,12.7,75
16-05-2020,36.3,26.3,0.4,13,74
17-05-2020,36.9,25.4,0,12.5,86
18-05-2020,36.5,26,0.2,22.1,78
19-05-2020,37.2,25.9,0,21.2,72
20-05-2020,38.5,25.5,0,20.2,62
21-05-2020,39.6,26.3,0,21.4,56
22-05-2020,39.1,23.2,0,15.7,47
23-05-2020,39.6,23.7,0,14.7,58
24-05-2020,39.3,25.3,0,12.5,63
25-05-2020,38.4,26.2,0.2,15,84
26-05-2020,38.4,26.9,0.1,11.8,79
27-05-2020,38.5,28.2,0.1,12.3,66
28-05-2020,39.9,28.7,0,13.2,67
29-05-2020,38.8,27.7,0,16.3,49
30-05-2020,37.1,27.1,0,13.6,81
31-05-2020,35.2,27,3,11.6,72
01-06-2020,33.1,24.4,6,13.7,89
02-06-2020,34,24.2,8,11.6,95
03-06-2020,32.2,23.9,3.8,20.4,94
04-06-2020,32,24.9,0,27.2,77
05-06-2020,33.9,25.4,0.1,18.7,80
06-06-2020,34.3,25.1,0.5,16.1,73
07-06-2020,34.9,25.6,0,18.4,72
08-06-2020,35.8,26.1,0.2,19.4,67
09-06-2020,35.7,26.4,0.2,21.3,68
10-06-2020,32.1,24.7,13.2,18.4,91
11-06-2020,27,23.7,19.7,18.5,95
12-06-2020,26.4,23.3,36,20.2,94
13-06-2020,30.5,23.7,3.1,23.2,89
14-06-2020,31.6,24.3,2.4,22.2,85
15-06-2020,30.8,24.9,2.4,24.9,86
16-06-2020,29.4,24.2,24.7,24.8,93
17-06-2020,28.7,23.4,18.5,22.4,93
18-06-2020,29.4,23.6,4,23.3,93
19-06-2020,30.2,23.5,2.7,23.1,94
20-06-2020,31.7,24.6,1.2,24.1,87
21-06-2020,27,24.1,6.4,20.6,92
22-06-2020,28.6,23.9,0.3,22.9,91
23-06-2020,32.3,23.9,0.1,18.8,87
24-06-2020,31.8,23.9,0.5,12.6,89
25-06-2020,32.5,23.4,4.7,12.7,94
26-06-2020,32.7,23.8,0.2,12.4,93
27-06-2020,32.5,24.7,15.4,15.9,95
28-06-2020,31.6,24.3,8.5,16.9,96
29-06-2020,31.6,23.9,4.2,13.5,95
