time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,29.1,12.5,0,11.1,61
02-01-2019,30.1,14.3,0,10.6,49
03-01-2019,30.5,12.7,0,11.6,67
04-01-2019,31,14,0,11.5,61
05-01-2019,30.6,14.8,0,9.7,64
06-01-2019,29.5,13,0,10.6,79
07-01-2019,28.5,13.3,0,13.1,65
08-01-2019,29.1,13.5,0,10,68
09-01-2019,29.8,12.8,0,10.1,70
10-01-2019,30.3,13.7,0,10.9,69
11-01-2019,30.9,12.8,0,8.8,80
12-01-2019,31.1,15.5,0,14.4,64
13-01-2019,30.1,13.6,0,9.2,86
14-01-2019,29.6,14.6,0,10.5,66
15-01-2019,29.7,14.7,0,11.9,76
16-01-2019,30.2,16.9,0,8.4,66
17-01-2019,31.1,15.3,0,8.1,77
18-01-2019,31.1,16.7,0,10.7,65
19-01-2019,31,16.1,0,11,64
20-01-2019,31.1,16.1,0,12.4,68
21-01-2019,30.9,15.5,0,15.4,64
22-01-2019,28.6,15.4,0,17.1,79
23-01-2019,27.1,14,0,12.9,94
24-01-2019,29.2,13.8,0,18.9,91
25-01-2019,27,11.6,0,10.2,71
26-01-2019,26.9,12.3,0,14.7,61
27-01-2019,26.4,14.6,0,16.1,85
28-01-2019,26.1,13.2,0,14.1,68
29-01-2019,26.8,11.5,0,13,76
30-01-2019,29.1,13.7,0,11.5,63
31-01-2019,29.3,13.9,0,9.6,71
01-02-2019,29.7,15.2,0,12,73
02-02-2019,30.4,15.6,0,12,73
03-02-2019,29.9,16.6,0,11.8,74
04-02-2019,31.3,16.6,0,17.8,75
05-02-2019,31.2,15.7,0,12,75
06-02-2019,31.1,17.1,0,19,79
07-02-2019,27,15,0,19.6,80
08-02-2019,26,12.5,0,17.9,98
09-02-2019,27.6,9.5,0,12.7,62
10-02-2019,30.4,12.9,0,10.8,53
11-02-2019,31.4,12.9,0,11.2,70
12-02-2019,32.1,19.3,0,11.6,72
13-02-2019,33.2,20.1,0,12.3,82
14-02-2019,32.8,17.4,0,16.9,77
15-02-2019,31.4,17.8,0,18.8,67
16-02-2019,29.8,14.5,0,11.4,75
17-02-2019,30.7,15.1,0,14.4,79
18-02-2019,32.9,16.1,0,14.6,65
19-02-2019,34.7,16.3,0,13.8,65
20-02-2019,35.7,19.1,0,13.8,67
21-02-2019,35.2,20.6,0,10.5,75
22-02-2019,34.1,21.6,0,13.8,61
23-02-2019,34.8,21.1,0,13.8,66
24-02-2019,35.2,20,0,21.6,41
25-02-2019,33.6,18.4,0,16.8,47
26-02-2019,30,18.5,0,18.4,49
27-02-2019,29.4,16.2,0,20.9,80
28-02-2019,29.8,13.5,0,9.2,93
01-03-2019,31.9,14.5,0,9.9,91
02-03-2019,34.9,17.7,0,21.5,72
03-03-2019,33,17.6,0,17.3,91
04-03-2019,32.1,17.8,0,20.7,87
05-03-2019,31.5,17.1,0,19,96
06-03-2019,30.7,16.1,0,16.9,97
07-03-2019,32.8,14.5,0,13.9,93
08-03-2019,34.8,16.4,0,16,81
09-03-2019,35,19.3,0,18.8,48
10-03-2019,35.3,18.8,0,20.7,60
11-03-2019,33.8,18.6,0,18.4,66
12-03-2019,34.8,18.4,0,21.4,67
13-03-2019,33.7,19.1,0,17.6,62
14-03-2019,33.6,18.5,0,18.4,62
15-03-2019,34.8,18.1,0,16,63
16-03-2019,35.3,20.1,0,20.6,52
17-03-2019,35.5,20.6,0,18.7,47
18-03-2019,35.5,18.5,0,19.4,44
19-03-2019,35.5,19,0,19,45
20-03-2019,35.9,19.9,0,19.6,55
21-03-2019,34.6,19.4,0,19.7,46
22-03-2019,35.4,18.6,0,14.7,65
23-03-2019,36.1,19,0,14.6,79
24-03-2019,37.6,22.6,0,10.4,51
25-03-2019,38.2,24.4,0,13.3,53
26-03-2019,38.4,23,0,16.5,47
27-03-2019,38,21.7,0,21.3,62
28-03-2019,38.8,21.7,0,13.9,50
29-03-2019,39.6,22.9,0,14.2,48
30-03-2019,39,23.5,0,20.3,69
31-03-2019,38.1,24,0,20.9,65
01-04-2019,37.3,22.2,0,19.8,62
02-04-2019,38.3,19,0,19.6,65
03-04-2019,38.7,20.7,0,15.8,68
04-04-2019,39.5,23.4,0,22.1,70
05-04-2019,37.8,21.6,0,21.7,76
06-04-2019,38.4,22.7,0,22.7,49
07-04-2019,37.8,23.6,0,20.1,48
08-04-2019,38.8,22.7,0,20.5,49
09-04-2019,36.7,23.1,0,22,60
10-04-2019,38.9,21.6,0,22.4,56
11-04-2019,39.2,22.2,0,22.1,60
12-04-2019,39,23.1,0,20.5,62
13-04-2019,40.1,24.5,0,16.2,61
14-04-2019,37.7,23.6,0,17.2,59
15-04-2019,37,24.9,0,23.5,78
16-04-2019,34,23.5,0.2,20.9,86
17-04-2019,34.7,21.6,0,21.7,92
18-04-2019,35.6,18.1,0,16.9,72
19-04-2019,37.5,20.4,0,22.7,74
20-04-2019,37.3,20.3,0,21.3,68
21-04-2019,36.9,20.9,0,20.2,73
22-04-2019,38,21.6,0,21.4,68
23-04-2019,39.5,22.2,0,21.8,60
24-04-2019,40.4,24.6,0,22.5,52
25-04-2019,39.9,25.2,0,20.4,51
26-04-2019,41.7,26.3,0,22.2,51
27-04-2019,41.7,27.1,0,21.2,51
28-04-2019,43,26.1,0,21.8,66
29-04-2019,39.4,24.8,0,20.9,67
30-04-2019,37.9,24.5,0,21.3,75
01-05-2019,36.5,22.9,0,22.8,82
02-05-2019,35,20.7,0,20.2,82
03-05-2019,34.6,20.1,0,19.6,86
04-05-2019,34,20.8,0,19.6,89
05-05-2019,34.8,20.6,0,18.5,96
06-05-2019,38.3,21,0,25.6,85
07-05-2019,37,22.7,0,24.5,85
08-05-2019,35.5,22.6,0,19.5,88
09-05-2019,34.8,22.7,0,19.8,88
10-05-2019,35.7,20.9,0,18.9,92
11-05-2019,37.7,21.4,0,16.1,94
12-05-2019,39.1,21.7,0,18.8,87
13-05-2019,37.4,22,0,17.9,92
14-05-2019,37.7,21.5,0,21.8,95
15-05-2019,37.4,21.3,0,21.5,87
16-05-2019,37.4,21.6,0,18.9,71
17-05-2019,38.2,22,0,18.7,79
18-05-2019,38.5,22.7,0,20,77
19-05-2019,39.6,23.3,0,22.8,54
20-05-2019,40.6,23.3,0,22.8,74
21-05-2019,40.9,24.5,0,23.7,79
22-05-2019,38.9,24,0,17.9,81
23-05-2019,39.1,23.3,0,21.4,85
24-05-2019,38.6,23.3,0,20.1,90
25-05-2019,37.5,23.5,0,17.5,81
26-05-2019,36.6,22.4,0,19.3,86
27-05-2019,38.5,23.2,0,19.6,93
28-05-2019,39.1,22.7,0,19.8,93
29-05-2019,38.9,22.9,0,20.4,87
30-05-2019,37.6,22.8,0,20.2,85
31-05-2019,38.9,23.6,0,22.5,86
01-06-2019,37.3,24.2,0,20.9,83
02-06-2019,37.8,23.2,0,21.6,93
03-06-2019,34.9,24.2,0.3,20.3,86
04-06-2019,36,24.2,0.4,19.8,88
05-06-2019,37.4,24.1,0,16.6,88
06-06-2019,35.5,25.1,1,15.5,85
07-06-2019,36.6,25.2,0.1,17.5,87
08-06-2019,36.4,25.3,3.4,17,94
09-06-2019,34.3,26.2,7.4,21.6,84
10-06-2019,34.1,24.6,4.9,15.3,88
11-06-2019,36.3,24.1,1.4,20.3,92
12-06-2019,32.8,24.4,2.4,30.7,83
13-06-2019,31.5,23.6,2,28.8,88
14-06-2019,30.7,23.4,0.5,24.7,91
15-06-2019,30.4,23.7,1.6,28.4,89
16-06-2019,31.2,24.1,1,26.3,89
17-06-2019,30.8,24.2,0.6,25.9,88
18-06-2019,31.4,23.8,0.5,27.4,89
19-06-2019,30.8,24.3,1.6,22.1,87
20-06-2019,32.5,23.6,0.5,21.5,91
21-06-2019,32.7,23.3,0.5,21.4,91
22-06-2019,33.1,23.4,1.5,17.8,93
23-06-2019,29,23.6,6.2,15.5,95
24-06-2019,30.4,23.1,10.5,14.5,97
25-06-2019,31.4,23.3,7.6,15.5,93
26-06-2019,30.9,23.6,7.3,17.4,94
27-06-2019,30.4,23.4,24.9,21.1,96
28-06-2019,28.7,23.3,15.8,24.2,94
29-06-2019,24.4,22.6,73.4,23.7,94
30-06-2019,25.3,22.3,22.9,21.4,95
01-07-2019,26.1,22.8,11.7,20.6,95
02-07-2019,26.2,22.9,8.9,19.8,95
03-07-2019,26,22.8,3,20.8,94
04-07-2019,27.6,23.5,4.3,25.6,93
05-07-2019,27.5,23.3,5.5,29.6,92
06-07-2019,25.5,23.1,11.5,26.5,92
07-07-2019,25.6,23,10.3,25.4,93
08-07-2019,27.4,23.5,7.6,27.1,93
09-07-2019,27.1,23.6,5.3,26.7,92
10-07-2019,27.1,23.1,22,28,93
11-07-2019,25.5,22.9,10.9,23.1,93
12-07-2019,26.8,23,1,24.9,93
13-07-2019,27.8,23,1.3,24.1,93
14-07-2019,27.8,23.3,2.1,25.7,92
15-07-2019,27.8,23.3,1.2,26,92
16-07-2019,28,23.3,2.1,23.5,93
17-07-2019,28.1,22.6,2.3,21.7,93
18-07-2019,28.5,22.5,0.9,19.2,93
19-07-2019,29.2,22.4,2.3,14.8,96
20-07-2019,28,23.2,19.9,13.3,98
21-07-2019,29.1,22.9,9.9,11.9,98
22-07-2019,30.4,23.2,6.9,13.8,99
23-07-2019,28.6,23.5,5.3,20,97
24-07-2019,27.5,23.7,7.3,24.7,93
25-07-2019,27.4,23.2,16.2,26,94
26-07-2019,25.6,22.3,16.3,25.6,94
27-07-2019,25.8,22,18.3,32.4,93
28-07-2019,25.3,22.2,5.5,28.1,93
29-07-2019,25.2,21.8,21.1,26.7,93
30-07-2019,23.2,22,55,23.1,93
31-07-2019,23.8,21.8,28.5,23.7,94
01-08-2019,25.6,22.5,12.4,27.7,92
02-08-2019,25.6,22.6,15,31.6,92
03-08-2019,24.7,22.6,65.1,27.7,91
04-08-2019,24.2,22.9,75.4,29.2,93
05-08-2019,24.9,22.3,34.8,26.7,93
06-08-2019,24.9,22.9,19.6,29.6,92
07-08-2019,25,23,8.3,31.8,92
08-08-2019,25,23.1,11,32.1,92
09-08-2019,25.5,23,15.8,30.2,91
10-08-2019,25.7,22.7,10.9,30.6,91
11-08-2019,27,22.5,6.3,28.5,91
12-08-2019,27.4,22.7,1.7,22.8,94
13-08-2019,27.6,22.4,3.1,23.8,93
14-08-2019,26.9,22.9,2.1,23.7,92
15-08-2019,26.7,22.7,1.9,26,91
16-08-2019,27.8,22.8,2.2,27.3,92
17-08-2019,27.5,22.5,1.6,23.2,93
18-08-2019,27.5,21.9,1.4,21.7,95
19-08-2019,28.1,21.9,1,20.2,96
20-08-2019,28.6,21.6,1.5,20.5,98
21-08-2019,27.4,21.5,1.4,22.3,96
22-08-2019,27.6,22,1.5,22.4,94
23-08-2019,27.4,21.3,0.9,19.5,96
24-08-2019,27.9,22.1,0.4,20.1,94
25-08-2019,28.1,22.1,0.5,21.1,93
26-08-2019,27.6,21.8,1,23.1,94
27-08-2019,27.5,21.6,0.9,23.2,93
28-08-2019,28.4,21.9,0.4,22.2,95
29-08-2019,28.7,22.2,1.5,18.5,93
30-08-2019,27.2,23.2,15.9,17.9,94
31-08-2019,25.7,22.9,3.9,19.2,95
01-09-2019,27.2,22.8,5.9,22.2,94
02-09-2019,27.3,22.7,3.9,20.5,94
03-09-2019,25.5,22.6,5.5,19.7,94
04-09-2019,24.4,22.6,86,20.2,96
05-09-2019,27.2,22.6,12.5,26.1,94
06-09-2019,26.2,23,13.1,25.1,92
07-09-2019,25.8,23.1,19.1,25.8,93
08-09-2019,26.4,22.8,7.7,25.4,92
09-09-2019,26,23.1,6.4,22.2,92
10-09-2019,26.7,22.9,1.6,23.7,92
