time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,19.9,8.3,0,10.6,84
02-01-2019,21.6,7.1,0,7.9,85
03-01-2019,21,9.6,0,13.4,76
04-01-2019,21.1,7.8,0,12.2,87
05-01-2019,21.5,8.2,0,11,88
06-01-2019,22.7,11,0,11.3,86
07-01-2019,23,9.1,0,9.4,89
08-01-2019,20.3,11.6,0,18.2,82
09-01-2019,21.1,10.1,0,12.6,91
10-01-2019,20.8,9.8,0,12.4,77
11-01-2019,20.9,8.2,0,10.9,85
12-01-2019,21.7,9.4,0,10.8,81
13-01-2019,24.9,9.5,0,13.9,88
14-01-2019,22.6,13.1,0,15.8,86
15-01-2019,20.3,10.5,0,15.3,70
16-01-2019,21.2,9,0,12.4,62
17-01-2019,22.2,8.8,0,9.6,71
18-01-2019,22.2,9.9,0,13.8,68
19-01-2019,22.6,9.8,0,14.3,76
20-01-2019,23.6,8.9,0,12.9,77
21-01-2019,24.8,10.5,0,9.5,61
22-01-2019,26.2,10.4,0,12.1,78
23-01-2019,26.4,12.8,0,13.5,79
24-01-2019,24.5,13.2,0.1,12.4,95
25-01-2019,22.4,13.5,0,12,95
26-01-2019,17.3,13.6,4.8,9.5,98
27-01-2019,20.9,12,0.1,16.4,100
28-01-2019,18.9,12.1,1.8,17.7,95
29-01-2019,19.1,9.4,0.1,18.8,75
30-01-2019,20.4,7.5,0,14.5,74
31-01-2019,21.9,7.2,0,11.6,68
01-02-2019,24.5,9.8,0,11.9,79
02-02-2019,24.8,11.1,0,14.1,76
03-02-2019,25.4,10.5,0,13.7,74
04-02-2019,25.3,11.6,0,16.9,81
05-02-2019,26.3,12.6,0,17.5,84
06-02-2019,27.7,13.3,0,13.1,89
07-02-2019,27.8,14,0,15.9,81
08-02-2019,21.7,16,16.5,13.4,91
09-02-2019,20.2,12.1,0.8,20.7,93
10-02-2019,21.5,9.2,0,17.6,73
11-02-2019,21.9,8.1,0,8.4,80
12-02-2019,24.3,10.4,0,9.5,82
13-02-2019,27,11.7,0,11.1,85
14-02-2019,27.6,13,0,11.5,79
15-02-2019,27.3,14.4,0.4,16.3,81
16-02-2019,24.1,14.4,5.9,16.2,94
17-02-2019,22.8,13.5,0,18.5,92
18-02-2019,23.6,10.8,0,12.6,74
19-02-2019,27.8,12.6,0,15.8,77
20-02-2019,27.9,14.8,0,18.3,67
21-02-2019,30.6,16.9,0,14,68
22-02-2019,32.2,16.3,0.2,19.3,73
23-02-2019,28.2,18.7,0,20.1,70
24-02-2019,29.1,16.7,0,18.2,72
25-02-2019,27,13.7,4.7,20.5,84
26-02-2019,24.8,15.2,4.8,15.5,97
27-02-2019,25.1,15.3,1,19,100
28-02-2019,21.7,13.4,0,18.6,79
01-03-2019,22.8,11.9,0,15.2,70
02-03-2019,25.1,10.9,0,10,74
03-03-2019,26.6,13.6,0.1,10.9,69
04-03-2019,25.4,15.3,4.6,17.2,90
05-03-2019,24.9,17,4.1,11.2,94
06-03-2019,24.8,16.7,0.1,15.5,71
07-03-2019,25.4,14.5,0,14.2,53
08-03-2019,26.2,14.1,0,16.5,55
09-03-2019,29.1,14.1,0,18.8,48
10-03-2019,30.5,15.7,0,15.7,58
11-03-2019,29.9,17.5,0,10.1,64
12-03-2019,31.7,17.6,0,14.4,64
13-03-2019,32,17.7,0,11.1,61
14-03-2019,32,20.2,1.1,17,79
15-03-2019,28.7,18.2,11.1,16.6,92
16-03-2019,29.6,18.1,1.1,14.8,90
17-03-2019,29,17.2,11.4,28.9,82
18-03-2019,26.9,16.9,3.7,24.2,87
19-03-2019,28.3,17.1,0,14.8,87
20-03-2019,30,15.7,0,14.8,51
21-03-2019,30.7,16.4,0.4,16.4,67
22-03-2019,30.7,20.3,1.6,21.3,70
23-03-2019,30.8,19.8,0,22.1,48
24-03-2019,31,18.4,0,15.1,39
25-03-2019,32.1,19,0,13.8,49
26-03-2019,28.9,18.6,0.3,14.5,72
27-03-2019,30.8,18,0,16.6,77
28-03-2019,31.7,16.4,0,12.5,68
29-03-2019,32.2,17.5,0,16.9,66
30-03-2019,34,19,0,23.9,69
31-03-2019,35.8,19.3,0,25.3,66
01-04-2019,34.7,21.6,0.8,17.3,65
02-04-2019,34,18.7,0,23.5,88
03-04-2019,34.6,17.7,0,19.6,60
04-04-2019,36.6,19.1,0,17.7,95
05-04-2019,35.1,20.3,0,28.8,89
06-04-2019,34.4,20.2,0.1,24.3,96
07-04-2019,32.1,18.1,0.3,14.5,98
08-04-2019,33.9,20.5,0.7,21.6,82
09-04-2019,33.8,21.4,0,22.7,86
10-04-2019,34.3,20.8,0,19.1,97
11-04-2019,35.2,19.8,0,20.9,99
12-04-2019,35.9,21.4,0,19.6,82
13-04-2019,35.9,21.3,0,15.5,89
14-04-2019,37.1,21.7,0,15.6,65
15-04-2019,38.3,22.6,0,18.7,40
16-04-2019,35.4,23.8,0,20.9,43
17-04-2019,29.5,22.4,0.8,20.9,62
18-04-2019,31.5,20.5,0.7,14.4,70
19-04-2019,32.2,20.9,0.1,15.6,76
20-04-2019,31.2,20.3,0,16.3,84
21-04-2019,31.7,20.4,1.2,19.1,75
22-04-2019,32.9,20.6,0.7,18.4,77
23-04-2019,33.3,21.1,0,19.9,78
24-04-2019,34.2,21.6,0,15,80
25-04-2019,36.5,21,0,13.1,99
26-04-2019,37.7,23.1,0,20.5,81
27-04-2019,38,24.2,0,20.6,57
28-04-2019,38.1,25,0,17.1,29
29-04-2019,39.4,24.4,0,21.3,52
30-04-2019,37.7,24.8,1.7,20.9,83
01-05-2019,36.4,23.9,0,21.3,61
02-05-2019,33.1,23.8,0,18.4,85
