date, pm25, pm10, o3, no2, so2, co
2025/4/1, 11, 88, 13, 11, 12, 5
2025/4/2, 4, 193, 26, 10, 12, 3
2025/4/3, 51, 101, 24, 10, 11, 4
2025/4/4, 112, 129, 22, 10, 14, 5
2025/4/5, 119, 87, 13, 11, 14, 4
2025/4/6, 69, 112, 12, 10, 16, 4
2025/4/7, 83, 87, 13, 10, 17, 4
2025/4/8, 81, 71, 12, 11, 15, 4
2025/4/9, 69, 71, 21, 11, 14, 5
2025/4/10, 65, 72, 20, 10, 14, 4
2025/4/11, 79, 68, 12, 10, 16, 4
2025/4/12, 68, 80, 19, 10, 14, 4
2025/4/13, 73, 65, 32, 11, 15, 4
2025/4/14, 73, 57, 15, 11, 18, 4
2025/4/15, 65, 89, 43, 10, 6, 6
2025/4/16, 74, 89, 13, 10, 11, 3
2025/4/17, 95, 79, 21, 10, 13, 4
2025/4/18, 122, 100, 21, 10, 18, 7
2025/4/19, 91, 107, 23, 11, 5, 10
2025/4/20, 96, 100, 20, 10, 6, 7
2025/4/21, 96, 87, 22, 11, 5, 3
2025/4/22, 83, 91, 16, 10, 8, 4
2025/4/23, 106, 122, 17, 11, 10, 3
2025/4/24, 125, 79, 21, 11, 14, 5
2025/4/25, 110, 88, 28, 10, 17, 4
2025/4/26, 119, 100, 37, 11, 15, 4
2025/4/27, 135, 116, 35, 10, 15, 3
2025/4/28, 158, , , , , 
2025/1/1, 124, 18, 14, 10, 4, 2
2025/1/2, 107, 25, 15, 10, 6, 2
2025/1/3, 125, 64, 17, 10, 5, 1
2025/1/4, 126, 91, 15, 10, 8, 1
2025/1/5, 128, 71, 11, 10, 3, 1
2025/1/6, 110, 77, 10, 10, 5, 1
2025/1/7, 95, 67, 9, 10, 4, 2
2025/1/8, 97, 87, 12, 10, 13, 3
2025/1/9, 107, 74, 10, 10, 13, 2
2025/1/10, 89, 90, 10, 11, 14, 4
2025/1/11, 128, 80, 10, 10, 14, 3
2025/1/12, 108, 71, 10, 10, 14, 3
2025/1/13, 90, 69, 13, 10, 14, 3
2025/1/14, 96, 74, 17, 10, 14, 3
2025/1/15, 107, 79, 10, 11, 15, 3
2025/1/16, 112, 85, 16, 10, 15, 3
2025/1/17, 111, 85, 18, 10, 14, 3
2025/1/18, 115, 106, 22, 10, 13, 2
2025/1/19, 144, 103, 50, 10, 8, 5
2025/1/20, 120, 107, 25, 10, 12, 4
2025/1/21, 131, 97, 16, 11, 13, 4
2025/1/22, 126, 72, 10, 11, 14, 4
2025/1/23, 93, 73, 8, 10, 14, 4
2025/1/24, 74, 66, 11, 11, 14, 4
2025/1/25, 72, 80, 18, 10, 13, 4
2025/1/26, 93, 82, 11, 11, 14, 5
2025/1/27, 93, 100, 37, 10, 11, 5
2025/1/28, 109, 127, 23, 11, 13, 5
2025/1/29, 143, 81, 16, 11, 15, 4
2025/1/30, 91, 107, 13, 11, 14, 4
2025/1/31, 126, 73, 7, 11, 13, 4
2025/2/1, 65, 91, 11, 11, 14, 4
2025/2/2, 95, 100, 14, 10, 13, 4
2025/2/3, 113, 82, 9, 11, 15, 4
2025/2/4, 98, 63, 7, 10, 5, 4
2025/2/5, 45, 76, 8, 10, 12, 3
2025/2/6, 84, 42, 9, 10, 13, 4
2025/2/7, 70, 3, 13, 11, 13, 4
2025/2/8, 81, 7, 14, 10, 13, 4
2025/2/9, 107, 4, 12, 10, 16, 5
2025/2/10, 124, 3, 17, 10, 15, 4
2025/2/11, 118, 38, 18, 10, 15, 4
2025/2/12, 99, 85, 8, 10, 13, 4
2025/2/13, 82, 133, 1, 10, 12, 3
2025/2/14, 141, 114, 6, 10, 12, 5
2025/2/15, 109, 103, 14, 10, 12, 4
2025/2/16, 97, 76, 15, 10, 16, 5
2025/2/17, 85, 87, 11, 10, 17, 5
2025/2/18, 91, 83, 10, 10, 16, 4
