date, pm25, pm10, o3, no2, so2, co
2025/4/1, 94, 162, 1, 19, 5, 11
2025/4/2, 198, 130, , 23, 9, 16
2025/4/3, 171, 77, , 15, 6, 12
2025/4/4, 130, 79, , 16, 8, 14
2025/4/5, 126, 63, , 14, 9, 12
2025/4/6, 103, 64, , 16, 9, 11
2025/4/7, 94, 76, 1, 19, 5, 13
2025/4/8, 117, 58, , 19, 4, 12
2025/4/9, 94, 61, , 17, 2, 10
2025/4/10, 93, 64, , 12, 3, 10
2025/4/11, 111, 49, , 7, 3, 9
2025/4/13, 56, 53, , 8, 3, 9
2025/4/16, 98, 63, , 6, 3, 5
2025/4/17, 99, 67, , 6, 4, 6
2025/4/18, 105, 84, , 11, 4, 4
2025/4/19, 128, 79, , 7, 3, 3
2025/4/20, 113, 75, , 9, 3, 3
2025/4/21, 117, 78, , 16, 4, 3
2025/4/22, 116, 74, 1, 21, 4, 5
2025/4/23, 107, 80, , 15, 6, 4
2025/4/24, 126, 64, 1, 11, 4, 3
2025/4/25, 103, 69, 1, 7, 5, 
2025/4/26, 103, 74, 4, 7, 4, 3
2025/4/27, 122, 75, 2, 6, 4, 3
2025/4/28, 140, , , , , 
2025/1/1, 91, 81, 14, 19, 10, 2
2025/1/2, 97, 99, 16, 25, 11, 6
2025/1/3, 92, 98, 17, 37, 13, 7
2025/1/4, 94, 93, 13, 35, 9, 6
2025/1/5, 93, 73, 14, 25, 7, 4
2025/1/6, 93, 74, 12, 19, 7, 2
2025/1/7, 97, 71, 12, 22, 10, 2
2025/1/8, 93, 76, 12, 20, 12, 2
2025/1/9, 93, 66, 12, 17, 13, 2
2025/1/10, 90, 97, 12, 36, 16, 5
2025/1/11, 92, 76, 12, 25, 15, 3
2025/1/12, 96, 65, 12, 18, 12, 3
2025/1/13, 93, 56, 12, 13, 11, 3
2025/1/14, 91, 61, 12, 15, 11, 3
2025/1/15, 97, 71, 12, 20, 11, 3
2025/1/16, 96, 68, 12, 13, 9, 3
2025/1/17, 96, 71, 12, 15, 9, 4
2025/1/18, 96, 82, 12, 21, 13, 5
2025/1/19, 94, 110, 12, 28, 17, 7
2025/1/20, 95, 106, 12, 29, 20, 7
2025/1/21, 97, 95, 12, 33, 23, 6
2025/1/22, 90, 86, 12, 27, 23, 4
2025/1/23, 95, 71, 12, 17, 15, 2
2025/1/24, 94, 72, 12, 167, 7, 3
2025/1/25, 92, 72, 12, 153, 9, 4
2025/1/26, 95, 80, 12, 155, 11, 4
2025/1/27, 94, 84, 12, 173, 13, 5
2025/1/28, 95, 134, 12, 112, 19, 8
2025/1/29, 95, 92, 12, 51, 23, 7
2025/1/30, 91, 112, 12, 13, 12, 5
2025/1/31, 91, 76, 12, 11, 7, 4
2025/2/1, 93, 91, 12, 35, 6, 5
2025/2/2, 96, 123, 12, 3, 3, 6
2025/2/3, 97, 80, 12, 1, , 4
