date, pm25, pm10, o3, no2, so2, co
2025/4/1, 127, 76, 24, 10, 4, 4
2025/4/2, 152, 87, 15, 9, , 7
2025/4/3, 163, 65, 11, 4, , 8
2025/4/4, 135, 75, 16, 4, , 8
2025/4/5, 154, 59, 13, 4, , 6
2025/4/6, 123, 67, 7, 6, , 8
2025/4/7, 136, 73, 13, 7, , 5
2025/4/8, 146, 59, 17, 5, , 2
2025/4/9, 125, 63, 22, 4, , 1
2025/4/10, 137, 56, 13, 4, , 1
2025/4/11, 119, 59, 10, 4, , 2
2025/4/12, 129, , , , , 
2025/4/15, 124, 66, 12, 6, , 4
2025/4/16, 133, 53, 13, 4, , 5
2025/4/17, 113, 57, 12, 4, , 5
2025/4/18, 126, 66, 14, 5, , 7
2025/4/19, 146, 74, 13, 3, , 8
2025/4/20, 155, 77, 13, 6, , 8
2025/4/21, 160, 70, 16, 6, , 2
2025/4/22, 151, 79, 17, 9, 1, 4
2025/4/23, 157, 72, 14, 8, 1, 4
2025/4/24, 144, 75, 17, 4, 1, 3
2025/4/25, 141, 78, 18, 4, 1, 5
2025/4/26, 149, 81, 17, 6, 1, 5
2025/4/27, 151, 91, 18, 5, 1, 5
2025/4/28, 155, , , , , 
2025/1/1, 151, 80, 12, 5, , 6
2025/1/2, 130, 100, 16, 6, , 7
2025/1/3, 156, 94, 16, 5, , 6
2025/1/4, 147, 68, 14, 3, , 4
2025/1/5, 110, 68, 20, 4, 2, 4
2025/1/6, 111, 76, 16, 3, , 3
2025/1/7, 128, 85, 17, 3, , 4
2025/1/8, 140, 77, 14, 4, , 4
2025/1/9, 132, 68, 11, 3, , 3
2025/1/10, 115, 80, 8, 3, , 6
2025/1/11, 132, 72, 12, 2, , 3
2025/1/12, 121, 58, 5, 2, , 2
2025/1/13, 93, , , , , 
2025/1/16, 102, 72, 11, 1, , 3
2025/1/17, 118, 89, 14, 1, , 6
2025/1/18, 134, 94, 20, 2, , 7
2025/1/19, 151, 113, 19, 2, , 7
2025/1/20, 164, 98, 17, 2, , 6
2025/1/21, 147, 86, 13, 1, , 6
2025/1/22, 141, 68, 14, 1, , 3
2025/1/23, 106, 74, 14, 1, , 3
2025/1/24, 118, 65, 16, 1, , 2
2025/1/25, 104, 78, 17, 1, , 4
2025/1/26, 130, 85, 16, 2, , 4
2025/1/27, 140, 87, 16, 2, , 4
2025/1/28, 140, 105, 20, 3, , 7
2025/1/29, 148, 54, 14, 2, , 2
2025/1/30, 88, 68, 15, 2, , 2
2025/1/31, 115, 70, 11, 2, , 1
2025/2/1, 122, 75, 14, 3, , 2
2025/2/2, 126, 63, 18, 3, , 4
2025/2/3, 121, 55, 15, 3, , 2
2025/2/4, 105, 55, 13, 3, , 2
2025/2/5, 106, 59, 16, 3, , 2
2025/2/6, 111, 48, 17, 3, , 3
2025/2/7, 88, 53, 16, 4, , 5
2025/2/8, 99, 63, 18, 4, , 7
2025/2/9, 123, 58, 17, 4, , 6
2025/2/10, 111, 52, 11, 3, , 6
2025/2/11, 102, 59, 13, 3, 10, 5
2025/2/12, 105, 61, 16, 5, , 4
2025/2/13, 119, 72, 2, 7, 1, 7
2025/2/14, 148, , 9, 7, , 5
2025/2/17, 96, 80, 14, 3, , 5
2025/2/18, 148, 73, 15, 4, , 2
2025/2/19, 140, 72, 4, 5, , 3
2025/2/20, 144, 103, 15, 5, , 4
2025/2/21, 168, 121, , 7, , 6
2025/2/22, 180, , , , , 
2025/2/24, 118, 60, 17, 9, , 2
2025/2/25, 113, 65, 22, 9, , 4
2025/2/26, 120, 69, 26, 10, , 7
2025/2/27, 131, 52, 11, 7, , 5
2025/2/28, 101, 51, 11, 6, , 4
2025/3/1, 98, 49, 3, 5, , 3
2025/3/2, 93, 50, 13, 6, , 3
2025/3/3, 94, 59, 15, 5, , 2
2025/3/4, 112, 61, 16, 6, , 2
2025/3/5, 114, 62, 19, 10, , 6
2025/3/6, 120, 87, 17, 9, , 6
2025/3/7, 158, 89, 16, 10, , 8
2025/3/8, 165, 101, 29, 12, , 9
2025/3/9, 179, 103, 25, 13, , 8
2025/3/10, 177, 90, 29, 11, , 7
2025/3/11, 168, 76, 18, 9, , 4
2025/3/12, 149, 66, 16, 7, 1, 2
2025/3/13, 143, 47, 16, 5, 1, 1
2025/3/14, 101, 51, 15, 5, , 1
2025/3/15, 108, 51, 16, 5, , 2
2025/3/16, 111, 62, 20, 6, , 3
2025/3/17, 132, 61, 22, 8, , 3
2025/3/18, 126, 55, 20, 6, , 3
2025/3/19, 114, 45, 12, 4, , 3
2025/3/20, 93, 49, 18, 5, , 4
2025/3/21, 101, 72, 29, 9, , 5
2025/3/22, 146, 79, 28, 10, , 6
2025/3/23, 152, 89, 39, 12, , 6
2025/3/24, 165, 83, 28, 10, , 3
2025/3/25, 158, 68, 16, 7, , 2
2025/3/26, 138, 60, 13, 5, , 
2025/3/27, 122, 66, 18, 5, , 
2025/3/28, 140, , , , , 
2024/10/8, 156, 100, 15, 5, 2, 12
2024/10/9, 161, , 16, 5, , 8
2024/10/14, 94, 59, 11, 3, , 9
2024/10/15, 96, 78, 10, 4, , 7
2024/10/16, 132, 102, 15, 4, , 5
2024/10/17, 160, 111, 19, 4, , 6
2024/10/18, 167, 77, 16, 5, , 6
2024/10/19, 125, 56, 14, 4, , 5
2024/10/20, 96, 57, 15, 3, , 3
2024/10/21, 98, 73, 19, 3, , 4
2024/10/22, 119, 101, 17, 4, , 5
2024/10/23, 157, 109, 17, 5, , 7
2024/10/24, 166, 136, 13, 6, , 7
2024/10/25, 182, 107, 15, 5, , 10
2024/10/26, 163, 78, 14, 4, , 8
2024/10/27, 135, 85, 10, 3, , 6
2024/10/28, 148, 84, 10, 4, , 7
2024/10/29, 152, 79, 13, 4, , 7
2024/10/30, 147, 85, 11, 4, , 7
2024/10/31, 146, 134, 12, 3, , 8
2024/11/1, 172, 84, 12, 3, , 7
2024/11/2, 148, 74, 9, 3, , 7
2024/11/3, 137, 76, 13, 3, , 8
2024/11/4, 144, 94, 13, 3, , 9
2024/11/5, 159, 99, 16, 5, , 9
2024/11/6, 162, 103, 22, 5, 1, 5
2024/11/7, 165, 96, 17, 5, 1, 6
2024/11/8, 160, 87, 13, 4, 1, 5
2024/11/9, 152, 92, 14, 4, 1, 5
2024/11/10, 159, 91, 16, 4, 1, 7
2024/11/11, 157, 98, 15, 4, 1, 7
2024/11/12, 162, 115, 15, 4, 1, 7
2024/11/13, 172, 120, 14, 5, 1, 9
2024/11/14, 174, 107, 22, 5, 3, 9
2024/11/15, 166, 128, 14, 5, 1, 6
2024/11/16, 181, 101, 12, 4, 2, 7
2024/11/17, 162, 106, 14, 3, 1, 6
2024/11/18, 167, 107, 15, 3, 2, 6
2024/11/19, 167, 104, 18, 4, 1, 5
