date, pm25, pm10, o3, no2, so2, co
2025/4/1, 105, , , , , 
2025/4/7, 144, 82, 17, 16, 4, 2
2025/4/8, 151, 73, 31, 22, 11, 2
2025/4/9, 140, 53, 17, 10, 5, 
2025/4/10, 95, 33, 13, 9, 9, 
2025/4/11, 66, 29, 23, 9, 4, 
2025/4/12, 62, 25, 25, 16, 6, 
2025/4/13, 57, 27, 27, 8, 3, 
2025/4/14, 59, 21, 14, 7, 2, 2
2025/4/15, 49, 91, 28, 18, 4, 1
2025/4/16, 161, 65, 28, 8, 2, 
2025/4/17, 126, 71, 13, 16, 3, 1
2025/4/18, 144, 86, 28, 8, 5, 2
2025/4/19, 155, 93, 14, 8, 10, 1
2025/4/20, 164, 87, 20, 15, 10, 1
2025/4/21, 160, 92, 13, 17, 4, 2
2025/4/22, 163, 82, 29, 21, 13, 2
2025/4/23, 151, 88, 12, 19, 16, 4
2025/4/24, 160, 74, 25, 15, 16, 2
2025/4/25, 148, 79, 25, 15, 9, 2
2025/4/26, 153, 79, 27, 8, 5, 
2025/4/27, 154, 75, 26, 16, 6, 
2025/4/28, 150, , , , , 
2025/1/1, 117, 69, 13, 3, , 
2025/1/2, 117, 83, 40, 4, 2, 25
2025/1/3, 141, 85, 26, 3, , 6
2025/1/4, 149, 79, 20, 3, 1, 1
2025/1/5, 138, 79, 18, 3, , 4
2025/1/6, 133, 70, 18, 11, 4, 4
2025/1/7, 119, 71, 17, 10, 2, 4
2025/1/8, 123, 69, 16, 9, 2, 2
2025/1/9, 122, 66, 29, 17, 5, 4
2025/1/10, 109, 93, 19, 18, 12, 5
2025/1/11, 156, 70, 30, 17, 14, 
2025/1/12, 120, 61, 15, 9, 2, 2
2025/1/13, 102, 55, 27, 9, 2, 
2025/1/14, 88, 64, 14, 9, 5, 
2025/1/15, 108, 66, 14, 9, 3, 
2025/1/16, 113, 66, 54, 17, 10, 
2025/1/17, 109, 72, 9, 17, 3, 
2025/1/18, 122, 91, 7, 9, 9, 
2025/1/19, 151, 101, 18, 9, 6, 
2025/1/20, 161, 83, 2, 17, 6, 
2025/1/21, 145, 78, 84, , 1, 
2025/1/22, 139, 71, 17, , 1, 
2025/1/23, 124, 67, 11, , 4, 
2025/1/24, 110, 59, 12, , 10, 
2025/1/25, 98, 67, 13, , 8, 
2025/1/26, 115, 67, 13, , 6, 
2025/1/27, 119, 76, 14, , 5, 
2025/1/28, 129, 106, 18, , 6, 
2025/1/29, 165, 63, 24, , 2, 
2025/1/30, 109, 76, 26, , 9, 
2025/1/31, 139, 71, 21, , 3, 
2025/2/1, 138, 80, 21, , 4, 
2025/2/2, 149, 81, 15, , 8, 
2025/2/3, 148, 83, 13, , 3, 
2025/2/4, 144, 68, 13, , 2, 
2025/2/5, 117, 69, 25, , 18, 
2025/2/6, 116, 55, 12, , 17, 
2025/2/7, 89, , , , , 
2025/2/10, 143, 74, 9, , 3, 
2025/2/11, 132, 72, 10, , 1, 
2025/2/12, 133, 76, 27, , 1, 
2025/2/13, 136, 94, 4, , 6, 
2025/2/14, 161, 78, 14, , 9, 
2025/2/15, 145, 71, 8, , 4, 
2025/2/16, 132, 44, 18, , 9, 
2025/2/17, 86, 37, 22, 10, 7, 2
2025/2/18, 71, 64, 21, 4, 3, 1
2025/2/19, 114, 67, 9, 5, 5, 2
2025/2/20, 126, 86, 13, 11, 14, 1
2025/2/21, 152, 92, 30, 13, 9, 1
2025/2/22, 158, 85, 31, 12, 11, 
2025/2/23, 151, 77, 26, 12, 9, 4
2025/2/24, 134, 65, 14, 11, 7, 3
2025/2/25, 114, 72, 32, 11, 11, 4
2025/2/26, 127, 87, 34, 11, 15, 3
2025/2/27, 150, 75, 18, 5, 5, 1
2025/2/28, 129, 75, 9, 4, 12, 
2025/3/1, 138, 75, 12, 4, 2, 
2025/3/2, 139, 76, 21, 4, 3, 2
2025/3/3, 142, 86, 25, 5, 3, 2
2025/3/4, 147, 85, 14, 3, 8, 2
2025/3/5, 146, 76, 18, 4, 3, 3
2025/3/6, 138, 81, 16, 5, 2, 3
2025/3/7, 152, 76, 28, 9, 17, 2
2025/3/8, 148, 87, 42, 10, 17, 3
2025/3/9, 159, 88, 38, 6, 3, 2
2025/3/10, 152, 83, 43, 11, 12, 
2025/3/11, 154, 83, 32, 6, 4, 1
2025/3/12, 147, 69, 27, 3, 6, 
2025/3/13, 136, 54, 24, 5, 14, 2
2025/3/14, 103, 52, 25, 5, 11, 2
2025/3/15, 97, 57, 14, 2, 9, 1
2025/3/16, 107, 57, 16, 2, 3, 1
2025/3/17, 105, 65, 32, 6, 9, 1
2025/3/18, 117, 72, 17, 6, 9, 1
2025/3/19, 133, 53, 11, 4, 6, 3
2025/3/20, 96, 55, 15, 6, 3, 4
2025/3/21, 100, 72, 24, 13, 6, 2
2025/3/22, 135, 81, 21, 28, 6, 2
2025/3/23, 143, 90, 29, 31, 18, 2
2025/3/24, 157, 87, 49, 16, 6, 2
2025/3/25, 155, 70, 14, 21, 17, 2
2025/3/26, 131, 66, 23, 19, 12, 1
2025/3/27, 131, 73, 20, 9, 11, 2
2025/3/28, 135, 75, 18, 21, 17, 3
2025/3/29, 134, 73, 42, 22, 23, 1
2025/3/30, 131, 67, 19, 21, 6, 
2025/3/31, 119, 61, 38, 20, 9, 1
2024/10/1, 98, 60, 8, 5, 1, 3
2024/10/2, 102, 56, 19, 6, , 4
2024/10/3, 95, 46, 10, 11, 5, 6
2024/10/4, 73, 49, 22, 9, 1, 6
2024/10/5, 78, 59, 34, 4, 1, 4
2024/10/6, 95, 67, 20, 8, 1, 10
2024/10/7, 100, 75, 21, 4, , 8
2024/10/8, 112, 79, 35, 8, 1, 11
2024/10/9, 116, 82, 10, 9, 1, 8
2024/10/10, 131, 60, 24, 9, 1, 3
2024/10/11, 88, 53, 9, 10, 1, 2
2024/10/12, 75, 46, 12, 5, , 1
2024/10/13, 63, 52, 8, 9, , 2
2024/10/14, 80, 49, 10, 5, , 2
2024/10/15, 65, 65, 29, 5, , 5
2024/10/16, 86, 81, 35, 10, , 8
2024/10/17, 117, 77, 16, 10, 1, 7
2024/10/18, 109, 219, 11, 5, 1, 6
2024/10/19, 247, 58, 28, 10, , 1
2024/10/20, 93, 59, 20, 6, , 3
2024/10/21, 94, 63, 36, 11, 1, 4
2024/10/22, 87, 76, 37, 11, 1, 10
2024/10/23, 114, 82, 31, 11, , 10
