date, pm25, pm10, o3, no2, so2, co
2025/5/1, 123, 51, 7, 14, 3, 7
2025/5/2, 85, 60, 3, 21, 4, 10
2025/5/3, 112, , , , , 
2025/4/1, 108, 81, 37, 17, 9, 8
2025/4/2, 125, 71, 35, 19, 6, 9
2025/4/3, 109, 69, 36, 14, 7, 7
2025/4/4, 116, 55, 47, 7, 7, 7
2025/4/5, 94, 48, 39, 12, 2, 8
2025/4/6, 84, 82, 46, 32, 3, 14
2025/4/7, 145, 92, 49, 40, 3, 11
2025/4/8, 156, 81, 46, 30, 6, 8
2025/4/9, 152, 82, 47, 17, 9, 8
2025/4/10, 144, 57, 37, 10, 6, 9
2025/4/11, 95, 43, 26, 14, 5, 7
2025/4/12, 74, 46, 36, 17, 4, 8
2025/4/13, 82, 67, 41, 18, 7, 7
2025/4/14, 115, 69, 41, 18, 6, 7
2025/4/15, 116, 74, 41, 20, 10, 10
2025/4/16, 132, 68, 43, 14, 6, 9
2025/4/17, 90, 68, 41, 15, 6, 8
2025/4/18, 115, 60, 35, 10, 6, 7
2025/4/19, 96, 65, 36, 8, 5, 6
2025/4/20, 100, 72, 39, 14, 6, 8
2025/4/21, 121, 84, 46, 17, 7, 9
2025/4/22, 138, 84, 45, 16, 10, 8
2025/4/23, 133, 70, 43, 23, 8, 11
2025/4/24, 125, 59, 44, 19, 7, 8
2025/4/25, 90, 58, 43, 19, 6, 8
2025/4/26, 97, 67, 42, 22, 9, 9
2025/4/27, 111, 97, 31, 25, 11, 9
2025/4/28, 152, 90, 15, 19, 3, 8
2025/4/29, 127, 80, 11, 20, 3, 8
2025/4/30, 130, 76, 11, 15, 4, 8
2025/1/1, 184, 110, 6, 10, 8, 11
2025/1/2, 178, 164, 5, 16, 8, 17
2025/1/3, 229, 153, 8, 16, 6, 20
2025/1/4, 232, 119, 16, 16, 6, 12
2025/1/5, 189, 131, 18, 14, 7, 11
2025/1/6, 215, 121, 9, 8, 7, 11
2025/1/7, 196, 122, 22, 13, 7, 13
