date, pm25, pm10, o3, no2, so2, co
2025/5/1, 51, 29, 8, 3, , 4
2025/5/2, 48, 20, 5, 3, , 2
2025/5/3, 37, , , , , 
2025/4/1, 83, 43, 9, 4, , 3
2025/4/2, 68, 29, 6, 5, , 4
2025/4/3, 50, 36, 8, 4, 1, 6
2025/4/4, 58, 31, 5, 4, , 4
2025/4/5, 51, 30, 7, 4, 1, 6
2025/4/6, 48, 22, 9, 3, , 3
2025/4/7, 38, 42, 3, 6, , 5
2025/4/8, 63, 41, 5, 5, , 4
2025/4/9, 63, 48, 18, 5, 1, 6
2025/4/10, 73, 42, 21, 5, 1, 6
2025/4/11, 64, 57, 26, 6, 1, 5
2025/4/12, 83, , , , , 
2025/4/14, 65, 42, 10, 3, 1, 6
2025/4/15, 65, 40, 10, 9, 1, 6
2025/4/16, 62, 38, 10, 4, 1, 5
2025/4/17, 59, 39, 9, 5, , 4
2025/4/18, 61, 45, 12, 4, 1, 7
2025/4/19, 68, 37, 11, 4, 1, 7
2025/4/20, 59, 40, 9, 3, 1, 5
2025/4/21, 63, 40, 8, 3, , 4
2025/4/22, 62, 31, 12, 4, 1, 6
2025/4/23, 52, 36, 12, 3, 1, 5
2025/4/24, 57, 40, 9, 3, 1, 5
2025/4/25, 63, 37, 8, 4, 1, 5
2025/4/26, 60, 22, 7, 3, 1, 5
2025/4/27, 40, 20, 6, 3, , 3
2025/4/28, 35, 23, 7, 3, 1, 5
2025/4/29, 41, 29, 11, 5, 1, 5
2025/4/30, 46, 32, 12, 3, 2, 9
2025/1/1, 60, 68, 18, 4, 1, 6
2025/1/2, 53, 77, 17, 6, 1, 5
2025/1/3, 71, 74, 17, 6, 12, 5
2025/1/4, 63, 84, 20, 5, 4, 6
2025/1/5, 64, 87, 15, 6, 3, 6
2025/1/6, 65, 80, 13, 5, 3, 5
2025/1/7, 49, 86, 15, 6, 4, 5
2025/1/8, 56, 80, 21, 6, 2, 5
2025/1/9, 52, 80, 14, 3, 1, 6
2025/1/10, 59, 58, 15, 5, 2, 5
2025/1/11, 43, 55, 10, 4, 2, 5
2025/1/12, 37, 54, 12, 4, 1, 6
2025/1/13, 34, 29, 8, 3, 1, 4
2025/1/14, 24, 34, 10, 3, 1, 4
2025/1/15, 35, 67, 19, 5, 1, 5
2025/1/16, 59, 84, 26, 5, 1, 5
2025/1/17, 60, 69, 21, 4, 1, 5
2025/1/18, 43, 44, 14, 4, 3, 5
2025/1/19, 30, 62, 17, 4, 3, 5
2025/1/20, 71, 69, 21, 4, 3, 6
2025/1/21, 71, 72, 14, 5, 2, 6
2025/1/22, 72, 61, 10, 4, 1, 5
2025/1/23, 61, 57, 11, 4, 2, 4
2025/1/24, 53, 61, 8, 4, 3, 4
2025/1/25, 60, 59, 8, 5, 2, 4
2025/1/26, 56, 66, 14, 4, 2, 5
2025/1/27, 66, 87, 17, 6, 1, 6
2025/1/28, 88, 93, 12, 6, 1, 6
2025/1/29, 94, 77, 9, 5, 4, 5
2025/1/30, 76, 53, 8, 3, 1, 5
2025/1/31, 53, 41, 10, 2, 1, 5
2025/2/1, 44, 46, 11, 3, 1, 4
2025/2/2, 45, 49, 9, 3, 2, 4
2025/2/3, 47, 65, 9, 6, 4, 6
2025/2/4, 65, 73, 13, 7, 1, 6
2025/2/5, 76, 74, 11, 4, 1, 5
2025/2/6, 77, 81, 12, 5, 1, 6
2025/2/7, 86, 76, 9, 5, 1, 6
2025/2/8, 80, 72, 11, 5, 1, 6
2025/2/9, 79, 81, 20, 5, 1, 5
2025/2/10, 82, 65, 17, 5, 1, 5
2025/2/11, 68, 66, 15, 7, 2, 6
2025/2/12, 70, 56, 20, 7, 2, 5
2025/2/13, 60, 30, 6, 13, 1, 5
2025/2/14, 43, 45, 6, 5, 1, 5
2025/2/15, 52, 49, 14, 5, 1, 5
2025/2/16, 57, 62, 14, 5, 1, 5
2025/2/17, 68, 66, 10, 6, 1, 6
2025/2/18, 69, 63, 8, 6, 2, 5
2025/2/19, 60, , , , , 
