date, pm25, pm10, o3, no2, so2, co
2025/5/1, 52, 58, 6, 1, 1, 4
2025/5/2, 62, 33, 6, , 1, 4
2025/5/3, 37, , , , , 
2025/4/1, 123, 62, 6, 1, 1, 5
2025/4/2, 85, 39, 7, 2, 1, 5
2025/4/3, 59, 52, 14, 2, 2, 6
2025/4/4, 72, 50, 7, 1, 1, 5
2025/4/5, 61, 51, 6, 1, 1, 5
2025/4/6, 61, 49, 6, 1, 2, 5
2025/4/7, 51, 42, 6, 1, 1, 5
2025/4/8, 47, 49, 6, 1, 1, 5
2025/4/9, 66, 79, 6, 2, 1, 5
2025/4/10, 85, 87, 4, 2, 2, 6
2025/4/11, 109, 79, 4, 2, 1, 6
2025/4/12, 110, 86, 5, 1, 2, 6
2025/4/13, 134, 57, 5, 1, 1, 5
2025/4/14, 81, 61, 6, 1, 2, 5
2025/4/15, 72, 46, 5, 2, 1, 5
2025/4/16, 81, 51, 6, 1, 1, 5
2025/4/17, 68, 58, 6, 1, 2, 5
2025/4/18, 74, 83, 5, 1, 2, 5
2025/4/19, 105, 81, 5, , 1, 5
2025/4/20, 124, 70, 6, 1, 1, 5
2025/4/21, 123, 55, 6, 1, 1, 5
2025/4/22, 71, 57, 9, 1, 1, 5
2025/4/23, 64, 64, 10, 1, 1, 5
2025/4/24, 68, 70, 7, 1, 1, 5
2025/4/25, 64, 66, 6, 1, 1, 5
2025/4/26, 62, 50, 6, 1, 2, 5
2025/4/27, 51, 41, 6, , 1, 4
2025/4/28, 31, 53, 6, 1, 2, 5
2025/4/29, 39, 59, 6, 1, 1, 5
2025/4/30, 49, 59, 6, 1, 2, 5
2025/1/1, 164, 74, 5, 1, 2, 6
2025/1/2, 152, 78, 4, 2, 2, 6
2025/1/3, 158, 83, 5, 3, 1, 7
2025/1/4, 162, 82, 5, 2, 2, 7
2025/1/5, 154, 88, 5, 2, 2, 7
2025/1/6, 165, 83, 5, 2, 1, 6
2025/1/7, 158, 79, 5, 2, 2, 6
2025/1/8, 150, 85, 5, 2, 2, 6
2025/1/9, 156, 92, 5, 3, 2, 7
2025/1/10, 166, 62, 5, 2, 1, 6
2025/1/11, 107, 65, 5, 2, 2, 6
2025/1/12, 122, 55, 5, 2, 2, 7
2025/1/13, 111, 35, 6, 1, 1, 5
2025/1/14, 68, 34, 5, , 1, 5
2025/1/15, 58, 70, 4, , 1, 6
2025/1/16, 148, 82, 8, , 2, 6
2025/1/17, 163, 74, 4, 1, 2, 6
2025/1/18, 152, 44, 5, 1, 1, 6
2025/1/19, 101, 76, 6, 2, 2, 6
2025/1/20, 147, 85, 5, 2, 2, 7
2025/1/21, 157, 88, 6, 2, 2, 7
2025/1/22, 154, 69, 6, 2, 2, 7
2025/1/23, 114, 58, 6, 2, 1, 5
2025/1/24, 94, 67, 6, 2, 2, 6
2025/1/25, 107, 59, 6, 1, 2, 5
2025/1/26, 102, 69, 6, 2, 2, 6
2025/1/27, 133, 87, 6, 2, 1, 6
2025/1/28, 161, 98, 6, 2, 2, 7
