date, pm25, pm10, o3, no2, so2, co
2025/5/2, 66, 57, , 9, , 7
2025/5/3, 64, , , , , 
2025/4/7, 154, 80, 10, 22, 1, 6
2025/4/8, 141, 67, 6, 15, , 4
2025/4/9, 120, 48, 3, 8, 1, 2
2025/4/10, 89, 44, 1, 8, , 3
2025/4/11, 73, 48, 2, 8, , 4
2025/4/12, 80, 54, 2, 9, , 6
2025/4/13, 82, 69, 5, 12, , 8
2025/4/14, 105, 72, 2, 14, , 7
2025/4/15, 102, 48, 2, 9, , 3
2025/4/16, 73, 47, 3, 8, , 2
2025/4/17, 69, 40, 3, 8, , 3
2025/4/18, 60, 40, 3, 8, , 6
2025/4/19, 57, 65, 5, 11, , 8
2025/4/20, 73, 64, 4, 11, , 8
2025/4/21, 63, 84, 4, 16, , 10
2025/4/22, 53, 80, 6, 13, , 9
2025/4/23, 97, 66, 4, 12, 1, 8
2025/4/24, 83, 60, 3, 11, 1, 11
2025/4/25, 68, 50, 3, 9, , 11
2025/4/26, 69, 65, 4, 10, , 11
2025/4/27, 86, 57, 3, 7, , 10
2025/4/28, 71, , , 9, , 
2025/4/30, 90, , , , , 
2023/10/1, 122, 68, 4, 1, 2, 7
2023/10/2, 124, 77, 5, 1, 2, 7
2023/10/3, 144, 76, 2, 1, 2, 7
2023/10/4, 143, 78, 2, 1, , 7
2023/10/5, 148, 80, 6, 3, 1, 9
2023/10/6, 149, 77, 5, 3, 1, 9
2023/10/7, 146, 75, 3, 2, , 7
2023/10/8, 142, , , , , 
2023/10/11, 127, 81, 6, 4, 2, 9
2023/10/12, 148, 102, 6, , 2, 9
2023/10/13, 164, 104, 6, , 1, 9
2023/10/14, 165, 82, 6, , 1, 9
2023/10/15, 155, 103, 6, , , 9
2023/10/17, 161, 104, 7, , 1, 8
2023/10/18, 140, 95, 7, , , 9
2023/10/19, 161, 102, 6, 9, 2, 9
2023/10/20, 163, 90, 3, 13, 3, 7
2023/10/21, 149, 121, 6, 24, 7, 9
2023/10/22, 169, 118, 4, 12, 3, 7
2023/10/23, 167, 125, 3, 12, 3, 7
2023/10/24, 170, 115, 6, 12, 7, 8
2023/10/25, 186, 123, 6, 24, 9, 9
2023/10/27, 160, 121, 6, 22, 6, 9
2023/10/28, 171, 107, 3, 21, 6, 8
2023/10/29, 171, 117, 3, 11, 2, 9
2023/10/30, 167, 120, 7, 22, 10, 9
2023/10/31, 168, 122, 3, 11, 5, 8
2023/11/1, 169, 105, 5, 17, 7, 8
2023/11/2, 153, 102, 6, 21, 5, 7
2023/11/3, 169, 102, 2, 21, 5, 8
2023/11/4, 170, , , , , 
2023/11/6, 171, 103, 2, , 10, 8
2023/11/7, 170, 81, 3, 21, 3, 8
2023/11/8, 134, 88, 3, 11, 1, 8
2023/11/9, 160, 71, 4, 20, 2, 8
2023/11/10, 143, 76, 6, 13, 7, 9
2023/11/11, 154, , , , , 
2023/11/19, 144, 82, 3, 12, 6, 7
2023/11/20, 133, , , , , 
2023/11/22, 165, 72, 6, 11, 7, 9
2023/11/23, 103, 116, 4, 11, 2, 8
2023/11/24, 177, 86, 5, 11, 5, 
2023/11/25, 120, 98, 3, 20, 9, 
2023/11/26, 122, 66, 6, 21, 3, 
2023/11/27, 132, 78, 19, 10, 2, 9
2023/11/28, 137, 102, 16, 9, 3, 3
2023/11/29, 133, 81, 24, 16, 12, 9
2023/11/30, 115, 92, 6, 54, 8, 6
2023/12/1, 144, , , , , 
2023/12/6, 152, 102, , 7, 11, 8
2023/12/7, 131, 112, 13, 9, 4, 7
2023/12/8, 168, , , , , 
2023/12/11, 166, 117, 18, , 10, 8
2023/12/12, 151, , , , , 
2023/12/14, 151, 119, 2, 7, , 8
2023/12/15, 165, 119, 17, 7, 2, 6
2023/12/16, 151, 120, 40, , 7, 4
2023/12/17, 165, 113, 59, , 7, 2
2023/12/18, 168, 116, 6, , 2, 4
2023/12/19, 170, 115, 54, , 2, 2
2023/12/20, 145, 101, 10, , 1, 6
2023/12/21, 163, 108, 15, , 8, 8
2023/12/22, 170, 105, 10, 7, 4, 2
2023/12/23, 172, 98, 15, 15, 7, 2
2023/12/24, 175, 87, 16, 14, 7, 1
2023/12/25, 172, 122, 11, 14, 7, 14
2023/12/26, 173, 126, 6, 12, 6, 13
2023/12/27, 183, 131, 8, 14, 3, 11
2023/12/28, 179, 131, 34, 12, 3, 12
2023/12/29, 193, , , , , 
2023/7/1, 158, 67, 7, 20, , 6
2023/7/2, 158, 68, 10, 17, , 7
2023/7/3, 158, 67, 8, 28, , 8
2023/7/4, 158, 67, 11, 32, 1, 7
2023/7/5, 137, 67, 20, 22, , 5
2023/7/6, 119, 68, 19, 13, , 4
2023/7/7, 119, 67, 15, 13, , 4
2023/7/8, 118, 67, 16, 11, , 4
2023/7/9, 119, 66, 13, 11, 27, 8
2023/7/10, 118, 70, 11, 12, , 33
2023/7/11, 115, , , , , 
2023/8/1, 31, 56, 13, 17, 36, 5
2023/8/2, 37, 53, 15, 17, 21, 5
2023/8/3, 53, 28, 13, 15, 2, 5
2023/8/4, 35, 48, 11, 16, 2, 3
2023/8/5, 59, 30, 15, 12, 3, 2
2023/8/6, 38, 28, 15, 11, 2, 3
2023/8/7, 35, 28, 14, 11, , 3
2023/8/8, 32, 30, 13, 12, , 3
2023/8/9, 33, 25, 10, 16, 1, 5
2023/8/10, 28, , , , , 
2023/8/15, 28, , , , , 
2023/8/17, 21, , , , , 
2023/8/20, 14, , 10, 6, 3, 9
2023/8/25, 144, 92, 2, 4, , 7
2023/8/26, 108, 71, 9, 5, , 8
2023/8/27, 85, 97, 12, 12, 2, 9
2023/8/28, 116, 129, 14, 10, 2, 9
2023/8/29, 149, 152, 3, 8, , 7
2023/8/30, 162, 112, 21, 21, 1, 7
2023/8/31, 171, 109, 5, 11, , 7
2023/9/1, 169, 103, 14, 18, 3, 8
2023/9/2, 162, 124, 3, 10, 7, 7
2023/9/3, 173, 124, 3, 20, 15, 8
2023/9/4, 176, , , , , 
2023/9/6, 167, 75, 3, 8, 4, 7
2023/9/7, 134, 65, 12, 21, 10, 8
2023/9/8, 123, 83, 4, 8, 7, 9
2023/9/9, 149, 72, 11, 11, 17, 9
2023/9/10, 132, 72, 3, 13, 6, 7
2023/9/11, 131, 84, 11, 11, 16, 8
2023/9/12, 148, 82, 10, 9, 16, 9
2023/9/13, 147, 94, 11, 16, 16, 8
2023/9/14, 150, 85, 10, 14, 17, 9
2023/9/15, 129, 48, 5, 6, 11, 9
2023/9/16, 86, 45, 3, 3, 2, 8
2023/9/17, 79, 33, 13, 1, , 9
2023/9/18, 63, 30, 4, 1, , 7
2023/9/19, 60, 28, 5, 1, , 8
2023/9/20, 58, 27, 14, 4, 3, 9
2023/9/21, 59, 33, 3, 3, 1, 7
2023/9/22, 67, 52, 10, 5, 1, 8
2023/9/23, 95, 46, 3, 2, 1, 7
2023/9/24, 81, 47, 11, 2, 3, 8
2023/9/25, 82, 62, 10, 3, 3, 8
2023/9/26, 112, 57, 2, 2, 3, 7
