date, pm25, pm10, o3, no2, so2, co
2025/5/1, 82, 49, 12, 10, , 1
2025/5/2, 85, 50, , 8, , 1
2025/5/3, 74, , , , , 
2025/4/1, 131, 88, 45, 33, , 2
2025/4/2, 154, 74, 16, 21, , 3
2025/4/3, 136, 65, 16, 17, , 
2025/4/4, 108, 72, 29, 21, , 1
2025/4/5, 131, 71, 28, 22, , 4
2025/4/6, 125, 67, 42, 21, , 7
2025/4/7, 128, 73, 51, 22, , 4
2025/4/8, 133, 63, 25, 16, , 7
2025/4/9, 122, 54, 14, 15, , 5
2025/4/10, 88, 50, 8, 16, , 2
2025/4/11, 81, 48, 12, 14, , 5
2025/4/12, 75, 48, 13, 11, , 3
2025/4/13, 80, 49, 24, 13, , 5
2025/4/14, 86, 58, 18, 14, , 4
2025/4/15, 111, 52, 11, 11, , 2
2025/4/16, 88, 46, 12, 12, , 2
2025/4/17, 74, 45, 13, 14, , 3
2025/4/18, 71, 42, 12, 14, , 2
2025/4/19, 67, 54, 15, 13, , 3
2025/4/20, 70, 54, 14, 13, , 4
2025/4/21, 69, 73, 20, 18, , 4
2025/4/22, 105, 76, 22, 18, , 3
2025/4/23, 115, 61, 19, 16, , 3
2025/4/24, 95, 51, 14, 14, , 3
2025/4/25, 74, 50, 13, 13, , 4
2025/4/26, 75, 54, 15, 12, , 3
2025/4/27, 84, 55, 14, 13, , 2
2025/4/28, 72, , , , , 
2025/4/30, 70, 49, 10, 9, , 
2025/1/1, 150, 69, 22, 29, , 8
2025/1/2, 143, 63, 20, 34, , 7
2025/1/3, 113, 65, 29, 37, , 7
2025/1/4, 126, 71, 25, 35, , 9
2025/1/5, 133, 77, 20, 34, , 11
2025/1/6, 155, 77, 18, 37, , 11
2025/1/7, 152, 76, 18, 36, , 9
2025/1/8, 153, 69, 20, 21, , 8
2025/1/9, 144, 74, 19, , , 6
2025/1/10, 144, 76, 15, 30, , 6
2025/1/11, 160, 78, 22, 29, , 7
2025/1/12, 155, 75, 18, 25, , 10
2025/1/13, 157, 79, 25, 29, , 19
2025/1/14, 160, 87, 25, 33, , 13
2025/1/15, 162, 90, 35, 40, , 11
2025/1/16, 166, 86, 47, 32, , 9
2025/1/17, 161, 75, 57, 24, , 12
2025/1/18, 153, 72, 32, 26, , 13
2025/1/19, 152, 79, 20, 28, , 17
2025/1/20, 158, 80, , 31, , 16
2025/1/21, 158, 88, 21, 38, , 14
2025/1/22, 164, 83, 40, 32, , 13
2025/1/23, 161, 79, 56, 34, , 12
2025/1/24, 152, 105, 64, 40, , 11
2025/1/25, 170, 88, 58, 37, , 13
2025/1/26, 164, 84, 57, 38, , 11
2025/1/27, 162, 70, 58, 32, , 7
2025/1/28, 137, 59, 45, 24, , 5
2025/1/29, 118, 79, 59, 37, , 12
2025/1/30, 151, 65, 28, 26, , 9
2025/1/31, 124, 67, 50, 23, , 8
2025/2/1, 134, 73, 57, 30, , 9
2025/2/2, 140, 72, 46, 25, , 10
2025/2/3, 130, 63, 41, 22, , 9
2025/2/4, 122, 61, 33, 25, , 4
2025/2/5, 130, 87, 85, 27, , 8
2025/2/6, 161, 110, 68, 35, , 3
2025/2/7, 170, 99, 61, 29, , 3
2025/2/8, 167, 101, 55, 33, , 3
2025/2/9, 164, 90, 46, 32, , 3
2025/2/10, 152, 102, 63, 29, , 6
2025/2/11, 170, 98, 50, 31, , 4
2025/2/12, 164, 90, 44, 27, , 4
2025/2/13, 155, 104, 7, 27, , 2
2025/2/14, 162, 112, 14, 55, , 6
2025/2/15, 161, 89, 44, 29, , 3
2025/2/16, 154, 66, 43, 26, , 5
2025/2/17, 143, 97, 39, 29, , 1
2025/2/18, 168, 96, 46, 27, , 3
2025/2/19, 163, 100, 32, 45, , 5
2025/2/20, 158, 92, 39, 39, , 3
2025/2/21, 142, 108, 64, 38, , 1
2025/2/22, 153, 96, 41, 33, , 3
2025/2/23, 146, 96, 39, 28, , 8
2025/2/24, 144, 100, 61, 30, , 5
2025/2/25, 152, 85, 73, 25, , 6
2025/2/26, 147, 95, 65, 28, , 7
2025/2/27, 164, 110, 51, 40, , 7
2025/2/28, 176, 106, 52, 35, , 7
2025/3/1, 164, 101, 44, 29, , 8
2025/3/2, 156, 108, 51, 34, , 8
2025/3/3, 160, 112, 37, 32, , 8
2025/3/4, 161, 108, 37, 37, , 9
2025/3/5, 144, 106, 54, 42, , 10
2025/3/6, 159, 102, 75, 35, , 10
2025/3/7, 164, 121, 59, 41, , 3
2025/3/8, 190, 98, 41, 35, , 4
2025/3/9, 167, 117, 85, 41, , 14
2025/3/10, 177, 112, 69, 39, , 9
2025/3/11, 177, 96, 97, 29, , 12
2025/3/12, 168, 90, 62, 34, , 7
2025/3/13, 167, 87, 28, 29, , 8
2025/3/14, 167, 59, 22, 19, , 6
2025/3/15, 113, 70, 26, 21, , 7
2025/3/16, 129, 78, 36, 21, , 5
2025/3/17, 142, 71, 26, 19, , 4
2025/3/18, 127, 70, 29, 21, , 4
2025/3/19, 122, 73, 40, 23, , 4
2025/3/20, 133, 70, 16, 18, , 2
2025/3/21, 126, 58, 23, 17, , 3
2025/3/22, 108, 66, 35, 18, , 2
2025/3/23, 112, 73, 29, 21, , 2
2025/3/24, 148, 72, 25, 17, , 4
2025/3/25, 138, 61, 15, 17, , 3
2025/3/26, 110, 48, 11, 13, , 2
2025/3/27, 78, 71, 33, 22, , 3
