date, pm25, pm10, o3, no2, so2, co
2025/5/1, 61, 41, 15, 5, 3, 9
2025/5/2, 61, 37, 4, 5, 3, 6
2025/5/3, 59, , , , , 
2025/4/1, 119, 77, 52, 18, 4, 8
2025/4/2, 108, 60, 73, 14, 25, 5
2025/4/3, 83, 68, 25, 8, 2, 4
2025/4/4, 94, 77, 25, 11, 5, 5
2025/4/5, 106, 64, 24, 11, 2, 
2025/4/6, 89, 70, 49, 6, 4, 1
2025/4/7, 97, 73, 64, 4, 7, 6
2025/4/8, 101, 60, 17, 10, 4, 7
2025/4/9, 83, 54, 11, 10, , 5
2025/4/10, 74, 40, 11, 9, , 
2025/4/11, 61, 40, 12, 7, 2, 1
2025/4/12, 60, 47, 13, 7, , 
2025/4/13, 69, 36, 37, 5, 2, 
2025/4/14, 57, 45, 16, 10, 2, 1
2025/4/15, 65, 48, 12, 11, 5, 10
2025/4/16, 68, 41, 12, 11, 4, 11
2025/4/17, 62, 39, 15, 9, 4, 12
2025/4/18, 59, 38, 14, 8, 5, 12
2025/4/19, 59, 51, 17, 7, 4, 10
2025/4/20, 73, 48, 31, 6, 4, 11
2025/4/21, 69, 73, 39, 6, 5, 10
2025/4/22, 102, 75, 22, 7, 4, 13
2025/4/23, 104, 57, 36, 7, 5, 15
2025/4/24, 78, 45, 14, 6, 4, 11
2025/4/25, 65, 46, 26, 6, 4, 10
2025/4/26, 66, 51, 18, 5, 4, 12
2025/4/27, 73, 56, 15, 6, 4, 14
2025/4/28, 77, 54, 23, 5, 3, 11
2025/4/29, 74, 47, 24, 5, 4, 9
2025/4/30, 67, 41, 26, 4, 3, 9
2025/1/1, 88, 75, 17, 11, 4, 4
2025/1/2, 100, 67, 15, 10, 4, 3
2025/1/3, 93, 68, 55, 12, 6, 2
2025/1/4, 95, 83, 48, 11, 6, 4
2025/1/5, 115, 81, 17, 9, 5, 4
2025/1/6, 112, 88, 17, 10, 21, 4
2025/1/7, 125, 85, 19, 10, 6, 5
2025/1/8, 118, 84, 18, 8, 7, 4
2025/1/9, 118, 84, 28, 10, 5, 4
2025/1/10, 119, 93, 8, 11, 5, 8
2025/1/11, 133, , , , , 
2025/1/13, 115, 94, 18, 6, 3, 4
2025/1/14, 133, 103, 18, 7, 7, 8
2025/1/15, 140, 109, 15, 6, 4, 5
2025/1/16, 149, 94, 11, 6, 6, 4
2025/1/17, 132, 81, 28, 5, 5, 1
2025/1/18, 114, 84, 19, 6, 8, 2
2025/1/19, 117, 87, 19, 7, 6, 3
2025/1/20, 123, 91, 18, 10, 5, 5
2025/1/21, 129, 90, 15, , 4, 5
2025/1/22, 128, 83, 33, , 4, 2
2025/1/23, 117, 92, 20, , 6, 3
2025/1/24, 131, 98, 17, , 6, 6
2025/1/25, 138, 87, 29, , 5, 4
2025/1/26, 122, 68, 23, , 3, 7
2025/1/27, 94, 73, 32, 12, 6, 3
2025/1/28, 101, 63, 19, 8, 4, 3
2025/1/29, 86, 85, 35, 12, 10, 4
2025/1/30, 117, 65, 12, 9, 3, 1
2025/1/31, 90, 67, 16, 9, 7, 2
2025/2/1, 94, 79, 23, 8, 5, 2
2025/2/2, 111, 78, 17, 10, 6, 3
2025/2/3, 110, 61, 39, 23, 5, 2
2025/2/4, 86, 68, 26, 48, 7, 1
2025/2/5, 94, 86, 58, 34, 22, 2
2025/2/6, 121, 93, 30, 39, 4, 6
2025/2/7, 132, 87, 49, 27, 4, 5
2025/2/8, 122, 71, 24, 20, 2, 3
2025/2/9, 99, 65, 26, 14, 4, 4
2025/2/10, 90, 69, 48, 11, 6, 3
2025/2/11, 96, 73, 49, 17, 8, 2
2025/2/12, 101, 67, 5, 15, 2, 2
2025/2/13, 93, , , , , 
2025/2/15, 103, 69, 51, 17, 21, 2
2025/2/16, 96, 68, 27, 15, 17, 1
2025/2/17, 96, 76, 23, 18, 24, 7
2025/2/18, 106, 68, 30, 20, 6, 15
2025/2/19, 94, 78, 45, 31, 3, 2
2025/2/20, 109, 66, 50, 28, 3, 2
2025/2/21, 91, 86, 28, 7, 4, 4
2025/2/22, 121, 77, 27, 6, 4, 6
2025/2/23, 108, 72, 55, 7, 3, 3
2025/2/24, 99, 77, 69, 11, 3, 1
2025/2/25, 108, 76, 81, 9, 6, 2
2025/2/26, 107, 78, 68, 8, 4, 4
2025/2/27, 109, 80, 64, 6, 7, 4
2025/2/28, 113, 75, 72, 6, 9, 5
2025/3/1, 104, 71, 48, 5, 4, 4
2025/3/2, 99, 77, 28, 5, 15, 6
2025/3/3, 108, 78, 21, 3, 1, 2
2025/3/4, 109, 80, 18, 9, 1, 2
2025/3/5, 113, 74, 74, 11, 2, 3
2025/3/6, 103, 83, 38, 13, 4, 7
2025/3/7, 117, 89, 14, 14, 1, 12
2025/3/8, 127, , , , , 
2025/3/11, 119, 82, 42, 9, 5, 5
2025/3/12, 115, 76, 76, 8, 3, 4
2025/3/13, 103, 81, 25, 9, 1, 6
2025/3/14, 112, 46, 20, 4, 2, 
2025/3/15, 67, 55, 24, 3, 2, 1
2025/3/16, 76, 64, 48, 3, 2, 2
2025/3/17, 88, 59, 45, 3, 1, 1
2025/3/18, 81, 62, 39, 4, 1, 2
2025/3/19, 85, 59, 39, 5, 1, 3
2025/3/20, 81, 63, 14, 2, , 3
2025/3/21, 85, 39, 10, 5, , 3
2025/3/22, 60, , , , , 
2025/3/25, 85, 48, 43, 8, 3, 3
2025/3/26, 68, 24, 28, 9, 1, 4
2025/3/27, 45, 79, 12, 20, , 6
2025/3/28, 110, 88, 35, 12, 5, 4
2025/3/29, 125, 86, 83, 16, 6, 6
2025/3/30, 121, 73, 41, 16, 3, 7
2025/3/31, 100, 85, 21, 19, 5, 7
2024/10/1, 80, 60, 24, 5, , 9
2024/10/2, 83, 30, 8, 3, , 6
2024/10/3, 51, 21, 12, 3, , 5
2024/10/4, 40, 20, 8, 6, , 1
2024/10/5, 38, 26, 11, 4, 1, 1
2024/10/6, 45, 53, 19, 8, , 3
2024/10/7, 75, 64, 22, 13, 1, 4
2024/10/8, 88, 44, 12, 9, , 1
2024/10/9, 65, 41, 13, 10, , 1
2024/10/10, 62, 20, 14, 10, 1, 2
2024/10/11, 38, 32, 16, 9, , 4
2024/10/12, 53, 35, 15, 9, , 5
2024/10/13, 55, 24, 17, 12, , 2
2024/10/14, 43, 31, 17, 11, , 1
2024/10/15, 50, 44, 18, 64, 1, 3
2024/10/16, 65, 47, 18, 12, 9, 6
2024/10/17, 69, 44, 22, 68, , 3
2024/10/18, 65, 15, 7, 86, , 2
2024/10/19, 33, 25, 25, 31, , 2
2024/10/20, 44, 21, 19, 15, , 2
2024/10/21, 38, 36, 20, 11, , 5
2024/10/22, 57, 43, 14, 8, , 3
2024/10/23, 63, 56, 16, 9, 5, 2
2024/10/24, 79, 62, 16, 3, 5, 2
2024/10/25, 84, 64, 17, 22, 5, 4
2024/10/26, 88, 67, 48, 35, 8, 7
2024/10/27, 92, 73, 41, 5, 7, 7
2024/10/28, 102, 62, 42, 5, 4, 6
2024/10/29, 87, 67, 19, 11, 2, 5
2024/10/30, 93, 71, 18, 42, 2, 5
2024/10/31, 98, 64, 43, 40, 2, 4
