date, pm25, pm10, o3, no2, so2, co
2025/5/2, 60, 37, 12, 10, , 4
2025/5/3, 44, , , , , 
2025/4/1, 122, 79, 19, , 3, 7
2025/4/2, 136, 71, 8, , , 6
2025/4/3, 119, 76, 22, , 30, 6
2025/4/4, 95, 92, 22, , , 6
2025/4/5, 129, 60, 23, , 2, 8
2025/4/6, 97, 66, 27, , 1, 4
2025/4/7, 104, 70, 21, , 2, 4
2025/4/8, 117, 60, 12, 16, 1, 4
2025/4/9, 91, 49, 8, 17, , 3
2025/4/10, 76, 41, 12, 14, , 4
2025/4/11, 63, 44, 14, 13, , 3
2025/4/12, 56, 51, 15, 14, , 6
2025/4/13, 75, 51, 20, 22, , 8
2025/4/14, 44, 57, 20, 15, , 5
2025/4/15, 78, 46, 13, 13, 1, 5
2025/4/16, 60, 41, 13, 14, , 4
2025/4/17, 58, 40, 17, 14, , 3
2025/4/18, 53, 33, 16, 12, 1, 3
2025/4/19, 57, 56, 19, 17, 3, 6
2025/4/20, 65, 53, 18, 16, , 6
2025/4/21, 63, 76, 22, 22, 1, 5
2025/4/22, 97, 76, 28, 9, , 4
2025/4/23, 101, 60, 20, 14, , 5
2025/4/24, 73, 54, 17, 19, , 5
2025/4/25, 66, 50, 17, 15, , 2
2025/4/26, 67, 59, 18, 19, , 1
2025/4/27, 83, 55, 11, 15, , 2
2025/4/28, 65, 51, 7, 15, , 2
2025/4/29, 58, 51, 11, 13, , 4
2025/4/30, 57, , , , , 
2025/1/1, 136, 68, 54, 31, 5, 9
2025/1/2, 134, 75, 25, 31, 4, 6
2025/1/3, 126, 95, 27, 36, 7, 5
2025/1/4, 152, 105, 27, 37, , 9
2025/1/5, 166, 81, 32, 18, 9, 7
2025/1/6, 153, 87, 35, 23, 66, 12
2025/1/7, 145, 106, 18, 60, 2, 7
2025/1/8, 164, 103, 23, 22, 6, 5
2025/1/9, 159, , , , , 
2025/1/11, 160, 88, 23, 24, 5, 7
2025/1/12, 156, 100, 17, 32, 15, 9
2025/1/13, 167, 112, 23, 37, 6, 13
2025/1/14, 170, 102, 19, 23, 3, 9
2025/1/15, 170, 107, 22, 33, 3, 10
2025/1/16, 174, 112, 17, 34, 4, 11
2025/1/17, 170, 98, 18, 44, 2, 13
2025/1/18, 162, 112, 39, 39, 6, 10
2025/1/19, 171, 108, 25, 35, 2, 8
2025/1/20, 172, 116, 20, 48, 6, 11
2025/1/21, 173, 127, 26, 47, 3, 11
2025/1/22, 182, 103, 35, 27, 8, 9
2025/1/23, 164, 113, 33, 47, 8, 12
2025/1/24, 168, 121, 29, 49, 7, 15
2025/1/25, 174, 116, 29, 42, 2, 14
2025/1/26, 176, 109, 32, 36, 3, 9
2025/1/27, 171, 97, 31, 38, 2, 9
2025/1/28, 160, 93, 17, 38, 4, 11
2025/1/29, 159, 106, 20, 37, 12, 9
2025/1/30, 169, 71, 10, 23, 3, 5
2025/1/31, 106, 77, 20, 24, 1, 4
2025/2/1, 134, 93, 32, 27, 4, 5
2025/2/2, 150, 82, 39, 16, 7, 9
2025/2/3, 135, 76, 18, 25, 2, 8
2025/2/4, 134, 82, 37, , 5, 7
2025/2/5, 141, 100, 21, 35, 1, 19
2025/2/6, 160, 113, 27, 48, 1, 18
2025/2/7, 170, 123, 29, 54, 6, 10
2025/2/8, 175, 105, 34, 47, 4, 12
2025/2/9, 165, 85, 19, 35, 2, 7
2025/2/10, 151, 88, 31, 26, 9, 8
2025/2/11, 157, 89, 35, 25, 5, 8
2025/2/12, 156, 101, 24, 38, 12, 10
2025/2/13, 157, 100, 2, 69, 6, 14
2025/2/14, 165, 89, 21, 37, 8, 2
2025/2/15, 136, 87, 30, 30, 9, 7
2025/2/16, 143, 86, 35, 27, 8, 6
2025/2/17, 127, 91, 33, 32, 11, 8
2025/2/18, 151, 100, 40, 34, 9, 7
2025/2/19, 156, 86, 37, 14, 10, 2
2025/2/20, 145, 91, 21, 27, 17, 4
2025/2/21, 146, 97, 44, 24, 9, 4
2025/2/22, 144, 103, 36, 30, 9, 5
2025/2/23, 153, 90, 32, 28, 10, 4
2025/2/24, 139, 105, 24, 33, 8, 8
2025/2/25, 152, 117, 40, 35, 10, 6
2025/2/26, 165, 114, 42, 32, 2, 4
2025/2/27, 167, 106, 34, 31, 6, 7
2025/2/28, 165, 80, 28, 18, 8, 4
2025/3/1, 137, 90, 23, 20, 8, 6
2025/3/2, 144, 93, 26, 17, 3, 5
2025/3/3, 145, 102, 21, 21, 7, 4
2025/3/4, 154, 99, 32, 22, 5, 2
2025/3/5, 144, 90, 24, 22, 14, 5
2025/3/6, 134, 101, 48, 18, 8, 16
2025/3/7, 148, 98, 26, 25, 3, 12
2025/3/8, 152, 75, 26, 22, 1, 10
2025/3/9, 114, 90, 31, 27, 6, 10
2025/3/10, 151, 104, 22, 29, 10, 12
2025/3/11, 164, 101, 33, 38, 8, 11
2025/3/12, 161, 89, 22, , 6, 6
2025/3/13, 151, 77, 16, , 4, 7
2025/3/14, 148, , , , , 
2025/3/17, 136, 55, 13, , 1, 3
2025/3/18, 84, 65, 16, , 3, 4
2025/3/19, 110, 70, 23, , 28, 4
2025/3/20, 109, 57, 11, , 2, 3
2025/3/21, 90, 53, 11, , , 3
2025/3/22, 74, 62, 30, , , 5
2025/3/23, 97, 65, 16, , , 6
2025/3/24, 114, 62, 13, , , 5
2025/3/25, 93, 45, 9, , , 6
2025/3/26, 76, 36, 7, , , 4
2025/3/27, 55, 62, 19, , 7, 2
2025/3/28, 99, 95, 32, , 10, 7
2025/3/29, 143, 82, 27, , 6, 8
2025/3/30, 122, 69, 22, , 1, 8
2025/3/31, 105, 69, 28, , 3, 7
2024/11/1, 142, 81, 14, 12, 2, 10
2024/11/2, 171, 98, 18, 17, 5, 7
2024/11/3, 225, 92, 23, 15, 4, 4
2024/11/4, 163, 89, 37, 17, 2, 4
2024/11/5, 159, 79, 21, 20, 3, 5
2024/11/6, 152, 67, 49, 20, 6, 3
2024/11/7, 152, 66, 23, 19, 6, 
2024/11/8, 86, 89, 39, 21, 1, 6
2024/11/9, 23, 99, 16, 20, 5, 9
2024/11/10, 24, 102, 18, 22, 44, 7
2024/11/11, 68, 97, 25, 17, 5, 6
2024/11/12, 147, 102, 37, 21, 2, 7
2024/11/13, 147, 101, 23, 21, 5, 15
2024/11/14, 156, 110, 42, 29, 4, 9
2024/11/15, 150, 101, 27, 29, 4, 10
2024/11/16, 161, 111, 21, 26, 3, 10
2024/11/17, 154, 109, 48, 23, , 9
2024/11/18, 140, 96, 38, 24, 5, 7
2024/11/19, 162, 92, 53, 23, 5, 6
2024/11/20, 152, 104, 33, 18, 9, 4
2024/11/21, 155, 104, 59, 18, 5, 6
2024/11/22, 162, 116, 68, 23, 5, 7
2024/11/23, 168, 122, 54, 30, 4, 8
2024/11/24, 175, 130, 73, 26, 5, 10
2024/11/25, 167, 118, 41, 24, 6, 6
2024/11/26, 161, 115, 23, 26, 8, 6
2024/11/27, 153, 103, 42, 25, 9, 6
2024/11/28, 160, 108, 42, 25, 6, 4
2024/11/29, 152, 104, 40, 24, 14, 4
2024/11/30, 160, 105, 43, 28, 10, 7
2024/12/1, 171, 116, 25, 28, 23, 10
2024/12/2, 179, 128, 102, 33, 3, 15
2024/12/3, 161, 107, 13, 26, 4, 17
2024/12/4, 157, 95, 40, 27, , 9
2024/12/5, 171, 98, 28, 32, , 5
2024/12/6, 166, 101, 47, 33, 5, 7
2024/12/7, 142, 93, 40, 29, 10, 3
2024/12/8, 119, 74, 23, 19, 7, 1
2024/12/9, 129, 83, 17, 29, 12, 3
2024/12/10, 140, 98, 22, 30, 8, 5
