date, pm25, pm10, o3, no2, so2, co
2025/5/1, 43, 49, 2, 22, 14, 1
2025/5/2, 46, 72, 2, 22, 15, 1
2025/5/3, 40, , , , , 
2025/4/1, 89, 78, , , 14, 
2025/4/2, 121, 57, , , 14, 
2025/4/3, 77, 65, , , 14, 
2025/4/4, 79, 58, , , 14, 
2025/4/5, 83, 54, , , 14, 
2025/4/6, 81, 66, , , 14, 
2025/4/7, 274, 69, , , 14, 
2025/4/8, 133, 49, , , 14, 
2025/4/9, 74, 49, , , 14, 
2025/4/10, 59, 48, , , 14, 
2025/4/11, 57, 52, , , 14, 
2025/4/12, 55, 44, , , 14, 
2025/4/13, 56, 48, , , 14, 
2025/4/14, 60, 54, , , 14, 
2025/4/15, 64, 61, , , 14, 
2025/4/16, 55, 46, , , 14, 
2025/4/17, 47, 43, , , 14, 
2025/4/18, 41, 37, , , 14, 1
2025/4/19, 38, , , , , 
2025/4/21, 53, 69, 2, 26, 14, 
2025/4/22, 70, 70, 2, 25, 14, 
2025/4/23, 72, 52, 2, 25, 14, 
2025/4/24, 54, 49, 2, 25, 14, 
2025/4/25, 54, 47, 2, 25, 14, 
2025/4/26, 52, 58, 2, 26, 14, 
2025/4/27, 58, 54, 2, 27, 14, 
2025/4/28, 54, 52, 3, 27, 14, 
2025/4/29, 56, 48, 2, 27, 14, 4
2025/4/30, 51, 36, 2, 24, 14, 
2025/1/1, 97, 93, 1, 19, 3, 3
2025/1/2, 96, 91, 2, 19, 3, 3
2025/1/3, 85, 97, 2, 20, 3, 3
2025/1/4, 93, 108, 2, 21, 3, 3
2025/1/5, 117, 93, 2, 19, 3, 3
2025/1/6, 92, 103, 2, 19, 3, 3
2025/1/7, 108, 98, 2, 22, 3, 3
2025/1/8, 106, 99, 2, 20, 3, 3
2025/1/9, 104, 104, 2, 17, 3, 3
2025/1/10, 114, 89, 1, 15, 3, 3
2025/1/11, 82, 91, 1, 15, 3, 3
2025/1/12, 105, 99, 1, 15, 3, 3
2025/1/13, 107, 100, 1, 15, 3, 3
2025/1/14, 115, 117, 1, 15, 3, 3
2025/1/15, 135, 112, 1, 16, 3, 3
2025/1/16, 134, 113, 1, 17, 3, 3
2025/1/17, 121, 102, 1, 17, 3, 3
2025/1/18, 108, 105, 2, 17, 3, 3
2025/1/19, 116, 106, 2, 18, 3, 3
2025/1/20, 116, 112, 1, 19, 3, 3
2025/1/21, 121, 121, 2, 18, 3, 
2025/1/22, 135, 97, 1, 18, 3, 3
2025/1/23, 97, 121, 2, 19, 3, 3
2025/1/24, 108, 120, 2, 18, 3, 3
2025/1/25, 136, 131, 2, 20, 3, 3
2025/1/26, 151, , , , , 
2025/1/30, 120, 82, 3, 24, 7, 5
2025/1/31, 83, 100, 3, 34, 14, 8
2025/2/1, 146, 111, 3, 34, 14, 8
2025/2/2, 154, 109, 3, 34, 14, 8
2025/2/3, 155, 90, 3, 35, 14, 9
2025/2/4, 139, 79, 3, 34, 14, 9
2025/2/5, 113, 99, 4, 37, 14, 9
2025/2/6, 151, 107, 2, 28, 14, 9
2025/2/7, 157, 112, 3, 34, 14, 9
2025/2/8, 162, 108, 3, 33, 14, 8
2025/2/9, 156, 92, 3, 33, 14, 8
2025/2/10, 141, 82, 3, 33, 14, 8
2025/2/11, 150, 81, 3, 32, 14, 8
2025/2/12, 137, 95, 3, 31, 14, 8
2025/2/13, 138, 102, 3, 31, 14, 9
2025/2/14, 155, 85, 2, 31, 14, 9
2025/2/15, 117, 94, 3, 32, 14, 9
2025/2/16, 128, 71, 3, 33, 14, 9
2025/2/17, 98, 89, 3, 32, 14, 10
2025/2/18, 118, 93, 3, 32, 14, 10
2025/2/19, 126, 85, 3, 32, 14, 10
2025/2/20, 126, 82, 3, 31, 14, 10
2025/2/21, 103, 117, 3, 31, 14, 10
2025/2/22, 117, 97, 3, 31, 14, 11
2025/2/23, 130, 80, 3, 32, 14, 11
2025/2/24, 103, 180, 3, 32, 14, 11
2025/2/25, 250, 100, 3, 33, 14, 10
2025/2/26, 141, 98, 3, 32, 14, 10
2025/2/27, 150, 98, 3, 32, 14, 11
2025/2/28, 147, 72, 3, 32, 14, 10
2025/3/1, 96, 83, 3, 32, 14, 11
2025/3/2, 100, 83, 3, 31, 14, 10
2025/3/3, 102, 91, 3, 31, 14, 10
2025/3/4, 104, 88, 2, 31, 14, 10
2025/3/5, 87, 80, 2, 30, 14, 10
2025/3/6, 101, 93, 2, 31, 14, 11
2025/3/7, 130, 83, 3, 31, 14, 11
2025/3/8, 126, 63, 3, 30, 14, 11
2025/3/9, 86, 92, 3, 28, 14, 10
2025/3/10, 136, 231, 2, 28, 14, 10
2025/3/11, 157, 173, 2, 28, 14, 10
2025/3/12, 140, 80, 2, 28, 14, 10
2025/3/13, 129, 76, 2, 29, 14, 10
2025/3/14, 118, 45, 2, 29, 14, 10
2025/3/15, 61, 53, 2, 29, 14, 11
2025/3/16, 72, 61, 2, 29, 14, 11
2025/3/17, 84, 53, 3, 30, 14, 11
2025/3/18, 67, 60, 2, 28, 14, 11
2025/3/19, 74, 59, 2, 29, 14, 11
2025/3/20, 84, 51, 2, 29, 14, 10
2025/3/21, 63, 48, 3, 28, 14, 11
2025/3/22, 52, 57, 2, 29, 14, 11
2025/3/23, 75, 81, 2, 29, 14, 11
2025/3/24, 92, 63, 3, 28, 14, 11
2025/3/25, 107, 46, 3, 29, 14, 11
2025/3/26, 64, 39, 2, 28, 14, 10
2025/3/27, 55, 79, 3, 29, 14, 11
2025/3/28, 99, 84, , , 14, 
2025/3/29, 112, 79, , , 14, 
2025/3/30, 109, 63, , , 14, 
2025/3/31, 80, 65, , , 14, 
2024/10/1, 91, 69, 1, 11, 3, 6
2024/10/2, 123, 53, 1, 11, 3, 6
2024/10/3, 68, 44, 1, 12, 3, 6
2024/10/4, 42, 44, 1, 12, 3, 6
2024/10/5, 42, 50, 1, 12, 3, 6
2024/10/6, 57, 67, 1, 11, 3, 6
2024/10/7, 118, 70, 1, 11, 3, 5
2024/10/8, 127, 63, 1, 11, 3, 6
2024/10/9, 101, 58, 1, 12, 3, 6
2024/10/10, 86, 53, 1, 11, 3, 6
2024/10/11, 68, 58, 1, 11, 3, 6
2024/10/12, 84, 54, 1, 12, 3, 6
2024/10/13, 71, , , , , 
2024/10/16, 104, 63, 1, 13, 3, 6
2024/10/17, 94, 57, 1, 13, 3, 6
2024/10/18, 85, 46, 1, 13, 3, 6
2024/10/19, 47, 53, 1, 13, 3, 6
2024/10/20, 68, 83, 1, 13, 3, 5
2024/10/21, 79, 60, 1, 12, 3, 6
2024/10/22, 90, 132, 1, 13, 3, 6
2024/10/23, 154, 73, 1, 13, 3, 6
2024/10/24, 138, 72, 1, 13, 3, 6
2024/10/25, 138, 78, 1, 14, 3, 6
2024/10/26, 146, 87, 1, 15, 3, 6
2024/10/27, 159, 79, 1, 14, 3, 5
2024/10/28, 139, 64, 1, 14, 3, 6
2024/10/29, 100, 78, 1, 15, 3, 6
2024/10/30, 146, 98, 1, 15, 3, 6
2024/10/31, 152, 120, 1, 16, 4, 6
2024/11/1, 158, 132, 1, 14, 4, 6
2024/11/2, 176, 102, 1, 16, 4, 6
2024/11/3, 148, 158, 2, 17, 4, 6
2024/11/4, 193, 81, 2, 20, 4, 
2024/11/5, 137, 234, 2, 24, 3, 4
2024/11/6, 214, 79, 2, 21, 3, 4
2024/11/7, 131, 85, 1, 19, 3, 4
2024/11/8, 146, 85, 2, 18, 3, 4
2024/11/9, 142, 85, 2, 18, 3, 4
2024/11/10, 147, 327, 1, 18, 3, 3
2024/11/11, 264, 87, 1, 14, 3, 2
2024/11/12, 99, 85, 1, 13, 3, 2
2024/11/13, 91, 100, 1, 14, 3, 2
2024/11/14, 90, 90, 1, 13, 3, 2
2024/11/15, 94, 96, 1, 14, 3, 2
2024/11/16, 112, 98, 1, 14, 3, 3
2024/11/17, 116, 87, 1, 13, 3, 3
2024/11/18, 91, 85, 1, 14, 3, 3
2024/11/19, 87, 87, 1, 13, 3, 3
2024/11/20, 95, 93, 1, 13, 3, 3
2024/11/21, 104, 100, 1, 13, 3, 3
2024/11/22, 120, 109, 1, 13, 3, 3
2024/11/23, 134, 111, 1, 13, 3, 3
2024/11/24, 140, 105, 1, 14, 3, 3
2024/11/25, 125, 90, 1, 14, 3, 3
2024/11/26, 96, 94, 1, 13, 3, 3
2024/11/27, 91, 86, 1, 14, 3, 3
2024/11/28, 87, 83, 1, 14, 3, 3
2024/11/29, 80, 92, 1, 13, 3, 3
2024/11/30, 93, , , , , 
2024/12/3, 108, 89, 1, 14, 3, 3
2024/12/4, 99, 101, 1, 15, 3, 3
2024/12/5, 109, 176, 1, 14, 3, 3
2024/12/6, 107, 89, 1, 15, 3, 3
2024/12/7, 85, 81, 2, 17, 3, 3
2024/12/8, 72, 84, 1, 18, 3, 3
2024/12/9, 71, 90, 1, 19, 3, 3
2024/12/10, 75, 93, 2, 18, 3, 3
2024/12/11, 87, 99, 1, 18, 3, 3
2024/12/12, 107, 87, 1, 19, 3, 3
2024/12/13, 76, 90, 1, 18, 3, 3
2024/12/14, 89, 90, 1, 19, 3, 3
2024/12/15, 91, 93, 2, 19, 3, 3
2024/12/16, 92, 108, 2, 20, 3, 3
2024/12/17, 251, 116, 2, 20, 3, 3
2024/12/18, 151, 115, 2, 20, 3, 3
2024/12/19, 134, 110, 2, 19, 3, 3
2024/12/20, 136, 122, 1, 19, 3, 3
2024/12/21, 142, 128, 2, 19, 3, 3
2024/12/22, 157, 125, 2, 19, 3, 3
2024/12/23, 128, 139, 1, 18, 3, 3
