date, pm25, pm10, o3, no2, so2, co
2025/5/1, 105, , , 8, 2, 1
2025/5/2, 106, , , 8, 2, 1
2025/5/3, 102, , , , , 
2025/4/1, 119, 77, , 1, 3, 1
2025/4/2, 117, 72, 10, 1, 3, 1
2025/4/3, 114, 67, , 3, 2, 1
2025/4/4, 110, 65, , , 3, 1
2025/4/5, 108, 64, , 3, 2, 1
2025/4/6, 107, 68, , 6, 2, 1
2025/4/7, 113, 70, , 5, 2, 1
2025/4/8, 111, 64, , 1, 3, 1
2025/4/9, 106, 58, , 2, 2, 1
2025/4/10, 105, 59, , 7, 3, 2
2025/4/11, 105, 58, , 4, 2, 1
2025/4/12, 102, 61, , 7, 2, 1
2025/4/13, 104, 59, , 10, 2, 1
2025/4/14, 104, , , , , 
2025/4/25, 130, 62, , 9, 2, 1
2025/4/26, 109, 62, , 8, 2, 1
2025/4/27, 109, 64, , 7, 2, 1
2025/4/28, 106, 64, , 12, 2, 1
2025/4/29, 109, 59, , 10, 2, 1
2025/4/30, 106, 280, , 9, 2, 
2025/1/2, 384, 84, 44, 4, 5, 12
2025/1/5, 157, 84, 2, 4, 5, 12
2025/1/6, 161, 84, 1, 4, 5, 11
2025/1/7, 160, 83, 2, 4, 5, 12
2025/1/8, 160, 85, 1, 4, 5, 12
2025/1/9, 161, 95, 2, 4, 5, 12
2025/1/10, 165, , 1, 4, , 
2025/1/11, 156, 80, 2, 4, 5, 11
2025/1/12, 157, 83, 2, 4, 2, 11
2025/1/13, 160, 90, 1, 4, 2, 12
2025/1/14, 163, 81, 1, 4, 2, 13
2025/1/15, 159, 86, 2, 4, 8, 13
2025/1/16, 162, , 1, 5, 13, 13
2025/1/18, 159, 91, 8, 5, 13, 14
2025/1/19, 163, 91, 49, 5, 13, 14
2025/1/20, 154, 81, 19, 5, 14, 14
2025/1/21, 145, 87, 2, 5, 14, 15
2025/1/22, 122, 76, 3, 5, 15, 15
2025/1/23, 88, 83, 1, 5, 15, 15
2025/1/24, 89, 98, 107, 5, 15, 15
2025/1/25, 100, 99, 37, 5, 15, 16
2025/1/26, 101, 84, 39, 5, 15, 16
2025/1/27, 94, 78, 1, 5, 15, 16
2025/1/28, 88, 72, 1, 5, 16, 16
2025/1/29, 82, 92, 1, 5, 16, 16
2025/1/30, 114, 73, 2, 5, 16, 16
2025/1/31, 108, 81, 1, 5, 16, 17
2025/2/1, 112, 90, 1, 5, 16, 16
2025/2/2, 115, 85, 1, 5, 16, 17
2025/2/3, 114, 82, 1, 5, 16, 17
2025/2/4, 111, 88, 1, 5, 16, 17
2025/2/5, 118, 92, 2, 5, 18, 19
2025/2/6, 116, 101, 10, 5, 13, 13
2025/2/7, 126, 113, 10, 5, 8, 7
2025/2/8, 132, 101, 10, 5, 8, 7
2025/2/9, 132, 90, 10, 5, 8, 7
2025/2/10, 125, 81, 10, 5, 2, 1
2025/2/11, 126, 81, 10, 5, 2, 1
2025/2/12, 116, 101, 10, 1, 1, 
2025/2/13, 205, 95, 10, , 1, 
2025/2/14, 149, 78, 10, , 3, 1
2025/2/15, 117, 80, 10, , 2, 1
2025/2/16, 116, 69, 10, 1, 2, 1
2025/2/17, 109, 90, 10, , 2, 1
2025/2/18, 115, 82, 10, 2, 2, 1
2025/2/19, 116, 76, 10, , 2, 1
2025/2/20, 116, 86, 10, 12, 3, 1
2025/2/21, 115, 89, 10, 12, 3, 1
2025/2/22, 116, 95, 10, 8, 2, 1
2025/2/23, 119, 83, 11, 3, 2, 1
2025/2/24, 113, 92, 16, 8, 2, 1
2025/2/25, 118, 105, 10, 23, 2, 1
2025/2/26, 127, 103, 10, 6, 2, 1
2025/2/27, 128, 91, 10, , 2, 1
