date, pm25, pm10, o3, no2, so2, co
2025/4/1, 158, 120, 9, 11, 1, 8
2025/4/2, 164, 103, 10, 11, 1, 7
2025/4/3, 160, 89, 11, 11, 1, 8
2025/4/4, 158, 103, 11, 11, 1, 9
2025/4/5, 160, 139, 9, 11, 1, 7
2025/4/6, 170, 92, 13, 11, 1, 7
2025/4/7, 166, 78, 10, 11, 1, 8
2025/4/8, 138, 78, 11, 11, 3, 6
2025/4/9, 133, 64, 13, 10, 1, 4
2025/4/10, 118, 42, 9, 11, 1, 7
2025/4/11, 84, 65, 11, 11, 1, 8
2025/4/12, 123, 74, 11, 11, 1, 4
2025/4/13, 122, 66, 13, 11, 1, 7
2025/4/14, 128, 48, 12, 11, 1, 6
2025/4/15, 90, 64, 10, 11, 1, 7
2025/4/16, 134, 77, 12, 11, 1, 6
2025/4/17, 139, 51, 13, 11, 1, 5
2025/4/18, 77, 58, 7, 11, 2, 7
2025/4/19, 103, 68, 9, 11, 2, 8
2025/4/20, 144, 80, 8, 11, 2, 7
2025/4/21, 151, 93, 12, 11, 2, 7
2025/4/22, 157, 108, 34, 11, 1, 5
2025/4/23, 160, 107, 35, 10, 2, 9
2025/4/24, 159, 119, 28, 10, 2, 9
2025/4/25, 158, 154, 20, 11, 3, 13
2025/4/26, 159, 110, 12, 11, 3, 7
2025/4/27, 154, 41, 11, 11, 2, 5
2025/4/28, 81, , , , , 
2025/1/1, 170, 110, 3, 11, 2, 6
2025/1/2, 177, 143, 3, 11, 3, 11
2025/1/3, 199, 136, 3, 11, 3, 7
2025/1/4, 193, 128, 2, 11, 3, 1
2025/1/5, 183, 194, 10, 11, 3, 35
2025/1/6, 198, 132, 7, 11, , 6
2025/1/7, 186, 82, 16, 11, , 5
2025/1/8, 160, 120, 22, 11, , 9
2025/1/9, 168, 157, 22, 11, , 7
2025/1/10, 196, 201, 12, 11, , 23
2025/1/11, 219, 166, 23, 11, , 10
2025/1/12, 202, 98, 22, 11, , 6
2025/1/13, 172, 117, 11, 11, , 6
2025/1/14, 180, 83, 17, 11, , 4
2025/1/15, 157, 122, 6, 11, , 13
2025/1/16, 178, 120, 18, 10, , 4
2025/1/17, 179, 115, 21, 11, , 6
2025/1/18, 168, 107, 25, 11, , 
2025/1/19, 171, 102, 23, 11, , 6
2025/1/20, 172, 117, 9, 11, , 7
2025/1/21, 185, 98, 12, 11, , 7
2025/1/22, 169, 108, 19, 11, , 7
2025/1/23, 176, 128, 20, 11, 2, 9
2025/1/24, 198, 120, 26, 11, , 5
2025/1/25, 173, 151, 26, 11, , 7
2025/1/26, 181, 159, 23, 11, 1, 8
2025/1/27, 203, 143, 27, 11, , 8
2025/1/28, 190, 241, 30, 11, , 11
2025/1/29, 241, 231, 28, 11, , 9
2025/1/30, 236, 190, 26, 11, , 12
2025/1/31, 205, 150, 24, 11, , 7
2025/2/1, 193, 151, 22, 11, , 6
2025/2/2, 185, 110, 22, 11, , 6
2025/2/3, 164, 42, 22, 11, , 5
2025/2/4, 174, 37, 17, 10, , 4
2025/2/5, 182, 97, 18, 11, 1, 4
2025/2/6, 136, 96, 21, 11, 1, 3
2025/2/7, 149, 98, 21, 11, 1, 5
2025/2/8, 153, 130, 22, 11, 1, 8
2025/2/9, 183, 127, 21, 11, 1, 8
2025/2/10, 179, 112, 21, 11, 1, 4
2025/2/11, 168, 95, 19, 10, 1, 6
2025/2/12, 156, 99, 17, 11, 1, 3
2025/2/13, 158, 87, 9, 11, 1, 2
2025/2/14, 120, 138, 7, 11, 1, 16
2025/2/15, 171, 164, 25, 10, 1, 6
2025/2/16, 190, 143, 16, 11, 1, 11
2025/2/17, 184, 163, 19, 11, 2, 13
2025/2/18, 217, 157, 19, 11, 2, 7
2025/2/19, 199, 139, 7, 11, 1, 8
2025/2/20, 180, 136, 19, 11, 1, 10
2025/2/21, 182, 144, 17, 11, 1, 8
2025/2/22, 188, 128, 17, 11, 1, 7
2025/2/23, 170, 120, 19, 11, 1, 8
2025/2/24, 161, 112, 17, 11, 1, 8
2025/2/25, 160, 141, 17, 11, 1, 9
2025/2/26, 168, 134, 16, 11, 1, 10
2025/2/27, 170, 134, 17, 11, 1, 10
2025/2/28, 175, 108, 12, 11, 2, 6
2025/3/1, 165, 106, 13, 11, 1, 8
2025/3/2, 169, 97, 14, 11, 1, 5
2025/3/3, 149, 92, 16, 11, 1, 6
2025/3/4, 128, 101, 14, 11, 1, 6
2025/3/5, 141, 117, 14, 11, 1, 8
2025/3/6, 101, 201, 16, 11, 1, 9
2025/3/7, 176, 184, 12, 11, 1, 10
2025/3/8, 242, 216, 11, 10, 1, 9
2025/3/9, 216, 168, 12, 11, 1, 12
2025/3/10, 188, 207, 17, 11, 1, 8
2025/3/11, 215, 135, 13, 10, 1, 7
2025/3/12, 196, 187, 14, 11, 1, 8
2025/3/13, 215, 171, 13, 11, 1, 11
2025/3/14, 262, 100, 13, 11, 1, 9
2025/3/15, 183, 122, 9, 11, 1, 7
2025/3/18, 168, 122, 12, 10, 1, 7
2025/3/19, 121, 161, 8, 11, 1, 7
2025/3/20, 113, 123, 10, 11, 1, 7
2025/3/21, 68, 128, 12, 11, 1, 8
2025/3/22, 66, 154, 11, 11, 1, 9
2025/3/23, 78, 157, 13, 11, 1, 10
2025/3/24, 125, 188, 13, 11, 1, 7
2025/3/25, 96, 155, 13, 11, 1, 12
2025/3/26, 106, 139, 12, 11, 1, 6
2025/3/27, 95, 114, 13, 11, 1, 6
2025/3/28, 129, 96, 12, 11, 1, 6
2025/3/29, 135, 92, 11, 11, 1, 9
2025/3/30, 148, 117, 12, 11, 1, 10
2025/3/31, 161, 102, 12, 11, 1, 8
2024/10/1, 98, 5, 6, 10, 2, 9
2024/10/2, 143, 62, 12, 13, 3, 7
2024/10/3, 142, 63, 13, 6, , 7
2024/10/4, 70, 55, 10, 5, , 8
2024/10/5, 68, 46, 10, 4, , 8
2024/10/6, 50, 79, 24, 5, 1, 9
2024/10/7, 126, 93, 26, 9, 4, 8
2024/10/8, 122, 84, 30, 10, 3, 10
2024/10/9, 106, 80, 30, 9, 1, 11
2024/10/10, 156, 92, 30, 8, 1, 12
2024/10/11, 162, 102, 30, 8, 1, 10
2024/10/12, 166, 91, 31, 8, 2, 10
2024/10/13, 163, 112, 30, 10, 2, 12
2024/10/14, 169, 107, 4, 11, 2, 10
2024/10/15, 166, 110, 22, 15, 4, 13
2024/10/16, 160, 143, 19, 35, 3, 20
2024/10/17, 167, 125, 30, 22, 2, 14
2024/10/18, 163, 132, 2, 23, 3, 13
2024/10/19, 159, 117, 2, 17, 3, 13
2024/10/20, 169, 129, 15, 20, 3, 16
2024/10/21, 176, 131, 8, 23, 3, 13
2024/10/22, 167, 131, 11, 28, 3, 13
2024/10/23, 160, 66, 7, 7, 3, 10
2024/10/24, 75, 47, 12, 6, 3, 10
2024/10/25, 66, 54, 9, 7, 3, 12
2024/10/26, 93, 64, 8, 12, 3, 15
2024/10/27, 126, 109, 11, 29, 5, 16
2024/10/28, 164, 179, 9, 35, 5, 16
