date, pm25, pm10, o3, no2, so2, co
2025/4/1, 148, 126, 12, 4, 2, 14
2025/4/2, 152, 106, 8, 2, 2, 10
2025/4/3, 145, 100, 14, 2, 2, 9
2025/4/4, 147, 131, 13, 3, 2, 9
2025/4/5, 146, 111, 13, 3, 2, 9
2025/4/6, 146, 94, 24, 1, 2, 9
2025/4/7, 131, 80, 16, 1, 2, 7
2025/4/8, 95, 84, 14, 2, 2, 7
2025/4/9, 95, 83, 20, 1, 2, 5
2025/4/10, 83, 54, 12, 2, 2, 14
2025/4/11, 94, 83, 18, 3, 1, 13
2025/4/12, 123, 71, 16, 2, 2, 7
2025/4/13, 140, 67, 21, 2, 2, 4
2025/4/14, 104, 59, 17, 2, 3, 6
2025/4/15, 60, 64, 18, 2, 1, 7
2025/4/16, 77, 99, 29, 2, 2, 10
2025/4/17, 108, 41, 16, 1, 2, 6
2025/4/18, 83, , , , , 
2025/4/21, 132, 123, 92, 1, 1, 9
2025/4/22, 130, 103, 43, 2, 3, 8
2025/4/23, 140, 105, 52, 3, 3, 11
2025/4/24, 144, 102, 52, 3, 2, 13
2025/4/25, 154, 166, 50, 3, 3, 16
2025/4/26, 176, 104, 33, 2, 2, 10
2025/4/27, 150, 44, 23, 1, 6, 4
2025/4/28, 71, , , , , 
2025/1/16, 186, 171, 15, 4, 2, 16
2025/1/17, 181, 111, 18, 4, 2, 14
2025/1/18, 169, 118, 17, 3, 2, 14
2025/1/19, 166, 113, 17, 3, 2, 14
2025/1/20, 163, 154, 11, 3, 2, 21
2025/1/21, 187, 126, 9, 2, 2, 18
2025/1/22, 166, 131, 11, 2, 2, 16
2025/1/23, 159, 181, 10, 4, 2, 21
2025/1/24, 172, 207, 12, 6, 2, 14
2025/1/25, 195, 194, 11, 5, 2, 15
2025/1/26, 201, 274, 10, 6, 2, 21
2025/1/27, 205, 171, 10, 6, 2, 18
2025/1/28, 188, 242, 12, 7, 2, 22
2025/1/29, 200, 164, 11, 5, 2, 18
2025/1/30, 159, 156, 11, 6, 2, 19
2025/1/31, 193, 153, 11, 4, 2, 19
2025/2/1, 166, 163, 9, 5, 2, 15
2025/2/2, 119, 119, 12, 4, 2, 12
2025/2/3, 65, 143, 11, 6, 2, 15
2025/2/4, 98, 155, 10, 4, 2, 15
2025/2/5, 114, 117, 8, 3, 2, 6
2025/2/6, 25, 118, 8, 3, 2, 9
2025/2/7, 30, 97, 8, 4, 2, 10
2025/2/8, 29, 155, 8, 5, 2, 17
2025/2/9, 156, 173, 9, 5, 2, 14
2025/2/10, 224, 121, 9, 5, 2, 12
2025/2/11, 188, 99, 9, 4, 2, 11
2025/2/12, 167, 151, 7, 3, 2, 9
2025/2/13, 162, 138, 9, 1, 3, 6
2025/2/14, 165, , , , , 
2025/2/17, 166, 205, 12, 5, 2, 17
2025/2/18, 171, 149, 12, 5, 2, 15
2025/2/19, 184, 100, 8, 4, 2, 15
2025/2/20, 152, 115, 9, 3, 3, 15
2025/2/21, 154, 117, 10, 4, 2, 11
2025/2/22, 143, 115, 10, 4, 2, 12
2025/2/23, 141, 86, 9, 4, 2, 11
2025/2/24, 120, 115, 10, 9, 2, 16
2025/2/25, 129, 122, 15, 5, 2, 35
2025/2/26, 146, 110, 10, 4, 2, 13
2025/2/27, 159, 136, 10, 2, 2, 17
2025/2/28, 152, 116, 11, 3, 2, 15
2025/3/1, 90, 110, 11, 2, 1, 10
2025/3/2, 83, 104, 7, 2, 3, 6
2025/3/3, 118, 128, 8, 3, 2, 6
2025/3/4, 151, 113, 6, 2, 2, 10
2025/3/5, 157, 331, 6, 2, 10, 10
2025/3/6, 136, 136, 9, 3, 2, 15
2025/3/7, 166, 134, 7, 3, 2, 12
2025/3/8, 167, 147, 8, 4, 2, 14
2025/3/9, 159, 139, 10, 2, 2, 15
2025/3/10, 157, 161, 11, 5, 2, 14
2025/3/11, 160, 118, 10, 3, 2, 11
2025/3/12, 123, 146, 16, 2, 2, 16
2025/3/13, 146, 151, 22, 2, 2, 19
2025/3/14, 153, 96, 27, 2, 2, 9
2025/3/15, 110, 109, 21, 2, 2, 8
2025/3/16, 127, 101, 28, 2, 3, 7
2025/3/17, 110, 176, 23, 2, 2, 9
2025/3/18, 94, 77, 12, 3, 2, 9
2025/3/19, 110, 96, 10, 3, 2, 11
2025/3/20, 155, 95, 10, 2, 2, 12
2025/3/21, 125, 106, 10, 3, 2, 13
2025/3/22, 137, 85, 8, 2, 2, 8
2025/3/23, 118, 106, 8, 2, 2, 13
2025/3/24, 160, 192, 7, 4, 2, 14
2025/3/25, 172, 277, 6, 5, 2, 16
2025/3/26, 218, 238, 14, 2, 2, 12
2025/3/27, 199, 251, 8, 3, 2, 9
2025/3/28, 184, 123, 11, 2, 2, 7
2025/3/29, 145, 108, 11, 3, 2, 9
2025/3/30, 152, 157, 10, 4, 2, 11
2025/3/31, 156, 108, 17, 4, 2, 9
2024/10/18, 86, 103, 2, 3, 2, 14
2024/10/19, 173, 101, 2, 2, 1, 12
2024/10/20, 139, 93, 2, 1, 2, 11
2024/10/21, 96, 92, 7, 1, 2, 10
2024/10/22, 94, 88, 1, 2, 2, 11
2024/10/23, 97, 49, 2, 3, 2, 5
2024/10/24, 72, 39, 46, 1, 3, 5
2024/10/25, 90, 44, 1, , 2, 6
2024/10/26, 78, 49, 1, , 2, 10
2024/10/27, 71, 71, 8, 41, 2, 13
2024/10/28, 101, 75, 17, 17, 2, 13
2024/10/29, 139, 105, 10, 17, 2, 11
2024/10/30, 176, 124, 5, 17, 2, 11
2024/10/31, 124, 227, 6, 17, 2, 9
2024/11/1, 134, 342, 8, 17, 2, 13
2024/11/2, 137, 234, 9, 17, 2, 12
2024/11/3, 119, 417, 7, 17, 2, 15
2024/11/4, 133, 227, 6, 17, 2, 11
2024/11/5, 102, 133, 5, 17, 2, 12
2024/11/6, 107, 143, 6, 17, 2, 19
2024/11/7, 118, 125, 6, 17, 2, 12
2024/11/8, 95, 138, 5, 17, 5, 13
2024/11/9, 114, 193, 7, 17, 2, 16
2024/11/10, 148, 195, 6, 17, 2, 17
2024/11/11, 155, 247, 10, 17, 2, 23
2024/11/12, 176, 174, 4, 17, 2, 16
2024/11/13, 186, 100, 9, 17, 2, 14
2024/11/14, 116, 102, 8, 17, 2, 16
2024/11/15, 148, 111, 6, 17, 2, 24
2024/11/16, 158, 141, 6, 17, 2, 22
2024/11/17, 165, 174, 7, 17, 2, 31
2024/11/18, 159, 184, 9, 17, 2, 24
2024/11/19, 160, 151, 26, 17, 2, 25
2024/11/20, 146, 129, 31, 17, 2, 21
2024/11/21, 115, 130, 28, 11, 2, 23
2024/11/22, 134, 143, 28, 5, 2, 25
2024/11/23, 157, 147, 22, 5, 2, 23
2024/11/24, 156, 114, 21, 5, 2, 26
2024/11/25, 133, 145, 19, 5, 2, 26
2024/11/26, 156, 164, 14, 5, 2, 32
2024/11/27, 164, 156, 16, 5, 2, 34
2024/11/28, 163, 105, 21, 5, 2, 25
2024/11/29, 153, 76, 27, 5, 2, 20
2024/11/30, 167, 91, 36, 5, 3, 19
2024/12/1, 173, , , , , 
