date, pm25, pm10, o3, no2, so2, co
2025/4/1, 150, 102, 28, 19, 8, 8
2025/4/2, 146, 88, 32, 13, 7, 7
2025/4/3, 123, 79, 41, 10, 6, 5
2025/4/4, 141, 85, 46, 12, , 6
2025/4/5, 151, 87, 50, 11, , 5
2025/4/6, 146, 94, 29, 3, , 6
2025/4/7, 147, 71, 24, 3, , 4
2025/4/8, 111, 76, 30, 3, , 4
2025/4/9, 110, 66, 29, 3, , 3
2025/4/10, 98, 38, 31, 3, , 3
2025/4/11, 74, 57, 37, 6, , 5
2025/4/12, 98, 63, 36, 4, , 4
2025/4/13, 107, 62, 46, 3, , 3
2025/4/14, 109, 46, 44, 3, , 3
2025/4/15, 80, 61, 27, 29, , 9
2025/4/16, 101, 72, 39, 4, , 4
2025/4/17, 117, 41, 28, 4, , 2
2025/4/18, 71, 46, 32, 7, , 5
2025/4/19, 81, 68, 29, 6, , 4
2025/4/20, 117, 75, 25, 8, , 5
2025/4/21, 135, 85, 26, 9, , 4
2025/4/22, 152, 90, 55, 10, , 3
2025/4/23, 153, 87, 59, 15, , 5
2025/4/24, 147, 85, 51, 19, , 6
2025/4/25, 153, 83, 51, 19, 1, 8
2025/4/26, 129, 97, 33, 9, 1, 4
2025/4/27, 148, 39, 24, 5, 1, 3
2025/4/28, 66, , , , , 
2025/1/1, 152, 88, 13, 8, 2, 7
2025/1/2, 158, 119, 15, 13, 2, 13
2025/1/3, 177, 106, 6, 10, 3, 14
2025/1/4, 171, 104, 9, 10, 2, 15
2025/1/5, 166, 127, 15, 14, 4, 18
2025/1/6, 185, 101, 8, 8, 2, 12
2025/1/7, 171, 70, 12, 7, 2, 7
2025/1/8, 143, 95, 16, 12, 2, 10
2025/1/9, 159, 125, 16, 13, 3, 13
2025/1/10, 180, 142, 5, 21, 3, 24
2025/1/11, 186, 111, 25, 12, 3, 12
2025/1/12, 176, 84, 16, 11, 2, 10
2025/1/13, 158, 94, 10, 8, 3, 8
2025/1/14, 164, 77, 12, 8, 2, 6
2025/1/15, 150, 84, 12, 9, 2, 8
2025/1/16, 157, 97, 13, 10, 2, 8
2025/1/17, 170, 95, 7, 7, 3, 5
2025/1/18, 162, , , , , 
2025/1/20, 158, 102, 8, 10, 2, 12
2025/1/21, 164, 85, 11, 8, 2, 10
