date, pm25, pm10, o3, no2, so2, co
2025/4/5, 121, 161, 36, 15, 2, 5
2025/4/6, 167, 117, 35, 15, 1, 6
2025/4/7, 151, 95, 47, 15, 1, 6
2025/4/8, 132, 85, 47, 15, 1, 6
2025/4/9, 129, 70, 20, 15, 1, 5
2025/4/10, 122, 76, 23, 15, 1, 6
2025/4/11, 118, 129, 21, 15, 1, 7
2025/4/12, 162, 95, 25, 15, 1, 5
2025/4/13, 150, 80, 8, 16, 1, 6
2025/4/14, 149, 58, 12, 15, 1, 6
2025/4/15, 100, 84, 8, 16, 1, 8
2025/4/16, 140, 99, 4, 15, 1, 6
2025/4/17, 151, 60, 22, 15, 1, 5
2025/4/18, 88, 65, 4, 15, 1, 7
2025/4/19, 113, 88, 10, 15, 1, 6
2025/4/20, 152, 98, 35, 15, 1, 7
2025/4/21, 157, 128, 35, 15, 1, 7
2025/4/22, 160, 152, 36, 15, 1, 6
2025/4/23, 132, 181, 34, 15, 1, 8
2025/4/24, 150, 264, 36, 15, 1, 9
2025/4/25, 176, 146, 35, 15, 1, 6
2025/4/26, 171, 108, 36, 15, 1, 3
2025/4/27, 167, 42, 34, 15, 1, 6
2025/4/28, 102, , , , , 
2025/1/1, 177, 128, 20, 15, 2, 27
2025/1/2, 184, 285, 20, 15, 4, 31
2025/1/3, 271, 171, 21, 15, 3, 35
2025/1/4, 227, 195, 20, 15, 3, 41
2025/1/5, 210, 264, 20, 15, 4, 51
2025/1/6, 264, 160, 20, 15, 3, 22
2025/1/7, 225, 93, 20, 16, 2, 24
2025/1/8, 163, 174, 19, 15, 3, 31
2025/1/9, 199, 351, 19, 15, 4, 38
2025/1/10, 279, 339, 20, 16, 5, 44
2025/1/11, 301, 449, 21, 15, 3, 34
2025/1/12, 224, 117, 20, 15, 3, 24
2025/1/13, 177, 134, 20, 15, 2, 27
2025/1/14, 189, 101, 19, 16, 2, 22
2025/1/15, 165, , , , , 
2025/1/23, 172, 148, 20, 15, 3, 23
2025/1/24, 182, , , , , 
2025/2/5, 129, 111, 20, 15, 2, 13
2025/2/6, 159, , , , , 
2025/2/11, 130, 160, 21, 15, 2, 16
2025/2/12, 141, 145, 20, 15, 2, 7
2025/2/13, 153, 106, 19, 16, 2, 13
2025/2/14, 143, 578, 19, 15, 4, 36
2025/2/15, 201, 275, 20, 16, 2, 20
2025/2/16, 187, 201, 20, 15, 2, 22
2025/2/17, 184, 314, 20, 15, 2, 28
2025/2/18, 200, 406, 20, 13, 2, 31
2025/2/19, 205, 148, 21, 15, 2, 22
2025/2/20, 183, 150, 20, 15, 2, 21
2025/2/21, 184, 246, 20, 15, 2, 17
2025/2/22, 166, 162, 20, 15, 2, 18
2025/2/23, 161, 121, 20, 16, 2, 20
2025/2/24, 160, 205, 20, 15, 2, 18
2025/2/25, 167, 133, 19, 15, 2, 21
2025/2/26, 164, 157, 20, 15, 2, 16
2025/2/27, 168, 217, 21, 15, 2, 14
2025/2/28, 163, 138, 21, 15, 2, 18
2025/3/1, 176, 98, 20, 15, 2, 15
2025/3/2, 153, 91, 19, 15, 2, 14
2025/3/3, 130, , , , , 
2025/3/5, 75, 146, 21, 15, 2, 16
2025/3/6, 118, 182, 20, 15, 2, 16
2025/3/7, 168, 131, 20, 15, 2, 18
2025/3/8, 159, 229, 20, 15, 1, 20
2025/3/9, 158, 120, 6, 15, 2, 22
