date, pm25, pm10, o3, no2, so2, co
2025/5/1, 95, , , 11, , 6
2025/5/2, 113, , , 14, , 9
2025/5/3, 117, , , , , 
2025/4/1, 153, , 7, 8, , 5
2025/4/2, 144, , 5, 5, , 4
2025/4/3, 149, , 7, 6, , 5
2025/4/4, 134, , 10, 9, , 5
2025/4/5, 132, , 2, 6, , 4
2025/4/6, 162, , 3, 10, , 6
2025/4/7, 146, , 4, 12, , 7
2025/4/8, 153, , , 11, , 9
2025/4/9, 160, , , 9, , 7
2025/4/10, 134, , , 10, , 9
2025/4/11, 117, , , , , 
2025/4/29, 163, , 1, 8, , 6
2025/4/30, 120, , 1, 7, , 4
2025/1/10, 194, , , 13, , 9
2025/1/11, 180, , , 12, , 16
2025/1/12, 140, , , 11, , 10
2025/1/13, 148, , , 11, , 10
2025/1/14, 146, , , 12, , 8
2025/1/15, 155, , , 13, , 10
2025/1/16, 153, , , 12, , 10
2025/1/17, 159, , , 10, , 8
2025/1/18, 168, , , 9, , 7
2025/1/19, 175, , , 12, , 13
2025/1/21, 167, , , 9, , 7
2025/1/23, 156, , , 9, , 5
2025/1/24, 150, , , 13, , 7
2025/3/3, 151, , , 12, , 7
2025/3/7, 175, 23, , 12, , 7
2025/3/8, 163, , , 16, , 7
2025/3/9, 171, , , 14, , 7
2025/3/10, 172, 40, , 14, , 8
2025/3/11, 180, 29, , 16, , 10
2025/3/12, 178, , , 9, , 8
2025/3/13, 143, , , 6, , 6
2025/3/14, 122, 33, , 4, , 4
2025/3/15, 137, 36, , 5, , 5
2025/3/16, 215, , 8, 3, , 3
2025/3/17, 103, , 4, 5, , 3
2025/3/18, 126, , 8, 7, , 4
2025/3/19, 149, , 4, 13, , 7
2025/3/20, 173, , , 10, , 8
2025/3/21, 158, , , 8, , 6
2025/3/22, 116, , , 8, , 5
2025/3/23, 136, , , 10, , 6
2025/3/24, 145, , , 11, , 6
2025/3/25, 167, , 2, 18, , 8
2025/3/26, 181, , 1, 15, , 9
2025/3/27, 172, , 7, 13, , 7
2025/3/28, 163, , 3, 11, , 6
2025/3/29, 135, , 7, 5, , 3
2025/3/30, 165, , 7, 12, , 7
2025/3/31, 176, , 3, 11, , 7
2024/10/1, 135, 25, , , , 
2024/10/2, 117, 23, , 1, , 
2024/10/3, 90, 21, , 1, , 
2024/10/4, 106, 18, , 2, , 
2024/10/5, 105, 15, , 1, , 
2024/10/6, 113, 14, , , , 
2024/10/7, 110, 13, , 1, , 
2024/10/8, 118, 15, , 1, , 
2024/10/9, 125, 17, , 2, , 
2024/10/10, 136, 16, , 2, , 
2024/10/11, 129, 19, , 2, , 
2024/10/12, 152, 21, , 2, , 
2024/10/13, 134, 19, , 1, , 
2024/10/14, 141, 21, , 1, , 
2024/10/15, 140, 23, , 3, , 
2024/10/16, 150, 28, , 4, , 
2024/10/17, 158, 23, , 2, , 
2024/10/18, 167, 26, , 2, , 
2024/10/19, 165, 26, , 3, , 
2024/10/20, 149, , , 3, , 
2024/10/21, 129, , , 2, , 
2024/10/22, 114, , , 2, , 
2024/10/23, 99, 28, , 5, , 
2024/10/24, 88, 17, , 4, , 
2024/10/25, 90, 11, , 7, , 
2024/10/26, 148, , , 6, , 
2024/10/27, 143, , , 8, , 
2024/10/28, 125, 26, , 7, , 
2024/10/29, 142, 34, , 8, , 
2024/10/30, 153, 29, , 8, , 
2024/10/31, 195, 32, , 8, , 
2024/11/1, 198, 30, , 9, , 
2024/11/2, 172, 38, , 11, , 
2024/11/3, 144, 34, , 12, , 
2024/11/4, 134, 40, , 11, , 
2024/11/5, 136, 24, , 9, , 
2024/11/6, 134, , , 9, , 
2024/11/7, 121, 36, , 9, , 
2024/11/8, 119, 31, , 9, , 
2024/11/9, 124, 23, , 7, , 
2024/11/10, 115, 30, , 10, , 
2024/11/11, 134, 29, , 12, , 
2024/11/12, 128, 28, , 9, , 
2024/11/13, 138, 28, , 9, , 
2024/11/14, 144, 31, , 9, , 
2024/11/15, 140, 28, , 9, , 
2024/11/16, 143, 25, , 8, , 
2024/11/17, 139, 28, , 8, , 
2024/11/18, 132, 32, , 10, , 
2024/11/19, 125, 30, , 10, , 
2024/11/20, 104, 34, , 11, , 
2024/11/21, 126, 38, , 13, , 
2024/11/22, 151, 31, , 15, , 
2024/11/23, 177, , , 10, , 
2024/11/24, 166, , , 11, , 
2024/11/25, 148, , , 10, , 
2024/11/26, 130, , , 10, , 
2024/11/27, 134, , , 11, , 
2024/11/28, 132, 49, , 12, , 
2024/11/29, 154, 48, , 11, , 
2024/11/30, 156, 23, , 8, , 
2024/12/1, 121, 51, , 11, , 
2024/12/2, 129, 48, , 13, , 
2024/12/3, 116, , , 13, , 
2024/1/2, 39, , 2, 7, 9, 4
