date, pm25, pm10, o3, no2, so2, co
2025/5/1, 81, 57, 14, 2, 2, 4
2025/5/2, 84, 59, 14, 2, 1, 4
2025/5/3, 90, , , , , 
2025/4/1, 83, 57, 14, 1, 1, 3
2025/4/2, 76, 54, 14, 1, 1, 4
2025/4/3, 71, 54, 14, 2, 2, 3
2025/4/4, 74, 53, 14, 2, 1, 3
2025/4/5, 77, 52, 14, 2, 1, 3
2025/4/6, 79, 54, 14, 2, 6, 3
2025/4/7, 82, 55, 14, 2, 1, 4
2025/4/8, 85, 56, 14, 1, 1, 3
2025/4/9, 87, 57, 14, 2, 1, 5
2025/4/10, 83, 57, 14, 2, 1, 4
2025/4/11, 80, 57, 14, 2, 1, 6
2025/4/12, 81, 57, 14, 2, 1, 5
2025/4/13, 81, 58, 15, 2, , 3
2025/4/14, 82, 56, 14, 2, 2, 4
2025/4/15, 84, 55, 14, 2, 1, 5
2025/4/16, 86, 56, 14, 2, 1, 3
2025/4/17, 83, 57, 14, 1, 1, 4
2025/4/18, 79, 57, 14, 2, 1, 4
2025/4/19, 78, 56, 14, 2, 1, 4
2025/4/20, 74, 58, 14, 2, 2, 4
2025/4/21, 80, 58, 14, 2, 1, 4
2025/4/22, 88, 56, 14, 1, 2, 4
2025/4/23, 89, 58, 14, 2, 1, 4
2025/4/24, 87, 58, 14, 2, 1, 4
2025/4/25, 80, 55, 14, 2, 1, 4
2025/4/26, 77, 55, 14, 2, 1, 3
2025/4/27, 76, 54, 14, 2, 1, 3
2025/4/28, 74, 55, 14, 2, 2, 3
2025/4/29, 77, 56, 14, 2, 1, 4
2025/4/30, 81, 56, 14, 2, 1, 4
2025/1/1, 82, 55, 14, 2, 2, 4
2025/1/2, 85, 57, 14, 2, 1, 5
2025/1/3, 86, 58, 14, 2, , 4
2025/1/4, 81, 58, 14, 2, , 4
2025/1/5, 73, 56, 14, 1, 1, 5
2025/1/6, 70, 55, 14, 1, 2, 4
2025/1/7, 73, 58, 14, 2, 2, 4
2025/1/8, 81, 57, 14, 1, 2, 5
2025/1/9, 81, 58, 14, 2, 1, 5
2025/1/10, 85, 56, 14, 2, 1, 4
2025/1/11, 76, 55, 14, 2, 2, 4
2025/1/12, 76, 54, 14, 1, 3, 4
2025/1/13, 79, 54, 14, 2, 3, 5
2025/1/14, 81, 52, 14, 1, 3, 4
2025/1/15, 84, 54, 14, 2, 3, 4
2025/1/16, 84, 54, 14, 2, 1, 4
2025/1/17, 75, 55, 14, 2, 3, 4
2025/1/18, 80, 56, 14, 2, 2, 5
2025/1/19, 84, 58, 14, 2, 2, 4
2025/1/20, 87, 56, 14, 1, 2, 4
2025/1/21, 79, 55, 14, 2, 2, 5
2025/1/22, 72, 54, 14, 2, 2, 5
2025/1/23, 70, 53, 14, 2, 3, 5
2025/1/24, 71, 55, 14, 2, 4, 4
2025/1/25, 77, 54, 14, 2, 2, 4
2025/1/26, 75, 56, 14, 1, 2, 4
2025/1/27, 83, 58, 14, 2, 2, 4
2025/1/28, 91, 58, 14, 2, 2, 5
2025/1/29, 91, 56, 14, 2, 1, 5
2025/1/30, 83, 54, 14, 2, 2, 6
2025/1/31, 76, 56, 14, 2, 2, 5
2025/2/1, 82, 59, 14, 2, 3, 4
2025/2/2, 87, 57, 14, 1, 2, 5
2025/2/3, 89, 57, 14, 2, 2, 4
2025/2/4, 92, 57, 14, 2, 1, 5
2025/2/5, 85, 59, 14, 2, 3, 6
2025/2/6, 73, 56, 14, 2, 2, 5
2025/2/7, 77, 53, 14, 2, 1, 4
2025/2/8, 81, 52, 14, 2, 2, 5
2025/2/9, 80, 54, 14, 2, 3, 5
2025/2/10, 87, 55, 14, 2, 1, 4
2025/2/11, 87, 56, 14, 1, 3, 5
2025/2/12, 84, 58, 14, 2, 2, 6
2025/2/13, 87, 59, 14, 2, 1, 8
2025/2/14, 89, 54, 14, 2, 2, 6
2025/2/15, 81, 54, 14, 2, 1, 5
2025/2/16, 81, 56, 14, 2, 1, 6
2025/2/17, 84, 59, 14, 2, 2, 5
2025/2/18, 89, 57, 14, 2, 1, 5
2025/2/19, 84, 55, 14, 2, 3, 7
2025/2/20, 79, 54, 14, 2, 1, 6
2025/2/21, 81, 53, 14, 2, 1, 6
2025/2/22, 84, 53, 14, 2, 2, 7
