date, pm25, pm10, o3, no2, so2, co
2025/5/1, 16, 20, 1, , , 
2025/5/2, 7, 1, 1, , , 
2025/4/1, 69, 76, , , , 
2025/4/2, 57, 75, , , , 
2025/4/3, 53, 71, 7, , , 
2025/4/4, 54, 74, 2, , , 
2025/4/5, 49, 71, 1, , , 
2025/4/6, 53, 53, 4, , , 
2025/4/7, 28, 60, 4, , , 
2025/4/8, 49, 49, 1, , , 
2025/4/9, 27, 44, 1, , , 
2025/4/10, 15, 35, 1, , , 
2025/4/11, 17, 35, , , , 
2025/4/12, 11, 46, 1, , , 
2025/4/13, 16, 56, 2, , , 
2025/4/14, 23, 21, 5, , , 
2025/4/15, 17, 25, , , , 
2025/4/16, 17, 20, , , , 
2025/4/17, 11, 24, , , , 
2025/4/18, 5, 24, , , , 
2025/4/19, 5, 25, , , , 
2025/4/20, 7, 37, , , , 
2025/4/21, 13, 44, 1, , , 
2025/4/22, 19, 56, 1, , , 
2025/4/23, 30, 61, 1, , , 
2025/4/24, 45, 60, , , , 
2025/4/25, 35, 54, 3, , , 
2025/4/26, 31, 51, 1, , , 
2025/4/27, 28, 36, 3, , , 
2025/4/28, 13, 32, 2, , , 
2025/4/29, 12, 43, 1, , , 
2025/4/30, 7, 24, 1, , , 
2025/1/1, 29, 23, 2, , 1, 
2025/1/2, 13, 24, 2, , 1, 
2025/1/3, 10, 22, 2, , 1, 
2025/1/4, 3, 18, 2, , 1, 
2025/1/5, 5, 18, 2, , 1, 
2025/1/6, 3, 29, 5, , 1, 
2025/1/7, 10, 64, 5, , 1, 
2025/1/8, 63, 60, 2, , 1, 
2025/1/9, 52, 43, 3, , 1, 
2025/1/10, 40, 34, 2, , 1, 
2025/1/11, 12, 17, 4, , , 
2025/1/12, 9, 26, 3, , 1, 
2025/1/13, 9, 45, 4, , 1, 
2025/1/14, 26, 41, 4, , , 
2025/1/15, 17, 30, 2, , , 
2025/1/16, 10, 31, 2, , 1, 
2025/1/17, 9, 33, 2, , 1, 
2025/1/18, 10, 30, 3, , , 
2025/1/19, 13, 36, 4, , , 
2025/1/20, 17, 46, 4, , 1, 
2025/1/21, 33, 61, 4, , 1, 
2025/1/22, 52, 43, 7, , 1, 
2025/1/23, 33, 38, 26, , 1, 
2025/1/24, 27, 56, 3, , 1, 
2025/1/25, 39, 67, 5, , , 
2025/1/26, 60, 63, 5, , , 
2025/1/27, 58, 66, 6, , , 
2025/1/28, 58, 90, 9, , , 
2025/1/29, 85, 92, 12, , , 
2025/1/30, 91, 84, 12, , , 
2025/1/31, 109, 67, 8, , , 
2025/2/1, 73, 70, 8, , , 
2025/2/2, 70, 71, 22, , , 
2025/2/3, 61, 66, 7, , , 
2025/2/4, 55, 73, 22, , , 
2025/2/5, 59, 85, 8, , , 
2025/2/6, 74, 72, 3, , , 
2025/2/7, 57, 59, 2, , , 
2025/2/8, 36, 38, 3, , , 
2025/2/9, 27, 65, 5, , , 
2025/2/10, 50, 69, 10, , , 
2025/2/11, 58, 64, 6, , , 
2025/2/12, 62, 67, 7, , , 
2025/2/13, 63, 53, 4, , , 
2025/2/14, 65, 62, 2, , , 
2025/2/15, 26, 70, 5, , , 
2025/2/16, 44, 67, 2, , , 
2025/2/17, 36, 58, 3, , , 
2025/2/18, 35, 51, , , , 
2025/2/19, 28, 61, , , , 
2025/2/20, 30, 53, 8, , , 
2025/2/21, 26, 71, 1, , , 
2025/2/22, 44, 60, 1, , , 
2025/2/23, 36, 58, 3, , , 
2025/2/24, 38, 56, 1, , , 
2025/2/25, 24, 55, 1, , , 
2025/2/26, 26, 51, 1, , , 
2025/2/27, 23, 84, 4, , , 
2025/2/28, 68, 88, 4, , , 
2025/3/1, 68, 60, 6, , , 
2025/3/2, 52, 73, 1, , , 
2025/3/3, 46, 70, 2, , , 
2025/3/4, 36, 80, 2, , , 
2025/3/5, 42, 86, 2, , , 
2025/3/6, 44, 82, 5, , , 
2025/3/7, 55, 78, 4, , , 
2025/3/8, 47, 66, 2, , , 
2025/3/9, 37, 71, 2, , , 
2025/3/10, 42, 87, 3, , , 
2025/3/11, 64, 82, 8, , , 
2025/3/12, 64, 75, 8, , , 
2025/3/13, 62, 73, 5, , , 
2025/3/14, 72, 83, 3, , , 
2025/3/15, 67, 77, 4, , , 
2025/3/16, 72, 58, 4, , , 
2025/3/17, 43, 57, 4, , , 
2025/3/18, 58, 62, 10, , , 
2025/3/19, 53, 66, 7, , , 
2025/3/20, 42, 57, 9, , , 
2025/3/21, 40, 48, 6, , , 
2025/3/22, 20, 39, 6, , , 
2025/3/23, 18, 44, 6, , , 
2025/3/24, 14, 57, 7, , , 
2025/3/25, 26, 66, 7, , , 
2025/3/26, 43, 86, 7, , , 
2025/3/27, 55, 86, 19, , , 
2025/3/28, 71, 83, 1, , , 
2025/3/29, 62, 78, , , , 
2025/3/30, 59, 88, , , , 
2025/3/31, 65, 81, 1, , , 
2024/10/1, 39, 27, 9, , 1, 2
2024/10/2, 17, 11, 24, , 1, 1
2024/10/4, 23, 31, 17, , 1, 1
2024/10/5, 18, 16, 7, , 1, 1
2024/10/6, 5, 15, 7, , 1, 1
2024/10/7, 7, 21, 18, , 1, 2
2024/10/8, 10, 43, 18, , 1, 2
