date, pm25, pm10, o3, no2, so2, co
2025/4/1, 96, 74, 12, 13, 2, 4
2025/4/2, 81, 81, 12, 13, 3, 4
2025/4/3, 83, 46, 12, 13, 3, 6
2025/4/4, 68, 46, 12, 13, 3, 4
2025/4/5, 64, 314, 12, 12, 4, 5
2025/4/6, 71, 151, 11, 13, 3, 5
2025/4/7, 84, 58, 11, 13, 4, 4
2025/4/8, 106, 181, 11, 12, 4, 5
2025/4/9, 91, 208, 11, 12, 2, 4
2025/4/10, 80, 499, 11, 13, 2, 4
2025/4/11, 86, 57, 9, 13, 3, 4
2025/4/12, 76, 124, 9, 13, 3, 4
2025/4/13, 71, 65, 9, 12, 3, 4
2025/4/14, 79, 60, 10, 12, 4, 3
2025/4/15, 74, 126, 9, 13, 3, 6
2025/4/16, 69, 216, 9, 13, 3, 4
2025/4/17, 72, 65, 9, 13, 4, 4
2025/4/18, 73, 61, 9, 13, 3, 5
2025/4/19, 78, 51, 10, 13, 3, 4
2025/4/20, 75, 52, 9, 13, 3, 5
2025/4/21, 75, 81, 11, 13, 4, 4
2025/4/22, 79, 224, 11, 12, 3, 5
2025/4/23, 81, 69, 11, 13, 3, 5
2025/4/24, 75, 69, 11, 13, 4, 5
2025/4/25, 80, 59, 11, 13, 2, 4
2025/4/26, 77, 85, 11, 13, 2, 5
2025/4/27, 73, , , , , 
2025/1/1, 139, 66, 9, 15, 5, 4
2025/1/2, 121, 65, 10, 16, 7, 4
2025/1/3, 124, 65, 11, 13, 8, 4
2025/1/4, 115, 62, 10, 15, 8, 4
2025/1/5, 121, 69, 10, 14, 7, 5
2025/1/6, 143, 68, 9, 9, 6, 5
2025/1/7, 118, 72, 9, 1, 3, 4
2025/1/8, 80, 81, 9, 2, , 4
2025/1/9, 96, 94, 7, 1, , 4
2025/1/10, 98, 67, 9, 1, 1, 4
2025/1/11, 79, 67, 9, 1, 1, 4
2025/1/12, 80, 47, 10, 1, , 4
2025/1/13, 75, 43, 10, , , 5
2025/1/14, 81, 113, 10, 1, 1, 5
2025/1/15, 78, 71, 9, 13, 5, 3
2025/1/16, 89, 84, 9, 19, 8, 4
2025/1/17, 87, 82, 9, 17, 7, 5
2025/1/18, 78, 76, 9, 16, 7, 5
2025/1/19, 79, 63, 10, 19, 8, 5
2025/1/20, 70, 77, 10, 21, 7, 5
2025/1/21, 84, 148, 11, 20, 8, 4
2025/1/22, 81, 58, 11, 21, 9, 4
2025/1/23, 76, 61, 11, 19, 6, 5
2025/1/24, 74, 60, 10, 21, 4, 4
2025/1/25, 73, 96, 10, 21, 4, 5
2025/1/26, 67, 61, 10, 19, 4, 5
2025/1/27, 74, 72, 10, 16, 4, 5
2025/1/28, 91, 79, 11, 13, 4, 4
2025/1/29, 83, 69, 11, 13, 4, 4
2025/1/30, 75, 25, 10, 13, 2, 5
2025/1/31, 69, 22, 9, 13, 2, 4
2025/2/1, 68, 139, 9, 13, 2, 4
2025/2/2, 63, 24, 11, 13, 2, 5
2025/2/3, 69, 97, 12, 14, 5, 5
2025/2/4, 68, 29, 11, 13, 2, 4
2025/2/5, 80, 27, 11, 13, 2, 4
2025/2/6, 73, 25, 11, 13, 2, 4
2025/2/7, 69, 32, 9, 13, 2, 5
2025/2/8, 80, 31, 9, 12, 2, 5
2025/2/9, 85, 32, 10, 13, 2, 4
2025/2/10, 86, 30, 10, 13, 2, 5
2025/2/11, 77, 26, 11, 14, 2, 5
2025/2/12, 73, 28, 10, 13, 2, 5
2025/2/13, 76, 24, 10, 14, 2, 6
2025/2/14, 70, 25, 10, 13, 2, 6
2025/2/15, 75, 27, 10, 13, 2, 3
2025/2/16, 76, 42, 10, 13, 3, 6
2025/2/17, 78, 184, 10, 13, 4, 4
