date, pm10, no2, so2, co
01-04-2025,73,11,4,10
02-04-2025,73,11,4,11
03-04-2025,70,11,4,10
04-04-2025,67,11,4,10
05-04-2025,68,11,4,10
06-04-2025,69,11,4,10
07-04-2025,70,13,4,11
08-04-2025,71,15,3,12
09-04-2025,70,16,2,10
10-04-2025,72,15,3,11
11-04-2025,70,11,4,12
12-04-2025,69,11,4,11
13-04-2025,69,11,4,11
14-04-2025,70,11,4,12
15-04-2025,69,12,5,10
16-04-2025,69,11,4,13
17-04-2025,68,11,4,11
18-04-2025,71,11,4,12
19-04-2025,70,11,4,10
20-04-2025,71,11,4,12
21-04-2025,71,12,4,10
22-04-2025,73,12,4,9
23-04-2025,73,12,3,9
24-04-2025,71,13,4,11
25-04-2025,71,16,3,8
26-04-2025,72,17,2,8
27-04-2025,72, , , 
01-01-2025,69,8,5,9
02-01-2025,68,9,5,10
03-01-2025,68,9,6,10
04-01-2025,68,9,6,8
05-01-2025,67,8,6,9
06-01-2025,68,9,5,6
07-01-2025,65,9,5,7
08-01-2025,62,10,4,8
09-01-2025,62,10,4,6
10-01-2025,62, , , 
15-01-2025,66,12,5,4
16-01-2025,68,11,4,4
17-01-2025,74,9,5,4
18-01-2025,73,9,6,4
19-01-2025,72,8,5,8
20-01-2025,72,7,5,11
21-01-2025,73,7,4,7
22-01-2025,72,8,3,6
23-01-2025,64,8,2,2
24-01-2025,92,8,2,2
25-01-2025,88,8,1,1
26-01-2025,105,8,1,2
27-01-2025,83,8,2,7
28-01-2025,61,9,3,12
29-01-2025,38,11,4,13
30-01-2025,120,11,4,14
31-01-2025,70,11,4,14
01-02-2025,70,11,4,14
02-02-2025,69,11,4,11
03-02-2025,71,11,4,11
04-02-2025,71,11,4,11
05-02-2025,73,11,4,11
06-02-2025,71,11,4,11
07-02-2025,71,11,4,11
08-02-2025,73,12,4,12
09-02-2025,73,13,4,12
10-02-2025,73,14,3,10
11-02-2025,71,15,3,10
12-02-2025,72,15,4,10
13-02-2025,72,15,3,8
14-02-2025,71,17,4,14
15-02-2025,75,15,4,10
16-02-2025,73,11,4,11
17-02-2025,71,11,4,11
18-02-2025,84,13,4,13
19-02-2025,71,16,3,13
20-02-2025,73,16,3,12
21-02-2025,72,17,2,9
22-02-2025,71, , , 
26-02-2025,71,16,3,10
27-02-2025,70,16,3,11
28-02-2025,69,17,3,11
01-03-2025,69,18,3,10
