date, pm25, pm10, o3, no2, so2, co
2025/4/1, 148, 70, 35, , 5, 4
2025/4/2, 130, 53, 2, , 1, 3
2025/4/3, 93, 41, 5, , , 2
2025/4/4, 61, 36, 6, , 1, 3
2025/4/5, 52, 44, 8, , , 3
2025/4/6, 75, 66, 8, , 1, 3
2025/4/7, 121, 55, 12, , , 3
2025/4/8, 89, 55, 16, , 1, 3
2025/4/9, 80, 54, 29, 12, , 2
2025/4/10, 89, 53, 22, 7, 1, 3
2025/4/11, 85, 43, 19, 2, 1, 3
2025/4/12, 78, 47, 36, 3, 3, 3
2025/4/13, 72, 54, 23, 5, 3, 3
2025/4/14, 91, 50, 20, 5, 3, 3
2025/4/15, 85, 52, 16, , 4, 3
2025/4/16, 85, 49, 10, , 2, 3
2025/4/17, 83, 52, 5, 1, 3, 3
2025/4/18, 89, 53, 9, 3, 2, 4
2025/4/19, 90, 52, 7, 4, 2, 3
2025/4/20, 88, 56, 11, 4, 2, 3
2025/4/21, 91, 76, 20, 5, 2, 4
2025/4/22, 122, 66, 15, 3, 2, 2
2025/4/23, 106, 71, 11, 5, 2, 2
2025/4/24, 96, 66, 16, 4, 1, 3
2025/4/25, 99, 62, 22, 9, 2, 2
2025/4/26, 91, 62, 3, 16, 2, 3
2025/4/27, 95, , , , , 
2025/1/1, 159, 77, 2, 24, 6, 
2025/1/2, 144, 74, , 23, 6, 
2025/1/3, 139, 83, , 24, 6, 
2025/1/4, 146, 81, , 24, 5, 
2025/1/5, 148, 81, , 24, 6, 
2025/1/6, 147, 82, , 24, 6, 
2025/1/7, 137, 75, , 24, 5, 
2025/1/8, 129, 83, , 24, 4, 
2025/1/9, 155, 83, , 24, 5, 
2025/1/10, 164, 74, , 24, 5, 
2025/1/11, 130, 62, , 22, 5, 
2025/1/12, 116, 55, , 22, 6, 
2025/1/13, 94, 46, , 21, 6, 
2025/1/14, 70, 48, , 22, 6, 
2025/1/15, 68, 63, , 23, 6, 
2025/1/16, 111, 78, 7, 23, 6, 
2025/1/17, 155, 77, 17, 21, 8, 5
2025/1/18, 149, 56, 2, 14, 3, 2
2025/1/19, 99, 59, 4, 14, 4, 3
2025/1/20, 84, 73, 2, 18, 4, 3
2025/1/21, 129, 72, 2, 19, 4, 3
2025/1/22, 118, 69, 3, 18, 5, 3
2025/1/23, 113, 66, 2, 20, 4, 3
2025/1/24, 100, 68, 2, 22, 4, 4
2025/1/25, 106, 40, 1, 21, 4, 2
2025/1/26, 60, 59, 3, 22, 5, 3
2025/1/27, 92, 87, 29, 21, 4, 3
2025/1/28, 132, 95, 7, 22, 4, 3
2025/1/29, 138, 81, 7, 21, 4, 3
2025/1/30, 126, 50, 3, 20, 4, 3
2025/1/31, 73, 52, 6, 20, 4, 3
