date, pm25, pm10, o3, no2, so2, co
2025/5/1, 74, 95, 52, 18, 6, 5
2025/5/2, 78, 102, 26, 35, 6, 5
2025/5/3, 108, , , , , 
2025/4/1, 89, 99, 78, 17, 11, 10
2025/4/2, 134, 99, 72, 14, 8, 8
2025/4/3, 107, 82, 76, 18, 9, 8
2025/4/4, 116, 80, 55, 21, 6, 6
2025/4/5, 77, 85, 73, 15, 7, 7
2025/4/6, 87, 89, 53, 21, 8, 7
2025/4/7, 85, 100, 77, 26, 9, 8
2025/4/8, 115, 98, 72, 18, 11, 10
2025/4/9, 111, 99, 61, 17, 7, 7
2025/4/10, 96, 91, 60, 11, 8, 7
2025/4/11, 100, 88, 52, 9, 7, 6
2025/4/12, 95, 95, 63, 10, 7, 7
2025/4/13, 92, 127, 97, 16, 13, 12
2025/4/14, 158, 84, 84, 7, 7, 6
2025/4/15, 83, 75, 67, 16, 7, 6
2025/4/16, 78, 84, 62, 12, 9, 8
2025/4/17, 99, 78, 44, 7, 9, 8
2025/4/18, 69, 75, 65, 8, 10, 9
2025/4/19, 84, 101, 68, 8, 11, 10
2025/4/20, 96, 122, 69, 10, 10, 9
2025/4/21, 108, 104, 92, 17, 8, 7
2025/4/22, 106, 93, 90, 16, 9, 8
2025/4/23, 103, 80, 90, 15, 8, 7
2025/4/24, 88, 88, 69, 19, 9, 9
2025/4/25, 108, 84, 72, 5, 8, 7
2025/4/26, 84, 94, 66, 3, 8, 7
2025/4/27, 97, 78, 77, 9, 7, 6
2025/4/28, 74, 82, 45, 15, 7, 6
2025/4/29, 70, 97, 93, 17, 7, 6
2025/4/30, 87, 89, 60, 18, 6, 6
2025/1/1, 201, 89, 27, 21, 8, 19
2025/1/2, 141, 94, 34, 25, 10, 18
2025/1/3, 142, 69, 34, 19, 8, 12
2025/1/4, 105, 93, 37, 18, 12, 14
2025/1/5, 138, 80, 37, 15, 11, 12
2025/1/6, 140, 78, 32, 12, 5, 13
2025/1/7, 145, 78, 46, 13, 9, 12
2025/1/8, 136, 73, 41, 15, 11, 12
2025/1/9, 127, 67, 44, 12, 9, 9
2025/1/10, 111, 137, 8, 24, 11, 24
2025/1/11, 174, 108, 31, 13, 8, 14
2025/1/12, 173, 92, 37, 11, 6, 14
2025/1/13, 164, 85, 38, 11, 7, 13
2025/1/14, 159, 85, 37, 11, 9, 14
2025/1/15, 155, 94, 24, 11, 7, 13
2025/1/16, 165, 116, 26, 11, 9, 13
2025/1/17, 177, 85, 34, 14, 8, 13
2025/1/18, 149, 74, 41, 14, 7, 14
2025/1/19, 129, 79, 43, 15, 8, 12
2025/1/20, 130, 79, 47, 14, 9, 10
2025/1/21, 131, 95, 45, 13, 8, 13
2025/1/22, 146, 99, 48, 15, 10, 13
2025/1/23, 153, 84, 40, 9, 8, 8
2025/1/24, 151, 78, 41, 16, 8, 10
2025/1/25, 122, 75, 45, 22, 9, 12
2025/1/26, 111, 72, 43, 23, 8, 12
2025/1/27, 100, 75, 46, 25, 10, 12
2025/1/28, 104, 82, 59, 20, 9, 14
2025/1/29, 98, 86, 44, 23, 9, 9
2025/1/30, 102, 75, 44, 21, 8, 9
2025/1/31, 80, 81, 52, 23, 9, 8
2025/2/1, 101, 80, 50, 22, 10, 7
2025/2/2, 100, 80, 56, 19, 10, 7
2025/2/3, 101, 87, 43, 17, 10, 8
2025/2/4, 129, 89, 43, 15, 7, 5
2025/2/5, 143, 78, 42, 16, 9, 4
2025/2/6, 98, 78, 40, 18, 8, 8
2025/2/7, 94, 77, 40, 20, 6, 9
2025/2/8, 81, 69, 58, 17, 11, 1
2025/2/9, 86, 99, 57, 22, 11, 13
2025/2/10, 126, 87, 47, 21, 12, 11
2025/2/11, 85, 73, 50, 14, 14, 13
2025/2/12, 80, 78, 48, 16, 9, 8
2025/2/13, 70, 83, 29, 21, 11, 11
2025/2/14, 73, 91, 27, 15, 7, 6
2025/2/15, 86, 82, 50, 16, 10, 10
2025/2/16, 76, 87, 50, 20, 8, 8
2025/2/17, 83, 95, 49, 19, 10, 10
2025/2/18, 88, 94, 50, 15, 8, 8
2025/2/19, 122, 87, 19, 21, 9, 8
2025/2/20, 98, 75, 40, 13, 7, 6
2025/2/21, 54, 102, 45, 15, 8, 7
2025/2/22, 76, 82, 51, 19, 8, 7
2025/2/23, 70, 79, 43, 16, 7, 7
2025/2/24, 77, 64, 43, 14, 7, 6
2025/2/25, 64, 70, 41, 16, 9, 8
2025/2/26, 67, 83, 53, 19, 10, 10
2025/2/27, 88, 89, 59, 17, 11, 8
2025/2/28, 98, 80, 51, 15, 10, 11
2025/3/1, 92, 92, 39, 18, 7, 11
2025/3/2, 85, 89, 52, 13, 8, 5
2025/3/3, 99, 96, 40, 11, 9, 5
2025/3/4, 72, 81, 41, 11, 9, 3
2025/3/5, 49, 64, 46, 13, 8, 8
2025/3/6, 48, 78, 53, 23, 12, 12
2025/3/7, 76, 65, 44, 16, 7, 9
2025/3/8, 47, 83, 46, 14, 9, 10
2025/3/9, 59, 64, 57, 14, 8, 13
2025/3/10, 62, 79, 65, 22, 11, 13
2025/3/11, 82, 74, 74, 15, 10, 7
2025/3/12, 75, 66, 56, 11, 11, 6
2025/3/13, 57, 57, 50, 7, 8, 6
2025/3/14, 52, 58, 57, 10, 10, 9
2025/3/15, 57, 67, 47, 10, 7, 9
2025/3/16, 56, 73, 63, 11, 9, 13
2025/3/17, 71, 64, 60, 12, 6, 12
2025/3/18, 64, 65, 79, 12, 11, 12
2025/3/19, 74, 70, 83, 11, 9, 14
2025/3/20, 81, 78, 69, 14, 9, 15
2025/3/21, 91, 65, 69, 14, 7, 9
2025/3/22, 64, 75, 57, 16, 6, 3
2025/3/23, 66, 61, 60, 13, 7, 2
2025/3/24, 55, 72, 68, 17, 11, 8
2025/3/25, 85, 91, 80, 21, 12, 7
2025/3/26, 111, 80, 85, 14, 10, 3
2025/3/27, 90, 95, 54, 12, 9, 9
2025/3/28, 72, 84, 60, 13, 7, 6
2025/3/29, 52, 88, 77, 18, 8, 7
2025/3/30, 70, 93, 73, 23, 9, 9
2025/3/31, 88, 89, 83, 18, 9, 9
2024/10/1, 95, 77, 33, 6, 5, 9
2024/10/2, 99, 78, 33, 5, 6, 8
2024/10/3, 105, 79, 34, 4, 6, 8
2024/10/4, 131, 77, 39, 4, 5, 7
2024/10/5, 118, 81, 38, 4, 5, 7
2024/10/6, 123, 88, 44, 8, 5, 10
2024/10/7, 120, 93, 48, 9, 6, 11
2024/10/8, 134, 96, 40, 8, 4, 11
2024/10/9, 143, 83, 36, 8, 5, 10
2024/10/10, 125, 84, 40, 6, 6, 9
2024/10/11, 131, 68, 38, 5, 5, 9
2024/10/12, 108, 65, 30, 6, 5, 9
2024/10/13, 122, 54, 31, 6, 4, 9
2024/10/14, 91, 79, 34, 9, 5, 9
2024/10/15, 126, 104, 38, 9, 5, 10
2024/10/16, 160, 92, 46, 9, 5, 10
2024/10/17, 140, 85, 45, 11, 6, 9
2024/10/18, 113, 92, 46, 12, 6, 9
2024/10/19, 130, 59, 39, 6, 5, 7
2024/10/20, 93, 55, 38, 4, 5, 7
2024/10/21, 80, 91, 47, 8, 7, 10
2024/10/22, 160, 110, 49, 12, 7, 12
2024/10/23, 152, 135, 65, 13, 5, 13
2024/10/24, 164, 116, 57, 13, 7, 13
2024/10/25, 156, 112, 61, 14, 8, 12
2024/10/26, 143, 112, 78, 14, 8, 12
2024/10/27, 146, 92, 41, 11, 5, 11
2024/10/28, 119, 97, 49, 14, 7, 15
2024/10/29, 121, 102, 46, 15, 7, 13
2024/10/30, 132, 124, 57, 17, 9, 15
2024/10/31, 145, 114, 67, 10, 10, 10
