date, pm25, pm10, o3, no2, so2, co
01-04-2025,130,168,13,15,3,28
02-04-2025,160,222,10,17,3,34
03-04-2025,192,224,11,16,1,31
04-04-2025,161,126,9,13,2,21
05-04-2025,138,142,12,14,2,24
06-04-2025,152,272,9,16,4,50
07-04-2025,208,186,14,12,2,26
08-04-2025,170,178,11,10,1,32
09-04-2025,170,193,11,13,8,20
10-04-2025,152,140,10,8,25,16
11-04-2025,109,81,16,11, ,39
12-04-2025,102,109,21,20,1,12
13-04-2025,131,150,16,16,1,11
14-04-2025,129,123,19,13, ,13
15-04-2025,132,151,18,15,1,18
16-04-2025,160,169,23,15,2,20
17-04-2025,150,171,39,10,4,21
18-04-2025,158,104,10,9,4,22
19-04-2025,113,113,15,9,2,21
20-04-2025,136,160,15,19,2,27
21-04-2025,155,174,15,24,2,34
22-04-2025,164,157,19,25, ,26
23-04-2025,144,200,21,26,8,33
24-04-2025,166,269,20,25,12,32
25-04-2025,207,246,31,26,1,26
26-04-2025,194,139, ,20,1,12
27-04-2025,153, , , , , 
01-01-2025,263,199,2,16,1,20
02-01-2025,257,575,1,25,3,19
03-01-2025,423,315,1,21,2,10
04-01-2025,371,161,3,13,2,15
05-01-2025,255,200,2,17,1,20
06-01-2025,283,191,1,15,3,13
07-01-2025,254, , , , , 
10-01-2025,381,212,1,12,2,13
11-01-2025,280,156,1,12, ,21
12-01-2025,252,170,1,14,15,15
13-01-2025,233,243,2,14,25, 
14-01-2025,291,429,5,12,6,23
15-01-2025,419,296,3,14,2,36
16-01-2025,329,222,4,11,2,30
17-01-2025,281,197,3,10,2,20
18-01-2025,241,379,3,16,1, 
19-01-2025,348,246,2,21,11,27
20-01-2025,260,199,3,23,2,18
21-01-2025,224,210,3,18,1,18
22-01-2025,202,167,2,18,1,19
23-01-2025,211,129,4,20,1,10
24-01-2025,175,305,5,20,3,11
25-01-2025,199,315,5,24,2,11
26-01-2025,248,254,3,27,1,20
27-01-2025,220,251,4,30,1,23
28-01-2025,221,342,4,29,2,25
29-01-2025,318,197,3,24,4,19
30-01-2025,256,349,6,21,3,28
31-01-2025,330,443,3,26,2,28
01-02-2025,401,175,2,16,1,17
02-02-2025,250,162,3,20,3, 
03-02-2025,209,240,2,21,1,22
04-02-2025,247,164,2,20,1,18
05-02-2025,207,122,3,17,2,5
06-02-2025,160,118,3,20, ,9
07-02-2025,152,158,3,22,1,10
08-02-2025,165,227,2,25,1, 
09-02-2025,200,323,2,25,1,17
10-02-2025,224,337,7,25,2,21
11-02-2025,277,213,6,16,1,10
12-02-2025,180,140,10,13,2,4
13-02-2025,126,116,7,17,3,12
14-02-2025,153,181,4,19,1,18
15-02-2025,180,270,10,17,1,16
16-02-2025,253,240,11,19,3,18
17-02-2025,215,148,4,17,3,21
18-02-2025,161,148,8,15, ,11
19-02-2025,171,116,7,10,2,10
20-02-2025,153,112,8,16,1,20
21-02-2025,168,87,6,13,1,13
22-02-2025,136,112,9,19,2,7
23-02-2025,148,143,9,21,1,10
24-02-2025,192,163,10,24,3,21
25-02-2025,173,231,8,23,3,32
26-02-2025,202,203,2,18,3,22
27-02-2025,177, , , , , 
03-03-2025,153,122,7,23,2,12
04-03-2025,143,105,10,17,1,10
05-03-2025,101,128,12,22,5,17
06-03-2025,131,201,10,22,2,22
07-03-2025,175,151,11,21, ,16
08-03-2025,153,213,14,21,1,21
09-03-2025,189,178,19,17,3,15
10-03-2025,172,240,15,26,3,20
11-03-2025,202,267,9,21,1,12
12-03-2025,169,137,12,18,3,12
13-03-2025,170,139,11,19,3,21
14-03-2025,177,64,10,13,2,9
15-03-2025,97,121,10,17,2,10
16-03-2025,113,91,9,18,2,10
17-03-2025,141,85,9,18,1,12
18-03-2025,108,122,11,19,2,19
19-03-2025,148,129,10,17,1,22
20-03-2025,135,136,11,16,1,20
21-03-2025,136,182,11,17,2,21
22-03-2025,147,178,18,19,1,27
23-03-2025,161,220,15,20,2,30
24-03-2025,177,201,20,23,2,33
25-03-2025,196,145,8,16,3,20
26-03-2025,142,213,2,13,2,23
27-03-2025,150,207,8,11,1,21
28-03-2025,136,121,13,10, ,18
29-03-2025,126,101,14,11,3,18
30-03-2025,108,108,12,14,2,18
31-03-2025,140,127,15,12,1,19
01-10-2024,165,289,31,12,3,8
02-10-2024,174,516,29,18,16,13
03-10-2024,172,570,69,16,5,12
