date, pm25, pm10, o3, no2, so2, co
2025/4/1, 149, 202, 20, 17, 3, 11
2025/4/2, 188, 222, 24, 19, 4, 15
2025/4/3, 155, 184, 22, 18, 4, 11
2025/4/4, 154, 125, 24, 25, 4, 11
2025/4/5, 152, 125, 36, 5, 12, 8
2025/4/6, 162, 181, 65, 13, 8, 18
2025/4/7, 174, 156, 51, 20, 7, 13
2025/4/8, 171, 158, 36, 18, 5, 14
2025/4/9, 171, 190, 35, 15, 5, 10
2025/4/10, 150, 100, 21, 14, 3, 6
2025/4/11, 130, 77, 28, 13, , 8
2025/4/12, 106, 99, 41, 15, 1, 9
2025/4/13, 133, 124, 29, 16, 2, 11
2025/4/14, 154, 118, 29, 15, 4, 10
2025/4/15, 149, 132, 44, 24, 5, 12
2025/4/16, 166, 142, 41, 26, 7, 14
2025/4/17, 155, 145, 40, 24, 7, 12
2025/4/18, 160, 110, 23, 19, 8, 7
2025/4/19, 135, 107, 26, 20, 6, 9
2025/4/20, 133, 159, 25, 24, 7, 9
2025/4/21, 147, 157, 25, 26, 13, 11
2025/4/22, 150, 182, 31, 25, 12, 14
2025/4/23, 168, 240, 28, 25, 9, 16
2025/4/24, 172, 210, 32, 30, 7, 26
2025/4/25, 166, 257, 31, 36, 8, 26
2025/4/26, 173, 121, 4, 19, 7, 8
2025/4/27, 143, , , , , 
2025/1/1, 216, 157, 10, 21, 2, 19
2025/1/2, 236, 154, , 15, 2, 24
2025/1/3, 241, 334, 33, 54, 1, 28
2025/1/4, 408, 155, 12, 28, , 16
2025/1/5, 241, 130, 7, 22, , 17
2025/1/6, 208, 162, 12, 20, 1, 19
2025/1/7, 231, 156, 27, 32, 1, 16
2025/1/8, 213, 318, 26, 54, 1, 23
2025/1/9, 332, 254, 17, 40, , 15
2025/1/10, 326, 138, 17, 29, 1, 13
2025/1/11, 231, 96, 17, 26, 1, 13
2025/1/12, 192, 99, 10, 21, , 12
2025/1/13, 184, 158, 25, 27, 1, 11
2025/1/14, 220, 225, 14, 34, 1, 18
2025/1/15, 310, 148, 23, 36, 3, 17
2025/1/16, 231, 124, 15, 25, 1, 6
2025/1/17, 213, 293, 35, 40, 3, 19
