date, pm25, pm10, o3, no2, so2, co
2025/5/1, 158, 72, 21, 5, 7, 6
2025/5/2, 145, 51, 18, 5, 8, 4
2025/4/1, 101, 102, 22, 11, 6, 9
2025/4/2, 116, 82, 23, 10, 7, 7
2025/4/3, 130, 82, 23, 10, 7, 9
2025/4/4, 126, 96, 21, 10, 7, 7
2025/4/5, 145, 86, 22, 10, 7, 8
2025/4/6, 143, 87, 21, 10, 7, 8
2025/4/7, 133, 87, 33, 10, 9, 10
2025/4/8, 131, 106, 20, 9, 7, 6
2025/4/9, 154, 118, 20, 9, 6, 7
2025/4/10, 148, 162, 17, 7, 6, 6
2025/4/11, 151, 93, 18, 6, 7, 6
2025/4/12, 137, 72, 22, 7, 6, 6
2025/4/13, 125, 72, 24, 7, 7, 7
2025/4/14, 122, 75, 27, 7, 7, 6
2025/4/15, 161, 76, 27, 6, 6, 6
2025/4/16, 140, 85, 46, 8, 15, 6
2025/4/17, 125, 94, 17, 9, 7, 5
2025/4/18, 141, 112, 19, 9, 6, 5
2025/4/19, 146, 152, 17, 7, 6, 6
2025/4/20, 173, 108, 22, 8, 7, 5
2025/4/21, 147, 99, 23, 11, 7, 8
2025/4/22, 144, 91, 25, 11, 8, 9
2025/4/23, 143, 89, 20, 13, 8, 11
2025/4/24, 137, 94, 16, 14, 9, 11
2025/4/25, 143, 121, 17, 9, 7, 7
2025/4/26, 149, 99, 24, 13, 7, 8
2025/4/27, 152, 93, 22, 10, 6, 8
2025/4/28, 149, 97, 46, 4, 21, 5
2025/4/29, 152, 104, 26, 5, 6, 5
2025/4/30, 158, 96, 25, 7, 7, 6
2025/5/3, 140, , , , , 
2025/1/1, 262, 119, 26, 20, 8, 14
2025/1/2, 182, 112, 24, 23, 9, 17
2025/1/3, 172, 104, 18, 22, 6, 14
2025/1/4, 161, 80, 18, 17, 9, 10
2025/1/5, 155, 83, 22, 14, 8, 9
2025/1/6, 163, 98, 23, 15, 5, 7
2025/1/7, 174, 98, 44, 18, 15, 11
2025/1/8, 161, 88, 25, 19, 7, 10
2025/1/9, 151, 65, 28, 13, 8, 6
2025/1/10, 131, 79, 28, 15, 11, 9
2025/1/11, 168, 79, 19, 14, 8, 8
2025/1/12, 161, 81, 23, 15, 6, 8
2025/1/13, 158, 77, 24, 15, 6, 7
2025/1/14, 158, 95, 20, 16, 11, 6
2025/1/15, 169, 88, 14, 16, 7, 8
2025/1/16, 167, 91, 21, 18, 6, 9
2025/1/17, 166, 83, 19, 16, 12, 7
2025/1/18, 160, 89, 19, 16, 7, 13
2025/1/19, 153, 89, 31, 9, 8, 17
2025/1/20, 162, 95, 25, 12, 10, 8
2025/1/21, 168, 77, 21, 12, 8, 8
2025/1/22, 135, 68, 20, 10, 9, 7
2025/1/23, 131, 73, 24, 11, 7, 6
2025/1/24, 137, 78, 25, 12, 10, 6
2025/1/25, 137, 85, 27, 16, 9, 9
2025/1/26, 134, 87, 28, 25, 8, 11
2025/1/27, 149, 93, 25, 21, 10, 10
2025/1/28, 155, 75, 23, 16, 9, 9
2025/1/29, 133, 80, 33, 14, 8, 12
2025/1/30, 131, 97, 22, 20, 10, 13
2025/1/31, 150, 98, 24, 18, 7, 13
2025/2/1, 166, 90, 26, 13, 8, 5
2025/2/2, 168, 76, 25, 12, 8, 6
2025/2/3, 152, 93, 27, 14, 11, 10
2025/2/4, 167, 190, 24, 12, 7, 5
2025/2/5, 140, 77, 28, 16, 7, 8
2025/2/6, 139, 80, 27, 13, 11, 6
2025/2/7, 145, 85, 28, 17, 6, 10
2025/2/8, 144, 88, 25, 19, 6, 13
2025/2/9, 146, 110, 30, 18, 18, 15
2025/2/10, 156, 101, 25, 20, 8, 14
2025/2/11, 156, 90, 23, 15, 8, 7
2025/2/12, 141, 79, 24, 13, 8, 6
2025/2/13, 132, 88, 55, 16, 11, 7
2025/2/14, 154, 96, 23, 23, 6, 8
2025/2/15, 143, 85, 28, 15, 5, 9
2025/2/16, 146, 87, 27, 13, 11, 8
2025/2/17, 152, 74, 28, 13, 8, 8
2025/2/18, 143, 67, 30, 8, 10, 10
2025/2/19, 120, 72, 22, 13, 11, 5
2025/2/20, 122, 81, 23, 9, 8, 6
2025/2/21, 116, 67, 25, 9, 9, 5
2025/2/22, 109, 75, 30, 11, 8, 6
2025/2/23, 108, 76, 25, 11, 10, 7
2025/2/24, 107, 77, 22, 12, 11, 9
2025/2/25, 121, 81, 20, 14, 6, 9
2025/2/26, 118, 80, 21, 10, 28, 7
2025/2/27, 115, 96, 52, 10, 18, 20
2025/2/28, 142, 92, 22, 10, 5, 11
2025/3/1, 146, 73, 22, 7, 9, 6
2025/3/2, 134, 80, 23, 10, 9, 7
2025/3/3, 114, 114, 22, 8, 8, 5
2025/3/4, 134, 83, 23, 9, 13, 5
2025/3/5, 107, 83, 28, 9, 11, 10
2025/3/6, 113, 81, 25, 13, 8, 10
2025/3/7, 123, 72, 24, 14, 9, 9
2025/3/8, 124, 74, 24, 12, 8, 9
2025/3/9, 107, 73, 24, 12, 9, 9
2025/3/10, 111, 80, 24, 12, 11, 8
2025/3/11, 116, 88, 21, 13, 10, 10
2025/3/12, 139, 79, 24, 9, 10, 8
2025/3/13, 138, 213, 21, 10, 10, 9
2025/3/14, 138, 84, 20, 7, 9, 7
2025/3/15, 122, 60, 22, 6, 9, 4
2025/3/16, 98, 59, 23, 7, 7, 6
2025/3/17, 98, 58, 25, 8, 9, 5
2025/3/18, 89, 64, 36, 11, 12, 7
2025/3/19, 108, 67, 25, 10, 6, 9
2025/3/20, 113, 67, 24, 8, 8, 6
2025/3/21, 97, 74, 23, 12, 10, 7
2025/3/22, 113, 73, 24, 13, 12, 8
2025/3/23, 117, 73, 25, 15, 9, 10
2025/3/24, 110, 84, 24, 14, 6, 12
2025/3/25, 131, 95, 38, 14, 16, 10
2025/3/26, 139, 92, 18, 9, 7, 7
2025/3/27, 152, 106, 22, 7, 6, 5
2025/3/28, 129, 103, 21, 7, 5, 5
2025/3/29, 127, 75, 24, 9, 6, 7
2025/3/30, 117, 76, 22, 11, 6, 7
2025/3/31, 111, 66, 21, 10, 7, 7
2024/10/1, 137, 79, 11, 8, 6, 6
2024/10/2, 113, 71, 38, 6, 13, 7
2024/10/3, 94, 73, 11, 7, 6, 6
2024/10/4, 104, 68, 8, 5, 8, 4
2024/10/5, 102, , , , , 
2024/10/7, 132, 84, 20, 12, 8, 9
2024/10/8, 131, 86, 16, 8, 4, 7
2024/10/9, 134, 81, 19, 11, 8, 7
2024/10/10, 139, 71, 15, 13, 7, 7
2024/10/11, 123, 84, 18, 13, 6, 9
2024/10/12, 140, 77, 16, 11, 4, 8
2024/10/13, 167, 72, 38, 10, 11, 9
2024/10/14, 132, 74, 16, 13, 8, 8
2024/10/15, 122, 133, 19, 23, 5, 11
2024/10/16, 138, 97, 22, 28, 7, 12
2024/10/17, 151, 83, 26, 16, 11, 8
2024/10/18, 139, 92, 13, 25, 5, 15
2024/10/19, 140, 90, 21, 22, 6, 11
2024/10/20, 153, 83, 36, 14, 14, 13
2024/10/21, 144, 92, 17, 11, 4, 8
2024/10/22, 143, 96, 21, 11, 5, 8
2024/10/23, 157, 103, 15, 12, 7, 9
2024/10/24, 165, 103, 16, 13, 5, 8
2024/10/25, 161, 102, 17, 17, 7, 9
2024/10/26, 159, 112, 23, 16, 6, 9
2024/10/27, 170, 104, 21, 16, 7, 10
2024/10/28, 167, 98, 17, 21, 8, 12
2024/10/29, 160, 106, 12, 22, 5, 11
2024/10/30, 168, 115, 10, 10, 8, 8
2024/10/31, 172, 114, 12, 14, 8, 8
2024/11/1, 190, 139, 13, 22, 5, 12
2024/11/2, 222, 105, 11, 16, 8, 8
2024/11/3, 166, 115, 18, 18, 6, 13
2024/11/4, 176, 127, 21, 25, 7, 14
2024/11/5, 198, 120, 19, 22, 27, 16
2024/11/6, 182, 117, 19, 20, 6, 14
2024/11/7, 179, 117, 18, 16, 7, 14
2024/11/8, 175, 107, 21, 15, 5, 16
2024/11/9, 168, 119, 10, 21, 4, 15
2024/11/10, 177, 118, 21, 21, 8, 12
2024/11/11, 182, 97, 11, 20, 11, 11
2024/11/12, 151, 89, 16, 17, 6, 10
2024/11/13, 150, 101, 33, 20, 11, 13
2024/11/14, 166, 101, 18, 24, 9, 12
2024/11/15, 160, 105, 16, 23, 6, 10
2024/11/16, 159, 97, 11, 12, 11, 8
2024/11/17, 163, 95, 14, 8, 6, 8
2024/11/18, 176, 97, 70, 10, 16, 20
2024/11/19, 167, 113, 12, 9, 7, 9
2024/11/20, 190, 100, 12, 13, 9, 10
2024/11/21, 173, 120, 13, 23, 11, 18
2024/11/22, 183, 119, 12, 22, 7, 20
2024/11/23, 182, 107, 9, 20, 13, 20
2024/11/24, 174, 103, 10, 18, 9, 12
2024/11/25, 163, 97, 8, 17, 8, 10
2024/11/26, 163, 91, 28, 14, 15, 12
2024/11/27, 148, 85, 12, 13, 5, 8
2024/11/28, 152, 90, 36, 12, 8, 9
2024/11/29, 160, 93, 27, 11, 5, 7
2024/11/30, 163, 95, 25, 11, 7, 10
2024/12/1, 164, 91, 21, 12, 12, 10
2024/12/2, 164, 79, 22, 12, 6, 9
2024/12/3, 144, 96, 23, 11, 15, 8
2024/12/4, 161, 72, 23, 10, 7, 6
2024/12/5, 117, 85, 21, 15, 8, 11
2024/12/6, 143, 83, 27, 13, 10, 8
2024/12/7, 151, 80, 29, 10, 7, 7
2024/12/8, 139, 135, 27, 10, 11, 7
2024/12/9, 165, 80, 65, 10, 20, 11
2024/12/10, 140, 79, 31, 13, 8, 9
2024/12/11, 140, 76, 26, 14, 8, 9
2024/12/12, 138, 186, 22, 10, 4, 5
2024/12/13, 124, 86, 25, 14, 12, 7
2024/12/14, 140, 103, 27, 26, 7, 16
2024/12/15, 164, 107, 31, 28, 10, 15
2024/12/16, 170, 115, 34, 25, 9, 15
2024/12/17, 178, 127, 34, 21, 11, 14
2024/12/18, 191, 111, 38, 13, 13, 10
2024/12/19, 179, 109, 32, 12, 8, 8
2024/12/20, 182, 114, 28, 14, 9, 11
2024/12/21, 186, 89, 33, 11, 8, 7
2024/12/22, 164, 97, 28, 11, 7, 6
2024/12/23, 169, 113, 27, 13, 8, 12
2024/12/24, 199, 99, 23, 11, 8, 10
2024/12/25, 180, 95, 26, 11, 7, 16
2024/12/26, 176, 99, 24, 10, 9, 12
2024/12/27, 184, 83, 17, 10, 8, 20
2024/12/28, 170, 82, 19, 10, 8, 18
2024/12/29, 157, , , , , 
2024/7/1, 90, 43, 16, 12, 7, 8
2024/7/2, 86, 42, 15, 7, 6, 5
2024/7/3, 86, 38, 11, 10, 7, 7
2024/7/4, 82, 50, 10, 7, 11, 6
2024/7/5, 87, 57, 9, 7, 11, 5
2024/7/6, 106, 65, 8, 11, 7, 5
2024/7/7, 117, 51, 12, 6, 6, 5
2024/7/8, 93, 52, 10, 3, 5, 3
2024/7/9, 86, , , , , 
2024/7/11, 91, 48, 12, 10, 6, 6
2024/7/12, 81, 53, 13, 14, 13, 7
2024/7/13, 107, 48, 12, 9, 7, 7
2024/7/14, 114, 55, 16, 10, 3, 6
2024/7/15, 121, 50, 16, 5, 3, 5
2024/7/16, 99, 39, 17, 9, 7, 6
2024/7/17, 88, 43, 15, 7, 6, 5
