date, pm25, pm10, o3, no2, so2, co
2025/4/12, 68, 53, 25, 22, 46, 5
2025/4/13, 88, 54, 26, 21, 2, 5
2025/4/14, 88, 55, 28, 16, 4, 4
2025/4/15, 89, 51, 14, 15, 2, 5
2025/4/16, 82, 48, 17, 13, 7, 5
2025/4/17, 78, 37, 22, 19, 2, 5
2025/4/18, 65, 49, 8, 20, 1, 5
2025/4/19, 81, 49, 9, 11, 1, 5
2025/4/20, 81, 47, 9, 12, , 4
2025/4/21, 77, 52, 15, 11, 1, 3
2025/4/22, 84, 56, 12, 10, 1, 3
2025/4/23, 94, 45, 8, 10, 1, 4
2025/4/24, 57, 41, 8, 10, 1, 3
2025/4/25, 57, 40, 12, 9, 19, 3
2025/4/26, 44, 50, 13, 20, 1, 4
2025/4/27, 75, 53, 13, 14, 2, 4
2025/4/28, 86, , , , 1, 4
2025/1/1, 169, 105, 24, 26, 5, 5
2025/1/2, 162, 124, 24, 30, 6, 6
2025/1/3, 171, 134, 23, 34, 4, 7
2025/1/4, 176, 119, 22, 33, 2, 7
2025/1/5, 169, 106, 25, 43, 4, 9
2025/1/6, 162, 107, 22, 37, 5, 8
2025/1/7, 163, 92, 23, 24, 4, 4
2025/1/8, 152, 94, 26, 28, 3, 6
2025/1/9, 155, 119, 28, 30, 8, 5
2025/1/10, 169, 197, 10, 76, 3, 25
2025/1/11, 207, 138, 28, 49, 3, 13
2025/1/12, 178, 142, 28, 49, 6, 11
2025/1/13, 180, 148, 23, 41, 5, 11
2025/1/14, 183, 114, 25, 34, 5, 6
2025/1/15, 166, 111, 18, 36, 11, 6
2025/1/16, 164, 106, 25, 32, 7, 6
2025/1/17, 162, 114, 24, 36, 6, 7
2025/1/18, 166, 109, 28, 37, 4, 7
2025/1/19, 160, 108, 27, 44, 5, 9
2025/1/20, 163, 117, 27, 44, 4, 10
2025/1/21, 168, 115, 26, 48, 4, 10
2025/1/22, 167, 129, 25, 38, 4, 12
2025/1/23, 173, 110, 22, 31, 19, 8
2025/1/24, 164, 109, 35, 27, 15, 6
2025/1/25, 164, 97, 14, 58, 61, 4
2025/1/26, 152, 105, 24, 62, 5, 7
2025/1/27, 160, 121, 32, 55, 7, 9
2025/1/28, 169, 88, 21, 30, 3, 3
2025/1/29, 151, 74, 19, 17, 10, 2
2025/1/30, 133, 72, 17, 20, 5, 3
2025/1/31, 128, 76, 15, 21, 2, 4
2025/2/1, 125, 90, 14, 21, 2, 4
2025/2/2, 148, 102, 27, 31, 4, 8
2025/2/3, 159, 94, 28, 39, 30, 6
2025/2/4, 153, 121, 10, 58, 1, 12
2025/2/5, 170, , , , , 
2025/2/7, 144, 106, 31, 42, 6, 6
2025/2/8, 162, 108, 42, 45, 22, 7
2025/2/9, 162, 102, 28, 32, 20, 4
2025/2/10, 159, 80, 23, 23, 8, 6
2025/2/11, 140, 77, 22, 28, 7, 6
2025/2/12, 130, 77, 26, 28, 5, 7
2025/2/13, 128, 129, 13, 44, 4, 15
2025/2/14, 173, 102, 13, 70, 5, 16
2025/2/15, 159, 91, 29, 31, 5, 7
2025/2/16, 148, 66, 24, 18, 4, 5
2025/2/17, 113, 64, 33, 17, 4, 6
2025/2/18, 109, 67, 18, 21, 21, 6
2025/2/19, 117, 54, 15, 25, 1, 7
2025/2/20, 91, 68, 34, 27, 3, 7
2025/2/21, 117, 67, 26, 23, 4, 6
2025/2/22, 116, 71, 29, 20, 5, 7
2025/2/23, 126, 80, 30, 25, 3, 8
2025/2/24, 144, 90, 34, 30, 5, 8
2025/2/25, 154, 93, 30, 29, 5, 7
2025/2/26, 156, 104, 42, 41, 5, 9
2025/2/27, 161, 90, 33, 31, 3, 8
2025/2/28, 154, 72, 30, 18, 3, 6
2025/3/1, 123, 76, 38, 19, 7, 6
2025/3/2, 131, 81, 29, 29, 4, 7
2025/3/3, 142, 77, 32, 31, 4, 7
2025/3/4, 138, 94, 32, 38, 6, 6
2025/3/5, 156, 93, 33, 30, 5, 5
2025/3/6, 154, 100, 37, 47, 9, 8
2025/3/7, 158, 85, 25, 32, 4, 7
2025/3/8, 143, 67, 25, 17, 2, 6
2025/3/9, 115, 71, 29, 22, 4, 6
2025/3/10, 124, 67, 30, 28, 8, 5
2025/3/11, 115, 73, 33, 23, 6, 6
2025/3/12, 129, 62, 29, 15, 5, 5
2025/3/13, 105, 60, 22, 10, 2, 5
2025/3/14, 99, 55, 18, 9, 1, 5
2025/3/15, 93, 49, 19, 11, 7, 5
2025/3/16, 80, 55, 16, 16, 1, 6
2025/3/17, 89, 60, 25, 25, 4, 5
2025/3/18, 102, 79, 28, 29, 6, 7
2025/3/19, 140, , , , , 
2024/10/1, 111, 72, 21, 12, 1, 5
2024/10/2, 123, 58, 29, 16, 1, 12
2024/10/3, 99, 59, 28, 13, 1, 2
2024/10/4, 99, 55, 29, 13, 1, 3
2024/10/5, 92, 64, 28, 12, 1, 4
2024/10/6, 108, 42, 26, 13, 15, 1
2024/10/7, 72, 44, 14, 13, 1, 2
2024/10/8, 74, 48, 27, 13, 1, 2
2024/10/9, 79, 30, 28, 13, 1, 2
2024/10/10, 55, 14, 27, 13, 1, 1
2024/10/11, 31, 34, 28, 13, 1, 1
2024/10/12, 67, 62, 29, 13, 1, 3
2024/10/13, 116, 92, 28, 13, 1, 5
2024/10/14, 162, 102, 28, 13, 1, 4
2024/10/15, 168, 82, 27, 13, 1, 3
2024/10/16, 150, 72, 38, 13, 2, 4
2024/10/17, 139, 48, 20, 13, 1, 2
2024/10/18, 88, 47, 21, 13, 1, 3
2024/10/19, 84, 80, 21, 13, 1, 5
2024/10/20, 153, 84, 20, 13, 1, 3
2024/10/21, 156, 75, 20, 13, 2, 3
2024/10/22, 148, 62, 27, 13, 2, 2
2024/10/23, 118, 37, 27, 13, 1, 1
2024/10/24, 68, 39, 27, 13, 1, 1
2024/10/25, 72, 59, 27, 13, 1, 1
2024/10/26, 115, 64, 26, 13, 1, 1
2024/10/27, 124, 66, 27, 13, 1, 3
2024/10/28, 130, 337, 27, 13, 2, 2
2024/10/29, 349, 311, 18, 12, 1, 2
2024/10/30, 317, 57, 12, 12, 5, 1
2024/10/31, 96, 104, 19, 21, 6, 2
2024/11/1, 165, 168, 12, 25, 10, 7
2024/11/2, 189, 105, 9, 18, 6, 4
2024/11/3, 162, 107, 9, 21, 6, 5
2024/11/4, 162, 102, 10, 20, 6, 4
2024/11/5, 159, 85, 9, 18, 5, 3
2024/11/6, 139, 92, 10, 16, 6, 4
2024/11/7, 155, 74, 25, 16, 6, 3
2024/11/8, 125, 69, 11, 21, 1, 4
2024/11/9, 121, 61, 12, 23, 1, 4
2024/11/10, 103, 63, 12, 20, 1, 5
2024/11/11, 108, 77, 12, 25, 2, 6
2024/11/12, 132, 97, 12, 30, 4, 7
2024/11/13, 154, 124, 13, 26, 3, 9
2024/11/14, 171, 114, 17, 32, 6, 9
2024/11/15, 163, 118, 12, 31, 5, 8
2024/11/16, 168, 121, 12, 37, 3, 9
2024/11/17, 169, 118, 12, 33, 3, 9
2024/11/18, 168, 127, 12, 37, 2, 11
2024/11/19, 172, 130, 12, 35, 3, 11
2024/11/20, 172, 113, 13, 29, 3, 8
2024/11/21, 165, 129, 12, 32, 5, 9
