date, pm25, pm10, o3, no2, so2, co
2025/4/1, 132, 58, 17, 3, 2, 3
2025/4/2, 116, 61, 16, 8, 2, 3
2025/4/3, 122, 73, 26, 15, 3, 4
2025/4/4, 137, 73, 36, 10, 5, 3
2025/4/5, 146, 64, 24, 7, 4, 3
2025/4/6, 129, 49, 20, 8, 4, 2
2025/4/7, 96, 51, 13, 8, 2, 2
2025/4/8, 98, 44, 16, 7, 5, 2
2025/4/9, 89, 47, 13, 8, 2, 2
2025/4/10, 93, 49, 17, 9, 2, 3
2025/4/11, 97, 47, 20, 14, 2, 3
2025/4/12, 96, 65, 33, 16, 3, 3
2025/4/13, 132, 67, 29, 14, 2, 3
2025/4/14, 137, 56, 48, 13, 7, 5
2025/4/15, 117, 61, 13, 7, 5, 3
2025/4/16, 121, 58, 26, 6, 2, 3
2025/4/17, 117, 51, 19, 10, 1, 4
2025/4/18, 100, 62, 17, 13, 1, 4
2025/4/19, 125, 60, 12, 6, 1, 3
2025/4/20, 121, 59, 23, 7, 3, 4
2025/4/21, 120, 66, 11, 5, 1, 3
2025/4/22, 134, 69, 18, 6, 1, 3
2025/4/23, 136, 67, 28, 6, 4, 4
2025/4/24, 135, 60, 12, 5, 1, 2
2025/4/25, 120, 54, 10, 4, 1, 2
2025/4/26, 105, 63, 29, 13, 2, 4
2025/4/27, 126, 60, 77, 12, 2, 3
2025/4/28, 120, , , , , 
2025/1/1, 158, 102, 5, 8, 1, 7
2025/1/2, 151, 116, 16, 11, 4, 10
2025/1/3, 162, 134, 6, 12, 1, 12
2025/1/4, 173, 109, 5, 10, 1, 10
2025/1/5, 156, 107, 6, 13, 1, 13
2025/1/6, 158, 94, 26, 10, 5, 10
2025/1/7, 152, 91, 7, 11, 1, 7
2025/1/8, 153, 92, 6, 13, 1, 9
2025/1/9, 148, 116, 18, 14, 2, 11
2025/1/10, 165, 161, 4, 20, 1, 19
2025/1/11, 176, 129, 7, 17, 1, 20
2025/1/12, 173, 131, 8, 16, 1, 15
2025/1/13, 170, 132, 5, 15, 1, 16
2025/1/14, 172, 104, 7, 11, 1, 7
2025/1/15, 160, 104, 8, 11, 1, 7
2025/1/16, 158, 103, 6, 12, 1, 9
2025/1/17, 157, 110, 6, 12, 1, 11
2025/1/18, 160, 106, 8, 12, 1, 11
2025/1/19, 155, 109, 7, 15, 1, 13
2025/1/20, 158, 105, 35, 11, 1, 11
2025/1/21, 153, 106, 14, 11, 1, 10
2025/1/22, 160, 115, 10, 11, 1, 15
2025/1/23, 169, 102, 17, 13, 1, 11
2025/1/24, 163, 113, 6, 16, 1, 12
2025/1/25, 170, 105, 7, 25, 1, 10
2025/1/26, 160, 106, 43, 21, 1, 9
2025/1/27, 162, 112, 13, 18, 2, 9
2025/1/28, 169, 81, 12, 2, 1, 5
2025/1/29, 152, 78, 12, 7, 1, 4
2025/1/30, 137, 69, 8, 15, 1, 3
2025/1/31, 129, 71, 9, 8, 1, 5
2025/2/1, 125, 87, 6, 9, 1, 6
2025/2/2, 147, 112, 8, 14, 1, 11
2025/2/3, 169, 102, 11, 17, 1, 11
2025/2/4, 163, 112, 22, 23, 2, 12
2025/2/5, 170, 95, 10, 17, 1, 10
2025/2/6, 159, 96, 9, 16, 1, 9
2025/2/7, 158, 104, 9, 18, 1, 8
2025/2/8, 164, 108, 13, 18, 2, 9
2025/2/9, 167, 91, 21, 13, 3, 5
2025/2/10, 154, 76, 30, 22, 4, 5
2025/2/11, 135, 75, 18, 41, 1, 5
2025/2/12, 134, 95, 61, 48, 6, 10
2025/2/13, 144, 142, 3, , 1, 20
2025/2/14, 187, 124, 4, 44, 2, 11
2025/2/15, 176, 76, 23, 26, 2, 6
2025/2/16, 141, 66, 19, 15, 1, 3
2025/2/17, 122, 62, 23, 96, 1, 4
2025/2/18, 113, 63, 50, 21, 1, 4
2025/2/19, 115, 54, 5, 13, 1, 4
2025/2/20, 95, 68, 24, 17, 1, 5
2025/2/21, 127, 66, 14, 19, 1, 4
2025/2/22, 122, 70, 15, 39, 1, 4
2025/2/23, 129, 87, 40, 46, 4, 9
2025/2/24, 151, 97, 15, 17, 1, 8
2025/2/25, 161, 93, 14, 17, 1, 6
2025/2/26, 159, 111, 23, 17, 1, 7
2025/2/27, 168, 74, 25, 17, 2, 4
2025/2/28, 138, 57, 21, 17, 2, 3
2025/3/1, 101, 53, 35, 17, 3, 3
2025/3/2, 92, 49, 23, 15, 2, 4
2025/3/3, 86, 41, 26, 10, 2, 5
2025/3/4, 75, 38, 25, 12, 3, 6
2025/3/5, 71, 32, 16, 9, 2, 4
2025/3/6, 63, 61, 33, 13, 6, 5
2025/3/7, 98, 96, 26, 5, 1, 3
2025/3/8, 163, 81, 25, 4, 1, 2
2025/3/9, 155, 89, 31, 6, 2, 3
2025/3/10, 159, 76, 30, 4, 3, 3
2025/3/11, 151, 79, 43, 4, 3, 3
2025/3/12, 152, 75, 38, 4, 3, 3
2025/3/13, 141, 73, 22, 3, , 3
2025/3/14, 145, 68, 17, 3, , 3
2025/3/15, 135, 62, 17, 3, 1, 2
2025/3/16, 124, 76, 35, 5, 4, 4
2025/3/17, 141, 78, 30, 11, 3, 4
2025/3/18, 144, 94, 41, 6, 4, 5
2025/3/19, 159, 59, 19, 6, 1, 2
2025/3/20, 116, 76, 32, 8, 6, 5
2025/3/21, 147, 54, 6, 4, 1, 3
2025/3/22, 107, 74, 23, 8, 1, 5
2025/3/23, 148, 102, 31, 17, 2, 9
2025/3/24, 166, 98, 22, 11, 1, 9
2025/3/25, 164, 72, 27, 5, 1, 2
2025/3/26, 143, 72, 55, 6, 6, 4
2025/3/27, 138, 95, 43, 5, 3, 4
2025/3/28, 162, 108, 47, 11, 3, 5
2025/3/29, 167, 77, 24, 4, , 3
2025/3/30, 151, 72, 21, 3, , 3
2025/3/31, 146, 65, 18, 3, , 3
2024/10/1, 110, 65, 7, 15, 1, 8
2024/10/2, 109, 69, 9, 21, 1, 7
2024/10/3, 123, 56, 7, 21, 1, 5
2024/10/4, 106, 50, 5, 23, 1, 6
2024/10/5, 80, 62, 4, 28, 1, 7
2024/10/6, 111, 40, 3, 23, 1, 4
2024/10/7, 68, 40, 28, 23, 1, 5
2024/10/8, 65, 48, 4, 20, 1, 6
2024/10/9, 70, 34, 6, 20, 1, 3
2024/10/10, 57, 32, 8, 20, 1, 3
2024/10/11, 61, 35, 8, 19, 1, 4
2024/10/12, 69, 56, 10, 23, 1, 7
2024/10/13, 102, 81, 21, 26, 3, 9
2024/10/14, 151, 92, 14, 26, 2, 10
2024/10/15, 162, 74, 9, 24, 1, 8
2024/10/16, 141, 65, 10, 26, 1, 6
2024/10/17, 130, 43, 4, 24, 1, 5
2024/10/18, 79, 49, 4, 24, 1, 6
2024/10/19, 86, 73, 18, 28, 1, 8
2024/10/20, 136, 77, 14, 29, 2, 7
2024/10/21, 145, 73, 17, 28, 2, 7
2024/10/22, 136, 58, 9, 25, 1, 6
2024/10/23, 112, 31, 9, 17, 1, 4
2024/10/24, 66, 41, 7, 9, 1, 4
2024/10/25, 77, 53, 8, 11, 1, 5
2024/10/26, 101, 57, 8, 12, 1, 5
2024/10/27, 101, 57, 8, 13, 1, 6
2024/10/28, 101, 58, 8, 12, 1, 5
2024/10/29, 102, 52, 7, 11, 1, 4
2024/10/30, 90, 52, 16, 9, 1, 4
2024/10/31, 98, 101, 32, 14, 1, 8
2024/11/1, 153, 182, 33, 14, 1, 12
2024/11/2, 206, 115, 35, 14, 1, 11
2024/11/3, 166, 110, 29, 29, 3, 14
2024/11/4, 163, 99, 18, 19, 1, 8
2024/11/5, 161, 74, 15, 15, 1, 5
2024/11/6, 125, 79, 23, 14, , 6
2024/11/7, 137, 66, 33, 15, 3, 6
2024/11/8, 115, 67, 22, 14, 1, 7
2024/11/9, 117, 69, 13, 16, 1, 7
2024/11/10, 113, 69, 16, 16, 1, 6
2024/11/11, 126, 75, 15, 15, 1, 8
2024/11/12, 127, 91, 20, 12, 1, 11
2024/11/13, 153, 121, 17, 12, 1, 12
2024/11/14, 169, 110, 17, 12, 1, 9
2024/11/15, 164, 108, 11, 5, 1, 8
2024/11/16, 160, 121, 11, 5, 1, 7
2024/11/17, 167, 114, 9, 5, 1, 12
2024/11/18, 167, 108, 32, 6, 1, 15
2024/11/19, 159, 102, 10, 6, 1, 12
2024/11/20, 157, 94, 9, 5, 1, 9
2024/11/21, 146, 105, 8, 5, 1, 8
2024/11/22, 159, 117, 8, 5, 1, 11
2024/11/23, 159, 124, 8, 5, 1, 14
2024/11/24, 164, 130, 9, 6, 1, 12
2024/11/25, 167, 143, 7, 5, 1, 14
2024/11/26, 170, 125, 6, 5, 1, 16
2024/11/27, 149, 90, 7, 5, 1, 12
2024/11/28, 136, 75, 13, 7, 1, 7
2024/11/29, 119, 72, 4, 18, 1, 6
2024/11/30, 112, 74, 6, 17, 1, 7
2024/12/1, 121, 85, 8, 14, 1, 9
2024/12/2, 134, 118, 30, 18, 1, 12
2024/12/3, 157, 131, 8, 17, 1, 16
2024/12/4, 172, 128, 8, 17, 1, 18
2024/12/5, 164, 106, 7, 17, 1, 14
2024/12/6, 146, 104, 6, 17, 1, 12
2024/12/7, 145, 106, 8, 17, 1, 13
2024/12/8, 149, 112, 8, 17, 1, 11
2024/12/9, 157, 102, 15, 17, 1, 9
2024/12/10, 160, 109, 4, 17, 1, 12
2024/12/11, 165, 111, 20, 17, 4, 14
2024/12/12, 157, 122, 6, 17, 1, 14
2024/12/13, 169, 122, 6, 17, 1, 12
2024/12/14, 164, 100, 6, 17, 1, 9
2024/12/15, 153, 126, 6, 17, 1, 15
2024/12/16, 164, 121, 7, 19, 1, 15
2024/12/17, 158, 121, 6, 13, 1, 13
2024/12/18, 152, 107, 6, 13, 1, 15
2024/12/19, 144, 100, 49, 14, 1, 17
2024/12/20, 135, 81, 3, 11, 1, 8
2024/12/21, 144, 76, 5, 11, 1, 6
2024/12/22, 117, 100, 11, 19, 1, 10
2024/12/23, 155, 93, 6, 23, 1, 12
2024/12/24, 142, 108, 6, 20, 1, 13
2024/12/25, 152, 102, 11, 11, 2, 9
2024/12/26, 152, 110, 8, 10, 1, 11
2024/12/27, 150, 131, 5, 14, 1, 16
2024/12/28, 156, 127, 8, 13, 1, 13
2024/12/29, 152, , , , , 
2024/7/1, 72, 30, 9, 4, 1, 3
2024/7/2, 68, 34, 8, 5, 1, 3
2024/7/3, 65, 33, 17, 5, 1, 3
2024/7/4, 63, 39, 16, 5, 1, 
2024/7/5, 72, 28, 11, 5, 1, 1
