date, pm25, pm10, o3, no2, so2, co
2025/4/1, 124, 48, 14, 4, 10, 6
2025/4/2, 92, 56, 15, 5, 16, 8
2025/4/3, 115, 66, 20, 7, 11, 9
2025/4/4, 124, 65, 32, 5, 11, 4
2025/4/5, 144, 59, 22, 4, 11, 6
2025/4/6, 116, 42, 32, 4, 5, 9
2025/4/7, 71, 38, 13, 4, 7, 9
2025/4/8, 70, 43, 21, 5, 13, 9
2025/4/9, 66, 36, 17, 6, 8, 3
2025/4/10, 69, 41, 37, 6, 7, 3
2025/4/11, 83, 45, 22, 6, 11, 3
2025/4/12, 92, 51, 34, 6, 4, 3
2025/4/13, 97, 54, 29, 6, 6, 3
2025/4/14, 115, 53, 31, 5, 4, 2
2025/4/15, 116, 64, 11, 6, 13, 6
2025/4/16, 117, 50, 15, 6, 6, 3
2025/4/17, 100, 40, 20, 7, 4, 3
2025/4/18, 79, 55, 17, 7, 13, 3
2025/4/19, 123, 57, 14, 4, 4, 3
2025/4/20, 117, 60, 11, 4, 3, 4
2025/4/21, 119, 64, 15, 5, 3, 3
2025/4/22, 120, 63, 23, 3, 3, 3
2025/4/23, 119, 61, 22, 3, 8, 4
2025/4/24, 110, 52, 12, 4, 7, 3
2025/4/25, 92, 53, 15, 5, 4, 4
2025/4/26, 86, 48, 19, 32, 4, 3
2025/4/27, 99, 55, 65, 16, 3, 3
2025/4/28, 125, , , , , 
2025/1/1, 195, 95, 18, 28, 3, 7
2025/1/2, 181, 114, 17, 34, 4, 7
2025/1/3, 199, 127, 17, 37, 3, 6
2025/1/4, 233, 114, 14, 35, 3, 6
2025/1/5, 207, 104, 15, 42, 5, 5
2025/1/6, 184, 113, 28, 29, 6, 10
2025/1/7, 184, 91, 20, 21, 3, 13
2025/1/8, 180, 94, 26, 20, 6, 14
2025/1/9, 173, 127, 26, 18, 6, 13
2025/1/10, 229, 124, 6, 23, 3, 14
2025/1/11, 226, 139, 25, 21, 4, 13
2025/1/12, 255, 124, 21, 18, 5, 14
2025/1/13, 235, 132, 31, 18, 5, 14
2025/1/14, 239, 101, 22, 17, 6, 9
2025/1/15, 191, 103, 17, 19, 4, 9
2025/1/16, 183, 99, 17, 15, 4, 9
2025/1/17, 184, 106, 20, 16, 5, 9
2025/1/18, 191, 103, 23, 13, 4, 7
2025/1/19, 200, 101, 33, 12, 4, 8
2025/1/20, 183, 117, 20, 15, 4, 10
2025/1/21, 200, 116, 33, 14, 9, 9
2025/1/22, 205, 143, 17, 25, 5, 7
2025/1/23, 316, 155, 27, 24, 7, 8
2025/1/24, 284, 141, 19, 21, 4, 7
2025/1/25, 205, 115, 30, 15, 4, 7
2025/1/26, 174, 124, 31, 15, 4, 7
2025/1/27, 184, 139, 28, 16, 8, 8
2025/1/28, 195, 117, 19, 15, 3, 7
2025/1/29, 178, 109, 15, 11, 4, 8
2025/1/30, 165, 101, 12, 13, 5, 7
2025/1/31, 166, 94, 5, 17, 3, 7
2025/2/1, 156, , , , , 
2025/2/4, 177, 124, 11, 18, 5, 8
2025/2/5, 194, 100, 23, 16, 5, 7
2025/2/6, 173, 110, 33, 21, 7, 8
2025/2/7, 174, 119, 28, 22, 6, 8
2025/2/8, 181, 122, 28, 19, 11, 7
2025/2/9, 188, 107, 40, 18, 9, 8
2025/2/10, 229, 106, 20, 12, 7, 7
2025/2/11, 191, 104, 19, 16, 5, 8
2025/2/12, 159, 106, 26, 16, 7, 7
2025/2/13, 154, 166, 7, 26, 5, 9
2025/2/14, 227, 126, 6, 18, 5, 10
2025/2/15, 172, 114, 24, 15, 8, 12
2025/2/16, 169, 95, 19, 6, 8, 11
2025/2/17, 150, 93, 17, 9, 5, 15
2025/2/18, 142, 94, 13, 9, 5, 16
2025/2/19, 154, 87, 5, 10, 3, 20
2025/2/20, 133, 94, 28, 11, 6, 15
2025/2/21, 153, 92, 13, 9, 14, 13
2025/2/22, 147, 98, 15, 9, 7, 13
2025/2/23, 158, 100, 28, 11, 5, 13
2025/2/24, 164, 115, 21, 12, 6, 13
2025/2/25, 179, 104, 42, 15, 8, 11
2025/2/26, 172, 137, 29, 11, 8, 12
2025/2/27, 192, 102, 27, 10, 11, 9
2025/2/28, 167, 90, 17, 7, 5, 9
2025/3/1, 156, 90, 22, 8, 9, 9
