date, pm25, pm10, o3, no2, so2, co
2025/4/1, 122, 53, 18, 9, 2, 1
2025/4/2, 100, 58, 23, 9, 3, 2
2025/4/3, 98, 71, 26, 11, 3, 5
2025/4/4, 126, 69, 40, 10, 3, 6
2025/4/5, 139, 59, 31, 9, 3, 3
2025/4/6, 108, 45, 14, 9, 2, 3
2025/4/7, 70, 39, 38, 9, 2, 3
2025/4/8, 82, 35, 19, 10, 2, 4
2025/4/9, 61, 34, 35, 9, 2, 4
2025/4/10, 66, 46, 22, 9, 3, 5
2025/4/11, 83, 41, 29, 9, 3, 1
2025/4/12, 81, 56, 42, 10, 3, 7
2025/4/13, 109, 66, 34, 10, 3, 3
2025/4/14, 122, 60, 45, 9, 2, 6
2025/4/15, 124, 63, 15, 9, 3, 3
2025/4/16, 124, 56, 32, 8, 2, 2
2025/4/17, 87, 47, 30, 10, 3, 5
2025/4/18, 91, 59, 22, 10, 3, 3
2025/4/19, 101, 57, 19, 9, 2, 
2025/4/20, 108, 57, 16, 9, 3, 1
2025/4/21, 94, 62, 17, 8, 2, 
2025/4/22, 101, 67, 56, 9, 3, 1
2025/4/23, 102, 60, 17, 8, 2, 1
2025/4/24, 95, 55, 17, 8, 2, 1
2025/4/25, 80, 52, 24, 8, 2, 1
2025/4/26, 69, 57, 29, 9, 3, 6
2025/4/27, 99, 59, 28, 9, 3, 4
2025/4/28, 104, , , , , 
2025/1/1, 166, 104, 32, 18, 4, 12
2025/1/2, 152, 123, 17, 21, 2, 12
2025/1/3, 163, 134, 17, 21, 2, 7
2025/1/4, 165, 205, 13, 21, 1, 7
2025/1/5, 152, 131, 27, 33, 6, 15
2025/1/6, 150, 139, 17, 22, 2, 8
2025/1/7, 162, 117, 15, 16, 2, 6
2025/1/8, 133, 107, 19, 17, 2, 10
2025/1/9, 125, 109, 24, 22, 1, 10
2025/1/10, 136, 225, 2, 33, 2, 29
2025/1/11, 171, 195, 22, 37, 2, 23
2025/1/12, 211, 166, 26, 26, 5, 17
2025/1/13, 168, 208, 16, 30, 2, 14
2025/1/14, 160, 117, 18, 20, 1, 7
2025/1/15, 271, 165, 11, 20, 2, 7
2025/1/16, 145, 103, 16, 22, 2, 6
2025/1/17, 142, 110, 16, 25, 1, 6
2025/1/18, 154, 109, 20, 27, 1, 5
2025/1/19, 150, 106, 20, 30, 2, 8
2025/1/20, 151, 135, 8, 41, 7, 11
2025/1/21, 163, 123, 17, 23, 2, 8
2025/1/22, 149, 129, 33, 31, 6, 13
2025/1/23, 205, 111, 17, 18, 2, 8
2025/1/24, 218, 144, 12, 19, 1, 9
2025/1/25, 221, 111, 23, 20, 1, 9
2025/1/26, 342, 132, 35, 22, 5, 11
2025/1/27, 247, 175, 23, 24, 2, 7
2025/1/28, 150, 204, 13, 19, 2, 2
2025/1/29, 119, 379, 30, 14, 4, 2
2025/1/30, 108, 108, 13, 13, 2, 1
2025/1/31, 115, 84, 10, 12, 2, 1
2025/2/1, 110, 103, 8, 13, 2, 1
2025/2/2, 117, 114, 21, 15, 2, 5
2025/2/3, 146, 101, 40, 19, 6, 5
2025/2/4, 137, 115, 23, 19, 2, 6
2025/2/5, 149, 88, 49, 17, 5, 6
2025/2/6, 113, 98, 26, 20, 2, 8
2025/2/7, 131, 111, 28, 39, 1, 11
2025/2/8, 138, 107, 32, 40, 2, 10
2025/2/9, 140, 109, 27, 46, 1, 7
2025/2/10, 142, 85, 34, 33, 5, 2
2025/2/11, 112, 80, 18, 13, 2, 2
2025/2/12, 113, 84, 19, 13, 2, 6
2025/2/13, 113, 144, 2, 19, 3, 16
2025/2/14, 169, 101, 2, 12, 3, 16
2025/2/15, 125, 92, 28, 13, 2, 6
2025/2/16, 122, 68, 18, 13, 1, 2
2025/2/17, 94, 66, 19, 12, 1, 5
2025/2/18, 85, 70, 13, 13, 1, 2
2025/2/19, 106, 60, 4, 14, 1, 6
2025/2/20, 90, 73, 4, 13, 2, 4
2025/2/21, 140, 69, 3, 13, 2, 2
2025/2/22, 128, 75, 3, 12, 1, 3
2025/2/23, 149, 80, 14, 11, 2, 6
2025/2/24, 155, 166, 22, 9, 2, 7
2025/2/25, 153, 97, 29, 16, 2, 7
2025/2/26, 225, 120, 30, 16, 2, 6
2025/2/27, 173, 98, 21, 13, 2, 8
2025/2/28, 158, 81, 18, 11, 2, 5
2025/3/1, 132, 82, 27, 11, 1, 7
2025/3/2, 138, 83, 30, 13, 2, 10
2025/3/3, 140, 82, 26, 14, 2, 12
2025/3/4, 131, 98, 33, 15, 1, 14
2025/3/5, 134, 95, 29, 15, 1, 17
2025/3/6, 132, 106, 34, 21, 12, 15
2025/3/7, 157, 86, 24, 15, 1, 2
2025/3/8, 145, 71, 23, 11, 1, 
2025/3/9, 126, 77, 27, 30, 1, 2
2025/3/10, 139, 70, 28, 44, 2, 5
2025/3/11, 113, 78, 36, 28, 1, 3
2025/3/12, 125, 70, 27, 18, 1, 5
2025/3/13, 119, 66, 18, 13, 1, 
2025/3/14, 106, 65, 15, 13, 1, 3
2025/3/15, 100, 59, 16, 12, 1, 3
2025/3/16, 81, 62, 11, 8, 1, 4
2025/3/17, 94, 61, 24, 10, 1, 10
2025/3/18, 89, 84, 25, 9, 1, 8
2025/3/19, 143, 56, 25, 9, 1, 6
2025/3/20, 88, 67, 21, 10, 1, 9
2025/3/21, 142, 49, 13, 9, 2, 8
2025/3/22, 86, 69, 21, 11, 2, 10
2025/3/23, 137, 88, 28, 11, 2, 12
2025/3/24, 162, 94, 28, 15, 2, 13
2025/3/25, 165, 70, 20, 11, 2, 6
2025/3/26, 145, 69, 25, 10, 2, 7
2025/3/27, 131, 80, 30, 11, 2, 10
2025/3/28, 153, 90, 32, 11, 2, 9
2025/3/29, 157, 73, 19, 9, 2, 4
2025/3/30, 151, 66, 16, 9, 2, 2
2025/3/31, 127, 62, 35, 9, 2, 1
2024/10/1, 117, 68, 10, 2, 2, 11
