date, pm25, pm10, o3, no2, so2, co
2025/4/1, 130, 57, 19, 3, 3, 6
2025/4/2, 143, 61, 19, 3, 3, 6
2025/4/3, 149, 60, 19, 3, 3, 6
2025/4/4, 150, 61, 19, 3, 3, 7
2025/4/5, 155, 53, 20, 3, 3, 7
2025/4/6, 135, 72, 19, 3, 3, 7
2025/4/7, 165, 77, 19, 3, 3, 6
2025/4/8, 171, 76, 19, 3, 3, 7
2025/4/9, 170, 52, 15, 2, 3, 6
2025/4/10, 106, 32, 17, 2, 3, 6
2025/4/11, 91, 33, 17, 3, 3, 6
2025/4/12, 91, 44, 18, 3, 3, 6
2025/4/13, 110, 34, 18, 3, 3, 6
2025/4/14, 91, 52, 18, 3, 4, 6
2025/4/15, 137, 45, 18, 3, 3, 7
2025/4/16, 116, 61, 19, 3, 3, 6
2025/4/17, 152, 62, 18, 3, 3, 6
2025/4/18, 156, 37, 17, 3, 4, 6
2025/4/19, 94, 53, 19, 3, 3, 6
2025/4/20, 140, 68, 21, 3, 3, 7
2025/4/21, 163, 86, 20, 3, 3, 7
2025/4/22, 180, 80, 20, 3, 3, 7
2025/4/23, 173, 69, 21, 3, 3, 7
2025/4/24, 162, 64, 21, 3, 3, 7
2025/4/25, 156, 62, 21, 3, 3, 7
2025/4/26, 153, 80, 19, 3, 3, 7
2025/4/27, 174, 103, 18, 3, 3, 6
2025/4/28, 205, , , , , 
2025/1/1, 161, 90, 9, 2, 3, 5
2025/1/2, 182, 90, 10, 2, 4, 4
2025/1/3, 185, 73, 9, 2, 3, 4
2025/1/4, 167, 64, 9, 2, 4, 4
2025/1/5, 154, 64, 10, 2, 3, 4
2025/1/6, 152, 63, 9, 2, 3, 5
2025/1/7, 154, 68, 10, 2, 4, 5
2025/1/8, 161, 85, 11, 1, 3, 4
2025/1/9, 177, 95, 12, 2, 3, 4
2025/1/10, 195, 85, 11, 2, 4, 5
2025/1/11, 176, 69, 12, 2, 3, 5
2025/1/12, 159, 73, 12, 2, 3, 5
2025/1/13, 165, 60, 12, 2, 4, 5
2025/1/14, 146, 52, 10, 2, 3, 5
2025/1/15, 132, 54, 10, 2, 3, 5
2025/1/16, 133, 48, 13, 2, 3, 5
2025/1/17, 124, 60, 11, 2, 3, 5
2025/1/18, 153, 51, 12, 2, 3, 5
2025/1/19, 127, 55, 14, 2, 3, 5
2025/1/20, 139, 62, 14, 2, 4, 5
2025/1/21, 155, 65, 15, 2, 3, 5
2025/1/22, 150, 69, 13, 2, 4, 5
2025/1/23, 160, 82, 13, 2, 3, 5
2025/1/24, 168, 47, 13, 2, 4, 5
2025/1/25, 121, 54, 13, 2, 3, 5
2025/1/26, 134, 70, 13, 2, 3, 5
2025/1/27, 163, 75, 13, 2, 3, 5
2025/1/28, 168, 86, 13, 2, 3, 5
2025/1/29, 178, 91, 14, 2, 4, 5
2025/1/30, 185, 81, 15, 2, 3, 5
2025/1/31, 173, 71, 15, 2, 3, 5
2025/2/1, 159, 67, 15, 2, 3, 5
2025/2/2, 156, 60, 14, 2, 3, 5
2025/2/3, 148, 61, 15, 2, 4, 5
2025/2/4, 151, 57, 15, 2, 4, 5
2025/2/5, 146, 48, 14, 2, 3, 5
2025/2/6, 126, 53, 13, 2, 4, 5
2025/2/7, 137, 52, 14, 2, 4, 5
2025/2/8, 129, 56, 15, 2, 4, 5
2025/2/9, 144, 61, 15, 2, 3, 5
2025/2/10, 149, 61, 15, 2, 3, 5
2025/2/11, 152, 55, 15, 2, 3, 5
2025/2/12, 143, 58, 14, 2, 3, 5
2025/2/13, 141, 42, 11, 2, 4, 5
2025/2/14, 108, 71, 13, 2, 4, 6
2025/2/15, 164, 69, 15, 2, 4, 5
2025/2/16, 163, 72, 15, 2, 4, 5
2025/2/17, 165, 67, 15, 2, 3, 5
2025/2/18, 155, 56, 16, 2, 3, 5
2025/2/19, 137, 66, 13, 2, 3, 6
2025/2/20, 156, 56, 16, 2, 3, 5
2025/2/21, 140, 49, 15, 2, 3, 5
2025/2/22, 127, 47, 14, 2, 3, 5
2025/2/23, 124, 52, 15, 2, 3, 5
2025/2/24, 131, 52, 15, 2, 3, 5
2025/2/25, 130, 65, 15, 2, 3, 5
2025/2/26, 154, 65, 16, 2, 3, 6
2025/2/27, 155, 74, 15, 2, 3, 6
2025/2/28, 167, 56, 15, 2, 3, 6
2025/3/1, 140, 39, 16, 2, 3, 6
2025/3/2, 102, 44, 16, 2, 3, 6
2025/3/3, 114, 56, 16, 2, 3, 6
2025/3/4, 137, 61, 14, 2, 3, 5
2025/3/5, 139, 46, 14, 2, 4, 5
2025/3/6, 119, 60, 16, 2, 3, 5
2025/3/7, 143, 56, 16, 2, 3, 6
2025/3/8, 140, 66, 16, 2, 3, 6
2025/3/9, 155, 60, 17, 2, 3, 6
2025/3/10, 147, 75, 17, 2, 4, 6
2025/3/11, 166, 61, 18, 2, 3, 6
2025/3/12, 149, 50, 17, 3, 3, 6
2025/3/13, 127, 45, 18, 3, 3, 6
2025/3/14, 111, 40, 19, 3, 3, 6
2025/3/15, 104, 36, 18, 3, 3, 6
2025/3/16, 94, 27, 17, 2, 3, 6
2025/3/17, 76, 41, 15, 2, 3, 6
2025/3/18, 99, 35, 17, 2, 3, 6
2025/3/19, 94, 46, 18, 2, 3, 6
2025/3/20, 120, 43, 18, 3, 3, 6
2025/3/21, 115, 59, 17, 2, 4, 6
2025/3/22, 141, 56, 17, 2, 3, 6
2025/3/23, 140, 62, 18, 2, 3, 6
2025/3/24, 152, 74, 18, 3, 3, 6
2025/3/25, 167, 80, 19, 3, 3, 6
2025/3/26, 175, 71, 20, 3, 3, 7
2025/3/27, 164, 75, 19, 3, 3, 6
2025/3/28, 169, 65, 18, 2, 3, 6
2025/3/29, 160, 60, 18, 2, 3, 6
2025/3/30, 153, 48, 18, 3, 3, 6
2025/3/31, 129, 50, 19, 3, 3, 6
2024/10/1, 186, 65, 18, 3, 3, 6
2024/10/2, 154, 71, 19, 3, 3, 6
2024/10/3, 162, 63, 18, 3, 3, 6
2024/10/4, 154, 56, 19, 3, 3, 6
2024/10/5, 136, 34, 18, 3, 3, 6
2024/10/6, 81, 21, 17, 3, 3, 6
