date, pm25, pm10, o3, no2, so2, co
2025/4/1, 125, 166, 21, 13, 6, 5
2025/4/2, 156, 165, 20, 13, 4, 3
2025/4/3, 166, 166, 21, 13, 4, 3
2025/4/4, 162, 169, 21, 13, 5, 3
2025/4/5, 157, 156, 25, 12, 2, 3
2025/4/6, 149, 157, 21, 11, 2, 4
2025/4/7, 150, 165, 21, 13, 2, 3
2025/4/8, 170, 167, 21, 13, 1, 3
2025/4/9, 170, 164, 21, 13, 2, 4
2025/4/10, 138, 110, 21, 13, 2, 4
2025/4/11, 126, 96, 21, 13, 2, 3
2025/4/12, 125, 83, 21, 13, 1, 3
2025/4/13, 106, 79, 22, 12, 2, 4
2025/4/14, 106, 74, 21, 12, 1, 4
2025/4/15, 153, 97, 18, 14, 1, 3
2025/4/16, 151, 121, 21, 13, 2, 3
2025/4/17, 155, 120, 21, 13, 2, 3
2025/4/18, 151, 120, 21, 13, 2, 4
2025/4/19, 133, 120, 21, 13, 2, 4
2025/4/20, 140, 120, 21, 13, 2, 4
2025/4/21, 161, 120, 21, 13, 1, 3
2025/4/22, 169, 120, 20, 13, 2, 5
2025/4/23, 162, 119, 21, 13, 3, 4
2025/4/24, 156, 120, 21, 13, 3, 3
2025/4/25, 158, 120, 21, 13, 4, 4
2025/4/26, 158, 120, 21, 13, 2, 4
2025/4/27, 169, 118, 18, 12, 2, 3
2025/4/28, 171, , , , , 
2025/1/1, 182, 115, 10, 2, 5, 3
2025/1/2, 155, 124, 21, 3, 5, 4
2025/1/3, 159, 132, 21, 11, 5, 3
2025/1/4, 168, 117, 21, 11, 5, 3
2025/1/5, 153, 115, 21, 7, 6, 2
2025/1/6, 139, 98, 21, 2, 5, 3
2025/1/7, 169, 95, 21, 9, 5, 4
2025/1/8, 165, 167, 21, 12, 5, 5
2025/1/9, 184, 183, 18, 15, 6, 3
2025/1/10, 216, 382, 5, 17, 7, 7
2025/1/11, 258, 117, 21, 16, 5, 3
2025/1/12, 176, 113, 21, 16, 5, 4
2025/1/13, 173, 89, 20, 10, 6, 6
2025/1/14, 155, 102, 20, 16, 1, 3
2025/1/15, 173, 102, 18, 16, 2, 4
