date, pm25, pm10, o3, no2, so2, co
2025/5/1, 47, 47, 6, 2, 16, 1
2025/5/2, 36, 77, 3, 2, 17, 4
2025/5/3, 84, , , , , 
2025/4/1, 85, 99, 11, 2, 10, 6
2025/4/2, 72, 95, 8, 2, 10, 8
2025/4/3, 73, 85, 11, 2, 11, 8
2025/4/4, 70, 79, 11, 2, 12, 8
2025/4/5, 55, 83, 12, 2, 13, 8
2025/4/6, 71, 96, 30, 2, 12, 8
2025/4/7, 77, 68, 5, 2, 12, 3
2025/4/8, 48, 71, 9, 2, 12, 3
2025/4/9, 44, 78, 6, 2, 12, 1
2025/4/10, 41, 35, 5, 2, 12, 1
2025/4/11, 27, 55, 6, 2, 13, 2
2025/4/12, 44, 66, 2, 2, 13, 2
2025/4/13, 40, 53, 4, 2, 13, 1
2025/4/14, 36, 42, 9, 2, 13, 1
2025/4/15, 33, 54, 3, 2, 14, 5
2025/4/16, 49, 70, 5, 2, 14, 4
2025/4/17, 44, 61, 6, 2, 14, 1
2025/4/18, 28, 49, 5, 2, 14, 1
2025/4/19, 37, 65, 4, 2, 14, 2
2025/4/20, 48, 81, 6, 2, 15, 7
2025/4/21, 61, 100, 10, 2, 15, 6
2025/4/22, 56, 85, 11, 2, 16, 2
2025/4/23, 40, 76, 10, 2, 17, 5
2025/4/24, 36, 88, 3, 2, 16, 8
2025/4/25, 51, 85, 3, 2, 16, 6
2025/4/26, 60, 75, 3, 2, 17, 1
2025/4/27, 35, 67, 4, 2, 16, 1
2025/4/28, 48, 57, 8, 2, 16, 1
2025/4/29, 51, 52, 19, 2, 16, 2
2025/4/30, 45, 58, 7, 2, 16, 1
2025/1/1, 65, 59, , 2, 14, 1
2025/1/2, 61, 62, , 2, 14, 4
2025/1/3, 70, 58, , 2, 14, 3
2025/1/4, 59, 60, , 2, 14, 7
2025/1/5, 65, 65, , 2, 14, 7
2025/1/6, 71, 41, , 2, 14, 
2025/1/7, 43, 36, , 2, 14, 6
2025/1/8, 35, 52, 1, 2, 14, 6
2025/1/9, 54, 61, , 2, 13, 5
2025/1/10, 69, 58, , 2, 13, 8
2025/1/11, 72, 53, , 2, 13, 2
2025/1/12, 66, 51, , 2, 13, 2
2025/1/13, 60, 44, , 2, 13, 1
2025/1/14, 48, 39, , 2, 13, 
2025/1/15, 43, 45, , 2, 13, 9
2025/1/16, 55, 49, 1, 2, 14, 5
2025/1/17, 62, 34, , 2, 13, 
2025/1/18, 49, 38, 1, 2, 14, 
2025/1/19, 51, 29, 2, 2, 13, 1
2025/1/20, 38, 31, , 2, 12, 
2025/1/21, 38, 37, 5, 2, 12, 4
2025/1/22, 44, 50, , 2, 12, 8
2025/1/23, 79, 47, 2, 2, 12, 3
2025/1/24, 66, 30, 1, 2, 12, 1
2025/1/25, 43, 32, 2, 2, 12, 2
2025/1/26, 47, 40, 2, 2, 12, 2
2025/1/27, 59, 44, 2, 2, 13, 4
2025/1/28, 66, 52, 1, 2, 12, 6
2025/1/29, 69, 62, 3, 2, 12, 9
2025/1/30, 90, 55, 2, 2, 13, 10
2025/1/31, 79, 48, 1, 2, 13, 5
2025/2/1, 65, 55, 2, 2, 13, 9
2025/2/2, 69, 41, 2, 2, 13, 2
2025/2/3, 55, 43, 6, 2, 13, 2
2025/2/4, 54, 39, 2, 2, 13, 1
2025/2/5, 48, 30, 6, 2, 13, 
2025/2/6, 38, 26, 10, 2, 13, 
2025/2/7, 32, 29, 3, 2, 13, 1
2025/2/8, 38, 33, 3, 2, 13, 2
2025/2/9, 45, 40, 3, 2, 13, 5
2025/2/10, 51, 35, 33, 2, 13, 3
2025/2/11, 48, 29, 2, 2, 12, 2
2025/2/12, 38, 28, 2, 2, 13, 
2025/2/13, 29, 20, , 2, 13, 
2025/2/14, 28, 39, , 2, 13, 4
2025/2/15, 42, 41, 1, 2, 13, 4
2025/2/16, 43, 38, 1, 2, 13, 5
2025/2/17, 48, 43, 2, 2, 12, 6
2025/2/18, 51, 43, 2, 2, 12, 6
2025/2/19, 50, 44, , 2, 12, 6
2025/2/20, 58, 45, 2, 2, 12, 6
2025/2/21, 55, 45, 1, 2, 12, 7
2025/2/22, 56, 31, 2, 2, 12, 2
2025/2/23, 37, 32, 2, 2, 12, 4
2025/2/24, 37, 33, 2, 2, 12, 5
2025/2/25, 39, 49, 1, 2, 12, 6
2025/2/26, 46, 44, 2, 2, 13, 6
2025/2/27, 40, 37, 1, 2, 12, 6
2025/2/28, 43, 37, 2, 2, 11, 4
2025/3/1, 37, 31, 2, 2, 12, 3
2025/3/2, 38, 29, 6, 2, 12, 1
2025/3/3, 31, 38, 4, 2, 12, 1
2025/3/4, 27, 56, 4, 2, 12, 
2025/3/5, 24, 40, 3, 2, 12, 
2025/3/6, 27, 50, 4, 2, 12, 3
2025/3/7, 34, 60, 3, 2, 12, 6
2025/3/8, 49, 66, 3, 2, 12, 7
2025/3/9, 60, 62, 3, 2, 12, 7
2025/3/10, 58, 66, 6, 2, 12, 8
2025/3/11, 42, 60, 6, 2, 12, 3
2025/3/12, 31, 78, 5, 2, 12, 3
2025/3/13, 68, 107, 3, 2, 13, 9
2025/3/14, 111, 75, 4, 2, 13, 6
2025/3/15, 63, 76, 5, 2, 13, 6
2025/3/16, 67, 51, 3, 2, 13, 1
2025/3/17, 43, 59, 5, 2, 12, 1
2025/3/18, 43, 64, 6, 2, 13, 2
2025/3/19, 57, 80, 3, 2, 13, 4
2025/3/20, 66, 48, 5, 2, 13, 1
2025/3/21, 38, 53, 3, 2, 13, 1
2025/3/22, 43, 71, 4, 2, 13, 2
2025/3/23, 47, 81, 4, 2, 13, 5
2025/3/24, 71, 89, 5, 2, 13, 6
2025/3/25, 70, 90, 4, 2, 13, 8
2025/3/26, 59, 83, 4, 2, 13, 6
2025/3/27, 59, 73, 4, 2, 12, 2
2025/3/28, 53, 69, 4, 2, 12, 
2025/3/29, 34, 67, 1, 2, 19, 3
2025/3/30, 50, 73, , 2, 25, 5
2025/3/31, 44, 85, 9, 2, 16, 7
2024/10/1, 72, 81, 1, 2, 15, 3
2024/10/2, 108, 99, , 2, 16, 5
2024/10/3, 129, 85, , 2, 16, 3
2024/10/4, 109, 79, , 2, 16, 4
2024/10/5, 113, 77, , 2, 15, 5
2024/10/6, 103, 64, , 2, 16, 2
2024/10/7, 94, 75, 1, 2, 15, 3
2024/10/8, 120, 80, 1, 2, 16, 3
2024/10/9, 128, 70, 1, 2, 16, 3
2024/10/10, 111, 59, 1, 2, 15, 4
