date, pm25, pm10, o3, no2, so2, co
2025/5/1, 90, 30, 10, , 15, 1
2025/5/2, 81, 51, 2, , 10, 2
2025/5/3, 149, , , , , 
2025/4/1, 98, 67, 1, , 4, 3
2025/4/2, 136, 62, 2, , 6, 3
2025/4/3, 131, 55, 2, , 6, 2
2025/4/4, 112, 51, 2, , 6, 3
2025/4/5, 108, 51, 1, , 8, 3
2025/4/6, 116, 63, 2, , 11, 3
2025/4/7, 135, 49, 2, , 7, 1
2025/4/8, 112, 51, 2, , 8, 1
2025/4/9, 111, 38, 1, , 8, 1
2025/4/10, 84, 23, 2, , 11, 1
2025/4/11, 85, 31, 3, , 8, 1
2025/4/12, 90, 30, 1, , 12, 1
2025/4/13, 95, 38, 2, , 15, 1
2025/4/14, 94, 23, 4, , 9, 1
2025/4/15, 74, 28, 2, , 10, 1
2025/4/16, 77, 34, 4, , 9, 2
2025/4/17, 96, 38, 3, , 11, 1
2025/4/18, 83, 31, 4, , 9, 1
2025/4/19, 84, 42, 4, , 8, 1
2025/4/20, 106, 58, 3, , 9, 2
2025/4/21, 134, 61, 2, , 12, 3
2025/4/22, 117, 56, 4, , 15, 2
2025/4/23, 95, 45, 3, , 9, 2
2025/4/24, 91, 45, 4, , 9, 2
2025/4/25, 98, 48, 3, , 9, 2
2025/4/26, 97, 43, 1, , 13, 1
2025/4/27, 72, 40, 4, , 11, 
2025/4/28, 81, 31, 6, , 10, 1
2025/4/29, 84, 30, 6, , 10, 1
2025/4/30, 86, 34, 3, , 11, 
2025/1/1, 63, 39, 2, , 14, 4
2025/1/2, 62, 47, 3, , 16, 6
2025/1/3, 74, 45, , , 14, 4
2025/1/4, 62, 49, , , 16, 7
2025/1/5, 73, 49, , , 16, 7
2025/1/6, 76, 26, , , 13, 4
2025/1/7, 48, 23, 1, , 13, 3
2025/1/8, 41, 37, , , 15, 5
2025/1/9, 60, 55, , , 18, 7
2025/1/10, 79, 46, , , 17, 6
2025/1/11, 75, 43, , , 16, 5
2025/1/12, 67, 47, , , 17, 4
2025/1/13, 60, 40, , , 15, 4
2025/1/14, 55, 30, 1, , 14, 3
2025/1/15, 55, 30, , , 14, 4
2025/1/16, 57, 37, , , 15, 5
2025/1/17, 62, 27, 2, , 14, 4
2025/1/18, 51, 27, , , 13, 4
2025/1/19, 51, 21, , , 13, 3
2025/1/20, 36, 35, , , 13, 3
2025/1/21, 39, 26, , , 13, 3
2025/1/22, 41, 39, 1, , 16, 5
2025/1/23, 60, 35, , , 15, 4
2025/1/24, 57, 19, , , 12, 2
2025/1/25, 33, 24, 3, , 13, 3
2025/1/26, 38, 25, 1, , 14, 3
2025/1/27, 46, 28, 1, , 15, 4
2025/1/28, 50, 37, 1, , 16, 4
2025/1/29, 60, 46, 2, , 18, 7
2025/1/30, 75, 38, 2, , 17, 5
2025/1/31, 60, 36, 2, , 16, 4
2025/2/1, 55, 84, , , 17, 6
2025/2/2, 61, 23, 3, , 15, 3
2025/2/3, 45, 26, 1, , 15, 4
2025/2/4, 46, 27, 1, , 14, 2
2025/2/5, 47, 20, 2, , 11, 
2025/2/6, 30, 19, 1, , 11, 
2025/2/7, 26, 21, 2, , 12, 1
2025/2/8, 34, 25, 3, , 13, 1
2025/2/9, 43, 25, 4, , 14, 2
