date, pm25, pm10, o3, no2, so2, co
2025/5/1, 67, 46, 4, , 11, 4
2025/5/2, 56, 74, , , 11, 7
2025/5/3, 101, , , , , 
2025/4/1, 64, 81, 3, , 11, 6
2025/4/2, 82, 77, 4, , 10, 7
2025/4/3, 80, 76, 4, , 11, 11
2025/4/4, 76, 74, 5, , 11, 12
2025/4/5, 78, 104, 5, , 11, 15
2025/4/6, 124, 86, 5, , 11, 11
2025/4/7, 103, 69, 2, , 11, 4
2025/4/8, 61, 62, 4, , 11, 5
2025/4/9, 68, 54, 1, , 11, 3
2025/4/10, 63, 39, 3, , 11, 4
2025/4/11, 61, 51, 4, , 10, 4
2025/4/12, 66, 50, 18, , 10, 3
2025/4/13, 67, 54, 4, , 11, 3
2025/4/14, 72, 34, 4, , 10, 3
2025/4/15, 45, 51, 4, , 11, 6
2025/4/16, 56, 64, 6, , 11, 6
2025/4/17, 78, 59, 4, , 11, 4
2025/4/18, 69, 49, 3, , 11, 4
2025/4/19, 68, 59, 5, , 11, 4
2025/4/20, 72, 76, 4, , 11, 8
2025/4/21, 86, 88, 5, , 11, 7
2025/4/22, 83, 73, 7, , 11, 3
2025/4/23, 63, 64, 6, , 11, 4
2025/4/24, 62, 79, 5, , 10, 7
2025/4/25, 77, 65, 6, , 11, 9
2025/4/26, 60, 60, 4, , 11, 3
2025/4/27, 48, 60, 3, , 11, 4
2025/4/28, 57, 49, 3, , 11, 4
2025/4/29, 63, 48, 3, , 11, 4
2025/4/30, 63, 57, 4, , 11, 4
2025/1/1, 93, 46, , , 10, 
2025/1/2, 91, 56, , , 10, 4
2025/1/3, 111, 51, , , 10, 2
2025/1/4, 99, 54, , , 10, 7
2025/1/5, 107, 56, , , 11, 9
2025/1/6, 114, 31, , , 11, 1
2025/1/7, 69, 28, 1, , 11, 6
2025/1/8, 66, 44, , , 10, 4
2025/1/9, 91, 51, 1, , 10, 7
2025/1/10, 102, 55, , , 13, 12
2025/1/11, 105, 45, 1, , 13, 2
2025/1/12, 87, 40, , , 13, 3
2025/1/13, 81, 34, , , 13, 1
2025/1/14, 72, 42, , , 13, 1
2025/1/15, 95, 50, , , 13, 8
2025/1/16, 111, 52, , , 13, 5
2025/1/17, 122, 33, 1, , 12, 
2025/1/18, 71, 36, 1, , 10, 
2025/1/19, 76, 24, 2, , 10, 
2025/1/20, 59, 24, 2, , 11, 
2025/1/21, 58, 30, 2, , 11, 9
2025/1/22, 68, 42, , , 11, 8
2025/1/23, 87, 46, 1, , 11, 4
2025/1/24, 93, 30, 2, , 11, 
2025/1/25, 67, 34, 2, , 10, 
2025/1/26, 72, 31, 4, , 10, 
2025/1/27, 68, 49, 2, , 10, 4
2025/1/28, 97, 60, 2, , 11, 9
2025/1/29, 123, 71, 2, , 13, 16
2025/1/30, 135, 63, 1, , 14, 16
2025/1/31, 124, 52, 2, , 12, 6
2025/2/1, 105, 54, 1, , 11, 17
2025/2/2, 110, 42, 3, , 11, 
2025/2/3, 84, 55, 2, , 11, 1
