date,pm25,pm10,o3,no2,so2,co
28-03-2020,,36,3,,3,2
29-03-2020,96,41,4,,3,3
30-03-2020,108,30,3,,3,3
31-03-2020,82,43,3,,3,3
01-04-2020,108,43,4,,3,3
02-04-2020,103,35,6,,3,2
03-04-2020,86,36,6,,3,1
04-04-2020,77,30,3,,4,2
05-04-2020,82,39,3,,3,2
06-04-2020,105,38,8,,4,2
07-04-2020,95,29,5,,4,2
08-04-2020,81,42,3,,3,3
09-04-2020,115,40,2,,1,3
10-04-2020,109,32,5,,2,2
11-04-2020,89,24,3,,1,2
12-04-2020,69,31,8,,2,2
13-04-2020,87,44,1,,2,3
14-04-2020,127,41,,,2,3
15-04-2020,113,26,,,2,2
16-04-2020,75,15,1,,2,1
17-04-2020,46,23,,,2,1
18-04-2020,65,13,,,2,1
19-04-2020,43,16,10,,3,1
20-04-2020,46,18,6,,3,2
21-04-2020,41,9,1,,3,1
22-04-2020,39,13,,,3,1
23-04-2020,43,9,1,,3,1
24-04-2020,24,5,,,3,1
25-04-2020,14,4,,,3,1
26-04-2020,10,8,,,3,1
27-04-2020,21,7,,,3,1
28-04-2020,18,5,,,3,1
29-04-2020,15,9,,,2,2
30-04-2020,24,11,,,2,2
01-05-2020,33,12,,,3,1
02-05-2020,36,9,,,3,1
03-05-2020,25,11,,,3,1
04-05-2020,28,13,,,3,1
05-05-2020,41,8,1,,3,1
06-05-2020,28,7,,,3,2
07-05-2020,19,16,1,,3,2
08-05-2020,53,17,,,4,2
09-05-2020,52,19,,,3,2
10-05-2020,59,29,4,,4,3
11-05-2020,79,31,,,4,3
12-05-2020,87,24,,,4,2
13-05-2020,72,22,6,,4,2
14-05-2020,71,18,,,4,2
15-05-2020,54,11,,,4,2
16-05-2020,37,16,,,4,1
17-05-2020,49,23,,,4,3
18-05-2020,63,21,,,4,2
19-05-2020,62,9,,,4,2
20-05-2020,28,13,1,,4,1
21-05-2020,37,17,,,4,1
22-05-2020,53,19,,,5,1
23-05-2020,59,17,,,5,1
24-05-2020,52,12,,,5,1
25-05-2020,35,,,,,
29-05-2020,,7,,,5,1
30-05-2020,14,7,,,5,1
31-05-2020,16,8,4,,5,1
01-06-2020,20,8,,,5,1
02-06-2020,16,6,,,5,1
03-06-2020,9,4,1,,6,1
04-06-2020,10,6,1,,6,1
05-06-2020,10,6,,,6,1
06-06-2020,13,,,,5,1
07-06-2020,22,18,,,6,3
08-06-2020,53,11,,,6,2
09-06-2020,39,3,,,6,1
10-06-2020,7,6,1,,6,1
11-06-2020,,7,1,,5,1
12-06-2020,4,5,1,,3,1
13-06-2020,6,4,1,,4,1
14-06-2020,4,4,2,,3,1
15-06-2020,5,5,2,,3,1
16-06-2020,5,2,2,,2,1
17-06-2020,8,8,,,,1
18-06-2020,5,17,1,,1,1
19-06-2020,24,11,,,,1
20-06-2020,10,9,,,,1
21-06-2020,10,12,,,,1
22-06-2020,13,13,1,,,
23-06-2020,13,29,,,,
24-06-2020,36,26,,,,
25-06-2020,32,6,,,,
26-06-2020,5,3,,,,
27-06-2020,1,1,,,,
28-06-2020,1,8,,,,
29-06-2020,1,8,1,,,
30-06-2020,9,10,,,,
01-07-2020,1,9,,,1,
02-07-2020,7,11,,,,1
03-07-2020,13,5,,,,
04-07-2020,9,1,,,,
05-07-2020,,7,,,1,
06-07-2020,,11,,,1,
07-07-2020,5,7,,,1,
08-07-2020,9,9,,,1,
09-07-2020,8,4,,,1,
10-07-2020,8,4,1,,1,
11-07-2020,4,3,,,1,
12-07-2020,,7,1,,1,
13-07-2020,5,12,,,1,1
14-07-2020,,11,,,2,
15-07-2020,,12,,,2,
16-07-2020,9,10,11,,2,
17-07-2020,4,8,,,1,
18-07-2020,6,2,,,2,
19-07-2020,4,5,1,,2,
20-07-2020,,2,1,,2,1
21-07-2020,5,6,2,,2,1
22-07-2020,5,10,1,,2,1
23-07-2020,6,12,1,,2,1
24-07-2020,,14,1,,2,1
25-07-2020,3,7,1,,2,1
26-07-2020,8,16,3,,2,1
27-07-2020,18,13,1,,2,2
28-07-2020,20,10,1,,2,1
29-07-2020,2,9,1,,3,1
30-07-2020,,13,1,,3,2
31-07-2020,12,10,1,,3,2
01-08-2020,4,10,1,,3,1
02-08-2020,16,18,1,,4,3
03-08-2020,25,16,2,,3,2
04-08-2020,14,11,2,,4,1
05-08-2020,,12,1,,4,2
06-08-2020,198,9,1,,3,1
07-08-2020,,9,1,,3,1
08-08-2020,,5,1,,3,1
09-08-2020,,8,2,,4,1
10-08-2020,2,3,2,,4,1
11-08-2020,,9,2,,4,1
12-08-2020,,13,1,,4,2
13-08-2020,11,8,1,,4,2
20-08-2020,,8,1,,5,1
21-08-2020,7,6,2,,5,1
22-08-2020,7,5,1,,5,1
23-08-2020,,10,1,,5,2
24-08-2020,,7,1,,5,1
25-08-2020,,10,2,,5,1
26-08-2020,5,13,1,,5,1
27-08-2020,9,19,2,,5,1
28-08-2020,20,18,2,,6,1
29-08-2020,24,,,,,
30-08-2020,,20,2,,6,3
31-08-2020,36,14,1,,6,2
01-09-2020,16,13,1,,6,1
02-09-2020,8,14,1,,6,2
03-09-2020,17,19,1,,6,3
04-09-2020,24,13,1,,6,3
05-09-2020,25,,,,,
06-09-2020,,12,1,,7,2
07-09-2020,6,13,1,,7,2
08-09-2020,15,15,1,,7,2
09-09-2020,25,5,2,,7,1
10-09-2020,13,3,1,,7,1
11-09-2020,5,3,1,,7,1
12-09-2020,,2,1,,7,1
13-09-2020,,3,2,,7,1
14-09-2020,,3,1,,7,1
15-09-2020,,2,1,,7,1
16-09-2020,,3,1,,8,1
17-09-2020,17,9,1,,8,1
18-09-2020,24,9,2,,8,1
19-09-2020,,4,2,,8,1
20-09-2020,5,11,2,,8,2
21-09-2020,10,3,2,,8,1
22-09-2020,,4,2,,8,1
23-09-2020,,8,2,,8,1
24-09-2020,,5,2,,8,1
25-09-2020,3,12,2,,8,1
26-09-2020,,6,1,,9,1
27-09-2020,3,12,1,,9,2
28-09-2020,3,13,1,,9,2
29-09-2020,11,9,1,,9,1
30-09-2020,,11,2,,9,2
01-10-2020,3,9,1,,9,1
02-10-2020,,2,1,,9,1
08-11-2020,,17,1,,11,3
09-11-2020,21,13,2,,5,1
10-11-2020,10,15,2,,,2
11-11-2020,21,18,2,,,2
12-11-2020,25,15,,,,2
13-11-2020,17,6,,,,2
14-11-2020,10,,,,,
15-11-2020,,11,1,,1,1
16-11-2020,10,44,1,,1,2
17-11-2020,82,41,1,,1,2
18-11-2020,72,50,,,1,2
19-11-2020,87,53,1,,1,3
20-11-2020,104,41,,,1,2
21-11-2020,83,42,,,1,2
22-11-2020,95,36,,,1,2
23-11-2020,72,12,,,1,1
24-11-2020,25,12,1,,2,1
25-11-2020,14,12,,,2,1
26-11-2020,8,14,2,,1,1
27-11-2020,17,17,,,,2
28-11-2020,16,10,,,,1
29-11-2020,8,15,,,,1
30-11-2020,13,12,,,,1
01-12-2020,9,10,,,,1
02-12-2020,10,12,,,,1
03-12-2020,11,19,1,,,1
04-12-2020,27,40,,,,2
05-12-2020,82,72,,,,
06-12-2020,137,77,3,,1,4
07-12-2020,161,74,2,,2,3
08-12-2020,158,71,2,,2,3
09-12-2020,145,54,,,3,3
10-12-2020,111,30,2,,3,2
11-12-2020,64,11,,,1,
12-12-2020,16,8,,,1,
13-12-2020,18,21,2,,1,1
14-12-2020,41,25,3,,4,1
15-12-2020,49,32,,,3,3
16-12-2020,55,39,1,,3,3
17-12-2020,75,62,1,,3,3
18-12-2020,131,43,,,4,2
19-12-2020,86,18,,,4,1
20-12-2020,35,16,,,4,1
21-12-2020,19,16,1,,4,1
22-12-2020,20,23,,,4,2
23-12-2020,39,25,,,4,2
24-12-2020,50,22,,,4,2
25-12-2020,47,18,,,4,2
26-12-2020,32,6,,,4,1
27-12-2020,9,7,1,,3,1
28-12-2020,9,15,,,2,1
29-12-2020,17,11,,,2,1
30-12-2020,9,11,1,,3,1
31-12-2020,7,14,1,,3,1
01-01-2021,24,15,,,3,1
02-01-2021,28,14,,,3,1
03-01-2021,30,12,2,,4,1
04-01-2021,15,18,1,,3,2
05-01-2021,42,17,,,4,2
06-01-2021,19,31,3,,4,2
07-01-2021,54,36,4,,4,2
08-01-2021,72,45,2,,3,2
09-01-2021,89,65,1,,3,3
10-01-2021,148,70,4,,4,3
11-01-2021,152,67,8,,4,3
12-01-2021,145,61,2,,4,3
13-01-2021,127,67,1,,4,3
14-01-2021,144,66,1,,4,3
15-01-2021,145,80,1,,4,3
16-01-2021,162,64,,,4,3
17-01-2021,145,51,,,4,2
18-01-2021,99,75,2,,5,3
19-01-2021,158,90,6,,4,4
20-01-2021,171,73,6,,5,3
21-01-2021,147,59,,,5,3
22-01-2021,126,50,1,,5,2
23-01-2021,100,58,1,,5,2
24-01-2021,126,47,1,,5,3
25-01-2021,90,39,,,5,2
26-01-2021,66,36,,,5,2
27-01-2021,61,32,1,,5,2
28-01-2021,54,23,1,,6,2
29-01-2021,31,40,1,,5,2
30-01-2021,76,54,2,,5,2
31-01-2021,112,63,4,,5,3
01-02-2021,133,62,2,,6,3
02-02-2021,126,39,1,,5,2
03-02-2021,73,38,1,,6,2
04-02-2021,63,22,1,,4,1
05-02-2021,35,20,1,,2,1
06-02-2021,30,19,,,1,
