date,pm25,pm10,o3,no2,so2,co
31-12-2013,,,,,3,4
01-01-2014,,,,9,2,2
02-01-2014,,,,6,2,11
03-01-2014,,,,12,3,5
04-01-2014,,,,6,2,9
05-01-2014,,,,6,2,9
06-01-2014,,,,6,3,6
07-01-2014,,,,6,3,7
08-01-2014,,,,6,3,5
09-01-2014,,,,19,3,7
10-01-2014,,,,6,3,4
11-01-2014,,,,9,3,6
12-01-2014,,,,6,3,4
13-01-2014,,,,6,2,123
14-01-2014,,,,6,3,8
15-01-2014,,,,9,3,6
16-01-2014,,,,6,3,22
17-01-2014,,,,6,3,6
18-01-2014,,,,7,,
30-01-2014,,,,,102,
31-01-2014,,,,7,,
14-03-2014,,,,,,
15-03-2014,,,,7,,
01-04-2014,,,,,,
02-04-2014,,,,6,,
01-05-2014,,,,,21,
02-05-2014,,,,7,,
01-06-2014,,,,,127,
02-06-2014,,,,6,,
03-06-2014,,,,,2,8
04-06-2014,,,,6,,
05-06-2014,,,,,1,2
06-06-2014,,,,6,1,7
07-06-2014,,,,6,2,11
08-06-2014,,,,6,2,34
09-06-2014,,,,6,1,27
10-06-2014,,,,6,2,39
11-06-2014,,,,6,1,4
12-06-2014,,,,8,1,17
13-06-2014,,,,9,1,21
14-06-2014,,,,7,,9
15-06-2014,,,,6,1,4
16-06-2014,,,,6,1,9
17-06-2014,,,,6,1,7
18-06-2014,,,,6,1,4
19-06-2014,,,,6,1,22
20-06-2014,,,,6,,
22-06-2014,,,,,2,149
23-06-2014,,,,9,1,15
24-06-2014,,,,6,1,7
25-06-2014,,,,6,1,6
26-06-2014,,,,7,1,2
27-06-2014,,,,6,1,10
28-06-2014,,,,12,1,3
29-06-2014,,,,6,,
30-06-2014,,,,,1,131
01-07-2014,,,,9,1,9
02-07-2014,,,,7,1,6
03-07-2014,,,,7,2,1
04-07-2014,,,,6,1,1
05-07-2014,,,,6,2,1
06-07-2014,,,,7,2,19
07-07-2014,,,,7,2,
08-07-2014,,,,9,2,1
09-07-2014,,,,7,,
10-07-2014,,,,,2,
11-07-2014,,,,7,,
14-07-2014,,,,,1,53
15-07-2014,,,,7,,
16-07-2014,,,,,2,4
17-07-2014,,,,7,,
20-07-2014,,,,,1,4
21-07-2014,,,,7,,
01-08-2014,,,,,,
02-08-2014,,,,5,,
12-08-2014,,,,,15,
13-08-2014,,,,7,10,4
14-08-2014,,,,7,,
02-09-2014,,,,,,
03-09-2014,,,,1,,
16-09-2014,,,,,10,4
17-09-2014,,,,9,,
18-09-2014,,,,,,10
