date,pm25,pm10,o3,no2,so2,co
23-11-2018,,28,,19,2,16
24-11-2018,65,,,,,
20-12-2018,,81,12,20,,10
21-12-2018,139,67,7,19,,10
22-12-2018,126,63,6,14,,8
23-12-2018,115,68,6,17,,10
24-12-2018,132,73,10,18,,7
25-12-2018,146,69,13,20,,10
26-12-2018,130,70,19,10,,6
27-12-2018,148,78,16,18,,8
28-12-2018,150,78,8,19,1,7
29-12-2018,159,71,11,16,4,7
30-12-2018,149,,,,,
13-02-2019,,67,24,13,3,6
14-02-2019,127,59,64,10,2,15
15-02-2019,97,54,42,3,3,11
16-02-2019,97,,,,,
17-02-2019,,68,36,19,3,19
18-02-2019,94,71,19,18,3,15
19-02-2019,129,59,15,16,2,15
20-02-2019,91,70,20,19,3,16
21-02-2019,105,74,16,22,3,13
22-02-2019,110,72,21,29,3,14
23-02-2019,118,68,21,23,2,15
24-02-2019,115,60,21,24,2,14
25-02-2019,89,67,43,14,2,10
26-02-2019,119,71,38,13,2,13
27-02-2019,112,73,34,11,2,10
28-02-2019,105,86,49,22,2,15
01-03-2019,145,68,22,14,3,9
02-03-2019,112,64,62,15,2,11
03-03-2019,102,69,82,13,2,11
04-03-2019,120,70,42,11,2,13
05-03-2019,122,70,39,8,2,6
06-03-2019,105,89,45,17,2,13
07-03-2019,125,82,94,20,3,12
08-03-2019,128,79,63,13,2,12
09-03-2019,135,66,35,13,2,13
10-03-2019,102,64,32,15,3,11
11-03-2019,94,74,31,16,8,12
12-03-2019,121,77,26,15,7,10
13-03-2019,120,73,26,4,4,6
14-03-2019,108,70,25,15,2,7
15-03-2019,105,78,28,27,2,8
16-03-2019,120,67,54,23,3,9
17-03-2019,122,69,50,22,2,8
18-03-2019,118,64,41,18,2,7
19-03-2019,106,65,44,16,5,6
20-03-2019,104,66,79,17,2,8
21-03-2019,110,67,44,20,3,10
22-03-2019,107,72,54,22,2,9
23-03-2019,115,68,49,15,2,8
24-03-2019,101,67,29,21,3,8
25-03-2019,114,69,35,23,4,10
26-03-2019,115,73,48,23,3,9
27-03-2019,117,79,44,28,5,8
28-03-2019,127,80,64,21,2,8
29-03-2019,129,77,46,23,4,10
30-03-2019,120,73,48,18,3,7
31-03-2019,123,74,37,19,2,11
01-04-2019,122,80,39,22,4,9
02-04-2019,122,77,36,24,2,9
03-04-2019,124,69,29,19,5,8
04-04-2019,94,66,27,18,2,16
05-04-2019,102,69,57,18,1,4
06-04-2019,115,67,66,16,2,11
07-04-2019,111,63,40,15,5,8
08-04-2019,98,62,48,13,3,5
09-04-2019,107,70,40,22,2,12
10-04-2019,119,75,29,23,2,10
11-04-2019,126,69,52,21,1,8
12-04-2019,111,68,33,19,3,7
13-04-2019,112,63,41,14,3,6
14-04-2019,100,71,41,18,3,7
15-04-2019,103,67,66,15,3,7
16-04-2019,101,60,34,10,5,6
17-04-2019,100,51,43,14,1,6
18-04-2019,89,47,44,13,2,7
19-04-2019,86,52,44,11,2,7
