date,pm25,pm10,o3,no2,so2,co
02-12-2019,,109,8,7,3,8
03-12-2019,167,108,6,5,4,11
04-12-2019,169,107,8,1,4,10
05-12-2019,169,78,7,4,6,9
06-12-2019,164,89,5,5,4,8
07-12-2019,154,78,7,6,5,7
08-12-2019,152,88,5,9,5,7
09-12-2019,167,99,5,8,5,7
10-12-2019,168,99,4,9,4,9
11-12-2019,189,84,7,10,3,7
12-12-2019,167,38,10,6,3,3
13-12-2019,66,35,3,6,4,3
14-12-2019,92,53,4,4,4,4
15-12-2019,110,55,2,4,5,4
16-12-2019,122,73,2,4,5,4
17-12-2019,137,64,1,4,2,5
18-12-2019,121,82,3,6,3,5
19-12-2019,168,90,7,5,5,7
20-12-2019,174,77,4,4,2,6
21-12-2019,138,65,5,4,3,5
22-12-2019,123,65,5,5,4,5
23-12-2019,117,89,3,5,3,6
24-12-2019,155,53,4,3,2,4
25-12-2019,98,63,4,4,2,3
26-12-2019,110,86,2,5,1,4
27-12-2019,159,98,4,3,3,7
28-12-2019,148,64,3,4,2,5
29-12-2019,127,,,,,
31-12-2019,,89,5,6,3,9
01-01-2020,136,72,17,5,4,8
02-01-2020,112,67,7,4,5,7
03-01-2020,115,77,7,5,4,7
04-01-2020,134,75,5,5,3,5
05-01-2020,130,54,3,5,4,4
06-01-2020,105,42,4,4,3,6
07-01-2020,84,33,6,3,5,5
08-01-2020,80,41,6,4,2,3
09-01-2020,87,53,8,4,2,4
10-01-2020,83,78,5,6,3,6
11-01-2020,125,105,4,7,4,7
12-01-2020,160,77,4,6,6,7
13-01-2020,135,59,3,3,3,6
14-01-2020,110,65,5,5,3,5
15-01-2020,125,61,3,5,2,5
16-01-2020,112,68,2,4,6,6
17-01-2020,127,88,6,5,3,6
18-01-2020,139,70,6,4,3,6
19-01-2020,121,89,4,5,3,8
20-01-2020,133,92,6,7,4,9
21-01-2020,148,67,5,4,3,5
22-01-2020,109,59,8,4,2,3
23-01-2020,89,57,9,5,6,4
24-01-2020,115,75,1,5,11,8
25-01-2020,146,71,6,6,3,7
26-01-2020,138,84,4,6,5,8
27-01-2020,140,58,5,7,3,5
28-01-2020,96,55,6,6,3,4
29-01-2020,75,52,8,4,2,3
30-01-2020,80,53,5,4,2,5
31-01-2020,96,61,8,6,3,6
01-02-2020,115,63,9,5,3,4
02-02-2020,104,79,6,5,3,6
03-02-2020,119,76,8,6,4,6
04-02-2020,121,65,10,4,3,4
05-02-2020,122,71,7,5,3,6
06-02-2020,118,68,8,6,4,6
07-02-2020,129,66,12,5,5,5
08-02-2020,132,69,8,7,4,6
09-02-2020,138,71,9,7,3,9
10-02-2020,133,77,9,7,3,6
11-02-2020,136,79,14,6,3,5
12-02-2020,139,68,10,5,4,4
13-02-2020,120,70,10,5,3,3
14-02-2020,107,66,11,6,4,4
15-02-2020,105,70,10,8,4,5
16-02-2020,118,65,13,7,3,5
17-02-2020,107,76,11,7,6,8
18-02-2020,109,92,4,10,4,8
19-02-2020,133,66,4,7,4,4
20-02-2020,99,32,3,7,30,4
21-02-2020,62,51,10,6,4,5
22-02-2020,85,55,11,7,4,5
23-02-2020,78,54,13,6,7,5
24-02-2020,72,59,10,7,4,5
25-02-2020,87,71,10,9,5,7
26-02-2020,103,83,9,9,5,8
27-02-2020,141,75,7,6,4,6
28-02-2020,123,48,6,8,3,5
29-02-2020,74,47,8,8,4,5
01-03-2020,58,59,8,8,5,5
02-03-2020,94,70,2,7,4,6
03-03-2020,96,74,11,9,5,6
