date,pm25,pm10,o3,no2,so2,co
13-05-2015,,,15,16,3,44
14-05-2015,138,,15,8,3,10
15-05-2015,154,,14,8,4,9
16-05-2015,214,,15,7,32,7
17-05-2015,187,,15,7,29,11
18-05-2015,185,,16,51,46,11
19-05-2015,329,,24,3,115,6
20-05-2015,301,,28,3,9,31
21-05-2015,213,,27,4,9,51
22-05-2015,204,,28,5,118,25
23-05-2015,199,,24,5,111,
24-05-2015,204,,28,6,5,27
25-05-2015,252,,26,3,7,19
26-05-2015,207,,25,3,6,7
27-05-2015,219,,27,11,27,9
28-05-2015,247,,28,12,5,10
29-05-2015,223,,28,17,4,9
30-05-2015,226,,28,25,5,10
31-05-2015,203,,25,3,6,12
01-06-2015,228,,28,2,4,7
02-06-2015,246,,27,4,15,10
03-06-2015,239,,27,3,5,10
04-06-2015,197,,28,5,6,13
05-06-2015,182,,27,3,60,9
06-06-2015,148,,28,3,5,14
07-06-2015,149,,28,3,6,15
08-06-2015,150,,26,3,41,13
09-06-2015,148,,29,3,6,14
10-06-2015,147,,25,4,3,8
11-06-2015,151,,27,4,5,12
12-06-2015,147,,28,4,5,14
13-06-2015,152,,29,3,4,13
14-06-2015,149,,28,4,4,14
15-06-2015,153,,26,3,4,12
16-06-2015,147,,25,3,5,14
17-06-2015,148,,25,3,4,11
18-06-2015,148,,25,4,10,25
19-06-2015,149,,25,4,5,12
20-06-2015,152,,26,3,15,10
21-06-2015,148,,28,7,56,29
22-06-2015,187,,28,7,231,10
23-06-2015,192,,25,5,29,25
24-06-2015,170,,28,8,3,30
25-06-2015,170,,26,3,3,22
26-06-2015,156,,17,3,3,20
27-06-2015,152,,18,3,3,21
28-06-2015,155,,18,3,5,20
29-06-2015,155,,18,3,5,19
30-06-2015,153,,18,6,7,33
01-07-2015,161,,18,6,4,18
02-07-2015,106,,19,6,64,13
03-07-2015,113,,18,6,244,6
04-07-2015,100,,18,5,5,16
05-07-2015,100,,18,6,4,16
06-07-2015,101,,18,6,4,17
07-07-2015,101,,18,5,4,16
08-07-2015,98,,17,5,4,19
09-07-2015,90,,18,3,5,17
10-07-2015,73,,16,4,126,10
11-07-2015,68,,16,6,225,4
12-07-2015,116,,23,4,5,16
13-07-2015,129,,17,8,5,29
14-07-2015,118,,17,2,6,14
15-07-2015,79,,21,3,7,18
16-07-2015,83,,21,4,6,15
17-07-2015,65,,23,4,5,14
18-07-2015,61,,22,4,7,16
19-07-2015,70,,22,4,6,14
20-07-2015,62,,23,4,6,14
21-07-2015,63,,18,4,6,14
22-07-2015,58,,22,16,7,58
23-07-2015,176,,21,8,6,21
24-07-2015,173,,22,6,3,14
25-07-2015,107,,24,4,6,13
26-07-2015,91,,21,4,5,15
27-07-2015,121,,22,3,6,13
28-07-2015,106,,22,4,4,14
29-07-2015,101,,18,5,5,14
30-07-2015,96,,18,5,4,17
31-07-2015,132,,18,21,6,86
01-08-2015,209,,1,5,105,24
02-08-2015,116,,1,4,3,15
03-08-2015,117,,1,4,3,17
04-08-2015,125,,1,5,3,15
05-08-2015,107,,1,4,5,14
06-08-2015,103,,1,4,4,14
07-08-2015,127,,2,4,5,11
08-08-2015,126,,1,4,4,12
09-08-2015,121,,1,4,5,11
10-08-2015,115,,1,4,5,12
11-08-2015,135,,1,4,5,11
12-08-2015,123,,1,4,3,13
13-08-2015,136,,1,4,6,11
14-08-2015,111,,1,4,5,9
15-08-2015,88,,1,5,6,10
16-08-2015,94,,1,4,2,13
17-08-2015,121,,1,5,5,11
18-08-2015,112,,2,6,5,13
19-08-2015,134,,,,,
29-12-2015,,,12,7,,5
30-12-2015,142,,2,15,,6
31-12-2015,197,,23,17,,5
01-01-2016,152,,,,,
03-01-2016,,,18,12,,5
04-01-2016,116,,17,20,,6
05-01-2016,144,,21,23,,5
06-01-2016,163,,9,13,,4
07-01-2016,108,,71,25,2,5
08-01-2016,155,,41,22,,5
09-01-2016,141,,17,21,,4
10-01-2016,149,,113,20,,4
11-01-2016,147,,20,24,,5
12-01-2016,161,,19,24,,4
13-01-2016,146,,55,25,,6
14-01-2016,210,,23,11,2,6
15-01-2016,131,,49,11,1,7
16-01-2016,159,,36,9,1,7
17-01-2016,154,,29,10,1,7
18-01-2016,163,,360,9,1,8
19-01-2016,141,,14,9,,7
20-01-2016,171,,23,8,1,6
21-01-2016,168,,18,8,1,6
22-01-2016,176,,22,8,1,5
23-01-2016,164,,40,5,,5
24-01-2016,160,,16,6,1,8
25-01-2016,153,,15,6,,7
26-01-2016,155,,18,6,,7
27-01-2016,149,,16,8,1,7
28-01-2016,157,,12,7,1,6
29-01-2016,152,,9,8,1,8
30-01-2016,165,,24,6,1,7
31-01-2016,272,,64,8,1,7
01-02-2016,213,,16,7,1,9
02-02-2016,103,,15,7,,8
03-02-2016,170,,14,8,,7
04-02-2016,211,,15,7,,5
05-02-2016,277,,8,7,,9
06-02-2016,172,,10,7,,8
07-02-2016,182,,10,6,,7
08-02-2016,208,,15,7,,12
09-02-2016,246,,18,7,,10
10-02-2016,200,,23,6,,124
11-02-2016,197,,70,10,,2
12-02-2016,,,16,7,,3
13-02-2016,,,15,6,,6
14-02-2016,,,13,6,,9
15-02-2016,117,,235,6,,8
16-02-2016,165,,27,7,,3
17-02-2016,155,,19,6,,4
18-02-2016,137,,57,7,,4
19-02-2016,145,,48,6,,3
20-02-2016,128,,222,3,,3
21-02-2016,110,,66,2,,4
22-02-2016,106,,36,7,,5
23-02-2016,133,,42,4,,7
24-02-2016,110,,43,3,,7
25-02-2016,117,,23,3,,7
26-02-2016,118,,7,6,,8
27-02-2016,127,,8,4,,7
28-02-2016,93,,17,3,,6
29-02-2016,176,,23,6,,8
01-03-2016,181,,27,6,,9
02-03-2016,185,,14,4,,5
03-03-2016,71,,113,6,,8
04-03-2016,100,,33,5,,9
05-03-2016,92,,36,4,,8
06-03-2016,75,,32,7,,10
07-03-2016,95,,32,4,2,9
