date,pm25,pm10,o3,no2,so2,co
27-12-2021,,,10,5,1,4
28-12-2021,,62,12,4,1,4
29-12-2021,,69,13,5,1,3
30-12-2021,,51,15,4,1,2
31-12-2021,,64,14,3,1,2
01-01-2022,,37,13,3,1,1
02-01-2022,,43,16,4,1,3
03-01-2022,,65,19,4,1,2
04-01-2022,,70,11,7,3,3
05-01-2022,,72,11,4,1,3
06-01-2022,,57,11,4,1,2
07-01-2022,,57,11,3,,2
08-01-2022,,41,12,3,1,2
09-01-2022,,38,10,4,1,3
10-01-2022,,45,8,3,1,2
11-01-2022,,30,8,3,,2
12-01-2022,,43,10,4,1,3
13-01-2022,,61,9,3,1,2
14-01-2022,,26,8,2,1,2
15-01-2022,,25,13,2,1,1
16-01-2022,,21,12,5,1,3
17-01-2022,,32,12,4,1,3
18-01-2022,,51,12,7,2,4
19-01-2022,,80,18,6,1,5
20-01-2022,,83,16,6,1,5
21-01-2022,,75,17,5,1,3
22-01-2022,,70,15,5,1,2
23-01-2022,,57,12,6,1,5
24-01-2022,,59,10,5,1,5
25-01-2022,,57,9,4,1,2
26-01-2022,,41,13,3,,2
27-01-2022,,44,16,4,2,1
28-01-2022,,82,16,6,2,3
29-01-2022,,100,15,4,1,3
30-01-2022,,84,29,5,1,5
31-01-2022,,82,14,5,1,4
01-02-2022,,73,12,6,1,4
02-02-2022,,65,11,5,1,3
03-02-2022,,58,13,5,1,2
04-02-2022,,56,12,4,1,3
05-02-2022,,51,11,3,,2
06-02-2022,,45,12,4,1,2
07-02-2022,,66,15,4,1,3
08-02-2022,,67,15,4,1,2
09-02-2022,,60,12,7,2,3
10-02-2022,,86,12,3,1,1
11-02-2022,,50,14,3,,2
12-02-2022,,58,12,4,,2
13-02-2022,,69,17,4,1,3
14-02-2022,,71,18,3,,3
15-02-2022,,57,18,4,1,2
16-02-2022,,71,15,5,1,3
17-02-2022,,107,15,3,1,2
18-02-2022,,62,17,4,1,2
19-02-2022,,72,17,5,1,4
20-02-2022,,87,14,5,1,3
