date,pm25,pm10,o3,no2,so2,co
31-12-2013,,,,,,12
01-01-2014,,,,13,,6
02-01-2014,,,,12,,5
03-01-2014,,,,12,,5
04-01-2014,,,,14,,
05-01-2014,,,,,,8
06-01-2014,,,,13,,6
07-01-2014,,,,13,,10
08-01-2014,,,,12,,21
09-01-2014,,,,14,,
14-01-2014,,,,,3,
15-01-2014,,,,11,4,
16-01-2014,,,,14,,
17-01-2014,,,,,3,26
18-01-2014,,,,12,3,10
19-01-2014,,,,12,3,
20-01-2014,,,,12,3,4
21-01-2014,,,,11,3,
22-01-2014,,,,12,3,
23-01-2014,,,,12,3,
24-01-2014,,,,11,,
27-01-2014,,,,,4,
28-01-2014,,,,13,3,
29-01-2014,,,,12,3,
30-01-2014,,,,12,3,
31-01-2014,,,,11,,
03-02-2014,,,,,3,1
04-02-2014,,,,12,3,
05-02-2014,,,,12,4,
06-02-2014,,,,14,4,
07-02-2014,,,,15,,
08-02-2014,,,,,4,
09-02-2014,,,,15,4,
10-02-2014,,,,14,7,2
11-02-2014,,,,22,4,
12-02-2014,,,,13,4,
13-02-2014,,,,13,4,
14-02-2014,,,,13,4,
15-02-2014,,,,14,,
16-02-2014,,,,,4,
17-02-2014,,,,13,7,
18-02-2014,,,,24,3,
19-02-2014,,,,11,16,26
20-02-2014,,,,15,27,
21-02-2014,,,,64,,
23-02-2014,,,,,,
24-02-2014,,,,2,1,
25-02-2014,,,,3,,
26-02-2014,,,,1,,
02-03-2014,,,,,,
10-03-2014,,,,,,
11-03-2014,,,,1,,
23-03-2014,,,,,5,
24-03-2014,,,,16,5,
25-03-2014,,,,18,6,
26-03-2014,,,,20,5,
27-03-2014,,,,19,6,
28-03-2014,,,,21,6,
29-03-2014,,,,22,7,
30-03-2014,,,,24,6,
31-03-2014,,,,21,7,
01-04-2014,,,,23,6,
02-04-2014,,,,20,6,
03-04-2014,,,,20,7,
04-04-2014,,,,22,,
06-04-2014,,,,,6,
07-04-2014,,,,20,6,
08-04-2014,,,,21,6,
09-04-2014,,,,20,7,
10-04-2014,,,,24,6,
11-04-2014,,,,20,6,
12-04-2014,,,,21,8,
13-04-2014,,,,26,,
15-04-2014,,,,23,,
16-04-2014,,,,22,,
17-04-2014,,,,21,,
