date,pm25,pm10,o3,no2,so2,co
27-12-2021,,60,6,4,4,5
28-12-2021,95,61,11,2,2,3
29-12-2021,92,54,6,2,1,2
30-12-2021,86,37,15,2,,5
31-12-2021,64,39,,,,3
01-01-2022,61,42,,1,,2
02-01-2022,60,61,18,2,1,3
03-01-2022,111,62,18,1,1,3
04-01-2022,115,66,14,3,2,4
05-01-2022,102,47,10,2,2,3
06-01-2022,78,47,11,1,1,3
07-01-2022,59,42,11,1,,2
08-01-2022,30,33,10,,1,2
09-01-2022,41,31,9,1,,3
10-01-2022,37,30,7,1,1,2
11-01-2022,25,28,7,1,1,2
12-01-2022,29,29,7,,,3
13-01-2022,64,17,6,,1,2
14-01-2022,34,20,8,,,2
15-01-2022,24,28,12,,,2
16-01-2022,25,27,12,2,1,3
17-01-2022,50,56,13,1,1,3
18-01-2022,96,72,18,3,3,6
19-01-2022,130,69,18,3,2,4
20-01-2022,137,76,14,3,1,4
21-01-2022,131,60,15,1,1,3
22-01-2022,127,51,14,,1,3
23-01-2022,100,38,12,2,,4
24-01-2022,76,47,9,3,1,4
25-01-2022,78,33,9,1,1,2
26-01-2022,37,62,12,1,1,2
27-01-2022,51,71,19,,1,2
28-01-2022,87,92,23,1,2,4
29-01-2022,142,82,23,1,1,3
30-01-2022,128,84,23,3,2,7
31-01-2022,125,71,19,3,1,4
01-02-2022,113,61,12,3,2,4
02-02-2022,83,50,11,2,1,3
03-02-2022,61,40,12,1,,2
04-02-2022,53,50,13,2,,3
05-02-2022,66,45,16,,,2
06-02-2022,57,66,16,1,,3
07-02-2022,83,75,22,2,,3
08-02-2022,86,66,22,1,4,3
09-02-2022,69,79,16,2,3,3
10-02-2022,103,,,,,
14-02-2022,,62,25,,2,7
15-02-2022,82,77,22,2,2,3
16-02-2022,106,64,18,1,,2
17-02-2022,83,,,,,
18-02-2022,,61,18,1,1,3
19-02-2022,91,51,14,1,1,3
20-02-2022,97,49,12,1,2,3
21-02-2022,76,44,8,1,1,3
22-02-2022,64,40,11,,,2
23-02-2022,50,54,12,1,1,3
24-02-2022,71,61,17,1,1,4
25-02-2022,92,53,14,,1,2
26-02-2022,69,47,13,,1,2
27-02-2022,61,53,12,1,2,3
28-02-2022,75,56,12,1,2,4
01-03-2022,76,61,14,2,3,3
02-03-2022,83,65,21,1,2,3
03-03-2022,102,66,18,1,1,3
04-03-2022,92,65,16,2,3,3
05-03-2022,81,54,20,,1,2
06-03-2022,51,55,23,,,2
07-03-2022,82,64,21,1,1,3
08-03-2022,113,78,21,3,1,4
09-03-2022,128,76,18,2,1,4
10-03-2022,114,65,20,1,,3
11-03-2022,103,72,16,2,1,4
12-03-2022,101,75,20,2,1,4
13-03-2022,108,75,21,3,2,4
14-03-2022,116,87,29,4,1,4
15-03-2022,133,83,24,4,2,6
16-03-2022,128,75,18,3,3,3
17-03-2022,113,61,14,2,1,3
18-03-2022,94,51,12,1,1,3
19-03-2022,89,,,,,
21-03-2022,,60,26,1,1,4
22-03-2022,102,55,20,1,1,3
23-03-2022,91,54,10,1,1,3
24-03-2022,74,48,8,,,3
25-03-2022,68,51,7,1,1,3
26-03-2022,60,43,5,1,,2
27-03-2022,63,32,4,,,2
28-03-2022,41,30,5,,1,2
29-03-2022,30,29,8,,,2
30-03-2022,29,30,9,,,2
31-03-2022,25,30,9,,1,2
01-04-2022,21,27,7,,1,2
02-04-2022,23,30,10,,,2
03-04-2022,32,18,4,,,2
04-04-2022,17,27,3,,1,2
05-04-2022,17,35,6,1,1,2
06-04-2022,34,38,5,1,,2
07-04-2022,42,33,5,,1,2
08-04-2022,36,21,7,,1,6
09-04-2022,28,17,6,,1,11
10-04-2022,9,13,6,,1,11
11-04-2022,16,11,6,,,10
12-04-2022,6,11,5,,1,9
13-04-2022,15,28,11,1,2,7
14-04-2022,46,24,12,1,1,7
15-04-2022,27,23,13,,3,9
16-04-2022,32,28,18,,1,8
17-04-2022,42,34,20,,1,4
18-04-2022,53,28,16,,1,4
19-04-2022,35,29,10,,1,3
20-04-2022,36,24,8,,,3
21-04-2022,21,21,5,,,1
22-04-2022,19,22,5,,1,4
23-04-2022,23,22,8,1,1,2
24-04-2022,19,22,7,,,2
25-04-2022,15,25,8,,1,3
26-04-2022,12,19,5,,1,2
27-04-2022,10,18,5,,,3
28-04-2022,16,22,10,,2,3
29-04-2022,35,33,11,,2,3
30-04-2022,44,39,13,,1,3
01-05-2022,56,59,27,2,1,3
02-05-2022,87,42,17,,,2
03-05-2022,69,43,8,,1,4
04-05-2022,57,89,11,2,2,4
05-05-2022,84,48,12,,,2
06-05-2022,66,71,26,3,,3
07-05-2022,107,57,22,1,,3
08-05-2022,104,81,23,3,3,4
09-05-2022,124,50,14,3,1,6
10-05-2022,88,52,16,2,1,5
11-05-2022,81,45,16,1,1,11
12-05-2022,67,38,19,1,,10
13-05-2022,65,53,21,2,1,6
14-05-2022,72,34,20,1,1,7
15-05-2022,53,32,18,1,1,4
16-05-2022,42,44,12,2,2,7
17-05-2022,48,34,11,,1,3
18-05-2022,25,45,15,,2,7
19-05-2022,42,70,15,1,2,8
20-05-2022,74,75,16,2,1,7
21-05-2022,72,69,15,1,1,4
22-05-2022,76,52,13,1,1,9
23-05-2022,45,51,17,1,3,6
24-05-2022,52,56,20,1,2,4
25-05-2022,58,56,18,2,2,4
26-05-2022,61,58,20,1,1,4
27-05-2022,61,60,21,1,2,2
28-05-2022,69,53,20,1,4,4
29-05-2022,59,42,22,,3,6
30-05-2022,45,58,23,1,3,12
31-05-2022,60,66,20,1,5,9
01-06-2022,76,58,22,1,2,6
02-06-2022,73,58,24,1,6,4
03-06-2022,66,55,21,1,2,5
04-06-2022,61,53,16,,4,4
05-06-2022,58,40,21,1,2,5
06-06-2022,61,48,19,1,,2
07-06-2022,63,58,20,1,2,4
08-06-2022,61,53,20,1,5,2
09-06-2022,57,50,16,1,4,12
10-06-2022,55,55,17,1,3,9
11-06-2022,57,40,18,1,2,10
12-06-2022,47,37,20,1,1,7
13-06-2022,37,44,25,1,2,6
14-06-2022,58,35,21,1,3,7
15-06-2022,50,35,23,1,1,6
16-06-2022,37,39,19,1,1,9
17-06-2022,51,26,12,1,1,9
18-06-2022,37,29,14,,1,16
19-06-2022,37,23,14,2,,8
20-06-2022,43,19,12,2,,8
21-06-2022,39,29,10,2,2,5
22-06-2022,46,46,9,1,2,3
23-06-2022,65,46,11,1,1,2
24-06-2022,64,51,10,2,,4
25-06-2022,48,62,8,,,2
26-06-2022,65,61,12,1,1,2
27-06-2022,53,46,12,2,1,2
28-06-2022,50,42,19,1,1,2
29-06-2022,44,32,11,2,1,1
30-06-2022,42,35,15,2,2,2
01-07-2022,38,40,15,1,1,3
02-07-2022,41,53,12,1,1,2
03-07-2022,61,42,15,2,1,2
04-07-2022,32,33,31,2,1,3
05-07-2022,30,31,16,3,1,3
06-07-2022,45,51,17,2,1,4
07-07-2022,48,54,13,2,1,2
08-07-2022,42,53,10,2,1,3
09-07-2022,48,28,13,1,1,3
10-07-2022,30,33,6,1,1,2
11-07-2022,32,58,10,2,1,5
12-07-2022,35,40,15,1,1,5
13-07-2022,21,38,12,1,3,9
14-07-2022,,54,12,1,1,2
15-07-2022,52,50,8,1,1,16
16-07-2022,45,26,10,1,,
17-07-2022,33,33,10,1,1,38
18-07-2022,39,49,15,1,2,
19-07-2022,66,51,16,2,2,16
20-07-2022,67,39,14,1,,7
21-07-2022,42,40,19,1,1,10
22-07-2022,52,31,12,1,1,7
23-07-2022,49,38,11,1,,4
24-07-2022,52,54,13,2,2,6
25-07-2022,73,39,7,4,1,5
26-07-2022,46,49,11,4,2,3
27-07-2022,52,36,8,4,1,3
