date,pm25,pm10,o3,no2,so2,co
2014-01-01,328.0,308.0,5.0,45.0,22.0,29.0
2014-01-02,342.0,679.0,8.0,24.0,26.0,40.0
2014-01-03,158.0,,,,,
2014-01-04,166.0,294.0,48.0,22.0,15.0,8.0
2014-01-05,191.0,,,,,
2014-01-06,174.0,567.0,9.0,66.0,5.0,16.0
2014-01-07,170.0,224.0,6.0,26.0,9.0,22.0
2014-01-09,163.0,92.0,47.0,25.0,7.0,13.0
2014-01-11,381.0,640.0,16.0,90.0,7.0,20.0
2014-01-12,189.0,451.0,14.0,19.0,9.0,11.0
2014-02-01,278.0,567.0,4.0,63.0,8.0,44.0
2014-02-02,425.0,748.0,9.0,54.0,12.0,41.0
2014-02-03,,322.0,37.0,25.0,15.0,14.0
2014-02-04,194.0,465.0,16.0,27.0,9.0,11.0
2014-02-06,255.0,595.0,20.0,55.0,5.0,9.0
2014-02-07,174.0,238.0,220.0,27.0,6.0,14.0
2014-02-09,97.0,103.0,8.0,16.0,5.0,10.0
2014-02-11,261.0,686.0,16.0,93.0,5.0,13.0
2014-02-12,199.0,539.0,13.0,18.0,6.0,16.0
2014-03-01,340.0,711.0,5.0,34.0,8.0,40.0
2014-03-02,269.0,562.0,7.0,31.0,18.0,26.0
2014-03-03,160.0,385.0,31.0,20.0,18.0,16.0
2014-03-04,176.0,490.0,18.0,19.0,8.0,8.0
2014-03-06,231.0,716.0,4.0,74.0,5.0,15.0
2014-03-07,217.0,546.0,12.0,25.0,6.0,12.0
2014-03-08,,,92.0,49.0,3.0,12.0
2014-03-09,100.0,72.0,6.0,26.0,7.0,15.0
2014-03-11,345.0,,,,,
2014-03-12,228.0,407.0,17.0,15.0,8.0,22.0
2014-04-01,507.0,,,,,
2014-04-02,209.0,362.0,8.0,31.0,17.0,23.0
2014-04-03,195.0,527.0,33.0,19.0,14.0,12.0
2014-04-04,149.0,349.0,11.0,15.0,9.0,9.0
2014-04-06,370.0,564.0,25.0,62.0,9.0,9.0
2014-04-07,203.0,441.0,11.0,33.0,3.0,13.0
2014-04-08,226.0,,33.0,39.0,5.0,15.0
2014-04-09,110.0,63.0,16.0,26.0,7.0,18.0
2014-04-11,,421.0,18.0,70.0,5.0,12.0
2014-04-12,269.0,630.0,19.0,9.0,9.0,20.0
2014-05-01,,657.0,8.0,36.0,7.0,38.0
2014-05-02,204.0,209.0,5.0,22.0,29.0,17.0
2014-05-03,182.0,462.0,34.0,18.0,9.0,14.0
2014-05-04,165.0,304.0,6.0,30.0,17.0,18.0
2014-05-06,185.0,534.0,22.0,50.0,5.0,13.0
2014-05-07,200.0,380.0,11.0,26.0,3.0,10.0
2014-05-08,343.0,,27.0,37.0,7.0,22.0
2014-05-09,124.0,215.0,71.0,37.0,8.0,15.0
2014-05-11,276.0,461.0,17.0,70.0,5.0,13.0
2014-05-12,383.0,556.0,15.0,7.0,6.0,13.0
2014-06-01,452.0,544.0,9.0,19.0,7.0,36.0
2014-06-02,192.0,187.0,6.0,12.0,14.0,10.0
2014-06-03,166.0,490.0,37.0,18.0,9.0,12.0
2014-06-04,369.0,255.0,13.0,14.0,13.0,7.0
2014-06-06,194.0,658.0,21.0,48.0,10.0,9.0
2014-06-07,206.0,333.0,8.0,22.0,13.0,9.0
2014-06-08,433.0,,,,,
2014-06-09,172.0,97.0,10.0,54.0,7.0,15.0
2014-06-11,319.0,750.0,14.0,41.0,7.0,29.0
2014-06-12,287.0,368.0,12.0,5.0,6.0,25.0
2014-07-01,401.0,744.0,8.0,22.0,4.0,35.0
2014-07-02,167.0,247.0,5.0,11.0,6.0,11.0
2014-07-03,171.0,434.0,32.0,17.0,9.0,12.0
2014-07-04,147.0,338.0,13.0,17.0,10.0,8.0
2014-07-06,224.0,263.0,7.0,36.0,7.0,7.0
2014-07-07,202.0,383.0,9.0,28.0,2.0,14.0
2014-07-08,,,22.0,41.0,6.0,6.0
2014-07-09,231.0,99.0,10.0,21.0,8.0,11.0
2014-07-10,,302.0,13.0,37.0,8.0,14.0
2014-07-11,381.0,649.0,13.0,49.0,6.0,19.0
2014-07-12,277.0,438.0,14.0,7.0,7.0,25.0
2014-08-01,485.0,651.0,8.0,57.0,10.0,43.0
2014-08-02,179.0,350.0,9.0,16.0,7.0,13.0
2014-08-03,170.0,500.0,30.0,19.0,9.0,16.0
2014-08-04,162.0,396.0,24.0,22.0,6.0,9.0
2014-08-06,178.0,633.0,11.0,70.0,17.0,16.0
2014-08-07,187.0,588.0,29.0,24.0,2.0,9.0
2014-08-08,284.0,,,,,
2014-08-09,137.0,227.0,279.0,38.0,7.0,14.0
2014-08-10,171.0,311.0,5.0,44.0,8.0,16.0
2014-08-11,343.0,387.0,10.0,76.0,6.0,12.0
2014-08-12,411.0,448.0,14.0,4.0,12.0,15.0
2014-09-01,502.0,612.0,7.0,80.0,11.0,35.0
2014-09-02,169.0,669.0,10.0,18.0,8.0,17.0
2014-09-03,205.0,113.0,21.0,18.0,19.0,11.0
2014-09-04,167.0,,,,,
2014-09-06,267.0,683.0,36.0,46.0,9.0,12.0
2014-09-07,221.0,627.0,32.0,15.0,3.0,5.0
2014-09-09,227.0,246.0,14.0,35.0,8.0,14.0
2014-09-10,261.0,290.0,13.0,38.0,7.0,14.0
2014-09-11,342.0,532.0,10.0,103.0,5.0,12.0
2014-09-12,362.0,466.0,15.0,1.0,10.0,12.0
2014-10-01,468.0,545.0,8.0,43.0,13.0,32.0
2014-10-02,214.0,461.0,10.0,19.0,14.0,18.0
2014-10-03,120.0,100.0,29.0,28.0,15.0,7.0
2014-10-04,,475.0,26.0,22.0,12.0,8.0
2014-10-06,282.0,,,,,
2014-10-07,200.0,480.0,13.0,24.0,3.0,6.0
2014-10-09,167.0,167.0,23.0,47.0,8.0,18.0
2014-10-10,177.0,481.0,12.0,41.0,6.0,15.0
2014-10-11,281.0,697.0,16.0,104.0,5.0,16.0
2014-10-12,235.0,505.0,17.0,18.0,7.0,12.0
2014-11-01,317.0,,,,,
2014-11-02,258.0,439.0,12.0,21.0,9.0,18.0
