date,pm25,pm10,o3,no2,so2,co
2018-01-18,,368.0,,,,
2018-01-19,366.0,,,,,
2018-01-22,,181.0,,12.0,,18.0
2018-01-23,259.0,164.0,2.0,12.0,,19.0
2018-01-24,254.0,136.0,1.0,10.0,,16.0
2018-01-25,215.0,166.0,7.0,12.0,,12.0
2018-01-26,263.0,180.0,9.0,13.0,,10.0
2018-01-27,263.0,201.0,10.0,11.0,,14.0
2018-01-28,252.0,202.0,9.0,16.0,1.0,14.0
2018-01-29,283.0,168.0,8.0,15.0,1.0,9.0
2018-01-30,205.0,173.0,8.0,13.0,1.0,8.0
2018-01-31,220.0,199.0,13.0,18.0,2.0,14.0
2018-02-01,207.0,200.0,17.0,17.0,1.0,14.0
2018-02-02,225.0,151.0,22.0,17.0,2.0,9.0
2018-02-03,184.0,157.0,25.0,15.0,1.0,9.0
2018-02-04,203.0,197.0,20.0,19.0,2.0,13.0
2018-02-05,228.0,187.0,15.0,17.0,2.0,11.0
2018-02-06,216.0,157.0,27.0,16.0,2.0,11.0
2018-02-07,196.0,213.0,19.0,21.0,2.0,19.0
2018-02-08,228.0,252.0,30.0,22.0,3.0,18.0
2018-02-09,269.0,313.0,55.0,23.0,2.0,27.0
2018-02-10,277.0,170.0,60.0,15.0,4.0,11.0
2018-02-11,204.0,109.0,11.0,7.0,1.0,4.0
2018-02-12,163.0,123.0,16.0,14.0,1.0,9.0
2018-02-13,180.0,120.0,12.0,11.0,,6.0
2018-02-14,154.0,121.0,13.0,12.0,1.0,7.0
2018-02-15,168.0,150.0,12.0,16.0,1.0,10.0
2018-02-16,205.0,153.0,13.0,15.0,1.0,10.0
2018-02-17,192.0,142.0,19.0,14.0,1.0,10.0
2018-02-18,188.0,211.0,18.0,19.0,1.0,14.0
2018-02-19,225.0,227.0,20.0,20.0,2.0,17.0
2018-02-20,241.0,306.0,24.0,24.0,4.0,23.0
2018-02-21,247.0,227.0,15.0,21.0,3.0,19.0
2018-02-22,205.0,310.0,18.0,21.0,3.0,22.0
2018-02-23,257.0,270.0,16.0,17.0,2.0,14.0
2018-02-24,237.0,159.0,21.0,12.0,2.0,8.0
2018-02-25,187.0,122.0,14.0,10.0,1.0,6.0
2018-02-26,146.0,125.0,13.0,13.0,1.0,7.0
2018-02-27,156.0,177.0,18.0,16.0,2.0,13.0
2018-02-28,209.0,152.0,20.0,16.0,2.0,11.0
2018-03-01,175.0,180.0,29.0,13.0,2.0,18.0
2018-03-02,215.0,126.0,16.0,11.0,2.0,7.0
2018-03-03,167.0,123.0,17.0,10.0,2.0,6.0
2018-03-04,144.0,110.0,23.0,12.0,1.0,4.0
2018-03-05,133.0,124.0,19.0,14.0,1.0,6.0
2018-03-06,141.0,126.0,23.0,15.0,1.0,10.0
2018-03-07,157.0,173.0,39.0,18.0,2.0,16.0
2018-03-08,190.0,130.0,22.0,17.0,2.0,7.0
2018-03-09,145.0,122.0,24.0,14.0,2.0,8.0
2018-03-10,163.0,150.0,8.0,13.0,4.0,7.0
2018-03-11,206.0,140.0,15.0,15.0,1.0,16.0
2018-03-12,126.0,172.0,24.0,16.0,3.0,11.0
2018-03-13,180.0,208.0,20.0,15.0,2.0,12.0
2018-03-14,141.0,234.0,11.0,15.0,2.0,10.0
2018-03-15,160.0,184.0,19.0,16.0,2.0,10.0
2018-03-16,170.0,141.0,26.0,13.0,3.0,8.0
2018-03-17,181.0,,,,,
2018-03-18,,123.0,22.0,17.0,1.0,10.0
2018-03-19,131.0,166.0,27.0,19.0,2.0,14.0
2018-03-20,164.0,250.0,31.0,16.0,4.0,13.0
2018-03-21,212.0,123.0,21.0,14.0,2.0,8.0
2018-03-22,161.0,113.0,23.0,14.0,2.0,8.0
2018-03-23,139.0,126.0,23.0,15.0,1.0,9.0
2018-03-24,148.0,134.0,24.0,12.0,2.0,9.0
2018-03-25,159.0,139.0,23.0,12.0,2.0,8.0
2018-03-26,175.0,179.0,16.0,16.0,2.0,13.0
2018-03-27,156.0,230.0,21.0,14.0,2.0,14.0
2018-03-28,165.0,147.0,23.0,13.0,2.0,10.0
2018-03-29,158.0,153.0,24.0,14.0,2.0,10.0
2018-03-30,154.0,183.0,27.0,11.0,2.0,11.0
2018-03-31,167.0,122.0,28.0,8.0,1.0,8.0
2018-04-01,148.0,144.0,29.0,12.0,2.0,10.0
2018-04-02,167.0,167.0,28.0,15.0,2.0,11.0
2018-04-03,179.0,166.0,32.0,16.0,2.0,11.0
2018-04-04,179.0,225.0,30.0,22.0,3.0,14.0
2018-04-05,194.0,156.0,51.0,14.0,4.0,10.0
2018-04-06,161.0,89.0,33.0,10.0,1.0,7.0
2018-04-07,117.0,92.0,27.0,8.0,1.0,7.0
2018-04-08,127.0,99.0,15.0,11.0,2.0,11.0
2018-04-09,129.0,165.0,12.0,17.0,2.0,11.0
2018-04-10,174.0,95.0,18.0,,2.0,6.0
2018-04-11,120.0,97.0,25.0,,2.0,13.0
2018-04-12,120.0,114.0,41.0,,2.0,12.0
2018-04-13,137.0,152.0,23.0,,2.0,16.0
2018-04-14,146.0,167.0,34.0,,3.0,14.0
2018-04-15,182.0,251.0,26.0,,3.0,17.0
2018-04-16,191.0,189.0,23.0,16.0,2.0,11.0
2018-04-17,150.0,158.0,16.0,13.0,2.0,8.0
2018-04-18,127.0,181.0,14.0,16.0,2.0,13.0
2018-04-19,156.0,289.0,16.0,12.0,2.0,8.0
2018-04-20,158.0,493.0,15.0,13.0,2.0,7.0
2018-04-21,170.0,128.0,14.0,13.0,3.0,8.0
2018-04-22,112.0,133.0,21.0,15.0,2.0,11.0
2018-04-23,114.0,167.0,19.0,16.0,2.0,14.0
