date,pm25,pm10,o3,no2,so2,co
2013-12-31,,196.0,30.0,11.0,9.0,19.0
2014-01-01,311.0,181.0,42.0,14.0,5.0,22.0
2014-01-02,262.0,188.0,48.0,13.0,7.0,28.0
2014-01-03,272.0,348.0,8.0,31.0,7.0,46.0
2014-01-04,393.0,333.0,27.0,19.0,4.0,39.0
2014-01-05,469.0,290.0,34.0,12.0,7.0,32.0
2014-01-06,374.0,243.0,43.0,13.0,8.0,28.0
2014-01-07,324.0,276.0,20.0,20.0,8.0,30.0
2014-01-08,310.0,310.0,22.0,21.0,7.0,39.0
2014-01-09,430.0,249.0,24.0,22.0,4.0,34.0
2014-01-10,422.0,158.0,28.0,9.0,7.0,22.0
2014-01-11,246.0,211.0,37.0,12.0,4.0,24.0
2014-01-12,271.0,225.0,46.0,15.0,8.0,26.0
2014-01-13,302.0,224.0,38.0,15.0,10.0,28.0
2014-01-14,337.0,375.0,5.0,17.0,4.0,31.0
2014-01-15,398.0,392.0,17.0,18.0,5.0,33.0
2014-01-16,428.0,221.0,4.0,12.0,5.0,26.0
2014-01-17,327.0,,,,,
2014-01-19,,127.0,14.0,16.0,7.0,24.0
2014-01-20,204.0,110.0,5.0,33.0,10.0,21.0
2014-01-21,235.0,89.0,3.0,53.0,8.0,19.0
2014-01-22,128.0,105.0,6.0,39.0,9.0,18.0
2014-01-23,130.0,112.0,11.0,31.0,7.0,17.0
2014-01-24,132.0,116.0,17.0,29.0,6.0,16.0
2014-01-25,135.0,,,,,
2014-01-26,,144.0,26.0,32.0,8.0,19.0
2014-01-27,238.0,156.0,30.0,30.0,11.0,20.0
2014-01-28,202.0,243.0,7.0,48.0,12.0,25.0
2014-01-29,264.0,245.0,11.0,55.0,12.0,27.0
2014-01-30,310.0,211.0,11.0,47.0,21.0,25.0
2014-01-31,296.0,288.0,14.0,55.0,27.0,24.0
2014-02-01,338.0,217.0,35.0,46.0,15.0,27.0
2014-02-02,261.0,177.0,31.0,49.0,13.0,26.0
2014-02-03,202.0,221.0,28.0,59.0,14.0,29.0
2014-02-04,225.0,147.0,18.0,26.0,13.0,16.0
2014-02-05,190.0,179.0,15.0,44.0,12.0,21.0
2014-02-06,196.0,106.0,19.0,20.0,11.0,15.0
2014-02-07,151.0,100.0,13.0,16.0,6.0,16.0
2014-02-08,166.0,93.0,50.0,19.0,11.0,16.0
2014-02-09,146.0,109.0,46.0,26.0,10.0,20.0
2014-02-10,161.0,150.0,58.0,36.0,14.0,22.0
2014-02-11,197.0,128.0,44.0,23.0,7.0,20.0
2014-02-12,182.0,158.0,31.0,35.0,17.0,21.0
2014-02-13,201.0,82.0,9.0,23.0,9.0,17.0
2014-02-14,154.0,,,,,
2014-02-16,,109.0,18.0,25.0,7.0,16.0
2014-02-17,234.0,129.0,53.0,34.0,12.0,21.0
2014-02-18,180.0,212.0,22.0,86.0,10.0,32.0
2014-02-19,268.0,209.0,35.0,61.0,11.0,27.0
2014-02-20,244.0,168.0,27.0,59.0,9.0,29.0
2014-02-21,356.0,127.0,14.0,27.0,3.0,18.0
2014-02-22,185.0,133.0,25.0,22.0,2.0,17.0
2014-02-23,189.0,109.0,46.0,26.0,2.0,19.0
2014-02-24,167.0,138.0,56.0,37.0,4.0,20.0
2014-02-25,184.0,183.0,29.0,48.0,9.0,23.0
2014-02-26,218.0,86.0,17.0,25.0,4.0,6.0
2014-02-27,129.0,61.0,11.0,24.0,3.0,4.0
2014-02-28,120.0,89.0,25.0,29.0,4.0,6.0
2014-03-01,160.0,87.0,32.0,24.0,2.0,6.0
2014-03-02,154.0,98.0,51.0,26.0,4.0,6.0
2014-03-03,142.0,115.0,35.0,32.0,5.0,8.0
2014-03-04,155.0,106.0,36.0,29.0,5.0,5.0
2014-03-05,138.0,91.0,36.0,25.0,5.0,4.0
2014-03-06,161.0,107.0,51.0,20.0,4.0,5.0
2014-03-07,151.0,103.0,42.0,20.0,5.0,5.0
2014-03-08,148.0,119.0,62.0,23.0,4.0,7.0
2014-03-09,174.0,60.0,14.0,28.0,6.0,4.0
2014-03-10,107.0,64.0,16.0,19.0,5.0,3.0
2014-03-11,97.0,69.0,22.0,24.0,9.0,3.0
2014-03-12,107.0,83.0,44.0,17.0,5.0,3.0
2014-03-13,122.0,113.0,63.0,24.0,5.0,7.0
2014-03-14,148.0,143.0,79.0,30.0,6.0,9.0
2014-03-15,173.0,139.0,56.0,25.0,5.0,7.0
2014-03-16,169.0,134.0,36.0,19.0,5.0,7.0
2014-03-17,183.0,89.0,28.0,14.0,5.0,3.0
2014-03-18,112.0,81.0,44.0,16.0,5.0,3.0
2014-03-19,116.0,92.0,48.0,22.0,5.0,5.0
2014-03-20,138.0,138.0,45.0,42.0,8.0,9.0
2014-03-21,168.0,127.0,40.0,33.0,6.0,10.0
2014-03-22,172.0,333.0,22.0,54.0,14.0,14.0
2014-03-23,344.0,94.0,15.0,23.0,6.0,6.0
2014-03-24,108.0,127.0,42.0,34.0,10.0,10.0
2014-03-25,165.0,124.0,42.0,27.0,11.0,6.0
2014-03-26,168.0,101.0,31.0,28.0,8.0,6.0
2014-03-27,151.0,104.0,12.0,31.0,5.0,10.0
2014-03-28,160.0,91.0,21.0,18.0,4.0,5.0
2014-03-29,149.0,79.0,42.0,16.0,7.0,3.0
2014-03-30,115.0,94.0,55.0,16.0,6.0,4.0
2014-03-31,128.0,114.0,71.0,34.0,8.0,8.0
2014-04-01,162.0,132.0,96.0,57.0,19.0,9.0
2014-04-02,190.0,104.0,67.0,36.0,15.0,5.0
2014-04-03,192.0,113.0,57.0,29.0,5.0,4.0
2014-04-04,156.0,102.0,47.0,36.0,9.0,5.0
2014-04-05,151.0,143.0,64.0,47.0,8.0,7.0
2014-04-06,194.0,110.0,36.0,32.0,9.0,5.0
2014-04-07,148.0,79.0,65.0,27.0,6.0,3.0
2014-04-08,157.0,94.0,74.0,35.0,8.0,5.0
2014-04-09,154.0,104.0,26.0,55.0,12.0,5.0
2014-04-10,171.0,91.0,68.0,39.0,7.0,7.0
2014-04-11,139.0,157.0,120.0,66.0,19.0,10.0
2014-04-12,202.0,130.0,38.0,60.0,13.0,7.0
2014-04-13,171.0,107.0,57.0,51.0,16.0,8.0
2014-04-14,158.0,170.0,41.0,87.0,14.0,16.0
2014-04-15,197.0,134.0,75.0,65.0,13.0,10.0
2014-04-16,172.0,147.0,52.0,70.0,11.0,9.0
2014-04-17,161.0,80.0,31.0,45.0,6.0,5.0
2014-04-18,116.0,92.0,62.0,46.0,11.0,6.0
2014-04-19,152.0,,,,,
2014-04-20,,93.0,54.0,48.0,4.0,6.0
2014-04-21,114.0,132.0,84.0,43.0,15.0,5.0
2014-04-22,147.0,102.0,85.0,40.0,7.0,6.0
2014-04-23,141.0,147.0,90.0,64.0,13.0,10.0
2014-04-24,194.0,148.0,96.0,66.0,12.0,9.0
2014-04-25,178.0,149.0,88.0,58.0,15.0,7.0
2014-04-26,172.0,127.0,95.0,61.0,11.0,7.0
2014-04-27,156.0,171.0,75.0,43.0,14.0,7.0
2014-04-28,196.0,183.0,6.0,102.0,21.0,15.0
2014-04-29,241.0,113.0,97.0,44.0,9.0,10.0
2014-04-30,159.0,210.0,97.0,57.0,19.0,14.0
2014-05-01,223.0,220.0,93.0,28.0,11.0,7.0
2014-05-02,191.0,141.0,35.0,32.0,8.0,5.0
2014-05-03,160.0,143.0,56.0,40.0,10.0,6.0
2014-05-04,172.0,114.0,40.0,33.0,15.0,7.0
2014-05-05,154.0,98.0,18.0,35.0,9.0,7.0
2014-05-06,146.0,121.0,58.0,40.0,13.0,8.0
2014-05-07,172.0,183.0,65.0,43.0,20.0,13.0
2014-05-08,247.0,146.0,64.0,38.0,11.0,8.0
2014-05-09,171.0,199.0,90.0,48.0,26.0,11.0
2014-05-10,205.0,94.0,75.0,26.0,13.0,6.0
2014-05-11,146.0,168.0,48.0,32.0,10.0,7.0
2014-05-12,165.0,65.0,42.0,21.0,11.0,5.0
2014-05-13,135.0,65.0,39.0,21.0,8.0,4.0
2014-05-14,113.0,114.0,56.0,24.0,11.0,7.0
2014-05-15,163.0,125.0,56.0,26.0,12.0,7.0
2014-05-16,162.0,124.0,48.0,35.0,11.0,9.0
2014-05-17,172.0,122.0,41.0,33.0,11.0,8.0
2014-05-18,157.0,106.0,48.0,22.0,8.0,4.0
