date,pm25,pm10,o3,no2,so2,co
2018-01-19,,554.0,,,,
2018-01-20,336.0,,,,,
2018-01-22,,178.0,,,,
2018-01-23,259.0,243.0,,,,
2018-01-24,257.0,191.0,7.0,8.0,1.0,10.0
2018-01-25,203.0,206.0,11.0,9.0,1.0,11.0
2018-01-26,239.0,341.0,19.0,11.0,1.0,13.0
2018-01-27,282.0,307.0,16.0,9.0,1.0,18.0
2018-01-28,271.0,192.0,18.0,7.0,2.0,10.0
2018-01-29,220.0,236.0,19.0,8.0,2.0,6.0
2018-01-30,210.0,275.0,20.0,8.0,2.0,12.0
2018-01-31,252.0,392.0,31.0,11.0,3.0,38.0
2018-02-01,243.0,338.0,30.0,7.0,3.0,17.0
2018-02-02,277.0,259.0,54.0,9.0,4.0,18.0
2018-02-03,225.0,272.0,54.0,9.0,3.0,18.0
2018-02-04,249.0,389.0,46.0,10.0,4.0,24.0
2018-02-05,262.0,321.0,38.0,9.0,3.0,21.0
2018-02-06,249.0,311.0,57.0,9.0,4.0,23.0
2018-02-07,261.0,411.0,57.0,11.0,4.0,28.0
2018-02-08,287.0,365.0,70.0,10.0,3.0,29.0
2018-02-09,281.0,525.0,44.0,18.0,3.0,48.0
2018-02-10,324.0,265.0,44.0,11.0,3.0,20.0
2018-02-11,219.0,141.0,24.0,6.0,2.0,14.0
2018-02-12,165.0,154.0,30.0,12.0,2.0,19.0
2018-02-13,179.0,152.0,32.0,8.0,2.0,14.0
2018-02-14,174.0,189.0,36.0,9.0,3.0,18.0
2018-02-15,214.0,217.0,37.0,10.0,4.0,20.0
2018-02-16,223.0,229.0,40.0,10.0,3.0,19.0
2018-02-17,208.0,265.0,44.0,12.0,2.0,19.0
2018-02-18,213.0,352.0,47.0,14.0,2.0,24.0
2018-02-19,216.0,297.0,47.0,14.0,3.0,31.0
2018-02-20,264.0,444.0,55.0,20.0,3.0,36.0
2018-02-21,265.0,458.0,33.0,16.0,5.0,31.0
2018-02-22,266.0,440.0,50.0,18.0,3.0,27.0
2018-02-23,225.0,464.0,30.0,18.0,4.0,24.0
2018-02-24,233.0,278.0,38.0,11.0,4.0,18.0
2018-02-25,200.0,163.0,33.0,7.0,2.0,16.0
2018-02-26,170.0,193.0,39.0,11.0,3.0,15.0
2018-02-27,181.0,280.0,42.0,10.0,3.0,11.0
2018-02-28,228.0,305.0,43.0,11.0,5.0,14.0
2018-03-01,238.0,255.0,38.0,14.0,3.0,13.0
2018-03-02,211.0,213.0,32.0,9.0,4.0,10.0
2018-03-03,214.0,152.0,33.0,8.0,3.0,6.0
2018-03-04,160.0,162.0,41.0,9.0,3.0,9.0
2018-03-05,172.0,168.0,38.0,9.0,3.0,7.0
2018-03-06,134.0,221.0,44.0,12.0,5.0,10.0
2018-03-07,217.0,315.0,46.0,14.0,5.0,15.0
2018-03-08,232.0,172.0,45.0,8.0,5.0,9.0
2018-03-09,166.0,137.0,37.0,7.0,3.0,6.0
2018-03-10,155.0,184.0,43.0,10.0,4.0,12.0
2018-03-11,180.0,252.0,40.0,12.0,5.0,11.0
2018-03-12,213.0,221.0,37.0,11.0,4.0,10.0
2018-03-13,180.0,266.0,36.0,13.0,4.0,11.0
2018-03-14,172.0,242.0,33.0,11.0,4.0,8.0
2018-03-15,153.0,237.0,48.0,9.0,5.0,8.0
2018-03-16,216.0,255.0,20.0,8.0,8.0,8.0
2018-03-17,241.0,,,,,
2018-03-18,,133.0,46.0,9.0,3.0,9.0
2018-03-19,139.0,278.0,46.0,15.0,5.0,15.0
2018-03-20,203.0,265.0,55.0,14.0,6.0,12.0
2018-03-21,211.0,235.0,54.0,7.0,4.0,8.0
2018-03-22,220.0,172.0,46.0,10.0,4.0,6.0
2018-03-23,165.0,185.0,49.0,9.0,4.0,9.0
2018-03-24,186.0,154.0,53.0,8.0,4.0,6.0
2018-03-25,171.0,199.0,55.0,9.0,5.0,10.0
2018-03-26,199.0,263.0,38.0,14.0,4.0,18.0
2018-03-27,180.0,287.0,41.0,15.0,4.0,15.0
2018-03-28,166.0,162.0,56.0,13.0,3.0,13.0
2018-03-29,144.0,234.0,54.0,13.0,4.0,11.0
2018-03-30,178.0,278.0,63.0,9.0,4.0,9.0
2018-03-31,186.0,153.0,69.0,11.0,3.0,7.0
2018-04-01,154.0,163.0,71.0,11.0,4.0,9.0
2018-04-02,165.0,166.0,67.0,16.0,3.0,11.0
2018-04-03,169.0,142.0,55.0,15.0,4.0,14.0
2018-04-04,170.0,264.0,44.0,13.0,7.0,14.0
2018-04-05,298.0,98.0,36.0,11.0,4.0,9.0
2018-04-06,151.0,80.0,52.0,9.0,2.0,8.0
2018-04-07,117.0,79.0,55.0,7.0,2.0,6.0
2018-04-08,130.0,70.0,33.0,9.0,2.0,10.0
2018-04-09,123.0,126.0,44.0,11.0,3.0,14.0
2018-04-10,169.0,69.0,44.0,4.0,3.0,6.0
2018-04-11,133.0,114.0,51.0,11.0,3.0,11.0
2018-04-12,136.0,204.0,52.0,13.0,4.0,12.0
2018-04-13,151.0,237.0,47.0,12.0,5.0,11.0
2018-04-14,185.0,270.0,73.0,14.0,6.0,17.0
2018-04-15,205.0,304.0,59.0,13.0,5.0,15.0
2018-04-16,182.0,251.0,32.0,13.0,4.0,12.0
2018-04-17,169.0,151.0,40.0,7.0,4.0,7.0
2018-04-18,135.0,141.0,48.0,11.0,5.0,10.0
2018-04-19,165.0,138.0,29.0,11.0,5.0,8.0
2018-04-20,161.0,206.0,42.0,6.0,3.0,8.0
2018-04-21,161.0,104.0,46.0,8.0,4.0,8.0
2018-04-22,155.0,110.0,55.0,12.0,3.0,12.0
