date,pm25,pm10,o3,no2,so2,co
2013-12-31,,239.0,11.0,21.0,7.0,23.0
2014-01-01,288.0,210.0,20.0,22.0,5.0,26.0
2014-01-02,266.0,286.0,21.0,33.0,6.0,36.0
2014-01-03,292.0,660.0,7.0,51.0,6.0,32.0
2014-01-04,465.0,657.0,11.0,36.0,6.0,23.0
2014-01-05,500.0,386.0,12.0,28.0,3.0,27.0
2014-01-06,377.0,395.0,16.0,24.0,5.0,25.0
2014-01-07,363.0,383.0,16.0,35.0,8.0,27.0
2014-01-08,344.0,629.0,7.0,44.0,4.0,39.0
2014-01-09,469.0,464.0,7.0,39.0,6.0,25.0
2014-01-10,396.0,202.0,9.0,22.0,6.0,27.0
2014-01-11,250.0,237.0,12.0,27.0,5.0,27.0
2014-01-12,270.0,303.0,13.0,31.0,6.0,29.0
2014-01-13,314.0,361.0,15.0,30.0,7.0,27.0
2014-01-14,336.0,458.0,3.0,27.0,6.0,30.0
2014-01-15,406.0,387.0,6.0,26.0,4.0,25.0
2014-01-16,377.0,287.0,3.0,19.0,9.0,24.0
2014-01-17,305.0,,,,,
2014-01-19,,200.0,16.0,26.0,4.0,27.0
2014-01-20,230.0,115.0,4.0,22.0,8.0,27.0
2014-01-21,183.0,91.0,4.0,18.0,10.0,22.0
2014-01-22,165.0,108.0,6.0,28.0,6.0,26.0
2014-01-23,180.0,127.0,6.0,37.0,7.0,21.0
2014-01-24,198.0,128.0,6.0,34.0,6.0,20.0
2014-01-25,205.0,164.0,14.0,36.0,9.0,24.0
2014-01-26,228.0,212.0,13.0,57.0,10.0,22.0
2014-01-27,261.0,220.0,13.0,48.0,7.0,24.0
2014-01-28,253.0,355.0,6.0,68.0,9.0,25.0
2014-01-29,331.0,364.0,11.0,72.0,8.0,22.0
2014-01-30,352.0,279.0,7.0,62.0,8.0,23.0
2014-01-31,299.0,417.0,7.0,87.0,17.0,24.0
2014-02-01,490.0,286.0,10.0,72.0,19.0,25.0
2014-02-02,291.0,365.0,10.0,82.0,16.0,43.0
2014-02-03,308.0,264.0,7.0,69.0,6.0,26.0
2014-02-04,249.0,175.0,3.0,53.0,4.0,19.0
2014-02-05,235.0,186.0,1.0,81.0,7.0,23.0
2014-02-06,207.0,512.0,3.0,37.0,3.0,21.0
2014-02-07,162.0,667.0,1.0,29.0,3.0,23.0
2014-02-08,173.0,118.0,10.0,44.0,3.0,23.0
2014-02-09,172.0,136.0,8.0,52.0,3.0,24.0
2014-02-10,189.0,243.0,8.0,72.0,4.0,24.0
2014-02-11,237.0,156.0,6.0,54.0,4.0,25.0
2014-02-12,213.0,206.0,5.0,68.0,6.0,22.0
2014-02-13,233.0,92.0,1.0,51.0,5.0,24.0
2014-02-14,169.0,131.0,2.0,50.0,2.0,26.0
2014-02-15,182.0,179.0,5.0,56.0,4.0,19.0
2014-02-16,219.0,118.0,8.0,45.0,4.0,23.0
2014-02-17,179.0,156.0,11.0,51.0,8.0,29.0
2014-02-18,196.0,462.0,2.0,92.0,9.0,34.0
2014-02-19,336.0,393.0,25.0,84.0,9.0,36.0
2014-02-20,324.0,325.0,9.0,58.0,6.0,15.0
