date,pm25,pm10,o3,no2,so2,co
2020-05-25,,63.0,17.0,8.0,,5.0
2020-05-26,,48.0,19.0,9.0,,5.0
2020-05-27,,58.0,59.0,5.0,12.0,3.0
2020-05-28,,64.0,35.0,,,2.0
2020-05-29,,56.0,31.0,3.0,,3.0
2020-05-30,,81.0,32.0,6.0,12.0,3.0
2020-05-31,,41.0,33.0,2.0,8.0,2.0
2020-06-01,,67.0,34.0,,11.0,3.0
2020-06-02,,93.0,30.0,20.0,1.0,7.0
2020-06-03,,49.0,28.0,21.0,,7.0
2020-06-04,,59.0,16.0,16.0,,6.0
2020-06-05,,30.0,16.0,4.0,23.0,3.0
2020-06-06,,40.0,17.0,8.0,,5.0
2020-06-07,,71.0,20.0,12.0,,5.0
2020-06-08,,85.0,17.0,16.0,,6.0
2020-06-09,,47.0,25.0,12.0,,5.0
2020-06-10,,24.0,28.0,9.0,,5.0
2020-06-11,,23.0,22.0,8.0,4.0,3.0
2020-06-12,,21.0,21.0,8.0,5.0,3.0
2020-06-13,,15.0,16.0,1.0,14.0,3.0
2020-06-14,,27.0,15.0,,,2.0
2020-06-15,,25.0,14.0,,,3.0
2020-06-16,,17.0,17.0,,,3.0
2020-06-17,,22.0,15.0,,,4.0
2020-06-18,,27.0,9.0,,,5.0
2020-06-19,,25.0,36.0,9.0,,5.0
2020-06-20,,41.0,16.0,6.0,10.0,5.0
2020-06-21,,30.0,13.0,6.0,,3.0
2020-06-22,38.0,26.0,15.0,8.0,,3.0
2020-06-23,41.0,40.0,16.0,8.0,,3.0
2020-06-24,117.0,43.0,20.0,5.0,3.0,4.0
2020-06-25,117.0,66.0,10.0,1.0,,6.0
2020-06-26,110.0,40.0,14.0,4.0,,4.0
2020-06-27,,77.0,18.0,4.0,1.0,4.0
2020-06-28,,61.0,11.0,4.0,10.0,4.0
2020-06-29,,47.0,12.0,4.0,6.0,3.0
2020-06-30,,57.0,15.0,4.0,11.0,4.0
2020-07-01,,76.0,12.0,10.0,,6.0
2020-07-02,,76.0,11.0,13.0,,5.0
2020-07-03,,51.0,16.0,5.0,10.0,3.0
2020-07-04,,45.0,11.0,9.0,2.0,4.0
2020-07-05,,37.0,12.0,9.0,,2.0
2020-07-06,,36.0,7.0,9.0,,2.0
2020-07-07,,32.0,10.0,9.0,,3.0
2020-07-08,,59.0,8.0,14.0,,6.0
2020-07-09,,38.0,7.0,13.0,1.0,3.0
2020-07-10,,32.0,12.0,10.0,,3.0
2020-07-11,,42.0,17.0,11.0,,3.0
2020-07-12,,52.0,17.0,10.0,,3.0
2020-07-13,,50.0,15.0,7.0,6.0,2.0
2020-07-14,,51.0,16.0,12.0,,3.0
2020-07-15,,50.0,13.0,10.0,7.0,2.0
2020-07-16,,50.0,17.0,10.0,,2.0
2020-07-17,,48.0,17.0,9.0,,2.0
2020-07-18,,57.0,21.0,10.0,6.0,3.0
2020-07-19,,46.0,12.0,3.0,11.0,3.0
2020-07-20,,26.0,9.0,6.0,26.0,3.0
2020-07-21,,39.0,13.0,8.0,,3.0
2020-07-22,,46.0,14.0,12.0,,4.0
2020-07-23,,27.0,18.0,10.0,5.0,3.0
2020-07-24,,29.0,13.0,10.0,6.0,3.0
2020-07-25,,37.0,22.0,4.0,1.0,3.0
2020-07-26,,70.0,18.0,4.0,,5.0
2020-07-27,,62.0,14.0,4.0,,4.0
2020-07-28,,36.0,8.0,8.0,,4.0
2020-07-29,,38.0,10.0,8.0,16.0,4.0
2020-07-30,,54.0,9.0,9.0,,5.0
2020-07-31,,47.0,10.0,7.0,5.0,4.0
2020-08-01,,44.0,16.0,11.0,2.0,4.0
2020-08-02,,57.0,11.0,46.0,10.0,6.0
2020-08-03,,59.0,13.0,30.0,1.0,5.0
2020-08-04,,56.0,14.0,29.0,12.0,4.0
2020-08-05,,12.0,14.0,25.0,12.0,3.0
2020-08-06,,17.0,27.0,27.0,20.0,2.0
2020-08-07,,27.0,11.0,21.0,3.0,3.0
2020-08-08,,44.0,13.0,5.0,,4.0
2020-08-09,,44.0,17.0,3.0,,3.0
2020-08-10,,35.0,12.0,4.0,,3.0
2020-08-11,,36.0,14.0,3.0,1.0,3.0
2020-08-12,,20.0,14.0,3.0,1.0,2.0
2020-08-13,,28.0,16.0,4.0,7.0,3.0
2020-08-14,,31.0,10.0,4.0,1.0,3.0
2020-08-15,,29.0,13.0,3.0,4.0,3.0
2020-08-16,,18.0,13.0,3.0,,2.0
2020-08-17,,25.0,16.0,4.0,1.0,3.0
2020-08-18,,37.0,16.0,5.0,1.0,4.0
2020-08-19,,35.0,13.0,5.0,1.0,2.0
2020-08-20,,24.0,10.0,3.0,13.0,6.0
2020-08-21,,20.0,11.0,6.0,13.0,1.0
2020-08-22,,23.0,16.0,7.0,2.0,2.0
2020-08-23,,21.0,12.0,7.0,2.0,3.0
