date,pm25,pm10,o3,no2,so2,co
2020-01-30,,92.0,1.0,42.0,5.0,11.0
2020-01-31,121.0,100.0,,36.0,4.0,11.0
2020-02-01,141.0,94.0,4.0,33.0,4.0,8.0
2020-02-02,134.0,99.0,1.0,39.0,3.0,11.0
2020-02-03,143.0,127.0,3.0,37.0,4.0,16.0
2020-02-04,166.0,116.0,2.0,42.0,5.0,13.0
2020-02-05,165.0,115.0,1.0,46.0,5.0,13.0
2020-02-06,156.0,118.0,5.0,41.0,5.0,15.0
2020-02-07,166.0,113.0,1.0,46.0,5.0,13.0
2020-02-08,161.0,117.0,1.0,46.0,4.0,11.0
2020-02-09,158.0,109.0,,46.0,4.0,12.0
2020-02-10,160.0,119.0,4.0,43.0,4.0,13.0
2020-02-11,159.0,120.0,1.0,43.0,4.0,11.0
2020-02-12,165.0,121.0,5.0,44.0,4.0,13.0
2020-02-13,171.0,126.0,3.0,39.0,3.0,17.0
2020-02-14,172.0,95.0,3.0,37.0,2.0,8.0
2020-02-15,146.0,104.0,2.0,40.0,3.0,8.0
2020-02-16,149.0,113.0,3.0,49.0,3.0,10.0
2020-02-17,164.0,108.0,4.0,46.0,2.0,10.0
2020-02-18,157.0,114.0,1.0,52.0,3.0,14.0
2020-02-19,164.0,130.0,25.0,45.0,5.0,13.0
2020-02-20,173.0,127.0,2.0,20.0,4.0,9.0
2020-02-21,171.0,76.0,3.0,28.0,7.0,8.0
2020-02-22,132.0,91.0,1.0,42.0,9.0,11.0
2020-02-23,148.0,59.0,8.0,24.0,5.0,8.0
2020-02-24,98.0,56.0,3.0,21.0,5.0,6.0
2020-02-25,99.0,56.0,3.0,24.0,4.0,6.0
2020-02-26,94.0,68.0,1.0,34.0,4.0,9.0
2020-02-27,115.0,97.0,5.0,31.0,5.0,15.0
2020-02-28,152.0,110.0,9.0,,5.0,17.0
2020-02-29,156.0,103.0,4.0,31.0,6.0,12.0
2020-03-01,153.0,104.0,13.0,41.0,7.0,14.0
2020-03-02,153.0,128.0,,41.0,6.0,26.0
2020-03-03,164.0,117.0,13.0,41.0,6.0,13.0
2020-03-04,157.0,94.0,10.0,41.0,3.0,6.0
2020-03-05,153.0,77.0,2.0,39.0,6.0,4.0
2020-03-06,106.0,62.0,5.0,39.0,4.0,6.0
2020-03-07,98.0,62.0,7.0,41.0,6.0,6.0
2020-03-08,98.0,62.0,6.0,41.0,5.0,6.0
2020-03-09,94.0,94.0,10.0,41.0,5.0,8.0
2020-03-10,139.0,83.0,14.0,41.0,3.0,7.0
2020-03-11,144.0,63.0,11.0,41.0,5.0,10.0
2020-03-12,122.0,68.0,4.0,39.0,5.0,8.0
2020-03-13,126.0,38.0,3.0,41.0,5.0,5.0
2020-03-14,79.0,45.0,7.0,36.0,6.0,6.0
2020-03-15,85.0,70.0,6.0,29.0,5.0,8.0
2020-03-16,111.0,79.0,10.0,,5.0,8.0
2020-03-17,127.0,83.0,9.0,,5.0,8.0
2020-03-18,132.0,80.0,12.0,,5.0,7.0
