date,pm25,pm10,o3,no2,so2,co
30-01-2020,,64,21,9,,7
31-01-2020,150,78,38,13,,5
01-02-2020,137,86,29,13,,7
02-02-2020,159,96,31,12,,8
03-02-2020,165,155,23,13,,13
04-02-2020,183,104,33,16,,9
05-02-2020,177,100,24,14,,9
06-02-2020,169,114,24,13,,11
07-02-2020,173,109,28,13,,11
08-02-2020,173,105,28,15,,9
09-02-2020,173,104,28,16,,9
10-02-2020,174,110,39,14,,9
11-02-2020,178,106,7,13,,9
12-02-2020,164,117,41,14,,9
13-02-2020,185,117,32,12,,10
14-02-2020,180,102,40,13,,8
15-02-2020,162,101,31,14,,9
16-02-2020,163,106,54,11,,9
17-02-2020,168,110,58,14,,8
18-02-2020,171,119,58,13,,10
19-02-2020,170,130,44,19,,13
20-02-2020,180,125,41,13,,8
21-02-2020,183,76,22,10,,6
22-02-2020,152,95,32,15,,9
23-02-2020,163,61,36,12,,6
24-02-2020,116,66,13,11,,4
25-02-2020,121,50,18,11,,5
26-02-2020,111,67,11,9,,6
27-02-2020,137,100,31,8,,11
28-02-2020,159,109,38,12,,12
29-02-2020,165,,,,,
01-03-2020,,104,47,12,,8
02-03-2020,162,133,1,17,,14
03-03-2020,170,120,36,20,,10
04-03-2020,164,106,39,21,,8
05-03-2020,167,83,37,22,,6
06-03-2020,114,58,22,18,,6
07-03-2020,107,67,32,17,,6
08-03-2020,118,67,40,18,,6
09-03-2020,123,100,36,17,,11
10-03-2020,185,83,28,16,,8
11-03-2020,158,74,31,9,,9
12-03-2020,149,81,15,9,,10
13-03-2020,149,37,6,5,,28
14-03-2020,95,50,22,4,,32
15-03-2020,104,75,34,6,,34
16-03-2020,129,84,47,7,,34
17-03-2020,140,81,40,11,,36
18-03-2020,142,87,29,12,,35
19-03-2020,152,83,29,13,,35
20-03-2020,127,139,42,10,,41
21-03-2020,172,84,23,9,,39
22-03-2020,163,57,26,8,,37
23-03-2020,123,68,23,8,,40
24-03-2020,143,81,37,10,,42
25-03-2020,163,83,23,11,,45
26-03-2020,145,90,27,9,,46
27-03-2020,144,65,16,10,,44
28-03-2020,90,62,10,12,,44
29-03-2020,118,,,,,
30-03-2020,,72,27,7,,46
31-03-2020,128,82,34,9,,48
01-04-2020,146,79,35,10,,47
02-04-2020,141,77,26,12,,45
03-04-2020,114,75,36,10,,47
04-04-2020,134,72,29,9,,46
05-04-2020,132,105,19,9,,47
06-04-2020,130,77,23,10,,45
07-04-2020,120,91,25,8,,47
08-04-2020,140,86,39,10,,47
09-04-2020,137,83,45,10,,46
10-04-2020,138,99,41,10,,48
11-04-2020,163,105,50,13,,48
12-04-2020,160,75,35,12,,46
13-04-2020,141,82,52,12,,46
14-04-2020,150,58,33,13,,45
15-04-2020,90,58,43,13,,45
16-04-2020,109,65,42,10,,45
17-04-2020,141,71,29,8,,46
18-04-2020,142,78,44,8,,46
19-04-2020,155,47,34,9,,44
20-04-2020,97,40,28,11,,45
21-04-2020,73,36,32,10,,28
22-04-2020,76,59,42,12,,4
23-04-2020,130,47,30,11,,4
24-04-2020,98,51,36,8,,3
25-04-2020,107,27,26,7,,4
26-04-2020,107,37,33,8,,4
27-04-2020,78,24,29,7,,3
28-04-2020,64,29,27,6,,3
29-04-2020,68,53,34,6,,4
30-04-2020,119,38,22,6,,4
01-05-2020,73,29,28,6,,4
02-05-2020,71,42,33,5,,4
03-05-2020,94,48,38,6,,4
04-05-2020,91,34,29,4,,4
05-05-2020,83,41,30,4,,4
06-05-2020,65,52,27,2,,6
07-05-2020,89,56,34,5,,5
08-05-2020,87,69,41,5,,6
09-05-2020,127,74,38,5,,5
10-05-2020,137,45,24,4,,6
11-05-2020,79,65,21,3,,7
12-05-2020,129,75,33,3,,7
13-05-2020,147,93,29,5,,8
14-05-2020,166,74,27,6,,4
15-05-2020,131,88,52,4,,5
16-05-2020,144,103,47,6,,7
17-05-2020,155,91,36,6,,6
18-05-2020,153,81,37,6,,5
19-05-2020,141,73,33,7,,5
20-05-2020,115,48,35,5,,3
21-05-2020,80,41,39,5,,3
22-05-2020,57,60,31,5,,4
23-05-2020,102,84,32,6,,5
24-05-2020,150,101,30,5,,5
25-05-2020,154,92,29,3,,5
26-05-2020,146,101,26,5,,3
27-05-2020,106,68,37,5,,3
28-05-2020,78,63,35,5,,3
29-05-2020,98,71,41,5,,3
30-05-2020,136,51,45,6,,3
31-05-2020,46,58,45,7,,3
01-06-2020,76,74,50,8,,4
02-06-2020,98,75,49,8,,4
03-06-2020,124,76,25,9,,4
04-06-2020,129,48,20,8,,4
05-06-2020,90,39,25,4,,4
06-06-2020,63,55,24,3,,5
07-06-2020,85,56,30,5,,5
08-06-2020,82,83,37,5,,5
09-06-2020,131,79,39,5,,4
10-06-2020,142,68,24,6,,3
