date,pm25,pm10,o3,no2,so2,co
2020-03-27,,51.0,32.0,3.0,1.0,9.0
2020-03-28,101.0,43.0,23.0,2.0,1.0,7.0
2020-03-29,80.0,53.0,12.0,3.0,1.0,9.0
2020-03-30,86.0,,,,,
2020-04-02,,52.0,31.0,3.0,1.0,3.0
2020-04-03,100.0,51.0,31.0,3.0,1.0,2.0
2020-04-04,97.0,45.0,26.0,3.0,1.0,2.0
2020-04-05,87.0,31.0,26.0,4.0,1.0,2.0
2020-04-06,64.0,37.0,26.0,4.0,1.0,2.0
2020-04-07,77.0,40.0,36.0,4.0,1.0,2.0
2020-04-08,80.0,45.0,27.0,4.0,1.0,3.0
2020-04-09,82.0,42.0,27.0,3.0,1.0,2.0
2020-04-10,76.0,46.0,27.0,4.0,,2.0
2020-04-11,84.0,45.0,31.0,3.0,1.0,2.0
2020-04-12,92.0,49.0,30.0,4.0,1.0,2.0
2020-04-13,95.0,46.0,30.0,3.0,1.0,2.0
2020-04-14,90.0,37.0,24.0,3.0,1.0,2.0
2020-04-15,76.0,28.0,30.0,3.0,1.0,2.0
2020-04-16,62.0,31.0,29.0,3.0,1.0,2.0
2020-04-17,62.0,24.0,21.0,3.0,1.0,1.0
2020-04-18,55.0,21.0,20.0,3.0,1.0,1.0
2020-04-19,46.0,30.0,23.0,4.0,1.0,1.0
2020-04-20,62.0,35.0,26.0,4.0,1.0,2.0
2020-04-21,72.0,34.0,26.0,4.0,1.0,2.0
2020-04-22,68.0,38.0,21.0,4.0,1.0,1.0
2020-04-23,74.0,37.0,21.0,4.0,1.0,1.0
2020-04-24,72.0,42.0,22.0,4.0,1.0,2.0
2020-04-25,76.0,52.0,21.0,4.0,1.0,1.0
2020-04-26,95.0,39.0,34.0,5.0,1.0,2.0
2020-04-27,66.0,46.0,25.0,5.0,1.0,1.0
2020-04-28,90.0,39.0,25.0,5.0,1.0,2.0
2020-04-29,74.0,49.0,22.0,5.0,1.0,1.0
2020-04-30,86.0,44.0,21.0,4.0,1.0,1.0
2020-05-01,75.0,47.0,21.0,4.0,1.0,2.0
2020-05-02,82.0,43.0,22.0,3.0,1.0,2.0
2020-05-03,75.0,49.0,20.0,5.0,1.0,1.0
2020-05-04,91.0,50.0,23.0,5.0,,1.0
2020-05-05,99.0,43.0,26.0,6.0,1.0,3.0
2020-05-06,78.0,42.0,19.0,4.0,1.0,1.0
2020-05-07,80.0,33.0,16.0,4.0,1.0,1.0
2020-05-08,62.0,39.0,19.0,5.0,1.0,2.0
2020-05-09,71.0,36.0,20.0,3.0,1.0,1.0
2020-05-10,69.0,32.0,15.0,5.0,1.0,2.0
2020-05-11,58.0,44.0,19.0,5.0,1.0,3.0
2020-05-12,78.0,30.0,16.0,5.0,1.0,3.0
2020-05-13,59.0,38.0,20.0,5.0,1.0,2.0
2020-05-14,71.0,42.0,21.0,5.0,1.0,3.0
2020-05-15,71.0,34.0,22.0,5.0,1.0,3.0
2020-05-16,61.0,39.0,27.0,3.0,2.0,1.0
2020-05-17,73.0,34.0,25.0,5.0,1.0,3.0
2020-05-18,68.0,51.0,17.0,4.0,1.0,2.0
2020-05-19,87.0,48.0,13.0,5.0,1.0,2.0
2020-05-20,81.0,27.0,16.0,5.0,1.0,2.0
2020-05-21,53.0,30.0,15.0,5.0,1.0,3.0
2020-05-22,55.0,37.0,12.0,5.0,1.0,2.0
2020-05-23,65.0,38.0,12.0,3.0,1.0,2.0
2020-05-24,71.0,44.0,8.0,5.0,1.0,2.0
2020-05-25,77.0,38.0,11.0,6.0,1.0,4.0
2020-05-26,74.0,33.0,9.0,5.0,,2.0
2020-05-27,64.0,36.0,11.0,5.0,1.0,2.0
2020-05-28,70.0,21.0,9.0,2.0,,1.0
2020-05-29,47.0,20.0,9.0,2.0,,
2020-05-30,44.0,11.0,10.0,1.0,,
2020-05-31,24.0,11.0,7.0,2.0,,1.0
2020-06-01,24.0,11.0,2.0,2.0,,1.0
2020-06-02,24.0,13.0,5.0,1.0,,
2020-06-03,26.0,18.0,3.0,2.0,,
2020-06-04,38.0,22.0,4.0,3.0,,1.0
2020-06-05,46.0,11.0,6.0,2.0,,
2020-06-06,20.0,,,,,
2020-06-08,,45.0,8.0,5.0,1.0,1.0
2020-06-09,87.0,41.0,8.0,5.0,1.0,3.0
2020-06-10,75.0,42.0,7.0,6.0,1.0,4.0
2020-06-11,78.0,45.0,8.0,6.0,1.0,2.0
2020-06-12,87.0,43.0,7.0,5.0,1.0,1.0
2020-06-13,83.0,29.0,9.0,3.0,1.0,1.0
2020-06-14,64.0,39.0,8.0,4.0,,2.0
2020-06-15,75.0,43.0,4.0,5.0,,2.0
2020-06-16,87.0,50.0,7.0,6.0,1.0,2.0
2020-06-17,96.0,46.0,9.0,6.0,1.0,3.0
2020-06-18,82.0,38.0,10.0,5.0,1.0,1.0
2020-06-19,69.0,40.0,10.0,5.0,1.0,4.0
2020-06-20,69.0,29.0,11.0,4.0,1.0,1.0
2020-06-21,58.0,35.0,11.0,5.0,1.0,3.0
2020-06-22,60.0,48.0,10.0,6.0,1.0,5.0
2020-06-23,93.0,55.0,14.0,5.0,1.0,1.0
2020-06-24,99.0,46.0,13.0,6.0,1.0,2.0
2020-06-25,85.0,33.0,11.0,3.0,,2.0
2020-06-26,45.0,23.0,4.0,4.0,,3.0
2020-06-27,47.0,,,,,
2020-06-29,,61.0,11.0,7.0,2.0,4.0
2020-06-30,92.0,,,,,
2020-07-01,,44.0,10.0,6.0,2.0,2.0
2020-07-02,74.0,37.0,10.0,6.0,1.0,4.0
2020-07-03,66.0,,,,,
2020-07-05,,34.0,8.0,4.0,2.0,1.0
2020-07-06,77.0,29.0,15.0,3.0,1.0,2.0
2020-07-07,56.0,34.0,11.0,3.0,2.0,1.0
2020-07-08,65.0,35.0,16.0,3.0,1.0,2.0
2020-07-09,65.0,25.0,15.0,3.0,1.0,2.0
2020-07-10,47.0,,,,,
2020-07-21,,24.0,15.0,3.0,1.0,2.0
2020-07-22,54.0,24.0,12.0,4.0,2.0,1.0
2020-07-23,49.0,27.0,8.0,4.0,1.0,1.0
2020-07-24,46.0,40.0,10.0,5.0,2.0,2.0
2020-07-25,65.0,28.0,12.0,4.0,,2.0
2020-07-26,54.0,,,,,
2020-08-05,,50.0,6.0,5.0,2.0,4.0
2020-08-06,76.0,34.0,6.0,6.0,2.0,3.0
2020-08-07,57.0,29.0,10.0,5.0,2.0,3.0
2020-08-08,54.0,22.0,9.0,4.0,1.0,2.0
2020-08-09,44.0,35.0,10.0,5.0,1.0,3.0
2020-08-10,62.0,37.0,12.0,5.0,1.0,3.0
2020-08-11,61.0,39.0,11.0,4.0,1.0,2.0
2020-08-12,60.0,41.0,11.0,4.0,,3.0
2020-08-13,63.0,43.0,11.0,5.0,1.0,3.0
2020-08-14,65.0,44.0,12.0,5.0,1.0,3.0
2020-08-15,74.0,49.0,13.0,4.0,1.0,1.0
