date,pm25,pm10,o3,no2,so2,co
27-12-2021,,49,2,5,3,3
28-12-2021,113,49,1,4,3,2
29-12-2021,121,39,3,4,2,2
30-12-2021,92,56,2,3,2,3
31-12-2021,132,71,1,2,3,3
01-01-2022,160,66,1,3,3,4
02-01-2022,142,74,14,7,3,16
03-01-2022,157,83,1,7,4,12
04-01-2022,168,71,1,7,5,7
05-01-2022,155,72,1,6,5,6
06-01-2022,160,65,1,6,5,5
07-01-2022,153,57,1,6,5,4
08-01-2022,118,,1,5,5,3
09-01-2022,106,52,3,4,5,2
10-01-2022,74,60,2,5,5,4
11-01-2022,135,53,1,4,5,3
12-01-2022,128,61,1,5,5,3
13-01-2022,126,70,2,5,5,4
14-01-2022,,66,3,4,5,3
15-01-2022,151,67,2,3,5,2
16-01-2022,156,77,1,5,5,3
17-01-2022,165,86,1,5,5,5
18-01-2022,172,73,5,5,5,4
19-01-2022,157,72,2,6,5,5
20-01-2022,158,67,5,7,5,5
21-01-2022,156,71,2,7,5,6
22-01-2022,158,41,1,4,5,3
23-01-2022,106,38,1,3,5,2
24-01-2022,93,63,2,3,6,3
25-01-2022,127,48,2,4,6,2
26-01-2022,97,63,2,5,6,2
27-01-2022,125,57,2,6,6,2
28-01-2022,111,54,2,7,6,2
29-01-2022,110,45,3,5,6,2
30-01-2022,86,80,2,7,6,5
31-01-2022,157,55,3,7,5,5
01-02-2022,119,52,8,4,4,3
02-02-2022,110,61,9,2,4,4
03-02-2022,125,46,3,2,5,2
04-02-2022,97,41,1,3,5,3
05-02-2022,,45,2,6,6,3
06-02-2022,89,60,7,7,7,3
07-02-2022,118,85,2,8,6,4
08-02-2022,143,72,2,6,7,3
09-02-2022,151,63,1,6,7,3
10-02-2022,133,46,5,5,6,1
11-02-2022,82,46,3,5,7,1
12-02-2022,84,52,3,8,6,2
13-02-2022,,69,5,10,7,3
14-02-2022,96,70,3,10,7,4
15-02-2022,137,68,2,10,7,3
16-02-2022,124,62,3,10,7,3
17-02-2022,110,52,2,10,7,2
18-02-2022,83,56,4,10,7,2
19-02-2022,93,56,2,8,7,2
20-02-2022,94,57,5,10,6,2
21-02-2022,96,64,6,10,7,2
22-02-2022,107,63,7,6,7,1
23-02-2022,123,68,4,6,7,2
