date,pm25,pm10,o3,no2,so2,co
27-12-2021,,55,1,14,6,6
28-12-2021,146,54,1,8,6,4
29-12-2021,144,49,1,8,7,4
30-12-2021,112,79,3,10,8,5
31-12-2021,172,86,1,9,6,5
01-01-2022,178,91,4,11,6,8
02-01-2022,188,128,35,14,9,16
03-01-2022,225,123,85,19,55,26
04-01-2022,215,60,3,16,105,17
05-01-2022,150,63,7,13,60,15
06-01-2022,155,59,4,12,84,14
07-01-2022,147,47,3,11,88,11
08-01-2022,118,42,2,9,88,8
09-01-2022,117,67,5,13,29,10
10-01-2022,134,63,5,8,9,6
11-01-2022,158,65,9,10,9,6
12-01-2022,147,70,4,12,10,7
13-01-2022,153,82,4,13,10,9
14-01-2022,168,73,4,10,10,7
15-01-2022,166,73,5,7,10,4
16-01-2022,165,86,4,10,10,6
17-01-2022,178,92,4,11,10,9
18-01-2022,185,78,4,8,9,7
19-01-2022,170,79,11,11,6,11
20-01-2022,170,74,14,12,6,14
21-01-2022,162,75,7,12,7,14
22-01-2022,168,46,8,10,6,9
23-01-2022,103,43,5,6,6,4
24-01-2022,104,66,10,6,6,5
25-01-2022,142,54,11,6,6,3
26-01-2022,118,68,9,6,6,4
27-01-2022,148,63,12,6,6,4
28-01-2022,142,58,12,10,9,4
29-01-2022,122,73,17,11,7,11
30-01-2022,120,87,8,12,9,14
31-01-2022,177,68,5,11,16,9
01-02-2022,150,69,21,13,6,9
02-02-2022,150,73,9,8,6,8
03-02-2022,161,56,11,8,6,5
04-02-2022,136,53,8,7,6,5
05-02-2022,124,51,21,7,6,5
06-02-2022,126,80,20,17,6,9
07-02-2022,147,93,17,13,7,8
08-02-2022,163,83,3,10,9,8
09-02-2022,169,71,4,8,9,6
10-02-2022,144,56,13,7,8,2
11-02-2022,92,58,7,8,9,2
12-02-2022,91,82,6,14,9,7
13-02-2022,112,93,16,17,9,11
14-02-2022,137,86,23,17,10,8
15-02-2022,135,80,14,14,12,6
16-02-2022,137,71,7,12,12,6
17-02-2022,116,61,11,15,9,5
18-02-2022,90,75,10,14,10,6
19-02-2022,107,64,9,10,9,3
20-02-2022,101,61,10,10,10,3
21-02-2022,98,76,13,15,9,6
22-02-2022,103,77,12,12,9,5
23-02-2022,142,81,11,11,9,7
24-02-2022,145,117,15,17,12,19
25-02-2022,145,105,11,16,15,13
26-02-2022,151,70,11,10,10,5
27-02-2022,124,65,24,12,8,5
28-02-2022,115,62,23,13,7,5
01-03-2022,107,74,26,18,7,7
02-03-2022,123,75,33,18,7,7
03-03-2022,125,81,29,20,7,7
04-03-2022,120,68,25,10,7,4
05-03-2022,114,66,36,16,7,6
06-03-2022,102,85,42,20,8,10
07-03-2022,132,78,32,15,8,7
08-03-2022,134,70,33,15,8,6
09-03-2022,115,68,33,13,8,4
10-03-2022,106,72,26,12,7,4
11-03-2022,111,75,19,12,7,4
12-03-2022,117,70,40,15,7,5
13-03-2022,113,89,32,24,8,13
14-03-2022,125,91,32,20,11,9
15-03-2022,128,91,21,20,12,11
16-03-2022,129,87,31,15,12,9
17-03-2022,136,101,34,11,12,11
