date,pm25,pm10,o3,no2,so2,co
15-09-2014,,,22,2,4,
16-09-2014,69,,29,4,5,9
17-09-2014,121,,26,7,13,9
18-09-2014,122,,21,7,10,7
19-09-2014,110,,21,14,23,8
20-09-2014,146,,25,6,35,6
21-09-2014,119,,27,8,56,7
22-09-2014,125,,41,7,46,7
23-09-2014,123,,23,6,32,4
24-09-2014,105,,23,7,46,9
25-09-2014,111,,37,7,43,10
26-09-2014,131,,54,9,41,11
27-09-2014,154,,50,8,42,6
28-09-2014,130,,,,,
05-10-2014,,,212,25,5,31
06-10-2014,167,,222,11,20,14
07-10-2014,133,,70,10,22,14
08-10-2014,126,,,,,
09-10-2014,,,55,24,35,14
10-10-2014,177,,105,27,52,26
11-10-2014,206,,87,28,59,32
12-10-2014,194,,112,29,61,29
13-10-2014,182,,95,33,71,23
14-10-2014,195,,90,25,57,32
15-10-2014,194,,13,48,53,87
16-10-2014,278,,60,40,41,34
17-10-2014,200,,49,39,64,29
18-10-2014,16,,125,27,73,31
19-10-2014,13,,,,,
20-10-2014,,,49,36,39,62
21-10-2014,219,,96,31,45,54
22-10-2014,223,,117,28,56,53
23-10-2014,325,,104,26,79,47
24-10-2014,423,,,,,
25-10-2014,,,105,6,68,
26-10-2014,151,,,,,
31-10-2014,,,63,28,32,32
01-11-2014,190,,,,,
10-11-2014,,,124,12,,
11-11-2014,200,,,,,
01-12-2014,,,36,32,80,9
06-12-2014,,,116,15,20,3
08-12-2014,,,52,21,52,2
09-12-2014,,,5,47,67,15
10-12-2014,,,127,16,38,6
12-12-2014,,,81,26,31,9
13-12-2014,,,121,32,38,15
14-12-2014,,,106,36,50,28
15-12-2014,,,108,26,48,3
16-12-2014,,,69,31,35,11
17-12-2014,,,100,13,47,6
18-12-2014,,,110,14,34,4
19-12-2014,,,89,15,25,6
20-12-2014,,,129,7,31,4
22-12-2014,,,11,42,41,18
23-12-2014,,,103,31,38,29
24-12-2014,,,297,45,34,68
25-12-2014,,,,72,63,88
02-01-2015,,,49,21,37,38
03-01-2015,,,14,23,32,23
04-01-2015,,,17,15,20,5
09-01-2015,,,27,43,48,34
16-01-2015,,,84,18,21,5
28-01-2015,160,,74,36,44,20
29-01-2015,163,,180,26,48,9
30-01-2015,158,,161,19,51,5
31-01-2015,213,,274,59,73,72
01-02-2015,220,,219,34,72,30
02-02-2015,233,,299,30,50,39
03-02-2015,220,,90,23,40,23
05-02-2015,132,,63,19,46,6
06-02-2015,156,,112,21,52,8
07-02-2015,160,,46,25,63,8
09-02-2015,185,,71,21,45,9
10-02-2015,168,,88,16,35,8
11-02-2015,149,,96,19,60,16
12-02-2015,140,,43,28,65,19
13-02-2015,175,,,29,74,6
14-02-2015,209,,75,41,69,20
15-02-2015,183,,42,21,59,8
16-02-2015,172,,44,28,58,37
17-02-2015,170,,36,20,50,29
18-02-2015,166,,77,15,29,6
20-02-2015,206,,111,34,88,47
21-02-2015,309,,73,41,67,33
22-02-2015,211,,89,41,57,42
23-02-2015,278,,98,46,72,45
24-02-2015,189,,86,26,57,16
25-02-2015,115,,82,7,38,5
03-03-2015,166,,82,25,42,15
04-03-2015,171,,91,27,62,20
05-03-2015,225,,79,38,66,22
09-03-2015,192,,67,28,32,12
10-03-2015,178,,103,23,44,11
11-03-2015,184,,97,24,57,9
12-03-2015,173,,78,19,60,7
13-03-2015,172,,40,24,61,11
14-03-2015,159,,66,24,57,12
15-03-2015,126,,59,11,58,5
16-03-2015,86,,90,13,39,4
17-03-2015,151,,60,26,68,7
18-03-2015,144,,96,35,38,28
19-03-2015,181,,64,25,53,13
20-03-2015,162,,76,44,46,41
21-03-2015,183,,117,38,57,13
22-03-2015,193,,58,40,68,44
23-03-2015,228,,43,44,65,32
24-03-2015,216,,76,28,67,28
25-03-2015,222,,109,30,57,29
26-03-2015,228,,138,41,70,23
27-03-2015,201,,15,20,21,11
28-03-2015,261,,66,48,,31
29-03-2015,277,,94,20,84,10
30-03-2015,200,,49,18,63,6
31-03-2015,200,,131,20,68,10
01-04-2015,163,,89,17,86,12
02-04-2015,158,,49,16,97,13
03-04-2015,129,,47,11,45,7
04-04-2015,160,,5,14,41,12
05-04-2015,209,,31,14,37,6
06-04-2015,185,,70,17,72,9
07-04-2015,195,,49,16,60,10
08-04-2015,189,,59,17,60,4
09-04-2015,158,,6,21,39,18
10-04-2015,192,,5,12,11,7
11-04-2015,150,,,,,
12-04-2015,,,71,18,14,11
13-04-2015,217,,96,21,34,14
14-04-2015,130,,91,24,19,27
15-04-2015,173,,90,34,41,35
16-04-2015,211,,115,32,39,32
17-04-2015,181,,16,20,53,11
18-04-2015,183,,,,,
20-04-2015,,,56,10,14,10
21-04-2015,173,,61,9,26,4
22-04-2015,152,,87,14,59,7
23-04-2015,152,,51,17,48,10
24-04-2015,161,,34,14,77,8
25-04-2015,,,44,13,65,1
26-04-2015,,,44,15,93,3
27-04-2015,,,33,9,64,
28-04-2015,,,19,19,61,12
