date,pm25,pm10,o3,no2,so2,co
02-12-2019,,121,7,9,6,14
03-12-2019,165,86,8,10,7,12
04-12-2019,137,96,8,6,6,6
05-12-2019,148,113,7,5,6,7
06-12-2019,153,138,10,6,10,9
07-12-2019,155,110,11,7,8,9
08-12-2019,162,169,11,15,7,11
09-12-2019,181,180,10,14,8,14
10-12-2019,187,209,23,16,13,18
11-12-2019,195,242,12,,23,19
12-12-2019,187,112,8,,11,10
13-12-2019,155,102,12,,11,10
14-12-2019,124,94,14,,10,9
15-12-2019,98,89,16,,15,8
16-12-2019,108,88,11,,9,8
17-12-2019,142,97,5,10,2,9
18-12-2019,130,177,5,11,4,8
19-12-2019,174,161,6,13,6,14
20-12-2019,170,170,6,27,6,14
21-12-2019,175,101,5,27,2,8
22-12-2019,156,109,4,24,3,5
23-12-2019,153,96,8,23,7,7
24-12-2019,146,103,4,18,8,11
25-12-2019,118,105,2,24,5,11
26-12-2019,164,102,2,14,8,8
27-12-2019,114,84,4,15,9,10
28-12-2019,126,95,4,26,8,15
29-12-2019,147,,,,,
31-12-2019,,125,4,40,5,16
01-01-2020,182,123,,26,6,11
02-01-2020,177,145,16,16,10,13
03-01-2020,174,153,9,22,4,9
04-01-2020,189,88,7,27,2,6
05-01-2020,134,116,8,29,4,7
06-01-2020,145,106,8,44,14,8
07-01-2020,164,97,5,135,12,6
08-01-2020,163,94,2,83,10,4
09-01-2020,154,93,8,15,4,7
10-01-2020,138,92,11,39,4,13
11-01-2020,126,107,14,52,7,14
12-01-2020,153,116,14,67,10,18
13-01-2020,173,67,13,7,10,15
14-01-2020,125,72,11,3,17,11
15-01-2020,122,87,12,5,14,13
16-01-2020,143,151,9,3,8,
17-01-2020,178,110,11,6,8,11
18-01-2020,144,91,7,3,9,11
19-01-2020,152,106,10,1,6,15
20-01-2020,147,122,7,1,12,28
21-01-2020,158,130,11,22,14,14
22-01-2020,160,99,10,27,7,13
23-01-2020,151,101,9,34,8,22
24-01-2020,142,195,8,33,12,15
25-01-2020,176,278,11,24,10,24
26-01-2020,235,170,10,37,31,20
27-01-2020,206,115,3,41,30,7
28-01-2020,160,143,12,30,22,13
29-01-2020,162,177,12,27,8,15
30-01-2020,179,140,11,36,4,11
31-01-2020,167,107,14,30,9,8
01-02-2020,151,84,11,25,4,6
02-02-2020,125,113,13,8,7,6
03-02-2020,144,123,12,2,18,6
04-02-2020,165,116,14,,7,7
05-02-2020,156,98,14,,13,7
06-02-2020,157,106,13,,10,7
07-02-2020,148,106,15,,8,7
08-02-2020,162,89,2,,6,7
09-02-2020,143,102,15,,8,7
10-02-2020,137,97,12,,6,7
11-02-2020,160,157,14,,5,5
12-02-2020,163,160,14,,6,5
13-02-2020,183,109,15,,18,5
14-02-2020,167,156,15,,11,5
15-02-2020,175,107,15,,9,5
16-02-2020,147,192,15,,12,6
17-02-2020,165,169,14,,7,7
18-02-2020,154,165,14,46,30,8
19-02-2020,204,131,15,41,23,12
20-02-2020,170,189,15,29,19,12
21-02-2020,167,122,14,29,11,14
22-02-2020,156,113,15,33,9,13
23-02-2020,157,131,17,26,5,18
24-02-2020,169,219,16,28,7,22
25-02-2020,202,265,17,30,9,24
26-02-2020,202,229,18,29,17,24
27-02-2020,215,139,16,25,13,10
28-02-2020,176,166,14,29,34,9
29-02-2020,177,135,18,22,40,5
01-03-2020,168,144,16,18,35,6
02-03-2020,171,109,11,27,29,6
03-03-2020,154,99,14,22,25,4
04-03-2020,154,85,15,17,12,3
05-03-2020,152,96,17,19,22,4
06-03-2020,154,114,17,13,7,9
07-03-2020,159,99,18,18,6,6
08-03-2020,137,70,17,16,15,3
09-03-2020,110,77,13,14,15,3
10-03-2020,135,71,11,17,31,2
11-03-2020,120,86,14,22,49,3
12-03-2020,144,85,14,21,38,4
13-03-2020,123,84,8,18,10,4
14-03-2020,133,85,14,15,8,4
15-03-2020,123,471,16,12,10,3
16-03-2020,97,134,14,15,5,10
17-03-2020,143,108,14,23,9,8
18-03-2020,145,114,16,34,35,10
19-03-2020,146,77,15,23,52,4
20-03-2020,129,81,14,21,40,5
21-03-2020,146,86,13,16,18,4
22-03-2020,115,76,17,14,7,4
23-03-2020,101,62,14,9,8,2
24-03-2020,103,62,11,9,3,3
25-03-2020,90,63,11,7,3,2
26-03-2020,83,31,11,6,1,2
27-03-2020,66,54,15,7,1,3
28-03-2020,100,47,11,6,1,2
29-03-2020,64,51,4,10,,5
30-03-2020,145,49,18,7,,2
31-03-2020,80,41,17,4,1,1
01-04-2020,64,48,22,5,1,5
02-04-2020,72,54,22,7,3,9
03-04-2020,79,59,4,12,3,8
04-04-2020,99,63,10,9,2,6
05-04-2020,89,62,15,8,2,7
06-04-2020,91,54,16,5,1,5
07-04-2020,81,57,10,8,1,6
08-04-2020,96,49,10,8,2,7
09-04-2020,74,51,10,8,6,6
10-04-2020,83,65,11,14,2,7
11-04-2020,102,54,13,9,1,5
12-04-2020,89,41,13,9,2,4
13-04-2020,70,52,1,32,7,7
14-04-2020,88,,,,,
19-04-2020,,48,9,9,,5
20-04-2020,79,58,12,11,1,6
21-04-2020,95,62,9,11,5,10
22-04-2020,103,62,14,5,3,9
23-04-2020,104,56,14,3,5,7
24-04-2020,92,54,15,5,7,8
25-04-2020,89,57,17,5,3,7
26-04-2020,94,51,18,5,4,5
27-04-2020,82,59,14,4,4,6
28-04-2020,97,56,15,4,2,6
29-04-2020,90,70,15,4,3,7
30-04-2020,122,62,17,5,3,8
01-05-2020,102,53,19,4,2,5
02-05-2020,88,64,15,3,2,6
03-05-2020,111,58,18,2,4,6
04-05-2020,96,55,18,2,2,5
05-05-2020,90,48,17,2,2,5
06-05-2020,79,56,19,1,2,6
07-05-2020,90,61,17,1,1,6
08-05-2020,98,54,20,1,1,5
09-05-2020,88,48,15,2,1,4
10-05-2020,79,47,19,1,1,3
11-05-2020,79,48,18,2,1,3
12-05-2020,80,46,15,2,1,3
13-05-2020,77,50,16,3,2,3
14-05-2020,87,55,17,3,2,3
15-05-2020,102,61,16,3,2,3
