date,pm25,pm10,o3,no2,so2,co
29-12-2021,,,,3,,
03-01-2022,,92,2,,2,16
04-01-2022,154,80,16,,2,2
05-01-2022,141,55,9,,2,
06-01-2022,102,55,7,,2,3
07-01-2022,100,49,8,,2,2
08-01-2022,86,48,10,,2,3
09-01-2022,83,54,9,,2,4
10-01-2022,95,56,11,,2,3
11-01-2022,99,61,11,,2,4
12-01-2022,108,88,12,,2,6
13-01-2022,140,67,14,,2,5
14-01-2022,113,56,13,,2,5
15-01-2022,87,85,12,,2,5
16-01-2022,114,77,11,,2,9
17-01-2022,128,81,11,,2,9
18-01-2022,136,81,9,,2,11
19-01-2022,134,78,7,,2,11
20-01-2022,132,56,6,,2,6
21-01-2022,94,68,9,,2,5
22-01-2022,119,105,12,,2,5
23-01-2022,153,89,12,,2,6
24-01-2022,159,76,11,,2,7
25-01-2022,141,66,11,,2,6
26-01-2022,123,65,11,,2,6
27-01-2022,120,55,9,,2,6
28-01-2022,98,58,10,,2,10
29-01-2022,101,237,15,,2,11
30-01-2022,215,66,8,,2,9
31-01-2022,79,97,7,,2,9
01-02-2022,109,145,7,,2,6
02-02-2022,105,48,6,,2,3
03-02-2022,77,101,8,,2,6
04-02-2022,115,164,8,,2,8
05-02-2022,218,39,7,,2,7
06-02-2022,53,377,8,,2,5
07-02-2022,343,309,6,,2,5
08-02-2022,314,33,6,,2,3
09-02-2022,55,32,6,,2,2
10-02-2022,55,40,6,,2,2
11-02-2022,68,18,6,,2,3
12-02-2022,39,15,7,,2,5
13-02-2022,31,25,8,,2,2
14-02-2022,53,,,,,
15-02-2022,,70,,,2,10
16-02-2022,121,48,5,,2,7
17-02-2022,87,61,4,,2,5
18-02-2022,104,63,4,,2,4
19-02-2022,110,68,3,,2,4
20-02-2022,120,52,4,,2,4
21-02-2022,91,37,4,,2,4
22-02-2022,69,26,3,,2,4
23-02-2022,56,34,4,,2,5
24-02-2022,68,60,4,,2,7
25-02-2022,109,87,4,,2,7
26-02-2022,159,56,4,,2,4
27-02-2022,112,52,4,,2,4
28-02-2022,103,52,4,,2,5
01-03-2022,104,57,4,,2,5
02-03-2022,109,116,4,,2,3
03-03-2022,176,115,4,,2,3
04-03-2022,159,147,4,,2,5
05-03-2022,186,216,4,,2,8
06-03-2022,243,416,4,9,2,5
07-03-2022,385,130,4,10,2,3
08-03-2022,192,98,4,10,2,4
09-03-2022,161,82,4,9,2,4
10-03-2022,154,65,4,7,2,8
11-03-2022,132,69,4,7,2,8
12-03-2022,137,70,4,7,2,8
13-03-2022,142,57,4,7,2,8
14-03-2022,116,,,,,
16-03-2022,,99,4,6,2,7
17-03-2022,157,129,4,7,2,8
18-03-2022,201,99,4,7,2,8
19-03-2022,164,80,4,7,2,8
20-03-2022,149,101,4,7,2,8
21-03-2022,152,85,4,7,2,8
22-03-2022,145,91,4,7,2,8
23-03-2022,153,70,4,7,2,8
24-03-2022,123,75,4,7,2,8
25-03-2022,139,84,3,7,3,8
26-03-2022,153,,,,,
07-07-2022,,,4,,1,8
12-07-2022,,22,4,,,8
13-07-2022,51,,4,,2,8
11-01-2023,,135,10,,7,9
12-01-2023,175,164,3,3,,9
13-01-2023,200,89,2,,1,8
14-01-2023,154,76,2,,,4
15-01-2023,136,97,2,,,11
16-01-2023,156,118,2,7,1,12
17-01-2023,166,92,1,7,1,7
18-01-2023,150,101,2,7,,9
19-01-2023,155,110,1,7,2,9
20-01-2023,162,112,2,8,2,10
21-01-2023,167,90,4,6,5,8
22-01-2023,154,107,2,6,4,12
23-01-2023,161,118,2,6,2,12
24-01-2023,170,108,5,5,5,10
25-01-2023,165,103,3,4,2,6
26-01-2023,161,99,4,4,1,6
27-01-2023,159,88,3,4,1,7
28-01-2023,151,92,3,4,,11
29-01-2023,152,93,5,5,,9
30-01-2023,152,84,5,4,,5
31-01-2023,147,76,4,4,,6
01-02-2023,129,111,5,4,1,14
02-02-2023,147,120,7,3,2,12
03-02-2023,154,136,7,3,1,14
04-02-2023,181,123,5,3,1,18
05-02-2023,169,135,6,4,2,14
06-02-2023,180,105,6,4,1,10
07-02-2023,164,101,6,4,2,7
08-02-2023,162,153,6,4,3,17
09-02-2023,190,132,6,4,7,12
10-02-2023,181,91,7,3,6,6
11-02-2023,145,110,6,4,1,6
12-02-2023,167,102,4,3,5,11
13-02-2023,158,140,6,4,6,14
14-02-2023,183,200,15,3,4,12
15-02-2023,227,148,5,4,4,15
16-02-2023,187,129,7,4,5,15
17-02-2023,175,,,,,
19-02-2023,,179,,14,14,24
20-02-2023,204,111,2,10,5,12
21-02-2023,170,118,1,8,5,9
22-02-2023,172,105,,9,6,11
23-02-2023,165,162,2,12,5,20
24-02-2023,196,112,5,10,3,13
25-02-2023,168,125,2,10,3,13
26-02-2023,175,135,1,12,2,15
27-02-2023,179,110,1,10,2,10
28-02-2023,166,154,6,12,4,17
01-03-2023,190,157,,13,5,16
02-03-2023,191,181,3,14,4,16
03-03-2023,203,149,3,10,2,12
04-03-2023,183,100,2,7,1,7
05-03-2023,153,136,1,9,3,9
06-03-2023,168,54,2,8,,10
07-03-2023,89,73,2,7,,7
08-03-2023,111,56,13,10,1,4
09-03-2023,89,84,14,18,2,16
10-03-2023,136,92,14,21,3,15
11-03-2023,144,86,16,20,1,15
12-03-2023,131,131,14,22,2,22
13-03-2023,176,133,13,27,3,20
14-03-2023,175,128,16,11,3,13
15-03-2023,173,69,15,7,3,7
16-03-2023,118,90,17,6,1,9
17-03-2023,151,70,16,5,1,6
18-03-2023,119,60,16,7,2,5
19-03-2023,103,80,16,7,6,7
20-03-2023,134,72,12,8,6,5
21-03-2023,129,69,13,6,3,4
22-03-2023,123,63,13,6,1,4
23-03-2023,99,58,16,10,2,4
24-03-2023,100,69,17,14,1,5
25-03-2023,115,94,14,15,4,6
26-03-2023,154,108,15,17,2,6
27-03-2023,166,98,14,24,3,8
28-03-2023,159,97,17,19,3,6
29-03-2023,158,78,16,13,2,6
30-03-2023,136,66,3,7,4,4
31-03-2023,117,,,,,
02-04-2023,,65,6,8,2,5
03-04-2023,116,85,3,8,3,9
04-04-2023,146,91,6,10,3,8
05-04-2023,153,91,4,9,2,8
06-04-2023,154,94,9,10,2,8
07-04-2023,154,115,3,15,2,10
08-04-2023,168,108,4,10,2,9
09-04-2023,163,105,3,9,2,12
10-04-2023,164,92,1,8,2,15
11-04-2023,154,78,3,5,1,9
12-04-2023,140,83,2,8,2,11
13-04-2023,148,86,3,8,2,14
14-04-2023,148,77,8,10,4,
15-04-2023,135,84,14,14,7,
16-04-2023,147,91,11,15,4,
17-04-2023,155,94,6,17,4,
18-04-2023,156,125,1,16,4,
19-04-2023,167,80,2,13,1,
20-04-2023,133,86,,13,2,
21-04-2023,151,75,1,14,2,
22-04-2023,134,70,2,12,1,
23-04-2023,121,87,1,15,3,
24-04-2023,151,95,3,20,3,
25-04-2023,153,112,2,18,4,4
26-04-2023,165,77,2,12,3,4
27-04-2023,131,79,1,13,5,4
28-04-2023,135,58,1,12,5,4
29-04-2023,96,58,2,13,5,4
30-04-2023,103,69,8,13,4,4
01-05-2023,118,59,2,13,4,4
02-05-2023,98,79,3,15,3,4
03-05-2023,135,73,3,13,3,4
04-05-2023,127,73,6,14,6,4
05-05-2023,129,65,3,12,1,4
06-05-2023,110,68,5,17,1,4
07-05-2023,119,67,4,22,1,4
08-05-2023,120,86,2,28,5,4
09-05-2023,154,102,8,32,2,4
10-05-2023,161,106,3,32,2,4
11-05-2023,164,99,3,29,2,4
12-05-2023,153,72,3,24,4,4
13-05-2023,121,55,2,16,1,4
14-05-2023,92,61,1,14,,4
15-05-2023,103,57,3,13,,4
16-05-2023,98,58,3,15,,4
17-05-2023,99,62,4,16,1,4
18-05-2023,108,64,2,12,1,4
19-05-2023,113,,,,,
21-05-2023,,59,2,8,1,4
22-05-2023,100,58,17,8,1,4
23-05-2023,99,77,4,7,,4
24-05-2023,125,72,3,7,2,4
25-05-2023,127,86,14,7,,4
26-05-2023,129,72,4,8,,4
27-05-2023,119,53,4,7,,4
28-05-2023,94,45,4,9,,4
29-05-2023,83,77,3,13,,4
