date,pm25,pm10,o3,no2,so2,co
27-12-2021,,137,7,4,3,5
28-12-2021,170,40,10,4,3,2
29-12-2021,71,49,12,4,4,
30-12-2021,85,55,12,4,3,7
31-12-2021,95,58,10,4,4,7
01-01-2022,104,64,12,4,4,5
02-01-2022,115,64,14,4,3,2
03-01-2022,116,74,14,4,3,2
04-01-2022,140,91,15,4,5,5
05-01-2022,150,56,5,4,2,4
06-01-2022,105,52,9,4,4,4
07-01-2022,91,39,10,4,2,
08-01-2022,69,38,11,4,2,
09-01-2022,68,43,10,4,2,8
10-01-2022,79,54,11,4,5,9
11-01-2022,97,53,12,4,3,5
12-01-2022,94,54,11,4,5,1
13-01-2022,95,51,11,4,5,5
14-01-2022,89,53,11,4,5,4
15-01-2022,92,57,12,3,3,3
16-01-2022,98,70,13,4,3,2
17-01-2022,128,70,12,4,2,
18-01-2022,130,77,15,4,4,12
19-01-2022,142,70,10,4,4,6
20-01-2022,128,56,8,4,2,3
21-01-2022,101,72,11,4,2,1
22-01-2022,125,139,11,4,2,1
23-01-2022,192,106,11,4,4,5
24-01-2022,171,88,11,4,3,3
25-01-2022,157,68,12,4,2,7
26-01-2022,131,60,13,4,3,4
27-01-2022,111,57,13,4,2,5
28-01-2022,104,73,14,4,5,8
29-01-2022,136,87,15,4,3,7
30-01-2022,155,72,10,4,3,
31-01-2022,139,488,7,4,3,12
01-02-2022,392,77,10,4,3,9
02-02-2022,147,94,10,4,2,3
03-02-2022,152,139,11,4,6,3
04-02-2022,192,199,13,4,5,4
05-02-2022,247,118,13,4,4,4
06-02-2022,178,73,11,4,4,6
07-02-2022,140,71,9,4,2,3
08-02-2022,136,66,9,4,3,1
09-02-2022,127,59,11,4,3,4
10-02-2022,108,60,12,4,3,6
11-02-2022,107,62,11,4,3,5
12-02-2022,119,68,13,4,3,6
13-02-2022,129,69,15,4,5,4
14-02-2022,129,72,12,4,4,2
15-02-2022,136,71,13,4,3,2
16-02-2022,130,72,12,4,4,8
17-02-2022,136,63,12,4,5,9
18-02-2022,117,63,12,4,5,7
19-02-2022,116,63,10,4,3,5
20-02-2022,117,64,9,4,4,3
21-02-2022,125,66,10,3,4,10
22-02-2022,125,69,9,4,4,8
23-02-2022,135,104,10,4,2,7
24-02-2022,170,106,14,3,9,6
25-02-2022,171,130,10,3,5,7
26-02-2022,182,83,11,4,4,1
27-02-2022,154,73,12,3,3,
28-02-2022,138,78,13,4,4,11
01-03-2022,143,114,13,4,5,9
02-03-2022,156,76,9,3,4,5
03-03-2022,133,55,9,3,4,1
04-03-2022,101,59,10,3,3,6
05-03-2022,105,77,10,3,5,8
06-03-2022,137,74,12,3,5,6
07-03-2022,134,74,13,3,10,5
08-03-2022,138,71,14,4,6,2
09-03-2022,132,68,11,4,4,2
10-03-2022,130,71,11,4,4,13
11-03-2022,133,72,9,3,5,8
12-03-2022,136,75,10,3,4,8
13-03-2022,136,82,11,3,6,3
14-03-2022,148,72,8,3,5,2
15-03-2022,136,67,8,3,4,7
16-03-2022,130,61,7,3,5,4
17-03-2022,115,64,7,3,4,4
18-03-2022,121,61,6,3,4,9
19-03-2022,113,84,8,3,4,5
20-03-2022,158,68,9,3,5,3
21-03-2022,133,60,8,3,3,3
22-03-2022,112,84,7,3,3,1
23-03-2022,153,60,7,3,4,10
24-03-2022,114,70,8,3,4,9
25-03-2022,141,78,10,3,5,7
26-03-2022,149,74,8,3,5,5
27-03-2022,144,72,7,3,5,3
28-03-2022,139,78,8,4,5,2
29-03-2022,154,74,11,4,5,1
30-03-2022,148,98,14,4,7,2
31-03-2022,166,109,14,4,8,
01-04-2022,174,99,16,3,7,
02-04-2022,167,82,13,4,4,
03-04-2022,153,76,11,4,5,
04-04-2022,146,76,11,4,6,
05-04-2022,147,62,10,4,4,
06-04-2022,117,69,10,4,8,3
07-04-2022,133,75,11,4,5,10
08-04-2022,139,67,10,4,4,5
09-04-2022,131,67,12,4,6,3
10-04-2022,131,67,12,4,6,1
11-04-2022,135,73,11,4,6,6
12-04-2022,148,77,9,4,7,4
13-04-2022,153,69,9,4,6,5
14-04-2022,138,73,11,4,5,3
15-04-2022,147,66,12,4,4,1
16-04-2022,133,66,11,4,4,
17-04-2022,133,64,11,4,4,
18-04-2022,129,61,8,4,4,10
19-04-2022,120,67,9,4,2,4
20-04-2022,125,79,9,4,3,4
21-04-2022,150,68,9,4,3,3
22-04-2022,131,65,8,4,4,2
23-04-2022,126,58,8,4,5,2
24-04-2022,112,50,8,4,3,5
25-04-2022,96,58,8,4,5,5
26-04-2022,112,66,10,4,7,8
27-04-2022,125,61,8,4,4,2
28-04-2022,120,59,9,4,6,2
29-04-2022,113,63,8,4,4,
30-04-2022,123,56,8,4,4,
01-05-2022,104,65,8,4,3,
02-05-2022,130,72,9,4,4,
03-05-2022,146,73,10,4,4,
04-05-2022,147,73,8,4,3,4
05-05-2022,148,86,7,4,4,
06-05-2022,160,93,6,4,3,
07-05-2022,165,69,7,4,2,
08-05-2022,138,62,8,4,3,
09-05-2022,122,63,8,4,3,
10-05-2022,126,69,10,4,3,
11-05-2022,139,74,9,4,4,
12-05-2022,150,84,10,4,5,
13-05-2022,157,77,8,4,3,7
14-05-2022,154,71,9,4,4,4
15-05-2022,144,86,9,4,3,2
16-05-2022,159,114,10,4,2,
17-05-2022,177,111,11,4,2,1
18-05-2022,176,96,9,4,5,
19-05-2022,167,90,10,4,4,
20-05-2022,162,79,8,4,2,
21-05-2022,150,69,6,4,2,
22-05-2022,138,70,7,4,2,
23-05-2022,132,77,9,4,2,
24-05-2022,150,70,9,4,2,
25-05-2022,141,65,8,4,2,
26-05-2022,129,58,7,4,2,
27-05-2022,111,56,7,4,2,
28-05-2022,107,61,7,4,2,
29-05-2022,118,58,5,4,2,
30-05-2022,112,,,,,
06-06-2022,,55,8,4,3,5
07-06-2022,103,44,10,4,2,5
08-06-2022,84,35,9,4,2,5
09-06-2022,70,43,10,4,2,5
10-06-2022,82,50,8,4,2,4
11-06-2022,95,34,7,4,2,4
12-06-2022,68,33,6,4,1,3
13-06-2022,65,34,8,4,2,1
14-06-2022,68,33,7,,1,1
15-06-2022,66,34,7,4,1,1
16-06-2022,69,41,8,4,1,1
17-06-2022,77,32,6,4,2,1
18-06-2022,65,30,6,4,2,2
19-06-2022,63,37,7,4,1,
20-06-2022,71,48,7,4,1,
21-06-2022,89,65,10,4,1,
22-06-2022,127,60,14,4,2,
23-06-2022,117,59,19,4,3,
24-06-2022,111,57,17,4,2,
25-06-2022,112,63,14,4,2,
26-06-2022,124,34,6,4,1,
27-06-2022,70,34,9,4,2,
28-06-2022,69,38,9,4,2,
29-06-2022,74,40,11,4,1,
30-06-2022,77,37,12,4,1,
01-07-2022,71,33,17,4,2,
02-07-2022,67,33,13,4,1,
03-07-2022,67,37,13,4,2,
04-07-2022,73,25,15,4,1,
05-07-2022,54,30,15,4,2,
06-07-2022,59,30,13,4,2,
07-07-2022,61,,,,,
13-01-2023,,,3,4,2,
14-01-2023,,,2,4,2,
15-01-2023,,,3,4,2,
16-01-2023,,,5,4,2,
17-01-2023,,,6,4,2,
18-01-2023,,,5,4,2,
19-01-2023,,,7,4,2,
20-01-2023,,,5,4,2,
21-01-2023,,,3,4,2,
22-01-2023,,81,3,,2,
23-01-2023,151,81,4,4,2,
24-01-2023,151,81,4,4,2,
25-01-2023,151,81,3,4,2,
26-01-2023,151,81,5,4,2,
27-01-2023,151,81,9,4,2,
28-01-2023,151,81,2,4,2,26
29-01-2023,151,81,2,4,2,24
30-01-2023,151,81,3,4,2,
31-01-2023,151,81,4,4,2,
01-02-2023,151,81,2,4,2,
02-02-2023,151,81,4,4,2,
03-02-2023,151,81,5,4,2,
04-02-2023,151,81,4,4,2,
05-02-2023,151,81,3,4,2,
06-02-2023,151,81,2,4,1,
07-02-2023,151,81,3,4,1,
08-02-2023,151,81,4,4,2,
09-02-2023,151,81,5,4,2,
10-02-2023,151,81,2,4,2,
11-02-2023,151,81,1,4,2,
12-02-2023,151,81,2,4,2,
13-02-2023,151,81,3,4,1,
14-02-2023,151,81,4,4,2,
15-02-2023,151,81,6,4,2,
16-02-2023,151,81,5,4,2,
17-02-2023,151,81,4,4,2,
18-02-2023,151,81,4,4,2,
19-02-2023,151,81,3,4,2,
20-02-2023,151,80,7,4,2,
21-02-2023,151,81,2,4,2,
22-02-2023,151,80,3,4,2,
23-02-2023,151,81,1,4,2,
24-02-2023,151,81,7,4,2,
25-02-2023,151,81,2,4,2,
26-02-2023,151,81,2,4,1,
27-02-2023,151,81,4,4,2,
28-02-2023,151,81,4,,2,
01-03-2023,151,81,4,,2,
02-03-2023,151,81,18,,3,
03-03-2023,151,81,18,,3,
04-03-2023,151,81,3,,2,
05-03-2023,151,81,2,,2,
06-03-2023,151,81,9,,2,
07-03-2023,151,80,8,,2,
08-03-2023,151,81,2,,2,
09-03-2023,151,81,3,,2,
10-03-2023,151,81,5,,2,
11-03-2023,151,81,2,4,2,
12-03-2023,151,81,1,4,2,
13-03-2023,151,81,9,4,2,
14-03-2023,151,81,8,4,2,
15-03-2023,151,81,2,4,2,
16-03-2023,151,81,13,4,2,
17-03-2023,151,81,3,4,2,
18-03-2023,151,81,2,4,2,
19-03-2023,151,81,1,4,2,
20-03-2023,151,81,3,4,2,
21-03-2023,151,81,2,4,2,
22-03-2023,151,81,3,4,2,
23-03-2023,151,81,3,4,2,
24-03-2023,151,81,4,4,2,
25-03-2023,151,81,2,4,2,
26-03-2023,151,81,2,4,2,
27-03-2023,151,81,3,4,2,
28-03-2023,151,81,5,4,2,
29-03-2023,151,81,5,4,2,
30-03-2023,151,81,3,4,1,
31-03-2023,151,,3,4,2,
02-04-2023,,81,5,,2,
03-04-2023,151,81,5,,2,
04-04-2023,151,81,5,,3,
05-04-2023,151,81,7,,2,
06-04-2023,151,81,7,,2,
07-04-2023,151,81,6,,8,
08-04-2023,151,81,6,,4,
09-04-2023,151,81,14,,5,
10-04-2023,151,81,7,4,3,
11-04-2023,151,81,6,4,2,
12-04-2023,151,81,6,4,,
13-04-2023,151,81,4,4,2,
14-04-2023,151,81,4,4,,
15-04-2023,151,81,3,4,,
16-04-2023,151,81,7,4,,
17-04-2023,151,81,5,4,,
18-04-2023,151,81,5,4,,
