date,pm25,pm10,o3,no2,so2,co
27-12-2021,,66,3,4,4,5
28-12-2021,140,58,6,4,4,18
29-12-2021,120,66,8,4,4,10
30-12-2021,138,85,7,4,4,9
31-12-2021,151,76,3,4,4,4
01-01-2022,142,87,3,4,4,
02-01-2022,164,88,3,4,4,10
03-01-2022,163,95,3,4,4,
04-01-2022,169,117,3,4,4,15
05-01-2022,184,65,3,4,4,9
06-01-2022,136,64,3,4,4,10
07-01-2022,131,46,4,4,4,9
08-01-2022,91,60,5,4,4,14
09-01-2022,118,72,4,4,4,13
10-01-2022,138,69,5,4,4,8
11-01-2022,134,81,5,4,4,2
12-01-2022,155,82,5,4,4,2
13-01-2022,151,68,6,4,4,2
14-01-2022,135,66,5,4,4,2
15-01-2022,136,74,4,3,3,
16-01-2022,149,90,3,4,4,
17-01-2022,163,96,3,3,3,
18-01-2022,168,102,4,3,3,6
19-01-2022,174,81,3,3,3,9
20-01-2022,152,61,3,4,4,3
21-01-2022,130,78,4,4,4,
22-01-2022,149,161,6,4,4,
23-01-2022,211,135,5,4,4,2
24-01-2022,200,124,5,4,4,10
25-01-2022,192,97,4,4,4,14
26-01-2022,171,93,5,4,4,4
27-01-2022,165,94,5,4,4,7
28-01-2022,165,107,5,4,4,1
29-01-2022,177,109,5,4,4,
30-01-2022,179,98,3,4,4,
31-01-2022,160,74,3,3,3,3
01-02-2022,149,85,3,3,3,9
02-02-2022,163,106,3,3,3,22
03-02-2022,178,158,3,3,3,29
04-02-2022,222,155,2,3,3,
05-02-2022,222,,,,,
07-02-2022,,75,2,3,3,21
08-02-2022,144,67,4,3,3,4
09-02-2022,141,74,4,3,3,3
10-02-2022,151,77,6,3,3,1
11-02-2022,154,96,4,4,4,
12-02-2022,169,93,4,4,4,
13-02-2022,164,86,5,4,4,10
14-02-2022,162,81,5,3,3,5
15-02-2022,158,96,4,4,4,2
16-02-2022,169,110,4,4,4,
17-02-2022,180,91,5,4,4,1
18-02-2022,166,78,5,4,4,
19-02-2022,153,88,4,4,4,
20-02-2022,162,79,2,3,3,
21-02-2022,159,,,,,
24-02-2022,,144,4,3,3,1
